-0.40607108870053527-626.0880507848783*I	-0.499937162634357-0.6283299473979257*I	-0.09380324093905032+625.4596708437642*I	3.7437794136677595*^-9+0.407671578423592*I	0.093762477524936-625.0519992653403*I	0.00001870443444110942-0.18701323633219955*I	-0.09372507176683295+624.8649860308786*I	2.4887435760238136*^-9+0.13524902503587166*I	0.09371154935301292-624.7297370058423*I	8.350350861552336*^-6-0.08348484168873271*I	-0.09369485051797949+624.6462521649886*I	1.2417955942641045*^-9+0.05416818783243452*I	0.09368943494102015-624.5920839771559*I	2.485773446789241*^-6-0.02485155025253158*I	-0.09368446401250578+624.5672324271519*I	-0.1561436730287017+624.5920746089582*I	-0.12491841647703844+0.02482656743898154*I	0.15614615632345738-624.6213912457923*I	0.2498372769841103-0.054118221459652886*I	-0.1561678273271684+624.6755594493598*I	-0.37477780973817515+0.08340988904827135*I	0.1561761702139599-624.7814918180344*I	0.4997205797809849-0.13514908362339784*I	-0.15623027729307548+624.9167408696676*I	-0.624717459394279+0.18688829938485507*I	0.15624896927326093-625.2726482311839*I	0.7497312159656562-0.4075216403315815*I	0.3435879508671331+625.6803198324144*I	-0.3749080561427552+0.6282049877767445*I	-0.8435251209877113-625.4597614445895*I
-0.4999371626371813-0.6283299473962596*I	0.00004077963842802939-0.8489883204492981*I	-0.4999371588923457-0.2206583689751198*I	-0.4999184457168582+0.00004996496146484355*I	0.000018708178991265018+0.22065834209188356*I	0.000054304518495834985+0.16889412536468704*I	0.00001870692696801311-0.05176421129656934*I	0.00002705976339786875-3.065443365776995*^-8*I	8.35283949525523*^-6+0.05176418334831964*I	0.000018949183429721988+0.022447527598859818*I	8.351591174699629*^-6-0.029316653854481026*I	0.000010838608951967045-1.73603678974559*^-8*I	2.487019513290299*^-6+0.029316637578038166*I	5.419303860514512*^-6+0.004465086784694372*I	2.485775668784385*^-6-0.02485155025144943*I	-4.483731665925022*^-7-0.029316636787558623*I	-2.4851566245329783*^-9-0.004465086580969224*I	-0.000016702557057028086+0.024851568402411137*I	-0.000021672248253891963+1.5735073894540522*^-8*I	-0.00001850453582153563-0.0517641632578075*I	-7.462416573746625*^-9-0.022447526988811334*I	-0.00004283252566716148+0.029316687239199918*I	-0.000054109571469771535+2.6596465500916195*^-8*I	-0.0000574809337959424-0.22065830413636306*I	-1.2458880595566025*^-8-0.16889412518423141*I	0.4998607835431445+0.05171425363634696*I	0.49983691639767014+2.2807139883644016*^-8*I	-0.0000374269770180527+0.6282299927968045*I	-7.481622158714459*^-9+0.8488883352221108*I	-0.4999151092808697+0.22060837933674693*I
-0.0938032409417969+625.4596708437655*I	-0.49993715889512597-0.22065836897363172*I	-0.4061118521164195-625.6803792064551*I	-0.4999184544571887-0.4076716053066985*I	-0.09376583518022702+625.2726576093028*I	0.000018710671389858546+0.35590736712745563*I	0.09374895511490797-624.9167502403045*I	0.000027057277761315835-0.13524905298432924*I	-0.09370837293177882+624.7815011900259*I	8.354079896216726*^-6+0.1059323711824304*I	0.09370613377454472-624.6755688180081*I	0.00001083736877675633-0.05416820410894138*I	-0.0936898795854027+624.6214006149828*I	2.487021580503679*^-6+0.029316637579244326*I	0.09368943494321133-624.5920839771547*I	0.1561461563193302-624.6213912457907*I	0.12491886050063644-0.029291654020256033*I	-0.1561653440372426+624.6462428125244*I	-0.249858949233822+0.05411823502750182*I	0.15615449920769864-624.7273236144681*I	0.37478004702838685-0.10585741603788125*I	-0.1562219344084191+624.8108085009904*I	-0.49977468935515595+0.1351491048089065*I	0.15619486218970535-625.137399179552*I	0.6247343363479932-0.3557824245702824*I	0.3436066428446195+625.3244124708986*I	-0.24989429957021203+0.40757164683036085*I	-0.3436882008434718-625.0520898433598*I	0.37482315982754577+0.22068334744467485*I	0.34358795086890637+625.6803198324152*I
3.7416243458036035*^-9+0.40767157842480106*I	-0.4999184457194946+0.00004996496146487809*I	-0.4999184544577042-0.4076716053079081*I	0.00009508415692380956-0.6800941950880086*I	-0.49991845196589013-0.2724225802716849*I	-0.49989138595426275+0.00004993430703181381*I	0.00002706101820321242+0.27242252544012124*I	0.00007325370192565815+0.19134165296174369*I	0.00002705851858622684-0.0810808651530074*I	0.00003789837058239617-4.801480180294147*^-8*I	0.000010839856823196021+0.0810808209280427*I	0.00002436848729088378+0.026912614383416123*I	0.000010837368942935859-0.054168204107777826*I	0.000010838612953935222-1.73603673032123*^-8*I	1.2457047341555053*^-9+0.0541681878312718*I	-0.00001625418606099037+0.0541682051917637*I	-0.000021672252357996803+1.573507327923263*^-8*I	-0.000018952910917082037-0.08108080004708974*I	-9.947573093474523*^-9-0.02691261356967637*I	-0.000059535083114484226+0.05416825564341406*I	-0.00007578181800301612+4.233153940014008*^-8*I	-0.00007598546739321946-0.2724224673940974*I	-1.9921296011703215*^-8-0.19134165217117619*I	0.49981795101789434+0.08103094087744761*I	0.4997828068269997+4.940360422542496*^-8*I	-0.00009490791059702742+0.4075716886640954*I	-1.994050159893432*^-8+0.6799942100413852*I	-0.00005432573454047988+0.2723226329731899*I	0.4998369164003762+2.2807139691692797*^-8*I	0.4998776823033038+0.4076216134637103*I
0.09376247752567252-625.051999265341*I	0.000018708179209223075+0.22065834209041651*I	-0.0937658351806658+625.272657609302*I	-0.49991845196636375-0.27242258027289445*I	-0.4061253745276908-625.5451301814202*I	-0.49991010161926486-0.35590742195898817*I	-0.09374913634928216+625.1891727684509*I	0.00002706225885097887+0.32659071327144296*I	0.09374353953688863-624.8625820524734*I	0.000029544295614213067-0.1059324154075229*I	-0.09370340199972702+624.7566496400203*I	0.000010839857110361386+0.08108082092920656*I	0.09370613377471429-624.6755688180069*I	8.351592981584166*^-6-0.02931665385585297*I	-0.09369485051635673+624.6462521649863*I	-0.15616782732583373+624.675559449357*I	-0.12494053275440443+0.029291667588096384*I	0.15615449920644942-624.727323614467*I	0.24986163054757146-0.08103084859817326*I	-0.15621945111645036+624.7814918641583*I	-0.37485582885075813+0.10585745079122011*I	0.15617319118767473-625.0832309759834*I	0.4997938035990944-0.3264907569820746*I	0.34361498573418414+625.2184801022249*I	-0.12495152952575558+0.3558324522546175*I	-0.34374230792399285-624.9168407917258*I	0.24982628020869144+0.27242256320903024*I	0.34360664284554854+625.3244124709009*I	0.12501375657038577-0.22063334094598325*I	0.15624896927294915-625.2726482311834*I
0.00001870443721241268-0.18701323633463962*I	0.000054304518496746894+0.1688941253635793*I	0.000018710668747930827+0.35590736712879756*I	-0.4998913859533805+0.000049934307031509585*I	-0.49991010161555915-0.35590742196025227*I	0.00011403334035338408-0.6576466674891444*I	-0.4999101003773387-0.3017392341256304*I	-0.4998805473498163+0.00004991694666324502*I	0.0000295480358276672+0.3017391630175503*I	0.0000786730057877578+0.19580673974367085*I	0.000029544295985783785-0.10593241540668248*I	0.00003789837143669757-4.801480126946602*^-8*I	8.354080252396384*^-6+0.10593237118164064*I	0.000018949183429160246+0.022447527596814537*I	8.350350417089537*^-6-0.08348484168999737*I	-2.250348843103032*^-6-0.10593236845173107*I	-7.46241496286953*^-9-0.022447526986779792*I	-0.00005908671173159927+0.08348489243504914*I	-0.00007578181881258474+4.233153796934257*^-8*I	-0.00007643383969805682-0.30173910418114486*I	-2.240645308846539*^-8-0.19580673874931545*I	0.4998012484635544+0.10588250928203248*I	0.4997611345832516+6.513867774015606*^-8*I	-0.00011341244446316418+0.3558075254068724*I	-2.74029168371065*^-8+0.6575466830526053*I	-0.00009715826033606807+0.3016393202117704*I	0.4997828068261186+4.940360415340683*^-8*I	0.4998202013669188+0.1869633093292267*I	-1.2458880601380059*^-8-0.16889412518288327*I	-0.000016898757650887395-0.3559073598278457*I
-0.09372507176475078+624.8649860308763*I	0.000018706926757296183-0.05176421129625444*I	0.09374895511265426-624.9167502403019*I	0.000027061019499558253+0.27242252544133044*I	-0.09374913634569113+625.1891727684495*I	-0.4999101003737091-0.3017392341269094*I	-0.4061307901046668-625.4909619935864*I	-0.4999076146004881-0.3265907843795145*I	-0.09374416541744468+625.1643212184457*I	0.000029548036249577025+0.30173916301876963*I	0.09374353953738507-624.8625820524724*I	0.00002705851924808987-0.08108086515417065*I	-0.09370837293160651+624.7815011900241*I	8.352837616604214*^-6+0.05176418334745665*I	0.09371154935091258-624.7297370058412*I	0.1561761702138362-624.7814918180339*I	0.12494277004473073-0.051739194575608785*I	-0.15622193440751495+624.8108085009934*I	-0.24993741237073736+0.0810308833515293*I	0.1561731911871194-625.0832309759829*I	0.374875387118125-0.3016641895429913*I	0.34361746902498497+625.18916346539*I	-0.0000326690222304959+0.32654079823421045*I	-0.34376397893102423-624.8626725881592*I	0.12488574745463213+0.30171423079531684*I	0.34361498573172844+625.2184801022214*I	0.24995652661253992-0.2723725355247433*I	0.1561948621904162-625.1373991795517*I	-0.12499687961681041+0.051739215761446536*I	-0.1562302772945876+624.9167408696653*I
2.487862097865119*^-9+0.13524902503444805*I	0.000027059759323703564-3.0654433766707834*^-8*I	0.000027057274581071413-0.1352490529829059*I	0.00007325370192576576+0.19134165296330538*I	0.00002706226205975649+0.32659071327158146*I	-0.49988054734298265+0.00004991694666377033*I	-0.49990761459688116-0.326590784379652*I	0.0001194526442146771-0.6531815807027582*I	-0.4999076146009315-0.32659078437784167*I	-0.4998805473501926+0.000049916946663471484*I	0.00002706225896485579+0.3265907132697702*I	0.00007325370192597759+0.191341652960109*I	0.00002705727755729209-0.13524905298429102*I	0.00002705976485080182-3.065443376014238*^-8*I	2.4902536927353964*^-9+0.13524902503583372*I	-0.00004058217710771316+0.13524905569051648*I	-0.00005410957286861731+2.659646508928747*^-8*I	-0.00005973128378228046-0.32659067258423846*I	-1.992129648962631*^-8-0.19134165216954097*I	0.49980169683593945+0.1351991460692236*I	0.4997611345835719+6.513867795450282*^-8*I	-0.00011386081643277083+0.32649088861679276*I	-2.9888075102171195*^-8+0.6530815964698751*I	-0.00011386081953464126+0.32649088861498266*I	0.49976113457644994+6.513867778992093*^-8*I	0.49980169683184394+0.1351991460678385*I	-1.992129651221837*^-8-0.1913416521727375*I	-0.00005973128142034727-0.32659067258605*I	-0.00005410956750567954+2.6596465144254957*^-8*I	-0.00004058217407725718+0.1352490556891306*I
0.0937115493500428-624.729737005842*I	8.35283562836825*^-6+0.05176418334792603*I	-0.09370837293274482+624.7815011900253*I	0.000027058517159939517-0.0810808651526547*I	0.09374353953645073-624.8625820524722*I	0.000029548039053382824+0.30173916301878023*I	-0.09374416541370811+625.1643212184458*I	-0.4999076145972697-0.3265907843779794*I	-0.4061307901050552-625.4909619935852*I	-0.49991010037813755-0.301739234126666*I	-0.09374913634971906+625.1891727684484*I	0.00002706101744886125+0.27242252543964995*I	0.09374895511457096-624.916750240303*I	0.000018706930240718067-0.05176421129598742*I	-0.09372507176316273+624.8649860308777*I	-0.15623027729654182+624.9167408696663*I	-0.12499687962033418+0.05173921576111329*I	0.15619486219089554-625.1373991795513*I	0.249956526614591-0.27237253552306245*I	0.34361498573418375+625.2184801022219*I	0.12488574745902381+0.3017142307950126*I	-0.34376397893024124-624.8626725881595*I	-0.00003266902544884464+0.32654079823267596*I	0.3436174690226327+625.1891634653886*I	0.3748753871152887-0.3016641895430706*I	0.15617319118547118-625.0832309759844*I	-0.24993741236864928+0.08103088335001354*I	-0.1562219344045605+624.8108085009928*I	0.1249427700467475-0.05173919457601191*I	0.15617617021499405-624.7814918180352*I
8.350350265562756*^-6-0.08348484168916928*I	0.000018949183429286545+0.022447527596138606*I	8.354080404093453*^-6+0.10593237118022325*I	0.00003789837029416845-4.8014801685426416*^-8*I	0.00002954429469157106-0.10593241540532661*I	0.00007867300578725677+0.19580673974676557*I	0.00002954803712097413+0.30173916301934456*I	-0.4998805473458684+0.00004991694666321311*I	-0.499910100374684-0.30173923412756865*I	0.0001140333403535754-0.657646667490753*I	-0.4999101016182134-0.35590742195980585*I	-0.4998913859575005+0.000049934307031100576*I	0.00001871066728203623+0.3559073671281162*I	0.00005430451849608472+0.16889412536510756*I	0.00001870443867757967-0.18701323633243175*I	-0.000016898756185255255-0.35590735982726496*I	-1.2458880085215122*^-8-0.16889412518456298*I	0.4998202013695737+0.18696330932693983*I	0.4997828068302389+4.9403604340086114*^-8*I	-0.00009715825887039712+0.3016393202138148*I	-2.740291746788177*^-8+0.6575466830541594*I	-0.00011341244575648093+0.35580752540646665*I	0.4997611345793042+6.513867802852673*^-8*I	0.49980124846090007+0.10588250928082542*I	-2.240645315941287*^-8-0.1958067387524876*I	-0.00007643383984930321-0.3017391041827929*I	-0.00007578181766955554+4.233153856657428*^-8*I	-0.000059086710437405834+0.08348489243428696*I	-7.462415194793928*^-9-0.02244752698629643*I	-2.250348994793446*^-6-0.10593236845031516*I
