0.-0.00008247089163252248*I	0.5845489902858081+0.*I	0.+0.000024015992603941684*I	-0.25079514153550314+0.*I	0.+1.0635215496085987*^-6*I	0.045643467442181694+0.*I	0.-5.627868293826762*^-6*I	0.03451657511634985+0.*I	0.+2.1762107821918*^-6*I	-0.033143810054357625+0.*I	0.+1.1381702232439307*^-6*I	0.004987320514884231+0.*I	0.-1.6369022747323628*^-6*I	0.012150419523275951+0.*I	0.+4.218603224047892*^-7*I	-0.009415556809268677+0.*I	0.+5.196953585219921*^-7*I	-0.0011405334897355455+0.*I	0.-4.0564200954847226*^-7*I	0.005147619463994955+0.*I	0.-1.091199368510758*^-7*I	-0.005147619474907314+0.*I	0.+6.238818843418336*^-7*I	-0.00400708601482373+0.*I	0.+1.8246872668900024*^-7*I	0.010556090350973713+0.*I	0.-1.7577731203082694*^-6*I	-0.0027348626718214477+0.*I	0.+1.6093990650856188*^-6*I	-0.01713774020185048+0.*I	0.+1.7412772298318438*^-6*I	0.028156489653290134+0.*I	0.-5.695096418404951*^-6*I	-0.0013727648443713704+0.*I	0.+3.656162120650766*^-6*I	-0.08016004312131834+0.*I	0.+9.98771048530866*^-6*I	0.20515167419967376+0.*I	0.-0.000031566399454881637*I	-0.33375384634870553+0.*I	0.+0.00004092579148581363*I	0.4154510014671029+0.*I
0.5845489902858076+0.*I	0.-816.9716096388737*I	0.33375384875030484+0.*I	0.+1286.021746569845*I	-0.2051516740933203+0.*I	0.-1249.9163153479014*I	0.08016004255853018+0.*I	0.+815.3280762052289*I	0.0013727650619926868+0.*I	0.-267.8372447747896*I	-0.028156489539471655+0.*I	0.-110.18749501311515*I	0.017137740038160126+0.*I	0.+198.72602752167302*I	0.002734862714007219+0.*I	0.-78.21227584996734*I	-0.010556090299003923+0.*I	0.-65.49004324744922*I	0.0040070859742590975+0.*I	0.+91.54705438254662*I	0.005147619463995501+0.*I	0.-91.54705489730851*I	-0.01430232495372638+0.*I	0.-26.05701153580606*I	0.007689537825886161+0.*I	0.+143.7023201530256*I	0.017236784488420642+0.*I	0.-120.51375194519217*I	-0.03202302239694743+0.*I	0.-88.53853422233163*I	0.0060314289365544504+0.*I	0.+378.024742603554*I	0.059927534863271736+0.*I	0.-547.490831567716*I	-0.11604938308203616+0.*I	0.+434.5882311266683*I	0.0793481636361737+0.*I	0.-36.10541070677603*I	0.12219296938646751+0.*I	0.-469.0501703063562*I	-0.5028518351674083+0.*I	0.+816.9715511839746*I
0.+0.00002401599260394176*I	0.3337538487503051+0.*I	0.-0.000057391377478972254*I	0.3793973161924864+0.*I	0.+0.000019451645859723684*I	-0.17063509897697154+0.*I	0.-2.388135962026497*^-6*I	0.047016232504174756+0.*I	0.-2.313487288390977*^-6*I	0.006360085576876561+0.*I	0.+1.677478730703305*^-6*I	-0.016006070016195875+0.*I	0.-7.687172908373021*^-8*I	0.007722183228892169+0.*I	0.-6.953465938054825*^-7*I	0.0015943292242715033+0.*I	0.+5.359136713783998*^-7*I	-0.005408470835009093+0.*I	0.+4.933412122530441*^-9*I	0.004007085974259429+0.*I	0.-4.05642009548497*^-7*I	-0.00400708601482383+0.*I	0.+8.0635061103083*^-7*I	0.001401384861242775+0.*I	0.-9.514225092776963*^-7*I	0.003814141664329072+0.*I	0.+3.409467146616998*^-8*I	-0.00931651252269822+0.*I	0.+1.5929031746093721*^-6*I	0.008283886779616481+0.*I	0.-2.344420123487209*^-6*I	0.009645984607067025+0.*I	0.-2.976570679226642*^-7*I	-0.05337631831239999+0.*I	0.+7.948776187553501*^-6*I	0.12361886623398353+0.*I	0.-0.000017922526848925447*I	-0.20876221527035002+0.*I	0.+0.000019347102516236873*I	0.2868488293180708+0.*I	0.+9.359392030929605*^-6*I	-0.3337538463487058+0.*I
-0.250795141535503+0.*I	0.+1286.0217465698456*I	0.3793973161924876+0.*I	0.-2066.887924986773*I	0.41391389130883516+0.*I	0.+2101.349822775076*I	-0.20377890903132753+0.*I	0.-1517.7535601226912*I	0.05200355301905846+0.*I	0.+705.1405811921136*I	0.018510505100152896+0.*I	0.-69.11121725311526*I	-0.02542162682546445+0.*I	0.-188.3997708630839*I	0.006581649739156037+0.*I	0.+133.23598427422576*I	0.00674194868826658+0.*I	0.+13.33477853257862*I	-0.0054084708350087+0.*I	0.-65.49004324744857*I	-0.0011405334897360009+0.*I	0.+65.49004336150176*I	0.007689537825886356+0.*I	0.+52.15526525571707*I	0.0029344595346942337+0.*I	0.-146.57076348099937*I	-0.024333484571061104+0.*I	0.+55.16378593069315*I	0.023268213424974205+0.*I	0.+257.5109906583616*I	0.027904512466325082+0.*I	0.-636.029365790049*I	-0.11001795414548221+0.*I	0.+812.6129737302227*I	0.13927569849944677+0.*I	0.-583.5962422744938*I	0.006143586304431903+0.*I	0.-34.46193917969236*I	-0.42350367153123436+0.*I	0.+780.8661404771959*I	0.12219296938646318+0.*I	0.-1286.0217214903314*I
0.+1.0635215496085519*^-6*I	-0.20515167409332108+0.*I	0.+0.00001945164585972352*I	0.4139138913088362+0.*I	0.-0.00006084303499060713*I	0.38077008125447875+0.*I	0.+0.000022766026865159232*I	-0.19879158851644316+0.*I	0.-2.8868680135149543*^-6*I	0.06415397254233372+0.*I	0.-3.52852924071842*^-6*I	0.00909494829088455+0.*I	0.+2.6190344116299437*^-6*I	-0.026562160315199996+0.*I	0.+3.7181619890060384*^-8*I	0.011729269203150547+0.*I	0.-1.2101085402051195*^-6*I	0.006741948688267315+0.*I	0.+5.359136713784106*^-7*I	-0.010556090299004483+0.*I	0.+5.196953585220254*^-7*I	0.010556090350973955+0.*I	0.-1.5753043936194728*^-6*I	0.003814141664328637+0.*I	0.+6.579765558080766*^-7*I	-0.018471218012428594+0.*I	0.+2.3992537856399846*^-6*I	0.014832891115767584+0.*I	0.-3.9197245171066955*^-6*I	0.01746721228621878+0.*I	0.-4.4603112314520334*^-7*I	-0.07324892118607122+0.*I	0.+0.000011299452482470912*I	0.1346376156854226+0.*I	0.-0.00002187634603749809*I	-0.18197849046143316+0.*I	0.+0.00001730816821848245*I	0.2053160213523815+0.*I	0.+0.000023003264636888117*I	-0.20876221527035055+0.*I	0.-0.000021578688969573927*I	0.20515167419967326+0.*I
0.04564346744218173+0.*I	0.-1249.916315347901*I	-0.17063509897697193+0.*I	0.+2101.3498227750756*I	0.38077008125447953+0.*I	0.-2334.725169761566*I	0.38575740176936385+0.*I	0.+1991.162327761961*I	-0.18664116899316774+0.*I	0.-1319.0275326010183*I	0.05473841573306598+0.*I	0.+626.9283053421467*I	0.007954414801148668+0.*I	0.-134.60126050056476*I	-0.02141454085120509+0.*I	0.-96.85271648053836*I	0.011729269203151371+0.*I	0.+133.23598427422567*I	0.0015943292242714402+0.*I	0.-78.21227584996834*I	-0.0094155568092682+0.*I	0.+78.21227679152409*I	0.017236784488420587+0.*I	0.-55.02370858369022*I	-0.02433348457106066+0.*I	0.-36.38326896661456*I	0.008965888471248684+0.*I	0.+231.45397912255666*I	0.03559405029221252+0.*I	0.-492.32704563702345*I	-0.09278116965706307+0.*I	0.+692.09922178503*I	0.10725267610249856+0.*I	0.-672.134776496826*I	0.012175015240985854+0.*I	0.+343.5628034238648*I	-0.3635761366679622+0.*I	0.+233.3753089094821*I	0.006143586304425908+0.*I	0.-851.4334903636651*I	0.0793481636361717+0.*I	0.+1249.916310783554*I
0.-5.627868293826784*^-6*I	0.08016004255853092+0.*I	0.-2.3881359620263057*^-6*I	-0.2037789090313286+0.*I	0.+0.00002276602686515917*I	0.38575740176936407+0.*I	0.-0.00006134176704209556*I	0.3979078212926395+0.*I	0.+0.000021550984912831663*I	-0.1960567258024356+0.*I	0.-1.945312332588093*^-6*I	0.0535978822433299+0.*I	0.-3.4144758917449057*^-6*I	0.01310203426514408+0.*I	0.+2.104272465230493*^-6*I	-0.02141454085120488+0.*I	0.+3.718161988998759*^-8*I	0.006581649739155645+0.*I	0.-6.953465938055892*^-7*I	0.0027348627140075083+0.*I	0.+4.2186032240486205*^-7*I	-0.0027348626718214585+0.*I	0.-1.4837405522267534*^-7*I	-0.009316512522697823+0.*I	0.+1.7753719012978318*^-6*I	0.014832891115767258+0.*I	0.-3.2958426327646343*^-6*I	0.008312506796488033+0.*I	0.+3.603194878855218*^-7*I	-0.06669991684992144+0.*I	0.+9.724148088851303*^-6*I	0.14245884336457446+0.*I	0.-0.00002202472009272112*I	-0.20185109333510545+0.*I	0.+0.000020658844513399652*I	0.21633477080381977+0.*I	0.+0.0000190494454483132*I	-0.18197849046143275+0.*I	0.-0.000023617623267331068*I	0.12361886623398408+0.*I	0.+0.00001364387260595663*I	-0.08016004312131779+0.*I
0.034516575116348314+0.*I	0.+815.3280762052275*I	0.047016232504174416+0.*I	0.-1517.7535601226896*I	-0.19879158851644352+0.*I	0.+1991.1623277619615*I	0.3979078212926396+0.*I	0.-2135.999142239895*I	0.388492264483371+0.*I	0.+1912.9500519119938*I	-0.19719725929217158+0.*I	0.-1384.5175758484681*I	0.05874550170732473+0.*I	0.+718.4753597246901*I	0.013102034265144169+0.*I	0.-134.60126050056104*I	-0.026562160315200256+0.*I	0.-188.39977086308514*I	0.007722183228891566+0.*I	0.+198.72602752167538*I	0.01215041952327589+0.*I	0.-198.72602873671724*I	-0.03202302239694749+0.*I	0.-10.326257430808278*I	0.023268213424975426+0.*I	0.+323.00103401986274*I	0.03559405029221163+0.*I	0.-583.874100534332*I	-0.10708349461078859+0.*I	0.+666.0422102492279*I	0.11494221392838622+0.*I	0.-528.4324563437998*I	0.029411799729406773+0.*I	0.+223.0490514786748*I	-0.3955991590649095+0.*I	0.+144.83677468715152*I	0.012175015240983411+0.*I	0.-473.4087477601128*I	0.13927569849944077+0.*I	0.+702.4254792158391*I	-0.11604938308204304+0.*I	0.-815.328079656885*I
0.+2.1762107821917674*^-6*I	0.0013727650619924031+0.*I	0.-2.3134872883910285*^-6*I	0.05200355301905928+0.*I	0.-2.886868013514899*^-6*I	-0.18664116899316824+0.*I	0.+0.000021550984912831724*I	0.38849226448337143+0.*I	0.-0.00006040021136116885*I	0.38735173099363557+0.*I	0.+0.000021665038261805284*I	-0.19204963982817652+0.*I	0.-2.4600742789876205*^-6*I	0.058745501707325065+0.*I	0.-3.4144758917448846*^-6*I	0.007954414801148644+0.*I	0.+2.619034411630017*^-6*I	-0.02542162682546436+0.*I	0.-7.687172908357895*^-8*I	0.017137740038160237+0.*I	0.-1.636902274732439*^-6*I	-0.01713774020185019+0.*I	0.+3.350676294917467*^-6*I	0.008283886779616995+0.*I	0.-4.102193243795487*^-6*I	0.017467212286219086+0.*I	0.-2.635623964564302*^-7*I	-0.06669991684992135+0.*I	0.+0.000010348029973193462*I	0.13330413787484402+0.*I	0.-0.000021218369481690204*I	-0.19530208899895513+0.*I	0.+0.000019083540119780285*I	0.2241559984829721+0.*I	0.+0.00001890107139309118*I	-0.20185109333510468+0.*I	0.-0.000020266946972411987*I	0.13463761568542199+0.*I	0.+9.690053417388516*^-6*I	-0.05337631831240048+0.*I	0.-2.038934297750497*^-6*I	-0.0013727648443713724+0.*I
-0.03314381005435696+0.*I	0.-267.83724477479*I	0.006360085576877839+0.*I	0.+705.140581192116*I	0.06415397254233374+0.*I	0.-1319.0275326010187*I	-0.1960567258024356+0.*I	0.+1912.9500519119947*I	0.3873517309936351+0.*I	0.-2201.489185487343*I	0.3924993504576307+0.*I	0.+2004.4971062945397*I	-0.1920496398281768+0.*I	0.-1384.5175758484652*I	0.05359788224333034+0.*I	0.+626.9283053421431*I	0.009094948290883975+0.*I	0.-69.11121725311398*I	-0.016006070016195473+0.*I	0.-110.18749501311714*I	0.0049873205148838196+0.*I	0.+110.18749451438508*I	0.0060314289365546725+0.*I	0.+179.29871386683826*I	0.027904512466324083+0.*I	0.-557.8170889985242*I	-0.09278116965706085+0.*I	0.+757.5892651465339*I	0.11494221392838666+0.*I	0.-619.9795112411108*I	0.015109474775678144+0.*I	0.+196.99203994286833*I	-0.3879096212390243+0.*I	0.+288.53909484017544*I	0.029411799729405885+0.*I	0.-593.9224997053034*I	0.10725267610249811+0.*I	0.+613.8869449935056*I	-0.11001795414547977+0.*I	0.-437.3033370533345*I	0.05992753486327107+0.*I	0.+267.8372480891712*I
0.+1.138170223243897*^-6*I	-0.02815648953947155+0.*I	0.+1.6774787307032294*^-6*I	0.01851050510015258+0.*I	0.-3.5285292407184884*^-6*I	0.054738415733065954+0.*I	0.-1.945312332588107*^-6*I	-0.19719725929217166+0.*I	0.+0.00002166503826180527*I	0.3924993504576306+0.*I	0.-0.00006091497330756834*I	0.39249935045763046+0.*I	0.+0.00002166503826180529*I	-0.1971972592921715+0.*I	0.-1.945312332588109*^-6*I	0.05473841573306563+0.*I	0.-3.528529240718461*^-6*I	0.01851050510015284+0.*I	0.+1.6774787307031677*^-6*I	-0.0281564895394719+0.*I	0.+1.138170223244021*^-6*I	0.02815648965328876+0.*I	0.-3.95381918857287*^-6*I	0.009645984607066881+0.*I	0.+1.3117419971630467*^-6*I	-0.07324892118607138+0.*I	0.+9.541679362162545*^-6*I	0.14245884336457462+0.*I	0.-0.000021842251366031965*I	-0.19530208899895504+0.*I	0.+0.000019707422004122175*I	0.2150012929932416+0.*I	0.+0.000019707422004122005*I	-0.19530208899895515+0.*I	0.-0.000021842251366031497*I	0.14245884336457448+0.*I	0.+9.541679362161913*^-6*I	-0.07324892118607142+0.*I	0.+1.3117419971631558*^-6*I	0.00964598460706682+0.*I	0.-3.9538191885731955*^-6*I	0.028156489653288527+0.*I
