0.-0.00008232232905612283*I	-0.5732232958645289+0.*I	0.+0.00002499999946966995*I	0.2499999918933989+0.*I	0.-2.803300626501886*^-13*I	-0.0732233008645286+0.*I	0.-7.322329806122801*^-6*I	0.07322330159676166+0.*I	0.+0.00001464465996579898*I	-0.17677669102887014+0.*I	0.-0.00003232232878835592*I	0.32322330147113+0.*I	0.+0.000039644659465798974*I	-0.4267766959032383+0.*I
-0.5732232958645288+0.*I	0.-1035.5340016434127*I	-0.32322330397113+0.*I	0.+1464.4661294225984*I	0.17677669102887014+0.*I	0.-1035.5339016434148*I	-0.07322330086452863+0.*I	0.+1035.5338943210845*I	-0.030330088567579808+0.*I	0.-428.9322101015147*I	-0.10355338145113885+0.*I	0.-428.93216010151633*I	0.46966990143242043+0.*I	0.+1035.533944321083*I
0.+0.00002499999946967*I	-0.32322330397112997+0.*I	0.-0.000057322329866782995*I	-0.3964466048356588+0.*I	0.+0.000017677669383217103*I	0.1767766910288702+0.*I	0.-2.803300753556832*^-13*I	-0.17677669102887003+0.*I	0.-0.000017677668822556935*I	0.21966991203902164+0.*I	0.+0.000021966990643242008*I	-0.2803300854609784+0.*I	0.+7.32233067744308*^-6*I	0.32322330147113+0.*I
0.24999999189339878+0.*I	0.+1464.4661294225987*I	-0.3964466048356587+0.*I	0.-2071.067903286827*I	-0.3964466048356585+0.*I	0.+1464.466129422599*I	0.24999999189339867+0.*I	0.-1464.4661044225995*I	-0.10355338145113877+0.*I	0.+606.601734219568*I	0.43933981286484075+0.*I	0.+606.6017342195681*I	-0.10355338145113861+0.*I	0.-1464.4661044225995*I
0.-2.803300842495291*^-13*I	0.17677669102887011+0.*I	0.+0.000017677669383217096*I	-0.39644660483565863+0.*I	0.-0.00005732232986678296*I	-0.3232233039711299+0.*I	0.+0.000024999999469669956*I	0.3232233014711298+0.*I	0.+7.322330677443043*^-6*I	-0.28033008546097843+0.*I	0.+0.000021966990643242022*I	0.21966991203902161+0.*I	0.-0.00001767766882255695*I	-0.1767766910288701+0.*I
-0.07322330086452869+0.*I	0.-1035.533901643415*I	0.1767766910288702+0.*I	0.+1464.4661294225987*I	-0.3232233039711301+0.*I	0.-1035.5340016434127*I	-0.5732232958645286+0.*I	0.+1035.533944321083*I	0.4696699014324205+0.*I	0.-428.9321601015164*I	-0.10355338145113882+0.*I	0.-428.9322101015148*I	-0.03033008856757982+0.*I	0.+1035.5338943210845*I
0.-7.322329806122796*^-6*I	-0.07322330086452856+0.*I	0.-2.8033006879117785*^-13*I	0.24999999189339878+0.*I	0.+0.000024999999469669945*I	-0.5732232958645287+0.*I	0.-0.0000823223290561228*I	-0.42677669590323836+0.*I	0.+0.000039644659465798974*I	0.32322330147113004+0.*I	0.-0.000032322328788355916*I	-0.17677669102887011+0.*I	0.+0.00001464465996579896*I	0.07322330159676156+0.*I
0.07322330159676153+0.*I	0.+1035.5338943210845*I	-0.17677669102887003+0.*I	0.-1464.466104422599*I	0.3232233014711299+0.*I	0.+1035.5339443210833*I	-0.42677669590323825+0.*I	0.-1035.5339869987524*I	-0.4696699053968864+0.*I	0.+428.93219242384635*I	0.10355338468337168+0.*I	0.+428.9321924238456*I	0.030330087103113815+0.*I	0.-1035.5338869987543*I
0.+0.000014644659965798947*I	-0.03033008856757978+0.*I	0.-0.00001767766882255693*I	-0.10355338145113904+0.*I	0.+7.322330677443022*^-6*I	0.4696699014324206+0.*I	0.+0.00003964465946579904*I	-0.4696699053968865+0.*I	0.-0.00008661165000548765*I	-0.3661165207135146+0.*I	0.+0.00004267766725669313*I	0.13388347178648566+0.*I	0.-0.000011611651255487562*I	0.030330087103113773+0.*I
-0.1767766910288702+0.*I	0.-428.93221010151495*I	0.21966991203902167+0.*I	0.+606.601734219568*I	-0.2803300854609785+0.*I	0.-428.93216010151644*I	0.3232233014711301+0.*I	0.+428.9321924238466*I	-0.3661165207135148+0.*I	0.-177.66960215106016*I	-0.33578643361040095+0.*I	0.-177.66950215106198*I	0.1338834717864855+0.*I	0.+428.93219242384583*I
0.-0.00003232232878835595*I	-0.10355338145113896+0.*I	0.+0.000021966990643242052*I	0.4393398128648407+0.*I	0.+0.000021966990643242015*I	-0.10355338145113879+0.*I	0.-0.0000323223287883559*I	0.10355338468337161+0.*I	0.+0.000042677667256693066*I	-0.3357864336104009+0.*I	0.-0.00009822330126097522*I	-0.3357864336104008+0.*I	0.+0.00004267766725669309*I	0.10355338468337177+0.*I
0.3232233014711301+0.*I	0.-428.9321601015165*I	-0.28033008546097843+0.*I	0.+606.6017342195682*I	0.21966991203902161+0.*I	0.-428.93221010151507*I	-0.17677669102887011+0.*I	0.+428.9321924238459*I	0.13388347178648552+0.*I	0.-177.669502151062*I	-0.33578643361040084+0.*I	0.-177.66960215106027*I	-0.3661165207135147+0.*I	0.+428.9321924238467*I
0.+0.000039644659465798954*I	0.4696699014324204+0.*I	0.+7.322330677443085*^-6*I	-0.10355338145113868+0.*I	0.-0.000017677668822556955*I	-0.03033008856757982+0.*I	0.+0.000014644659965798981*I	0.03033008710311383+0.*I	0.-0.000011611651255487616*I	0.13388347178648546+0.*I	0.+0.00004267766725669311*I	-0.36611652071351475+0.*I	0.-0.00008661165000548768*I	-0.46966990539688636+0.*I
-0.4267766959032383+0.*I	0.+1035.533944321083*I	0.32322330147112993+0.*I	0.-1464.466104422599*I	-0.17677669102887003+0.*I	0.+1035.5338943210845*I	0.07322330159676158+0.*I	0.-1035.5338869987543*I	0.03033008710311383+0.*I	0.+428.93219242384544*I	0.10355338468337161+0.*I	0.+428.93219242384635*I	-0.4696699053968862+0.*I	0.-1035.5339869987524*I
