-0.11955918193764097-0.00009230832887192851*I	-0.5924282044826249-0.00003073782507752495*I	0.03661923638385599+0.000028762212912812543*I	0.2682403145340695+0.000030260053200408717*I	0.000934404624908426+2.298225988651637*^-6*I	-0.08221969644240654-0.000015533104427697225*I	-0.012445160573534904-0.000012694830252769893*I	0.0804773752315946+0.000012511312134955951*I	0.023711991854826912+0.00002249415147482314*I	-0.18588980167399852-0.000014311756671809409*I	-0.050670967282919394-0.00004538500356492791*I	0.32931458016607384+8.166405323295594*^-6*I	0.06015577130567319+0.00005069754541398407*I	-0.42431007175781194+5.858740841690853*^-6*I
-0.5924282044826249-0.000030737825077525006*I	0.59559886235135-0.0006483963084984012*I	-0.3241878899485553-4.777718771161674*^-7*I	-0.9869085084674561+0.0008067144838738635*I	0.18602061809166304+0.000014726948772711489*I	0.7414347722414608-0.0005353545205652276*I	-0.08221969644240643-0.000015533104427697225*I	-0.7529455281900873+0.0005249579163011093*I	-0.023192729999997434+0.000013732659890843815*I	0.2715166212861331-0.00025069612867129005*I	-0.12481553604199412-0.00003640540454892264*I	0.3459233415710857-0.00019080385243311424*I	0.49743271289088664+0.000044762971242511413*I	-0.6785388079051348+0.0005848501925392851*I
0.03661923638385602+0.00002876221291281258*I	-0.3241878899485553-4.777718771162013*^-7*I	-0.08200554092887657-0.0000612478899704644*I	-0.4064075863909617-0.000016010876304813467*I	0.025108480435229553+0.000018365608648694336*I	0.186020618091663+0.00001472694877271147*I	0.0009344046249084121+2.2982259886515895*^-6*I	-0.1858898016739985-0.000014311756671809414*I	-0.02695897542809251-0.000022890852090104756*I	0.22390215372367+6.365960786442142*^-6*I	0.03319679587758066+0.000027806693323879327*I	-0.28088529326573664-2.86610506823014*^-7*I	0.009484804022753784+5.312541849056195*^-6*I	0.3293145801660739+8.166405323295566*^-6*I
0.26824031453406944+0.000030260053200408805*I	-0.9869085084674563+0.0008067144838738638*I	-0.4064075863909617-0.00001601087630481352*I	1.3370336345928115-0.001183750829063629*I	-0.40640758639096164-0.00001601087630481345*I	-0.9869085084674563+0.000806714483873864*I	0.2682403145340695+0.000030260053200408764*I	1.0244621494762207-0.0007756540449723996*I	-0.124815536041994-0.00003640540454892261*I	-0.407022186619002+0.0003341540638679953*I	0.4742399828908893+0.000058495631133355215*I	-0.407022186619002+0.0003341540638679954*I	-0.12481553604199416-0.000036405404548922615*I	1.024462149476221-0.0007756540449723996*I
0.0009344046249084052+2.2982259886515912*^-6*I	0.18602061809166304+0.000014726948772711506*I	0.025108480435229542+0.000018365608648694322*I	-0.4064075863909617-0.000016010876304813473*I	-0.08200554092887656-0.0000612478899704644*I	-0.3241878899485554-4.777718771161954*^-7*I	0.036619236383856016+0.000028762212912812584*I	0.32931458016607384+8.166405323295563*^-6*I	0.009484804022753812+5.312541849056182*^-6*I	-0.28088529326573664-2.8661050682300064*^-7*I	0.03319679587758068+0.000027806693323879304*I	0.22390215372367003+6.365960786442127*^-6*I	-0.026958975428092516-0.000022890852090104746*I	-0.18588980167399843-0.000014311756671809442*I
-0.08221969644240638-0.000015533104427697265*I	0.7414347722414609-0.0005353545205652276*I	0.18602061809166293+0.000014726948772711504*I	-0.9869085084674563+0.0008067144838738633*I	-0.32418788994855524-4.77771877116225*^-7*I	0.59559886235135-0.000648396308498401*I	-0.5924282044826249-0.000030737825077524905*I	-0.6785388079051349+0.0005848501925392851*I	0.49743271289088664+0.000044762971242511325*I	0.3459233415710858-0.0001908038524331142*I	-0.12481553604199405-0.00003640540454892259*I	0.27151662128613335-0.00025069612867128994*I	-0.023192729999997427+0.000013732659890843815*I	-0.7529455281900874+0.0005249579163011093*I
-0.012445160573534847-0.000012694830252769834*I	-0.08221969644240648-0.000015533104427697245*I	0.0009344046249083922+2.2982259886515802*^-6*I	0.26824031453406955+0.000030260053200408737*I	0.036619236383856+0.000028762212912812598*I	-0.5924282044826249-0.00003073782507752494*I	-0.11955918193764098-0.00009230832887192858*I	-0.4243100717578119+5.858740841690846*^-6*I	0.06015577130567324+0.00005069754541398411*I	0.32931458016607396+8.166405323295577*^-6*I	-0.05067096728291943-0.00004538500356492792*I	-0.1858898016739985-0.000014311756671809426*I	0.023711991854826888+0.00002249415147482313*I	0.08047737523159455+0.000012511312134955989*I
0.08047737523159457+0.000012511312134955987*I	-0.7529455281900873+0.0005249579163011093*I	-0.1858898016739984-0.000014311756671809448*I	1.0244621494762207-0.0007756540449723991*I	0.3293145801660739+8.166405323295588*^-6*I	-0.678538807905135+0.0005848501925392851*I	-0.424310071757812+5.8587408416908305*^-6*I	0.6191353972731672-0.0006264609759972297*I	-0.489010909977847-0.00003164973775398627*I	-0.29981930116447597+0.0002248786071949829*I	0.11772160516088571+0.000024984407321540703*I	-0.2975411920893175+0.00023010350256983685*I	0.026512406610258082-8.212279498885877*^-6*I	0.7642123594713793-0.0005151585950790558*I
0.02371199185482687+0.000022494151474823128*I	-0.02319272999999744+0.000013732659890843842*I	-0.026958975428092516-0.000022890852090104743*I	-0.12481553604199404-0.00003640540454892255*I	0.009484804022753798+5.312541849056178*^-6*I	0.4974327128908867+0.00004476297124251134*I	0.06015577130567325+0.00005069754541398409*I	-0.4890109099778471-0.00003164973775398625*I	-0.12861729553759804-0.00010402959969732689*I	-0.3712893048169614-6.665330432445557*^-6*I	0.06715198950700269+0.000060654981106032176*I	0.14423401177114376+0.0000167721278226548*I	-0.020000254108162842-0.00002099262994364139*I	0.026512406610258055-8.212279498885908*^-6*I
-0.18588980167399838-0.000014311756671809436*I	0.27151662128613324-0.00025069612867129016*I	0.22390215372366987+6.365960786442145*^-6*I	-0.4070221866190019+0.0003341540638679953*I	-0.2808852932657366-2.866105068229892*^-7*I	0.3459233415710857-0.00019080385243311424*I	0.32931458016607384+8.166405323295573*^-6*I	-0.2998193011644759+0.00022487860719498304*I	-0.37128930481696115-6.66533043244553*^-6*I	0.02177490401937418-0.00017147886623240989*I	-0.34477689820670315-0.000014877609931331468*I	0.16685186621758644-0.00006017648531423624*I	0.14423401177114378+0.00001677212782265488*I	-0.2975411920893174+0.00023010350256983699*I
-0.050670967282919394-0.000045385003564927874*I	-0.12481553604199408-0.000036405404548922574*I	0.03319679587758069+0.000027806693323879297*I	0.4742399828908892+0.00005849563113335515*I	0.033196795877580704+0.000027806693323879338*I	-0.12481553604199408-0.000036405404548922574*I	-0.05067096728291938-0.00004538500356492792*I	0.11772160516088566+0.000024984407321540713*I	0.06715198950700269+0.00006065498110603224*I	-0.3447768982067032-0.000014877609931331415*I	-0.14861754964576082-0.0001250222296409682*I	-0.3447768982067031-0.000014877609931331414*I	0.06715198950700267+0.000060654981106032136*I	0.11772160516088567+0.00002498440732154072*I
0.3293145801660739+8.166405323295563*^-6*I	0.34592334157108573-0.0001908038524331143*I	-0.2808852932657367-2.8661050682298116*^-7*I	-0.407022186619002+0.00033415406386799523*I	0.22390215372367+6.365960786442122*^-6*I	0.2715166212861332-0.0002506961286712901*I	-0.1858898016739985-0.000014311756671809415*I	-0.29754119208931734+0.00023010350256983696*I	0.14423401177114373+0.000016772127822654853*I	0.16685186621758658-0.000060176485314236255*I	-0.3447768982067032-0.000014877609931331437*I	0.021774904019374222-0.00017147886623240989*I	-0.3712893048169612-6.66533043244553*^-6*I	-0.2998193011644759+0.000224878607194983*I
0.06015577130567317+0.000050697545413984084*I	0.4974327128908866+0.000044762971242511386*I	0.009484804022753823+5.312541849056176*^-6*I	-0.12481553604199408-0.00003640540454892263*I	-0.026958975428092544-0.00002289085209010477*I	-0.02319272999999744+0.000013732659890843856*I	0.023711991854826885+0.000022494151474823148*I	0.026512406610258-8.212279498885938*^-6*I	-0.020000254108162863-0.000020992629943641323*I	0.1442340117711438+0.000016772127822654846*I	0.06715198950700263+0.00006065498110603218*I	-0.37128930481696115-6.665330432445513*^-6*I	-0.12861729553759796-0.00010402959969732683*I	-0.48901090997784685-0.0000316497377539863*I
-0.4243100717578119+5.858740841690902*^-6*I	-0.6785388079051349+0.0005848501925392852*I	0.32931458016607373+8.16640532329554*^-6*I	1.0244621494762207-0.0007756540449723995*I	-0.1858898016739983-0.00001431175667180943*I	-0.7529455281900873+0.0005249579163011093*I	0.08047737523159454+0.000012511312134955987*I	0.7642123594713792-0.0005151585950790561*I	0.026512406610258166-8.212279498885918*^-6*I	-0.2975411920893174+0.00023010350256983696*I	0.11772160516088581+0.000024984407321540757*I	-0.2998193011644759+0.0002248786071949829*I	-0.489010909977847-0.00003164973775398631*I	0.6191353972731672-0.0006264609759972297*I
