-0.31238662468541634-1250.655283211513*I	-0.49993964840780336-0.6034783961109156*I	-0.18749267588293606+1250.0517548214375*I	2.49616810554798*^-9+0.3535033905919934*I	0.18745732804012505-1249.6982514308454*I	0.000010354082746744098-0.10352839567741512*I	-0.1874366211176266+1249.5947230362035*I	-0.3124064475042019+1249.698232688219*I	-0.24993964965528903+0.10347841137058822*I	0.31241679660411137-1249.948207680027*I	0.49989393898736145-0.35340341887276483*I	0.1874417945467144+1250.3017110776887*I	-0.24998963966561405+0.6033784193034535*I	-0.6873814479562839-1250.0518360540648*I
-0.4999396484100579-0.6034783961097787*I	0.00003536033456645604-0.85345340516551*I	-0.499939645914859-0.2499750055198433*I	-0.4999292843316794+0.00004998232183171404*I	0.000010356584947357472+0.24997499491314557*I	0.00003535533506522637+0.1464465957012635*I	0.000010354090547670669-0.10352839567622141*I	-0.000014648404949885174-0.2499749903423094*I	-4.9964633680454895*^-9-0.1464465961306587*I	0.49987928808207027+0.10347841792560075*I	0.4998585886517936+7.072066427104082*^-9*I	-0.000020724417194029066+0.6033784233592883*I	-4.996464561535241*^-9+0.8533534197345034*I	-0.4999146609050135+0.24992501509103704*I
-0.18749267588486873+1250.051754821439*I	-0.4999396459171521-0.2499750055186496*I	-0.31242197253163795-1250.3017798209223*I	-0.4999292918261191-0.35350340119859464*I	-0.18747196895446905+1249.9482264267945*I	0.00001035659249737364+0.24997499491433928*I	0.18745732804762838-1249.6982514308445*I	0.31241679659808597-1249.9482076800261*I	0.24995428931845254-0.24992500750204272*I	0.18745214363633522+1250.0517360858819*I	-0.000035350336235612234+0.3534534118036964*I	-0.1875228568064813-1249.6983326564023*I	0.2499042993272269+0.2499750004304815*I	0.1874417945500113+1250.30171107769*I
2.4957671485026367*^-9+0.3535033905921603*I	-0.49992928433562156+0.000049982321836474636*I	-0.49992929182963053-0.35350340119875734*I	0.0000707156696321419-0.7070068094687574*I	-0.4999292918197398-0.353503401198433*I	-0.49992928431674954+0.000049982321831960885*I	2.504862095520366*^-9+0.35350339059183333*I	0.4998939364824082+0.35345340827025185*I	0.49985858863715293+7.072066796759424*^-9*I	-0.000035372832826396916+0.35340343301931043*I	-9.992927990495608*^-9+0.7069068236083935*I	-0.000035372823845136736+0.3534034330189805*I	0.4998585886557976+7.072062338520091*^-9*I	0.4998939364921853+0.3534534082705734*I
0.18745732804165982-1249.698251430847*I	0.000010356583175052947+0.24997499491195185*I	-0.1874719689579365+1249.9482264267942*I	-0.4999292918233365-0.3535034011985958*I	-0.31242197252538517-1250.301779820922*I	-0.4999396459078298-0.2499750055208665*I	-0.18749267588174234+1250.0517548214364*I	0.18744179454381538+1250.30171107769*I	0.2499042993177909+0.24997500043292575*I	-0.18752285681227931-1249.6983326563998*I	-0.00003535033901846951+0.3534534118036978*I	0.1874521436394616+1250.0517360858842*I	0.24995428932766117-0.24992500749948476*I	0.31241679660143973-1249.948207680026*I
0.000010354087596725625-0.10352839568162153*I	0.0000353553350648933+0.14644659569580654*I	0.000010356587898566194+0.24997499491308872*I	-0.49992928432645556+0.000049982321829116955*I	-0.4999396459125862-0.2499750055195591*I	0.00003536033456477683-0.8534534051698301*I	-0.49993964841233196-0.603478396114042*I	-0.4999146609072853+0.24992501509103704*I	-4.99646247986707*^-9+0.8533534197389372*I	-0.000020724420143588065+0.603378423363722*I	0.4998585886465686+7.0720696714198406*^-9*I	0.49987928807979787+0.10347841793094403*I	-4.996462549256009*^-9-0.1464465961254291*I	-0.000014648407899997551-0.24997499034219572*I
-0.18743662111455706+1249.5947230362008*I	0.000010354092182751629-0.10352839568031413*I	0.18745732804632098-1249.6982514308456*I	2.498836706998908*^-9+0.35350339059199226*I	-0.1874926758865172+1250.0517548214377*I	-0.49993964841723937-0.6034783961129051*I	-0.3123866246911575-1250.6552832115156*I	-0.6873814479527027-1250.0518360540652*I	-0.24998963965629173+0.6033784193056704*I	0.1874417945497271+1250.301711077691*I	0.49989393898469214-0.35340341887276344*I	0.3124167965983702-1249.9482076800243*I	-0.24993964966461135+0.10347841137348723*I	-0.31240644751034097+1249.6982326882187*I
-0.31240644750573665+1249.6982326882207*I	-0.000014648403180217429-0.24997499034105886*I	0.3124167966015534-1249.9482076800264*I	0.49989393648608066+0.35345340827041305*I	0.18744179454375853+1250.301711077691*I	-0.49991466091239545+0.2499250150921739*I	-0.6873814479575913-1250.0518360540648*I	-0.06246160343982865-1250.3018298073018*I	-0.2500499725015288-0.24999999939740292*I	0.06243234786222729+1249.698351398508*I	0.0000706906801628826-0.35335343655093476*I	-0.06246767071326076-1250.0516548562762*I	-0.2499499925093005+0.24990001353404523*I	-0.4373616223713839+1249.9481764379168*I
-0.24993964966008708+0.103478411375022*I	-4.996462771300614*^-9-0.1464465961253154*I	0.2499542893232368-0.24992500750090585*I	0.4998585886466661+7.072069433314588*^-9*I	0.24990429932272198+0.2499750004316752*I	-4.996462688033887*^-9+0.8533534197395056*I	-0.2499896396611587+0.6033784193073188*I	-0.25004997250662675-0.24999999939615236*I	-0.000035332845528410206-0.8534034237006836*I	-0.2499792818275245-0.6033534359499981*I	-0.4997879129611232+0.00004998939089676537*I	-0.24987930182621632-0.10345342301872051*I	-0.00003533284602826037+0.14639660716102298*I	-0.24994999250476177+0.24990001353535263*I
0.3124167966015534-1249.9482076800246*I	0.4998792880842302+0.10347841792963663*I	0.1874521436408827+1250.051736085883*I	-0.00003537282670849906+0.3534034330191501*I	-0.18752285681085823-1249.6983326564011*I	-0.000020724424643958628+0.6033784233625283*I	0.187441794543588+1250.3017110776918*I	0.06243234786074936+1249.6983513985083*I	-0.24997928182290252-0.603353435948236*I	-0.06249692629364745-1250.655133265069*I	-0.49992927433352446-0.3534534224117992*I	-0.43739694522514583+1249.5948729801487*I	-0.2498793018305605-0.1034534230171289*I	-0.062467670714625-1250.0516548562744*I
