0.2311799237312805-0.016855875465492564*I	0.6227936434047994-0.06446475381655585*I	-0.06926002292141434+0.00003276010884756905*I	-0.27523628375473724+0.06445237755052735*I	-0.00229496561706213+0.016752381682664994*I	0.05031224425724514-4.608734656490367*^-6*I	0.015376148663072456-0.016758611178101394*I	0.03520837644076037-0.0644266194757436*I	-0.006228413450422267+4.169276764004557*^-6*I	-0.03286425356957902+0.06442388852147792*I	-0.0023098500888159494+0.01674932816417721*I	0.0322653674793031-0.060068832213782966*I	0.010692838750213724-0.0323704510765087*I	-0.003963509951363386+4.437807569360273*^-6*I	-0.005494937443365054+0.03236783198070789*I	-0.0815244979067243+0.06007245168922743*I	-0.031071573430286766+0.000017769086383268593*I	0.22432902367522436-0.06009192008181621*I	0.09168607601089897-0.03241648289268794*I	-0.36556496233361885+0.000027819896621080685*I	-0.1174729405142356+0.032427512453195126*I	0.4373114511777869+0.06005910820315465*I
0.6227936434048001-0.06446475381655564*I	-0.11393920641029236-0.2480327846277909*I	0.34755735965006096-0.000012376266028948305*I	0.4715712275843314+0.24800980643307924*I	-0.22492403949749162+0.06444776881587111*I	-0.5361669405363547-0.00014260034070361582*I	0.08552062069800531-0.06443122821040034*I	0.33803658792217744-0.24769290579182238*I	0.0023441228711813906-2.7309542655672777*^-6*I	-0.11748039826236806+0.2477284981822543*I	-0.03286425356957889+0.06442388852147787*I	0.1089421347231299-0.23097500074131308*I	0.061166111097518634-0.12448828292769164*I	-0.21994671798639737-0.000036536850828198264*I	-0.12069638429884792+0.12450350897254062*I	0.2203592708728384+0.23107483473575205*I	0.0924922815112539-0.000014859657932069653*I	0.0061219074595580516-0.23108829379629933*I	0.13400034509634354-0.1245164777357226*I	-0.2672671089026494-0.00001499537042078068*I	-0.5510471545606311+0.1245516819163321*I	0.27585910722015866+0.23120966927114606*I
-0.0692600229214145+0.00003276010884768029*I	0.3475573596500623-0.000012376266028539683*I	0.15962493519280405-0.00007073367398010698*I	0.3978696039073069-0.00001698500068536179*I	-0.05617883987540429+0.00002653061341118201*I	-0.18971566305673218+0.00002114934012717794*I	0.0068527695955879556-2.0602186724427096*^-6*I	0.052656367128426675-7.33968892218184*^-6*I	0.006837885123833935-5.113737160167391*^-6*I	0.002344122871181158-2.730954265773493*^-6*I	-0.0062284134504222545+4.169276763947975*^-6*I	-0.0039635099513635275+4.437807569442604*^-6*I	0.005197901306848611-2.619095800756349*^-6*I	-0.05322264037878477+8.057283013928774*^-6*I	-0.02587367212343831+0.0000151499905824246*I	0.13884101581713645-0.000015030585019390004*I	0.05511956513724753-0.00003088182559673742*I	-0.22276043656511868+8.35150403263141*^-6*I	-0.0568584379336238+0.000028798646890551465*I	0.2960755125193923-4.991982040206912*^-6*I	-0.025786864503336563+0.000011029560507162093*I	-0.36556496233361924+0.000027819896621077967*I
-0.2752362837547383+0.06445237755052707*I	0.47157122758433123+0.24800980643307918*I	0.39786960390730763-0.00001698500068499686*I	-0.6501061469466483-0.2481753849684956*I	0.4330779803480671-0.06444360447642915*I	0.8096078155065082+0.0003169006412570332*I	-0.22257991662631094+0.06444503786160527*I	-0.6536473387987252+0.2475858978415501*I	0.05265636712842676-7.339688922455791*^-6*I	0.3380365879221778-0.24769290579182218*I	0.0352083764407601-0.06442661947574349*I	-0.32888885270952745+0.23093846389048486*I	-0.12069638429884821+0.1245035089725405*I	0.32930140559596904+0.00009983399443945463*I	0.15365839260877276-0.12450314258562344*I	-0.21382481052683858-0.2311248306471272*I	0.013303960797495068-0.00001296876318218512*I	-0.046907838029810286+0.23105983936533203*I	-0.4585548730493767+0.12453682225840045*I	0.281981014679717+0.00012137547484745341*I	0.13400034509634337-0.12451647773572262*I	-0.5431262161228083-0.23122466464156666*I
-0.002294965617062358+0.016752381682664838*I	-0.2249240394974924+0.0644477688158707*I	-0.056178839875404056+0.000026530613411298174*I	0.4330779803480677-0.06444360447642884*I	0.16877267040545396-0.016825175575317597*I	0.40021372677848827-0.000019715954951072235*I	-0.06471710341464261+0.01678002805435246*I	-0.2225799166263106+0.06444503786160521*I	0.0068527695955880475-2.0602186724995285*^-6*I	0.08552062069800549-0.0644312282104003*I	0.015376148663072322-0.01675861117810138*I	-0.0815244979067245+0.06007245168922764*I	-0.036566510873651745+0.03238560106709124*I	0.13884101581713612-0.000015030585019309734*I	0.06581240388746074-0.032401332902105506*I	-0.1944585790371791-0.06005604290218105*I	-0.05166053662677474+0.000026179551089700046*I	0.2105875046613046+0.06007189751475678*I	-0.06235337537698856+0.03239663062759847*I	-0.22276043656511896+8.351504032579158*^-6*I	0.06061450258061229-0.03239871380630467*I	0.2243290236752245-0.06009192008181615*I
0.050312244257245516-4.608734656660668*^-6*I	-0.5361669405363559-0.0001426003407042652*I	-0.1897156630567322+0.000021149340127187195*I	0.8096078155065096+0.00031690064125752*I	0.4002137267784886-0.00001971595495088277*I	-0.7675865452090184-0.0004468867862413321*I	0.40021372677848827-0.000019715954950961403*I	0.8096078155065098+0.00031690064125719573*I	-0.1897156630567318+0.00002114934012718123*I	-0.5361669405363564-0.00014260034070397284*I	0.05031224425724536-4.608734656577726*^-6*I	0.5492481235823667+0.0001363708452675373*I	0.09249228151125491-0.000014859657932099197*I	-0.3227669452499696-0.00014982990581448224*I	0.013303960797494662-0.000012968763181852813*I	0.06203429669332007+0.00008483862401903857*I	-0.39738876195185724+0.00004853933070843308*I	0.06203429669332005+0.00008483862401873397*I	0.013303960797494654-0.000012968763182012624*I	-0.32276694524996996-0.00014982990581451335*I	0.09249228151125491-0.000014859657931948385*I	0.5492481235823667+0.0001363708452678089*I
0.01537614866307257-0.016758611178101263*I	0.08552062069800587-0.0644312282104002*I	0.006852769595587918-2.0602186725627036*^-6*I	-0.22257991662631108+0.0644450378616051*I	-0.06471710341464254+0.016780028054352525*I	0.40021372677848865-0.00001971595495072269*I	0.168772670405454-0.016825175575317555*I	0.4330779803480672-0.06444360447642904*I	-0.05617883987540423+0.000026530613411228176*I	-0.22492403949749223+0.06444776881587093*I	-0.002294965617062083+0.016752381682664973*I	0.22432902367522428-0.060091920081816325*I	0.06061450258061213-0.03239871380630471*I	-0.22276043656511893+8.351504032546598*^-6*I	-0.06235337537698841+0.03239663062759849*I	0.2105875046613046+0.06007189751475669*I	-0.051660536626775014+0.000026179551089633665*I	-0.19445857903717914-0.06005604290218123*I	0.06581240388746093-0.03240133290210553*I	0.1388410158171362-0.00001503058501932231*I	-0.03656651087365199+0.032385601067091235*I	-0.08152449790672481+0.06007245168922755*I
0.03520837644076056-0.06442661947574325*I	0.33803658792217833-0.24769290579182188*I	0.05265636712842664-7.339688922637123*^-6*I	-0.6536473387987264+0.24758589784155008*I	-0.22257991662631108+0.06444503786160552*I	0.8096078155065097+0.00031690064125808293*I	0.4330779803480674-0.06444360447642905*I	-0.6501061469466503-0.24817538496849617*I	0.3978696039073067-0.000016985000685174967*I	0.4715712275843319+0.24800980643307988*I	-0.2752362837547371+0.06445237755052749*I	-0.5431262161228082-0.2312246646415673*I	0.13400034509634312-0.12451647773572272*I	0.2819810146797173+0.00012137547484723779*I	-0.45855487304937587+0.12453682225840028*I	-0.046907838029810515+0.23105983936533178*I	0.013303960797494229-0.0000129687631819827*I	-0.21382481052683877-0.2311248306471279*I	0.1536583926087739-0.12450314258562382*I	0.3293014055959695+0.0000998339944391021*I	-0.12069638429884916+0.12450350897254053*I	-0.32888885270952833+0.23093846389048456*I
-0.006228413450422208+4.169276763955361*^-6*I	0.002344122871181505-2.730954265758382*^-6*I	0.006837885123834007-5.113737160170752*^-6*I	0.052656367128426494-7.339688922220302*^-6*I	0.0068527695955880085-2.060218672449198*^-6*I	-0.189715663056732+0.000021149340127179768*I	-0.056178839875404264+0.00002653061341118907*I	0.39786960390730713-0.00001698500068531975*I	0.15962493519280396-0.00007073367398010323*I	0.34755735965006157-0.000012376266028541337*I	-0.06926002292141463+0.000032760108847676*I	-0.3655649623336185+0.00002781989662107832*I	-0.025786864503336393+0.000011029560507166294*I	0.2960755125193929-4.991982040245998*^-6*I	-0.056858437933623655+0.00002879864689053435*I	-0.22276043656511899+8.351504032589583*^-6*I	0.055119565137247424-0.00003088182559673802*I	0.13884101581713648-0.000015030585019355394*I	-0.02587367212343852+0.000015149990582441134*I	-0.05322264037878497+8.057283013950499*^-6*I	0.005197901306848435-2.619095800766066*^-6*I	-0.003963509951363702+4.437807569428835*^-6*I
-0.032864253569580504+0.06442388852147769*I	-0.11748039826237043+0.2477284981822543*I	0.002344122871182301-2.730954265431671*^-6*I	0.33803658792217944-0.24769290579182243*I	0.08552062069800505-0.06443122821040063*I	-0.5361669405363576-0.0001426003407046033*I	-0.2249240394974921+0.06444776881587105*I	0.4715712275843333+0.24800980643307996*I	0.3475573596500616-0.000012376266028814772*I	-0.1139392064102929-0.2480327846277918*I	0.6227936434047993-0.06446475381655606*I	0.2758591072201591+0.23120966927114672*I	-0.5510471545606308+0.12455168191633217*I	-0.26726710890265043-0.000014995370420631086*I	0.13400034509634257-0.12451647773572251*I	0.006121907459558728-0.23108829379629914*I	0.09249228151125531-0.000014859657932176176*I	0.22035927087283877+0.231074834735753*I	-0.12069638429884887+0.12450350897254107*I	-0.21994671798639714-0.000036536850828063674*I	0.061166111097519446-0.12448828292769176*I	0.1089421347231317-0.23097500074131308*I
