-0.46189124608305265-0.000035817321470470096*I	-0.19193268194633473-0.00002987509105567493*I	-0.1139068027434608-0.00003461468350192122*I	-0.050522777436165595-0.00002132638555998109*I	-0.03766153169767455-0.000024312195434405496*I	-0.017731345347688658-0.000014200493788348304*I	-0.015532505765440808-0.00001651615139587055*I	-0.007593399215583705-9.334149723731711*^-6*I	-0.00724769281472528-0.000010726957853766215*I	-0.003530768706853162-5.715465258983824*^-6*I	-0.0033446138773807334-6.066361052499942*^-6*I	-0.001442688230846879-2.7254503446771324*^-6*I	-0.000983451087704938-1.965721158446767*^-6*I	-0.0015076652288400511-3.0733680218926745*^-6*I	-0.0035395449061520175-7.103616384347254*^-6*I	-0.005060385301078263-9.423706166100793*^-6*I	-0.008296998062072656-0.000014595102531347367*I	-0.01061891159443476-0.000016406489297110585*I	-0.01631204554715527-0.00002283551634677469*I	-0.0212727743846652-0.00002446056009898756*I	-0.031973774287455535-0.0000319027351158509*I	-0.04473047474038894-0.000033643553785119646*I	-0.06455612160039209-0.00004024268333106364*I	-0.09926495230935045-0.00004125189361576154*I	-0.1193319367093878-0.000038971818783364734*I	-0.19374105988455517-0.00003138774874743011*I
-0.19193268194633478-0.00002987509105567493*I	-0.4781293790108394-0.000042963168524138304*I	-0.2424554593825004-0.00005120147661565603*I	-0.10356985964339217-0.00003236178064277488*I	-0.06825412278385426-0.000035526879348329394*I	-0.031192955091477563-0.00002072693945651906*I	-0.025324744563272366-0.000023534643512080024*I	-0.01214963705302283-0.000013266407400032614*I	-0.01112416792243687-0.00001504961498271554*I	-0.00536587468641099-8.00903935167253*^-6*I	-0.004973456937700041-8.440915603660957*^-6*I	-0.0021387149297352245-3.7934124804372044*^-6*I	-0.0014426882308468793-2.725450344677133*^-6*I	-0.0021893500353504483-4.238669730509506*^-6*I	-0.005125362299071438-9.771623843316344*^-6*I	-0.007415782041045469-0.000013022949285103136*I	-0.012148528188659862-0.000020114730204227556*I	-0.015856993532838287-0.00002276098140419779*I	-0.024298286763516263-0.000031532899672366434*I	-0.032631643898781065-0.00003407810922336116*I	-0.04827190377736547-0.00004390362009575891*I	-0.069999557169381-0.00004666650566730884*I	-0.09347264961357377-0.00005356906184090012*I	-0.14566714461341718-0.00005403393474180486*I	-0.10107333024757086-0.00004276455130751674*I	-0.09766866981567394-0.000027468836448253016*I
-0.11390680274346078-0.00003461468350192122*I	-0.2424554593825003-0.00005120147661565603*I	-0.6134595805241879-0.00009474420040679682*I	-0.26018680473018896-0.00006540197040400432*I	-0.16710084020657612-0.00007544303033219727*I	-0.07584752199943794-0.00004486102907206111*I	-0.06044173027784061-0.00005155530468404227*I	-0.028855513270125515-0.000029250108771063838*I	-0.026124812457546814-0.0000333094703021367*I	-0.012566856153283741-0.000017775065327392664*I	-0.011575757779810946-0.00001875904006471292*I	-0.004973456937700039-8.440915603660954*^-6*I	-0.003344613877380732-6.066361052499939*^-6*I	-0.005060385301078263-9.423706166100797*^-6*I	-0.011836542968224674-0.00002169871891569462*I	-0.01718696212435307-0.000028903563485104047*I	-0.028148588515379935-0.0000445342352624693*I	-0.03695207128017821-0.00005029075556219894*I	-0.05658281789668344-0.00006933335399397296*I	-0.07662216071948888-0.0000745106031812178*I	-0.11284194143500284-0.00009498093479368924*I	-0.16526820143440454-0.00009935600749986874*I	-0.2158618325972354-0.00011111723723027927*I	-0.3377364869342944-0.0001062831961483113*I	-0.18388805830977983-0.00007921450211442838*I	-0.09926495230935041-0.00004125189361576154*I
-0.05052277743616561-0.00002132638555998109*I	-0.10356985964339217-0.00003236178064277488*I	-0.26018680473018896-0.00006540197040400431*I	-0.5093223341023169-0.00006369010798065736*I	-0.2677802039457728-0.00007473612012773604*I	-0.115719496696415-0.000045628188042807485*I	-0.07937829070629113-0.00005057649433104494*I	-0.036558829777888546-0.00002873597880819159*I	-0.030298201500972403-0.000031975559115740974*I	-0.01428835198275805-0.000017059819880469818*I	-0.012566856153283743-0.000017775065327392667*I	-0.00536587468641099-8.00903935167253*^-6*I	-0.0035307687068531625-5.715465258983824*^-6*I	-0.005226432005695021-8.784279554593629*^-6*I	-0.01214852818865986-0.00002011473020422756*I	-0.01804634356818872-0.000026999651134707283*I	-0.029423649062587685-0.00004130452351568276*I	-0.04004742593982653-0.00004710105850846429*I	-0.06042043196602535-0.00006401835029998648*I	-0.08585655070221927-0.00006942748707150663*I	-0.11777093637709003-0.00008510196151326655*I	-0.17829878851219821-0.00008811204396516602*I	-0.1493452340249363-0.00008666817140327564*I	-0.16766822698505496-0.00007413534211556185*I	-0.09347264961357378-0.000053569061840900105*I	-0.047998474797743176-0.000026565098293551833*I
-0.03766153169767455-0.000024312195434405503*I	-0.06825412278385426-0.00003552687934832941*I	-0.16710084020657617-0.00007544303033219727*I	-0.26778020394577273-0.00007473612012773603*I	-0.6362397791043539-0.0001219873096564336*I	-0.2713109726526258-0.00008045158538671988*I	-0.17769314689868218-0.00009223634923846344*I	-0.08082097893713801-0.00005330194467572207*I	-0.06476979524292631-0.00005958738689498897*I	-0.0302982015009724-0.000031975559115740974*I	-0.026124812457546817-0.00003330947030213671*I	-0.011124167922436866-0.000015049614982715537*I	-0.00724769281472528-0.000010726957853766214*I	-0.010618911594434757-0.000016406489297110582*I	-0.024609043609227922-0.00003743061887812206*I	-0.03695207128017821-0.00005029075556219892*I	-0.06012236280283547-0.0000764369703783202*I	-0.08319021124940722-0.00008700767736921129*I	-0.12467848440322758-0.0001166796537093839*I	-0.1809474983299176-0.00012518620296308018*I	-0.2404708762064633-0.0001485478561084014*I	-0.36962817291339445-0.00014715024554440948*I	-0.2321738781443907-0.00013395275357705398*I	-0.1652682014344046-0.00009935600749986876*I	-0.09652989588784759-0.00007214541844691455*I	-0.04473047474038891-0.000033643553785119646*I
-0.017731345347688658-0.000014200493788348307*I	-0.031192955091477563-0.000020726939456519066*I	-0.07584752199943798-0.00004486102907206112*I	-0.11571949669641504-0.00004562818804280751*I	-0.27131097265262594-0.0000804515853867199*I	-0.5146882087887279-0.00007169914733232992*I	-0.2727536608834728-0.00008317703573139704*I	-0.11785821162615026-0.00004942160052324472*I	-0.08082097893713802-0.000053301944675722084*I	-0.036558829777888546-0.000028735978808191595*I	-0.028855513270125525-0.000029250108771063848*I	-0.012149637053022832-0.000013266407400032615*I	-0.007593399215583706-9.334149723731715*^-6*I	-0.01063056152714326-0.00001397670184960416*I	-0.024298286763516256-0.000031532899672366434*I	-0.037858075904476075-0.00004286238877795478*I	-0.06042043196602533-0.00006401835029998648*I	-0.0880459007375697-0.00007366615680201615*I	-0.12289629867616148-0.00009487358535658296*I	-0.18571457055324375-0.00010113499325026923*I	-0.16149376221359626-0.00010678290160750326*I	-0.18352522051789336-0.0000968963235197597*I	-0.11777093637709006-0.00008510196151326657*I	-0.08063011869652424-0.000060643207516913005*I	-0.04827190377736547-0.00004390362009575891*I	-0.022001082371637795-0.000020101407373756997*I
-0.015532505765440805-0.00001651615139587055*I	-0.02532474456327236-0.000023534643512080017*I	-0.06044173027784062-0.00005155530468404227*I	-0.07937829070629113-0.00005057649433104494*I	-0.17769314689868218-0.00009223634923846345*I	-0.27275366088347275-0.00008317703573139701*I	-0.6405678440694399-0.00013001939186738033*I	-0.27275366088347275-0.000083177035731397*I	-0.17769314689868218-0.00009223634923846344*I	-0.07937829070629114-0.00005057649433104493*I	-0.06044173027784064-0.00005155530468404227*I	-0.025324744563272363-0.000023534643512080017*I	-0.015532505765440805-0.00001651615139587055*I	-0.021272774384665197-0.00002446056009898755*I	-0.04828581983461081-0.00005473825146262559*I	-0.07662216071948887-0.00007451060318121779*I	-0.12113893949707553-0.00010957603732503661*I	-0.18094749832991766-0.00012518620296308016*I	-0.24401042111261542-0.00015565147249274868*I	-0.37619622344331277-0.000159647319732403*I	-0.24401042111261537-0.00015565147249274868*I	-0.1809474983299176-0.0001251862029630802*I	-0.12113893949707553-0.00010957603732503663*I	-0.07662216071948888-0.00007451060318121779*I	-0.04828581983461079-0.000054738251462625594*I	-0.02127277438466519-0.000024460560098987548*I
-0.0075933992155837035-9.33414972373171*^-6*I	-0.012149637053022829-0.000013266407400032612*I	-0.028855513270125522-0.000029250108771063845*I	-0.036558829777888546-0.00002873597880819159*I	-0.08082097893713798-0.00005330194467572207*I	-0.11785821162615022-0.000049421600523244704*I	-0.2727536608834727-0.00008317703573139701*I	-0.514688208788728-0.00007169914733232988*I	-0.2713109726526258-0.00008045158538671986*I	-0.115719496696415-0.000045628188042807485*I	-0.07584752199943794-0.0000448610290720611*I	-0.031192955091477556-0.00002072693945651906*I	-0.017731345347688655-0.000014200493788348302*I	-0.0220010823716378-0.000020101407373756994*I	-0.04827190377736546-0.0000439036200957589*I	-0.08063011869652423-0.00006064320751691298*I	-0.11777093637709-0.00008510196151326653*I	-0.18352522051789327-0.00009689632351975965*I	-0.1614937622135962-0.00010678290160750322*I	-0.1857145705532437-0.0001011349932502692*I	-0.12289629867616148-0.00009487358535658289*I	-0.0880459007375697-0.00007366615680201614*I	-0.06042043196602532-0.00006401835029998646*I	-0.03785807590447607-0.00004286238877795477*I	-0.02429828676351625-0.00003153289967236642*I	-0.010630561527143253-0.00001397670184960415*I
-0.007247692814725279-0.000010726957853766212*I	-0.011124167922436866-0.000015049614982715534*I	-0.02612481245754681-0.0000333094703021367*I	-0.030298201500972403-0.00003197555911574097*I	-0.06476979524292631-0.00005958738689498897*I	-0.08082097893713801-0.00005330194467572207*I	-0.17769314689868215-0.00009223634923846345*I	-0.2713109726526259-0.00008045158538671987*I	-0.6362397791043539-0.00012198730965643359*I	-0.2677802039457728-0.00007473612012773603*I	-0.16710084020657615-0.00007544303033219727*I	-0.06825412278385425-0.000035526879348329394*I	-0.03766153169767454-0.000024312195434405496*I	-0.044730474740388916-0.00003364355378511965*I	-0.09652989588784759-0.00007214541844691456*I	-0.16526820143440454-0.00009935600749986874*I	-0.23217387814439067-0.00013395275357705396*I	-0.3696281729133944-0.00014715024554440946*I	-0.24047087620646335-0.0001485478561084014*I	-0.18094749832991763-0.00012518620296308016*I	-0.12467848440322755-0.00011667965370938389*I	-0.0831902112494072-0.00008700767736921126*I	-0.06012236280283546-0.0000764369703783202*I	-0.03695207128017821-0.00005029075556219892*I	-0.024609043609227922-0.00003743061887812205*I	-0.010618911594434757-0.000016406489297110575*I
-0.0035307687068531616-5.7154652589838226*^-6*I	-0.005365874686410989-8.009039351672529*^-6*I	-0.012566856153283743-0.000017775065327392664*I	-0.01428835198275805-0.00001705981988046981*I	-0.0302982015009724-0.00003197555911574097*I	-0.03655882977788854-0.000028735978808191584*I	-0.07937829070629113-0.00005057649433104493*I	-0.115719496696415-0.00004562818804280747*I	-0.2677802039457727-0.00007473612012773602*I	-0.5093223341023169-0.00006369010798065733*I	-0.260186804730189-0.00006540197040400431*I	-0.10356985964339217-0.00003236178064277487*I	-0.0505227774361656-0.00002132638555998109*I	-0.047998474797743176-0.000026565098293551833*I	-0.09347264961357377-0.000053569061840900105*I	-0.16766822698505496-0.00007413534211556181*I	-0.14934523402493627-0.00008666817140327561*I	-0.17829878851219821-0.00008811204396516598*I	-0.11777093637709003-0.00008510196151326653*I	-0.08585655070221927-0.0000694274870715066*I	-0.060420431966025326-0.00006401835029998644*I	-0.04004742593982651-0.00004710105850846427*I	-0.029423649062587685-0.00004130452351568276*I	-0.018046343568188725-0.00002699965113470728*I	-0.012148528188659859-0.000020114730204227546*I	-0.0052264320056950204-8.784279554593624*^-6*I
