0.-0.00008243790455843183*I	0.5820817683863022+0.*I	0.+0.000024229727719801582*I	-0.2504314744879033+0.*I	0.+8.134197289887577*^-7*I	0.05029307294532734+0.*I	0.-5.84272702352149*^-6*I	0.028986653367361018+0.*I	0.+2.944061686785388*^-6*I	-0.03528279445703407+0.*I	0.+5.842177589180082*^-7*I	0.017641396432259836+0.*I	0.-2.348357402144015*^-6*I	-0.01764139666709563+0.*I	0.+4.112497068853565*^-6*I	0.017641398083195824+0.*I	0.-6.460854636091222*^-6*I	0.006296141384078965+0.*I	0.+2.8871788108979634*^-6*I	-0.07927972689696125+0.*I	0.+0.000010883520902319638*I	0.20013840162391786+0.*I	0.-0.000031710780793700175*I	-0.33165029147542624+0.*I	0.+0.000040646082221441065*I	0.41791822336990725+0.*I
0.5820817683863022+0.*I	0.-862.6793771529884*I	0.33165029389839884+0.*I	0.+1315.1189235582276*I	-0.20013840154257606+0.*I	0.-1208.5867522988774*I	0.07927972631268831+0.*I	0.+729.8358522301556*I	-0.0062961410896727465+0.*I	0.-239.37539114447023*I	-0.017641398024774296+0.*I	0.-0.000015925145362584133*I	0.01764139643225973+0.*I	0.+0.000014161005691756788*I	-0.017641395016159106+0.*I	0.+239.37540883375533*I	0.059220333924308755+0.*I	0.-490.46046045607136*I	-0.10197023888024298+0.*I	0.+478.75089214074904*I	0.07056560178162985+0.*I	0.-106.53215124551011*I	0.11891958463639529+0.*I	0.-452.4395795702686*I	-0.49581383649182126+0.*I	0.+862.6793189448115*I
0.+0.000024229727719801656*I	0.33165029389839873+0.*I	0.-0.00005739475710964151*I	0.3819433668437263+0.*I	0.+0.000019200420425268874*I	-0.17115174817521508+0.*I	0.-2.0852456077473705*^-6*I	0.043996931855654425+0.*I	0.-2.314447577818072*^-6*I	0.011345255342586886+0.*I	0.+1.1799220435593977*^-6*I	-0.01764139802477413+0.*I	0.+5.842177589180046*^-7*I	0.017641398083195904+0.*I	0.-2.3483575672376264*^-6*I	0.006296142800179493+0.*I	0.+5.38821243660228*^-7*I	-0.055342187429686+0.*I	0.+7.309845077126455*^-6*I	0.12715481611103607+0.*I	0.-0.00001794008108048254*I	-0.2107916167484691+0.*I	0.+0.000019818822330060565*I	0.28640633351839934+0.*I	0.+8.935301427741037*^-6*I	-0.33165029147542596+0.*I
-0.25043147448790326+0.*I	0.+1315.1189235582274*I	0.3819433668437259+0.*I	0.-2071.266129451866*I	0.4109300202110874+0.*I	0.+2044.9547757883831*I	-0.20643454263224909+0.*I	0.-1447.9621434433475*I	0.06163832828791441+0.*I	0.+729.8358363050104*I	0.011345255342586735+0.*I	0.-239.37539114447037*I	-0.03528279445703375+0.*I	0.+239.37539467274982*I	0.0592203339243087+0.*I	0.-490.46044629506554*I	-0.11961163389640261+0.*I	0.+718.126300974504*I	0.12978593570593833+0.*I	0.-596.9926117015813*I	0.01694934575615248+0.*I	0.+26.31131257048094*I	-0.4252482347101916+0.*I	0.+756.1471676993021*I	0.11891958463639507+0.*I	0.-1315.1188985150798*I
0.+8.134197289887394*^-7*I	-0.2001384015425762+0.*I	0.+0.000019200420425268874*I	0.4109300202110874+0.*I	0.-0.0000602934224463776*I	0.3756472257540531+0.*I	0.+0.000022728699870972272*I	-0.18879314619998924+0.*I	0.-3.849385250973366*^-6*I	0.06163832828791405+0.*I	0.-2.3144475778180516*^-6*I	-0.006296141089672781+0.*I	0.+2.944061686785326*^-6*I	0.006296141384078956+0.*I	0.-3.5736758251932222*^-6*I	-0.055342187429685996+0.*I	0.+0.000011422342145979929*I	0.1271548175271366+0.*I	0.-0.00002028843864772021*I	-0.1868540772811942+0.*I	0.+0.00001624514650486732*I	0.21342274800551717+0.*I	0.+0.00002270600114095851*I	-0.21079161674846908+0.*I	0.-0.00002082725989138049*I	0.20013840162391822+0.*I
0.05029307294532759+0.*I	0.-1208.5867522988772*I	-0.17115174817521533+0.*I	0.+2044.9547757883824*I	0.3756472257540535+0.*I	0.-2310.6415205963353*I	0.3932886221863129+0.*I	0.+2044.954759863237*I	-0.18879314619998913+0.*I	0.-1447.9621434433477*I	0.0439969318556544+0.*I	0.+729.8358522301554*I	0.028986653367361115+0.*I	0.-729.8358551288206*I	-0.10197023888024309+0.*I	0.+718.1262868134991*I	0.12978593570593877+0.*I	0.-596.9925975405749*I	-0.0006920492600068773+0.*I	0.+265.68672140423575*I	-0.36602790078588265+0.*I	0.+265.6867072432302*I	0.016949345756152256+0.*I	0.-836.3680063743305*I	0.07056560178162985+0.*I	0.+1208.5867472695697*I
0.-5.8427270235214575*^-6*I	0.07927972631268836+0.*I	0.-2.085245607747387*^-6*I	-0.2064345426322488+0.*I	0.+0.000022728699870972276*I	0.39328862218631305+0.*I	0.-0.00006205756208960357*I	0.39328862218631305+0.*I	0.+0.000022728699870972293*I	-0.206434542632249+0.*I	0.-2.0852456077473803*^-6*I	0.07927972631268829+0.*I	0.-5.842727023521456*^-6*I	-0.07927972689696117+0.*I	0.+0.00001377069971321755*I	0.12715481611103607+0.*I	0.-0.00002440093571657378*I	-0.18685407728119408+0.*I	0.+0.000020357643573720888*I	0.21342274942161774+0.*I	0.+0.000020357643573720932*I	-0.1868540772811942+0.*I	0.-0.000024400935716573754*I	0.1271548161110359+0.*I	0.+0.000013770699713217556*I	-0.07927972689696108+0.*I
0.028986653367361448+0.*I	0.+729.8358522301556*I	0.043996931855654065+0.*I	0.-1447.9621434433482*I	-0.18879314619998888+0.*I	0.+2044.9547598632391*I	0.3932886221863128+0.*I	0.-2310.641520596337*I	0.37564722575405346+0.*I	0.+2044.9547757883834*I	-0.17115174817521517+0.*I	0.-1208.5867522988767*I	0.05029307294532748+0.*I	0.+1208.586747269569*I	0.07056560178162952+0.*I	0.-836.3680063743316*I	0.01694934575615248+0.*I	0.+265.6867072432313*I	-0.36602790078588243+0.*I	0.+265.68672140423564*I	-0.0006920492600073214+0.*I	0.-596.9925975405764*I	0.12978593570593844+0.*I	0.+718.1262868134996*I	-0.10197023888024337+0.*I	0.-729.835855128821*I
0.+2.9440616867853965*^-6*I	-0.00629614108967283+0.*I	0.-2.3144475778180893*^-6*I	0.061638328287914254+0.*I	0.-3.849385250973326*^-6*I	-0.18879314619998933+0.*I	0.+0.000022728699870972255*I	0.37564722575405346+0.*I	0.-0.0000602934224463776*I	0.41093002021108727+0.*I	0.+0.00001920042042526885*I	-0.20013840154257614+0.*I	0.+8.134197289887064*^-7*I	0.20013840162391808+0.*I	0.-0.00002082725989138051*I	-0.21079161674846913+0.*I	0.+0.000022706001140958526*I	0.2134227480055171+0.*I	0.+0.00001624514650486734*I	-0.18685407728119416+0.*I	0.-0.000020288438647720167*I	0.1271548175271366+0.*I	0.+0.000011422342145979924*I	-0.0553421874296861+0.*I	0.-3.573675825193237*^-6*I	0.006296141384078987+0.*I
-0.035282794457034306+0.*I	0.-239.3753911444707*I	0.011345255342587235+0.*I	0.+729.8358363050107*I	0.061638328287913824+0.*I	0.-1447.9621434433493*I	-0.20643454263224875+0.*I	0.+2044.9547757883845*I	0.41093002021108727+0.*I	0.-2071.2661294518675*I	0.3819433668437261+0.*I	0.+1315.1189235582285*I	-0.25043147448790326+0.*I	0.-1315.118898515081*I	0.11891958463639507+0.*I	0.+756.1471676993019*I	-0.4252482347101918+0.*I	0.+26.311312570480794*I	0.0169493457561527+0.*I	0.-596.9926117015808*I	0.12978593570593844+0.*I	0.+718.1263009745056*I	-0.11961163389640228+0.*I	0.-490.4604462950655*I	0.05922033392430931+0.*I	0.+239.37539467275013*I
0.+5.842177589180449*^-7*I	-0.017641398024774164+0.*I	0.+1.17992204355936*^-6*I	0.011345255342586888+0.*I	0.-2.314447577818053*^-6*I	0.04399693185565431+0.*I	0.-2.085245607747377*^-6*I	-0.17115174817521478+0.*I	0.+0.00001920042042526886*I	0.3819433668437261+0.*I	0.-0.00005739475710964146*I	0.3316502938983989+0.*I	0.+0.000024229727719801592*I	-0.3316502914754259+0.*I	0.+8.93530142774103*^-6*I	0.28640633351839934+0.*I	0.+0.00001981882233006061*I	-0.21079161674846927+0.*I	0.-0.000017940081080482546*I	0.127154816111036+0.*I	0.+7.3098450771263585*^-6*I	-0.055342187429685996+0.*I	0.+5.38821243660312*^-7*I	0.006296142800179448+0.*I	0.-2.3483575672376336*^-6*I	0.017641398083195935+0.*I
