0.-0.00008224626798067503*I	0.5827383504514598+0.*I	0.+0.00002397243293552906*I	-0.24829127164929207+0.*I	0.+8.566942294001392*^-7*I	0.04441799271944379+0.*I	0.-5.298493501344519*^-6*I	0.032746571965664356+0.*I	0.+2.0238363047781005*^-6*I	-0.02880530814508458+0.*I	0.+8.566945097303391*^-7*I	0.0017087202441062794+0.*I	0.-1.0275665341409876*^-6*I	0.009515054586931224+0.*I	0.+7.606107544785692*^-8*I	-0.009515054579325007+0.*I	0.+8.754443824846685*^-7*I	-0.011223774933794218+0.*I	0.+1.274499645035715*^-6*I	0.027096587986647668+0.*I	0.-4.840852953430822*^-6*I	-0.003941263618196032+0.*I	0.+3.211143010472288*^-6*I	-0.07716456521495745+0.*I	0.+9.803807012368153*^-6*I	0.20387327901551758+0.*I	0.-0.00003104782914331994*I	-0.33444707640492444+0.*I	0.+0.000040520103848283744*I	0.41726164132391347+0.*I
0.5827383504514598+0.*I	0.-828.1457074637292*I	0.3344470788021675+0.*I	0.+1305.7379987231952*I	-0.20387327892984794+0.*I	0.-1267.0871424474008*I	0.07716456468510789+0.*I	0.+811.0582850568746*I	0.003941263820579549+0.*I	0.-231.55324080398503*I	-0.027096587900978034+0.*I	0.-158.72813069940494*I	0.011223774831037495+0.*I	0.+207.38829417968412*I	0.009515054586930874+0.*I	0.-207.38829513118935*I	-0.030253884100049824+0.*I	0.-48.660164602656536*I	0.014164092808746476+0.*I	0.+390.28137421304876*I	0.05196063251353639+0.*I	0.-579.5050446470159*I	-0.11385240079881748+0.*I	0.+456.0288496740697*I	0.08229072108111646+0.*I	0.-38.65083588846641*I	0.11771747425988488+0.*I	0.-477.5923247041739*I	-0.4999237855324697+0.*I	0.+828.1456491898941*I
0.+0.0000239724329355291*I	0.3344470788021675+0.*I	0.-0.00005741714081574586*I	0.37886507152161164+0.*I	0.+0.000019530633663584692*I	-0.17112670696418394+0.*I	0.-2.417962967166297*^-6*I	0.04835925654002329+0.*I	0.-2.4179626868360456*^-6*I	0.005649984064686052+0.*I	0.+1.8529642803674386*^-6*I	-0.017581533314046726+0.*I	0.-9.481094896276496*^-8*I	0.01122377483103746+0.*I	0.-1.027566534140986*^-6*I	-0.011223774933794036+0.*I	0.+2.1499440275203583*^-6*I	0.0063577584735282034+0.*I	0.-2.690908925910316*^-6*I	0.011931549434657138+0.*I	0.-3.552102979229016*^-7*I	-0.05400924084650565+0.*I	0.+8.174097069409488*^-6*I	0.12276745018236428+0.*I	0.-0.000018032879120479728*I	-0.20773836260436418+0.*I	0.+0.000019276081717331584*I	0.28668784393450686+0.*I	0.+9.472274704963124*^-6*I	-0.33444707640492416+0.*I
-0.24829127164929254+0.*I	0.+1305.737998723194*I	0.37886507152161203+0.*I	0.-2095.2328499111277*I	0.4116116434872753+0.*I	0.+2116.7962837800687*I	-0.19993201510926853+0.*I	0.-1498.640383251386*I	0.05006797678412986+0.*I	0.+652.3301543574705*I	0.015165038651617169+0.*I	0.-24.16494662430093*I	-0.01758153331404716+0.*I	0.-158.72813069940514*I	0.001708720244106704+0.*I	0.+158.72813052853283*I	0.014164092808746587+0.*I	0.+182.89307908185904*I	0.021706748413486743+0.*I	0.-628.1652092496736*I	-0.09968830799007089+0.*I	0.+846.3102238871177*I	0.134251353594653+0.*I	0.-618.1558805354814*I	0.0038650734610679027+0.*I	0.-21.56347503010517*I	-0.4176330644513542+0.*I	0.+789.4948133014269*I	0.11771747425988599+0.*I	0.-1305.737973894067*I
0.+8.566942294003021*^-7*I	-0.20387327892984816+0.*I	0.+0.0000195306336635845*I	0.41161164348727597+0.*I	0.-0.00006069179801231211*I	0.3828063353421906+0.*I	0.+0.000022411164478093034*I	-0.19822329486516185+0.*I	0.-2.588834991576865*^-6*I	0.05958303137106098+0.*I	0.-3.3694681455292305*^-6*I	0.015165038651617072+0.*I	0.+1.8529642803675292*^-6*I	-0.027096587900977923+0.*I	0.+8.566945097302717*^-7*I	0.027096587986647366+0.*I	0.-3.5663533083949963*^-6*I	0.011931549434657364+0.*I	0.+5.202340845617776*^-7*I	-0.07474807035962477+0.*I	0.+0.000010324041096929958*I	0.13864026323521733+0.*I	0.-0.000021599232428874783*I	-0.18458303823591238+0.*I	0.+0.000017646371774372962*I	0.20558201510135377+0.*I	0.+0.000022487224727803756*I	-0.20773836260436435+0.*I	0.-0.000021244022130951902*I	0.2038732790155176+0.*I
0.04441799271944402+0.*I	0.-1267.0871424473999*I	-0.17112670696418408+0.*I	0.+2116.796283780069*I	0.382806335342191+0.*I	0.-2326.7860907151157*I	0.3845150555862973+0.*I	0.+1958.068153080665*I	-0.18870824027823085+0.*I	0.-1291.2520890717026*I	0.059583031371060635+0.*I	0.+652.3301543574702*I	0.005649984064686253+0.*I	0.-231.55324080398495*I	-0.02880530814508475+0.*I	0.+231.5532436845161*I	0.05196063251353639+0.*I	0.-420.77691411848343*I	-0.099688307990071+0.*I	0.+638.9219287559293*I	0.10399746949460287+0.*I	0.-666.8160451381385*I	0.018029166269814434+0.*I	0.+368.71789918294456*I	-0.3656724319378175+0.*I	0.+209.98976865441261*I	0.0038650734610674586+0.*I	0.-849.7091242199988*I	0.08229072108111635+0.*I	0.+1267.0871380056005*I
0.-5.2984935013445554*^-6*I	0.07716456468510807+0.*I	0.-2.417962967166248*^-6*I	-0.1999320151092687+0.*I	0.+0.000022411164478093112*I	0.38451505558629756+0.*I	0.-0.00006086267003672288*I	0.39403011017322853+0.*I	0.+0.000021459659019400014*I	-0.18870824027823122+0.*I	0.-2.5888349915768892*^-6*I	0.050067976784130074+0.*I	0.-2.417962686836118*^-6*I	0.003941263820579421+0.*I	0.+2.0238363047781725*^-6*I	-0.003941263618195814+0.*I	0.-1.6297099429586085*^-6*I	-0.05400924084650577+0.*I	0.+9.448596714445378*^-6*I	0.1386402632352176+0.*I	0.-0.00002072378804639023*I	-0.20532186774903144+0.*I	0.+0.00001979631580189339*I	0.22145482815420695+0.*I	0.+0.0000189208714194087*I	-0.18458303823591238+0.*I	0.-0.000022873732073910535*I	0.1227674501823644+0.*I	0.+0.000013014950022840363*I	-0.07716456521495739+0.*I
0.032746571965663884+0.*I	0.+811.0582850568748*I	0.04835925654002354+0.*I	0.-1498.6403832513859*I	-0.1982232948651621+0.*I	0.+1958.068153080664*I	0.3940301101732285+0.*I	0.-2119.3977965354306*I	0.3940301101732284+0.*I	0.+1958.068153080665*I	-0.19822329486516188+0.*I	0.-1498.6403832513863*I	0.048359256540023376+0.*I	0.+811.0582850568759*I	0.03274657196566416+0.*I	0.-811.0582883315329*I	-0.11385240079881753+0.*I	0.+687.5820933585846*I	0.13425135359465257+0.*I	0.-459.4277500069497*I	0.018029166269814656+0.*I	0.+161.3296040517547*I	-0.39592631603786765+0.*I	0.+161.32960405175598*I	0.0180291662698151+0.*I	0.-459.4277500069488*I	0.1342513535946529+0.*I	0.+687.5820933585852*I	-0.11385240079881764+0.*I	0.-811.0582883315318*I
0.+2.023836304778227*^-6*I	0.003941263820579384+0.*I	0.-2.4179626868361807*^-6*I	0.05006797678413019+0.*I	0.-2.588834991576838*^-6*I	-0.18870824027823116+0.*I	0.+0.000021459659019399956*I	0.3940301101732285+0.*I	0.-0.00006086267003672279*I	0.3845150555862975+0.*I	0.+0.00002241116447809304*I	-0.1999320151092685+0.*I	0.-2.417962967166213*^-6*I	0.077164564685108+0.*I	0.-5.298493501344611*^-6*I	-0.07716456521495728+0.*I	0.+0.000013014950022840338*I	0.12276745018236424+0.*I	0.-0.000022873732073910535*I	-0.1845830382359126+0.*I	0.+0.000018920871419408775*I	0.221454828154207+0.*I	0.+0.000019796315801893376*I	-0.20532186774903138+0.*I	0.-0.000020723788046390128*I	0.13864026323521744+0.*I	0.+9.44859671444533*^-6*I	-0.05400924084650587+0.*I	0.-1.6297099429586688*^-6*I	-0.003941263618195781+0.*I
-0.02880530814508475+0.*I	0.-231.55324080398634*I	0.005649984064686031+0.*I	0.+652.3301543574723*I	0.05958303137106119+0.*I	0.-1291.2520890717033*I	-0.18870824027823155+0.*I	0.+1958.0681530806646*I	0.384515055586298+0.*I	0.-2326.786090715114*I	0.3828063353421908+0.*I	0.+2116.7962837800687*I	-0.17112670696418386+0.*I	0.-1267.0871424474008*I	0.0444179927194438+0.*I	0.+1267.0871380056014*I	0.08229072108111646+0.*I	0.-849.7091242199976*I	0.0038650734610679027+0.*I	0.+209.98976865441097*I	-0.36567243193781795+0.*I	0.+368.71789918294337*I	0.01802916626981399+0.*I	0.-666.8160451381376*I	0.10399746949460309+0.*I	0.+638.9219287559276*I	-0.09968830799007078+0.*I	0.-420.7769141184844*I	0.05196063251353572+0.*I	0.+231.55324368451718*I
0.+8.566945097301688*^-7*I	-0.027096587900977968+0.*I	0.+1.8529642803676164*^-6*I	0.015165038651616978+0.*I	0.-3.3694681455293165*^-6*I	0.059583031371060864+0.*I	0.-2.5888349915767673*^-6*I	-0.19822329486516194+0.*I	0.+0.00002241116447809296*I	0.38280633534219094+0.*I	0.-0.000060691798012312066*I	0.4116116434872755+0.*I	0.+0.000019530633663584546*I	-0.20387327892984783+0.*I	0.+8.566942294002353*^-7*I	0.20387327901551747+0.*I	0.-0.000021244022130951984*I	-0.20773836260436415+0.*I	0.+0.000022487224727803864*I	0.20558201510135377+0.*I	0.+0.000017646371774373013*I	-0.18458303823591266+0.*I	0.-0.000021599232428874803*I	0.1386402632352176+0.*I	0.+0.000010324041096929851*I	-0.07474807035962457+0.*I	0.+5.20234084561752*^-7*I	0.01193154943465739+0.*I	0.-3.5663533083949874*^-6*I	0.027096587986647408+0.*I
