0.05873806362189743-0.000900890073442893*I	0.5970663445214633-0.011665717874927902*I	-0.016944586077182574+0.000024583187745793272*I	-0.262780940031953+0.011662974102260951*I	-0.001448913427643907+0.0008181030934156653*I	0.04654963250297779-1.3033388449281505*^-6*I	0.004707387572518454-0.0008228492903851093*I	0.044772058075323674-0.011656860511961117*I	-0.0015745091932970487+2.3918487402978785*^-6*I	-0.044592218069654396+0.011656322104049956*I	-0.0015457804393683614+0.0008180099203501616*I	0.006061648360393498-4.908856097506648*^-7*I	0.001970095775507333-0.000818650447178883*I	0.024143038871011654-0.011654191448679862*I	-0.00028124847368134345+4.4274188419416696*^-7*I	-0.024095589016473067+0.011654046203099826*I	-0.0014042773528513879+0.0008177500512344411*I	0.02399737137677848-0.011596663271778135*I	0.0030829336828987687-0.0016319162173965849*I	-0.00006713720342215708+2.0436235929664835*^-7*I	-0.002806384793020576+0.0016314944945978742*I	-0.030066862392164183+0.011597179793409544*I	-0.001267231631958892+1.965224358888207*^-6*I	0.038422446879497245-0.011598415945971765*I	0.005501423511297516-0.001635706505615029*I	-0.0002900554100150201+8.632882423066075*^-7*I	-0.003947218110372569+0.00163340409259269*I	-0.09099225573315407+0.011600093661721838*I	-0.007128467354100608+0.000010550979686264458*I	0.2161299653993495-0.011604258655534156*I	0.023705317933833278-0.0016625651755292567*I	-0.33547152305659433+6.159054416876013*^-6*I	-0.030243737854706833+0.0016719602738983013*I	0.4070452298430621+0.011596781763424708*I
0.5970663445214629-0.011665717874927872*I	-0.9804491670562163-0.16809295091857823*I	0.33428540448951016-2.7437726669743857*^-6*I	1.686245720832898+0.16896502232617647*I	-0.21623130752897488+0.011661670763416003*I	-1.7844195291924747-0.0024990720044180156*I	0.09132169057830149-0.011658163850806029*I	1.3073999871640714-0.16468517514286815*I	0.00017984000566902277-5.384079111591018*^-7*I	-0.5481043117325289+0.16572117684794074*I	-0.038530569709261164+0.011655831218440212*I	-0.11894095896505119-0.0001535030249407857*I	0.03020468723140495-0.011654682334289554*I	0.4324103580960173-0.1658798077722863*I	0.000047449854538907645-1.4524558006648834*^-7*I	-0.3437819782880325+0.1659931822812999*I	-0.024095589016472848+0.01165404620309985*I	0.34209645246149917-0.16517498948818132*I	0.04802582318982902-0.023250505112518638*I	-0.08862505833269206-0.00011338942118970655*I	-0.05427703846659827+0.023251575604448557*I	-0.31135623649300187+0.16521446256510355*I	0.002293936126939584-7.452669524849864*^-7*I	0.6643492964010536-0.16474791258073831*I	0.08272460953913656-0.0232538747617795*I	-0.7592830866849858-0.0010360573776268757*I	-0.13605436921849276+0.02325781746192527*I	0.4834108945524995+0.166359043508672*I	0.0785880771632166-2.861654967499126*^-6*I	0.0830387829996247-0.1656280102375664*I	0.14343938237470827-0.02326107370337814*I	-0.6823965757367935-0.0009056920121338855*I	-0.5254926377349953+0.023268658692769385*I	1.022242644600931+0.16721664403288114*I
-0.016944586077182563+0.000024583187745785564*I	0.3342854044895098-2.743772667001067*^-6*I	0.04034456411707096-0.00005820379228142657*I	0.38083503699248844-4.047111511829254*^-6*I	-0.013686111932307975+0.000019836990776349643*I	-0.17145924945365107+4.810251454879738*^-6*I	0.0016839649515775566-2.3543482291430266*^-6*I	0.04672947250864724-1.8417467560622818*^-6*I	0.0015870979398530465-2.4475212946461292*^-6*I	0.006241488366062874-1.0292935208433558*^-6*I	-0.001150193857158018+1.7513219115807949*^-6*I	-0.014387530838249937+1.6397697604082762*^-6*I	0.00014306686245749793-1.9778494452740681*^-7*I	0.006109098214932622-6.361311898028992*^-7*I	0.0002845699489746298-4.576540602522702*^-7*I	0.000047449854538567036-1.4524558000731377*^-7*I	-0.0002812484736815256+4.427418841979337*^-7*I	-0.00006713720342219836+2.0436235926906218*^-7*I	0.00027654888987808896-4.2172279870689265*^-7*I	-0.00613662821880845+7.208839906951624*^-7*I	-0.0009906827420809118+1.543501560188454*^-6*I	0.008288447283910663-1.0317902029679196*^-6*I	0.0014278070863180104-2.24678665826011*^-6*I	0.008065529077318036-3.728643200382897*^-7*I	0.00028697376896594283-3.3718866345554193*^-7*I	-0.05285986426367254+2.5410039922951994*^-6*I	-0.005574261953175667+8.248566663929728*^-6*I	0.12484765425617951-3.3017055700151955*^-6*I	0.012629632469360023-0.000018610103250305312*I	-0.21033381339039978+1.994060604524986*^-6*I	-0.013666887274973932+0.000019946078055312683*I	0.28770367218581744-1.317837692576585*^-6*I	-0.006538419920873509+9.395098369051859*^-6*I	-0.33547152305659383+6.159054416924311*^-6*I
-0.2627809400319531+0.011662974102260911*I	1.686245720832898+0.1689650223261761*I	0.38083503699248844-4.047111511869478*^-6*I	-2.7648686962486906-0.17059202292299608*I	0.4256070950678115-0.011660907623472936*I	2.9936457079969703+0.004279847183308384*I	-0.2160514675233058+0.011661132355504842*I	-2.3325238409250035+0.16322210484352273*I	0.05279112086904024-2.3326323657464273*^-6*I	1.1884590281990186-0.16483867816780753*I	0.030384527237074462-0.011655220742200639*I	-0.11569395363650957-0.0001586309243447946*I	-0.038483119854722005+0.011655685972860149*I	-0.46272293725308045+0.16583967925635898*I	0.00610909821493251-6.361311897352213*^-7*I	0.43241035809601736-0.16587980777228592*I	0.024143038871011234-0.01165419144867989*I	-0.430721510794191+0.16506160006699136*I	-0.05427703846659804+0.02325157560444864*I	0.030740215968495258+0.000039473076922051295*I	0.05031975931676792-0.02325125037947109*I	0.5757242380683568-0.16486130200192864*I	0.028447571072538674-2.299157330830099*^-6*I	-1.0706393231779887+0.1641784051874748*I	-0.13376043309155258+0.023257072194972583*I	1.1477601909535526+0.0016111309279324304*I	0.16131268670235335-0.023256736416746852*I	-0.6762443036853638-0.16666406761519342*I	0.007385013156215891-3.2562414530173944*^-6*I	-0.19898568118429602+0.16545335149653778*I	-0.4469045605717779+0.02326579703780202*I	1.1052814276005554+0.0015886337953148486*I	0.14343938237470805-0.023261073703378096*I	-1.7046392203377245-0.16812233604501464*I
-0.0014489134276439535+0.0008181030934156642*I	-0.21623130752897476+0.011661670763415954*I	-0.013686111932307923+0.00001983699077634846*I	0.4256070950678116-0.011660907623472938*I	0.0434774424962923-0.0008786612339262331*I	0.3810148769981568-4.585519423011053*^-6*I	-0.01680640156497332+0.0008402387598668085*I	-0.2099898191629128+0.011660641469895086*I	0.0021082802877164537-2.994875057860637*^-6*I	0.07693415974005219-0.011656524081045526*I	0.003275945241679103-0.0008206552265893277*I	0.006288938220601505-1.1745391008847415*^-6*I	-0.0028357196836909337+0.0008199441150302056*I	-0.03848311985472234+0.011655685972860166*I	0.00014306686245763492-1.977849445233906*^-7*I	0.03020468723140514-0.011654682334289526*I	0.001970095775507302-0.0008186504471788807*I	-0.030066862392164266+0.011597179793409457*I	-0.004073616424979427+0.001633459718956757*I	0.008288447283910682-1.0317902030032477*^-6*I	0.004510740769216597-0.0016341630040548271*I	0.031995763250673846-0.011596831773738795*I	0.0005635226588440024-7.589114621588491*^-7*I	-0.08299386385925879+0.011599925159761002*I	-0.00964787837815511+0.0016417082856206861*I	0.1332032387435133-4.537858132384707*^-6*I	0.016863824348698726-0.0016523513845064404*I	-0.17220142192091645-0.011595558597124911*I	-0.012112681874049137+0.000017643665032980284*I	0.1964213610426484+0.011599639112271473*I	-0.017614105385346517+0.0016533501706479914*I	-0.21033381339039928+1.994060604554469*^-6*I	0.01657685057973271-0.001652014195842979*I	0.21612996539934906-0.011604258655534095*I
0.046549632502978465-1.303338844880781*^-6*I	-1.7844195291924738-0.0024990720044177003*I	-0.17145924945365165+4.810251454889737*^-6*I	2.9936457079969685+0.004279847183308044*I	0.3810148769981578-4.585519423023999*^-6*I	-3.312973007981222-0.004870846075055205*I	0.38707652535855-5.076405032717452*^-6*I	2.874704749031917+0.0041263441583681525*I	-0.1858467802919002+6.450021215295709*^-6*I	-1.9001134828289816-0.0026577029287633653*I	0.05283857072357893-2.4778779458324313*^-6*I	0.8446770499109888+0.001154504113491168*I	0.006288938220601121-1.174539100883996*^-6*I	-0.11569395363651414-0.00015863092434464498*I	-0.014387530838249516+1.639769760410797*^-6*I	-0.11894095896504847-0.00015350302494073962*I	0.006061648360393962-4.908856097575291*^-7*I	0.11936527430118671+0.0001528624981120151*I	0.0022939361269390516-7.452669525192471*^-7*I	0.23362778560686107+0.0003136874862524376*I	0.028447571072539583-2.299157330906427*^-6*I	-0.7285428707164868-0.0009965843007056466*I	-0.08573460990172468+6.567082454046486*^-6*I	1.059135132620855+0.0014977415067436298*I	0.10703564823575523-5.160812298244874*^-6*I	-0.9876005401783676-0.001449605050090528*I	0.009678949283155507-4.00150840555117*^-6*I	0.46536361521676284+0.0007054389157989069*I	-0.36417995103264045+0.00001192227602251619*I	0.3459983409155731+0.0005525764176877347*I	0.007385013156215917-3.2562414529055048*^-6*I	-1.2212283257852254-0.0017632925363431366*I	0.07858807716321617-2.8616549674819955*^-6*I	1.787678003337348+0.0024943258074482614*I
0.004707387572518528-0.0008228492903851048*I	0.09132169057830163-0.011658163850805977*I	0.001683964951577478-2.354348229142176*^-6*I	-0.21605146752330603+0.011661132355504825*I	-0.016806401564973317+0.0008402387598668079*I	0.38707652535855036-5.076405032730764*^-6*I	0.043901757832431276-0.0008793017607549555*I	0.4112195642295623-0.01165926785371252*I	-0.015117554263147353+0.00002203105457212138*I	-0.20994236930837332+0.01166049622431501*I	0.00042275446118368804+0.0008151979180607628*I	0.05283857072357898-2.4778779458164597*^-6*I	0.003275945241679063-0.0008206552265893275*I	0.030384527237074025-0.011655220742200672*I	-0.001150193857158092+1.7513219115766779*^-6*I	-0.03853056970926122+0.011655831218440204*I	-0.0015457804393682881+0.0008180099203501642*I	0.03842244687949751-0.011598415945971758*I	0.004234191879338571-0.0016337412812561316*I	0.008065529077318265-3.728643200101877*^-7*I	-0.0025194110240545475+0.0016311573059344163*I	-0.08299386385925822+0.01159992515976107*I	-0.006564944695256497+9.792068224108587*^-6*I	0.157133472916869-0.011600996767551056*I	0.017140373238576753-0.0016527731073051387*I	-0.20233542151650374+1.8255586438842054*^-6*I	-0.016186298299028654+0.0016511033839897338*I	0.20477694552998157+0.011598402959709176*I	-0.013379913506008013+0.000019608889391864222*I	-0.17220142192091636-0.011595558597124914*I	0.018131055980657614-0.0016543166088653259*I	0.12484765425618005-3.301705570047145*^-6*I	-0.011075685464473071+0.0016439550722789425*I	-0.09099225573315435+0.011600093661721768*I
0.044772058075323466-0.011656860511961185*I	1.3073999871640727-0.16468517514286887*I	0.04672947250864712-1.8417467560253274*^-6*I	-2.3325238409250058+0.1632221048435238*I	-0.20998981916291265+0.01166064146989514*I	2.8747047490319195+0.004126344158367936*I	0.4112195642295626-0.011659267853712619*I	-2.8805626498851966-0.1707506538473419*I	0.3871239752130894-5.2216506128041065*^-6*I	2.5309227707438855+0.17011952643966763*I	-0.20994236930837382+0.011660496224315102*I	-1.9001134828289843-0.0026577029287633367*I	0.07693415974005241-0.011656524081045627*I	1.188459028199023-0.1648386781678093*I	0.006241488366062161-1.0292935208808252*^-6*I	-0.5481043117325316+0.1657211768479419*I	-0.044592218069654625+0.011656322104050086*I	0.5449840220998663-0.16490077507885148*I	0.08272460953913727-0.023253874761779612*I	-0.6399178123837962-0.0008831948795156058*I	-0.13376043309155353+0.023257072194972677*I	0.7170386801593577+0.1666727309949254*I	0.10703564823575569-5.160812298226226*^-6*I	-0.6455040877168637-0.1666245945382715*I	0.05770477247298451-0.023254506620924213*I	0.3767385568840631+0.0005920494946100688*I	-0.418456989499241+0.023263497880471246*I	0.034642104422561444+0.16576703898279124*I	0.009678949283154983-4.00150840550173*^-6*I	-0.5568790293841708-0.16651120511708264*I	0.1613126867023535-0.023256736416747033*I	1.0283949166523634+0.0014582684298213096*I	-0.1360543692184926+0.023257817461925265*I	-1.3042671087848514+0.16386471770122404*I
-0.001574509193297021+2.391848740294818*^-6*I	0.00017984000566886245-5.384079112135753*^-7*I	0.0015870979398530359-2.4475212946466836*^-6*I	0.05279112086904037-2.332632365700387*^-6*I	0.0021082802877165374-2.9948750578564184*^-6*I	-0.18584678029190055+6.450021215302903*^-6*I	-0.015117554263147424+0.000022031054572117695*I	0.3871239752130892-5.221650612857641*^-6*I	0.04221623200589855-0.00006110896763632664*I	0.3871239752130892-5.221650612691001*^-6*I	-0.015117554263147414+0.00002203105457212931*I	-0.185846780291901+6.450021215295592*^-6*I	0.002108280287716553-2.9948750578685996*^-6*I	0.052791120869041024-2.332632365862663*^-6*I	0.0015870979398531087-2.4475212946459548*^-6*I	0.00017984000566873765-5.384079110475332*^-7*I	-0.0015745091932971287+2.3918487403058025*^-6*I	-0.0002900554100146343+8.632882421986608*^-7*I	0.0015542054009248698-2.3024130223504355*^-6*I	-0.05285986426367191+2.5410039922996853*^-6*I	-0.006841493585134578+0.000010213791022824415*I	0.13320323874351264-4.537858132255366*^-6*I	0.014057439555678085-0.000020856889908564995*I	-0.2023354215165032+1.8255586437592367*^-6*I	-0.013103364616129957+0.00001918716659314939*I	0.22870717970333765+1.944050290415852*^-6*I	-0.013103364616130025+0.000019187166593172692*I	-0.20233542151650363+1.825558643917557*^-6*I	0.014057439555678019-0.000020856889908565652*I	0.1332032387435127-4.5378581324241885*^-6*I	-0.006841493585134515+0.000010213791022801116*I	-0.052859864263671674+2.5410039923033568*^-6*I	0.0015542054009247738-2.3024130223260054*^-6*I	-0.0002900554100147564+8.632882423638288*^-7*I
-0.0445922180696548+0.011656322104049982*I	-0.5481043117325308+0.1657211768479411*I	0.006241488366062443-1.0292935208888482*^-6*I	1.1884590281990215-0.16483867816780856*I	0.07693415974005208-0.011656524081045585*I	-1.900113482828985-0.002657702928763153*I	-0.2099423693083735+0.011660496224315081*I	2.5309227707438864+0.17011952643966755*I	0.38712397521308933-5.221650612749259*^-6*I	-2.8805626498851975-0.17075065384734062*I	0.41121956422956274-0.011659267853712522*I	2.874704749031922+0.004126344158368023*I	-0.2099898191629127+0.011660641469895091*I	-2.3325238409250026+0.16322210484352295*I	0.046729472508647334-1.8417467560125338*^-6*I	1.3073999871640702-0.16468517514286793*I	0.04477205807532333-0.011656860511961128*I	-1.3042671087848487+0.16386471770122318*I	-0.13605436921849223+0.02325781746192519*I	1.0283949166523634+0.0014582684298212003*I	0.16131268670235385-0.023256736416746804*I	-0.556879029384176-0.16651120511708206*I	0.009678949283155396-4.001508405648314*^-6*I	0.03464210442255971+0.16576703898278974*I	-0.41845698949923943+0.023263497880471183*I	0.3767385568840621+0.0005920494946089608*I	0.0577047724729841-0.023254506620924112*I	-0.645504087716865-0.16662459453827147*I	0.1070356482357553-5.160812298276966*^-6*I	0.7170386801593598+0.16667273099492433*I	-0.13376043309155314+0.023257072194972618*I	-0.6399178123837954-0.0008831948795156654*I	0.08272460953913724-0.023253874761779425*I	0.5449840220998656-0.16490077507885056*I
