-0.424799864378935-501.2290536644848*I	0.4999368669081007+0.6312851642499947*I	-0.07507387401272028+500.5977185065481*I	-3.817275983921894*^-9-0.413738101021764*I	0.07503250401991785-500.18398040552603*I	-0.00001962254023572113+0.19619107020033044*I	-0.07499326237261286+499.98778933728795*I	-3.2472709138070717*^-9-0.14807052525087805*I	0.07497845856733766-499.8397188120368*I	-9.99747606432455*^-6+0.09995001880588227*I	-0.07495846608939867+499.7397687942306*I	-1.7182652865647963*^-9-0.07543627250240367*I	0.07495092418034308-499.66433252172817*I	-5.093793195881657*^-6+0.05092255701730604*I	-0.0749407381314305+499.6134099652203*I	-1.14982104757876*^-9-0.03337549447498252*I	0.07493740173185262-499.5800344707451*I	-1.5832573127746996*^-6+0.015828448710989096*I	-0.07493423562962856+499.5642060221924*I	0.12489223948923951-499.5800269774798*I	-0.09991600655732637+0.015808466063476925*I	-0.12489382077174974+499.597574022769*I	0.19983218299949754-0.0333355287052594*I	0.12490717407096634-499.6309495336887*I	-0.2997617138924248+0.050862606456448425*I	-0.12491226192108336+499.6888387421208*I	0.39969193550732907-0.07535633562288944*I	0.12494244216309092-499.76427504468774*I	-0.4996523390856562+0.09985009183558131*I	-0.12495242972524441+499.8878318206358*I	0.5996150934254828-0.14795060519174863*I	0.1250116670938417-500.03590238291116*I	-0.6996370883849206+0.19605114964841183*I	-0.12503127570294487+500.40151993309695*I	0.7996760120613601-0.41357817409175496*I	-0.37480321722744403-500.81525806238903*I	-0.3998804466273698+0.6311552102544382*I	0.8747400921044043+500.5978109802213*I
0.4999368669091964+0.631285164253217*I	0.00004138677956366806-0.8488322316209811*I	0.49993686308807783+0.21754706322913042*I	-0.499917231735337+0.00004995931721931777*I	-0.0000196263568090165-0.21754703082317214*I	0.000056194789495999884+0.16942648025484672*I	-0.000019625784661509856+0.04812054494880298*I	0.00002962650657394733-4.146398859032271*^-8*I	-0.000010000726058779951-0.04812050644754602*I	0.00002236059716904769+0.0236067579089069*I	-9.999195319398483*^-6+0.024513746302370173*I	0.000015094700351453441-3.232584870783519*^-8*I	-5.095508264708778*^-6-0.02451371548607295*I	0.000010887113850615331+0.006966651850291022*I	-5.09494040093813*^-6+0.017547062547043107*I	6.679346963818036*^-6-1.745524798823962*^-8*I	-1.5844083084011994*^-6-0.01754704575968484*I	3.339526112958642*^-6+0.0017185967172108907*I	-1.5832581328830241*^-6+0.015828448708513118*I	-1.734231092457596*^-7-0.01754704526740898*I	1.9767153904632*^-9+0.0017185965761439825*I	-0.000010189169344333297+0.015828466656209836*I	0.00001335444760288717-1.6453788383413776*^-8*I	-0.000010716814158761144-0.0245136964325183*I	5.937313486440387*^-9+0.006966651411160207*I	-0.000023337677486071743+0.017547096471160692*I	0.00003018195808437143-3.0062359556854256*^-8*I	-0.000025004727570926378-0.048120470885548425*I	9.917717518039741*^-9+0.023606757146303947*I	-0.000046798428328923+0.0245137910026042*I	0.0000592406157704005-3.702128243694126*^-8*I	-0.00006138345691352361-0.2175469817770902*I	1.3927626896572553*^-8+0.16942647998801297*I	0.4998589085995678+0.04807059321374503*I	-0.49983448911106404-2.8269337351860297*^-8*I	-0.00003926342598149958+0.6311852153885016*I	7.970506848137604*^-9-0.8487322464218066*I	-0.4999151251723348+0.2174970736811358*I
-0.07507387401384384+500.5977185065445*I	0.4999368630890749+0.2175470632321485*I	-0.4248412343689556-500.81531556346306*I	0.4999172405484717+0.4137381334277185*I	-0.07503463236620371+500.40152743831135*I	-0.00001962960115972634-0.36561755607439245*I	0.07501770021169854-500.03590988027395*I	-0.00002962326325503043+0.14807056375221592*I	-0.07497326989205373+499.88783931948416*I	-0.000010002445399774629-0.12355677895113387*I	0.07497091665954392-499.7642825395328*I	-0.00001509298553095491+0.0754363033187824*I	-0.07494828004359513+499.68884623772345*I	-5.096655478105394*^-6-0.057889209956372596*I	0.07494758777803498-499.6309570272575*I	-6.6781989757450596*^-6+0.03337551126229584*I	-0.07493757202796952+499.5975815166631*I	-1.5844091509203961*^-6-0.017547045762240393*I	0.07493740173251538-499.5800344707425*I	-0.12489382077047677+499.59757402276443*I	0.09991617644022269-0.017527062639996885*I	0.12490559278772173-499.61340248840605*I	-0.1998455374488333+0.03333554382360311*I	-0.12489890862635346+499.65546323119287*I	0.29976240462033465-0.057829257868034785*I	0.12493735430832145-499.70638583625805*I	-0.39972211746863184+0.07535636266705323*I	-0.12492224948251697+499.81239551807346*I	0.49965468984364464-0.12345684898262965*I	0.12500167953268024-499.9123456069583*I	-0.5996743340447612+0.14795063628896943*I	-0.12497203833531934+500.2534493708261*I	0.6996540171053348-0.36547762963738384*I	-0.3748228258373033-500.4496405122013*I	-0.29984152295319577+0.4136281858100037*I	0.3749055991750165+500.1840728509266*I	0.3997955654321836+0.2175770361665842*I	-0.37480321722461957-500.8152580623893*I
-3.816321161187073*^-9-0.4137381010212811*I	-0.4999172317402427+0.0000499593172188976*I	0.4999172405525123+0.41373813342723625*I	0.00009758156906036-0.6794057513617635*I	0.49991723730329346+0.2656676081763704*I	-0.49988760522934156+0.000049917853230027535*I	-0.00002962708217660996-0.26566753726907755*I	0.0000785553866654135+0.19303323816575926*I	-0.000029624980674548667+0.07263429124777965*I	0.000044721208430283796-7.378983751751367*^-8*I	-0.000015096235138800296-0.07263422193006293*I	0.00003324771101968958+0.030573409758085878*I	-0.000015094134989522058+0.042060808847205935*I	0.000021774046811104098-4.978109785373767*^-8*I	-6.679916752606765*^-6-0.04206076124351275*I	0.000014226639964272407+0.00868524856044814*I	-6.678198372448513*^-6+0.03337551126040063*I	6.67934444268265*^-6-1.745524806571691*^-8*I	-1.14787380993311*^-9-0.03337549447308699*I	-0.000010015746021253932+0.03337551192844985*I	0.000013354445064808942-1.6453788240819826*^-8*I	-0.000010890234942135434-0.04206074169778086*I	7.914028300560347*^-9+0.008685247980192034*I	-0.00003352684614713378+0.03337556313215411*I	0.00004353640512419805-4.6516148765198347*^-8*I	-0.00003572154186039744-0.07263416731478042*I	1.585502995238728*^-8+0.030573408555877497*I	-0.00007013610653842612+0.04206088747143804*I	0.00008942257523929768-6.708364194687386*^-8*I	-0.00008638818529209844-0.2656674526612033*I	2.384534462784437*^-8+0.1930332371358841*I	0.49981211017111243+0.07258438421279649*I	-0.49977524849580884-6.529062003445338*^-8*I	-0.00010064688221774654+0.41363823360843266*I	2.189813446431208*^-8-0.6793057664294949*I	-0.0000562165679607882+0.2655676668932532*I	-0.49983448911597184-2.82693374738737*^-8*I	0.49987586174648735+0.41368814170444385*I
0.07503250402000114-500.1839804055234*I	-0.00001962635295578441-0.21754703082630228*I	-0.0750346323701156+500.40152743831237*I	0.4999172373072931+0.26566760817588786*I	-0.42485603817634954-500.6672450382117*I	0.4999072398222245+0.3656176269816829*I	-0.07501463988319612+500.30157742050613*I	-0.000029628799690541266-0.3411038097735138*I	0.07501015830190282-499.9604736077697*I	-0.000034718770430215706+0.1235568482688125*I	-0.07496308384664038+499.83691676297286*I	-0.000015097384484942061-0.10600971640163936*I	0.07496758025949303-499.73090704506143*I	-0.000016677396392481003+0.05788925756001085*I	-0.07494511393742587+499.67301778916925*I	-6.6799162223559884*^-6-0.04206076124540802*I	0.07494758777753673-499.63095702725553*I	-5.094937029347102*^-6+0.017547062549521097*I	-0.07494073813423212+499.61340996521574*I	0.12490717406780652-499.6309495336913*I	-0.099929530886913+0.017527077758335674*I	-0.12489890862699085+499.6554632311929*I	0.19984639805951304-0.042020791804586545*I	0.12493577302890468-499.6888387909725*I	-0.29980594103008973+0.05782930003052981*I	-0.12490889618322012+499.779020007145*I	0.39972515895448546-0.10592977122451615*I	0.12499659167781892-499.8544563985317*I	-0.4997441124255703+0.12345690712395523*I	-0.12494185809258142+500.17801306825856*I	0.5996936135230331-0.3409838734272379*I	-0.3748328133973313-500.3260837362504*I	-0.19987876861615317+0.365527672452885*I	0.37496483654298707+500.036002288658*I	0.2997735704783797+0.2656775806173013*I	-0.3748228258404205-500.4496405121987*I	0.10003892368096315-0.21752702444840033*I	-0.12503127570759726+500.40151993309934*I
-0.00001962253994660759+0.19619107019545057*I	0.000056194789495690704+0.16942648025943757*I	-0.000019629601523131528-0.3656175560744431*I	-0.4998876052349717+0.000049917853230310186*I	0.4999072398282802+0.3656176269818091*I	0.0001199421662293432-0.655798993454552*I	0.499907238106145+0.2901813544784052*I	-0.4998725105286588+0.00004988552738112313*I	-0.00003472258893358569-0.2901812527547161*I	0.00008944250051561004+0.19999989001503968*I	-0.0000347199225806231+0.09018135379545303*I	0.00005140055619643307-9.124508624224935*^-8*I	-0.000016680642740205795-0.09018126769040631*I	0.000036587237132503135+0.03229200647248631*I	-0.000016677393745003565+0.057889257559238363*I	0.000021774046928951287-4.978109729732369*^-8*I	-5.0966581619985*^-6-0.057889209955613516*I	0.00001088711385014075+0.006966651846558841*I	-5.093790503468294*^-6+0.05092255702019756*I	-7.010676446486501*^-7-0.057889208357398726*I	5.9373123728859815*^-9+0.006966651407438046*I	-0.000033353423612666596+0.05092260839976012*I	0.00004353640530230609-4.6516148469942083*^-8*I	-0.000035894964560452146-0.09018121258285*I	1.783174502977355*^-8+0.032292005129321844*I	-0.00008032527735778415+0.05788935413104537*I	0.00010277702376598722-8.3537431033844*^-8*I	-0.0000971049987518242-0.29018114909334*I	2.9782657200681795*^-8+0.19999988854608663*I	0.49978877249180115+0.09013148068459945*I	-0.4997450665374565-9.535297934667764*^-8*I	-0.00012565160826788862+0.36551776272491543*I	3.1815851738448684*^-8-0.6556990092851492*I	-0.00010301499683963826+0.2900814578955294*I	-0.4997752485015026-6.529061928027557*^-8*I	0.49981447829139164+0.1961411599248063*I	1.3927626601259598*^-8+0.16942647999238938*I	-0.000016953142529509542-0.3656175484927014*I
-0.07499326237294046+499.98778933728966*I	-0.00001962578858156344+0.048120544947155994*I	0.07501770021598207-500.03590988027446*I	-0.000029627080413671052-0.2656675372685949*I	-0.07501463988929741+500.3015774205057*I	0.4999072381122218+0.29018135447881654*I	-0.4248635800874829-500.59180876570827*I	0.4999021443169114+0.3411039114971858*I	-0.07500445383828916+500.25065486399666*I	-0.00003472374117117344-0.32355674722803723*I	0.075006821904676-499.92709811329627*I	-0.000036303180833463324+0.10600980250666986*I	-0.0749599177436119+499.8210883144199*I	-0.00001668064007531722-0.09018126769120925*I	0.07496758025694944-499.73090704506075*I	-0.00001509413584518196+0.0420608088491006*I	-0.07494828004026205+499.6888462377209*I	-5.095511627993543*^-6-0.02451371548475266*I	0.07495092418034958-499.6643325217267*I	-0.12491226192089294+499.688838742119*I	0.09993022161470966-0.024493729166140177*I	0.12493735431151481-499.7063858362574*I	-0.19988993446962766+0.04202083396709449*I	-0.12490889618553382+499.7790200071448*I	0.29980915239888256-0.09012130516147679*I	0.1249950103960354-499.8369093532435*I	-0.3998279359866029+0.10592984448424474*I	-0.12492850479402516+500.14463755733533*I	0.49976408263169664-0.3234567956729045*I	-0.3748379012510961-500.2681945278204*I	-0.09994854699510296+0.34103394328687126*I	0.37499501678178243+499.9605659860901*I	0.19981316689941947+0.2901713368294223*I	-0.3748328134004599-500.32608373625175*I	0.20000167801671637-0.2656275378018321*I	-0.12497203833501168+500.2534493708258*I	-0.10002199496064049+0.0481005444541321*I	0.12501166709521463-500.0359023829109*I
-3.250246324360863*^-9-0.14807052525267678*I	0.000029626512225050533-4.146398907438939*^-8*I	-0.000029623266094370318+0.1480705637540147*I	0.00007855538666584704+0.19303323816423643*I	-0.000029628796687570998-0.34110380977378985*I	-0.4998725105338506+0.000049885527380419006*I	0.4999021443190745+0.3411039114974627*I	0.0001308292800800056-0.648832341607137*I	0.4999021431666502+0.30772841702674625*I	-0.4998658311807458+0.00004986807213305284*I	-0.00003630699902702048-0.3077282985157613*I	0.00009278202662878641+0.2017184867301495*I	-0.000036303178917241816+0.10600980250740911*I	0.00005140055187625173-9.124508664468598*^-8*I	-0.00001509738212245165-0.10600971640237769*I	0.000033247711020252714+0.03057340975713097*I	-0.000015092987854014624+0.07543630332047563*I	0.000015094703389466763-3.232584835858852*^-8*I	-1.7187594007273595*^-9-0.0754362725040976*I	-0.000022636611892581964+0.07543630483011787*I	0.00003018196109613146-3.006235905349723*^-8*I	-0.000025705796219016106-0.10600967924245942*I	1.585503053764639*^-8+0.030573408554922493*I	-0.00008015185245012516+0.07543639940007159*I	0.00010277701947509159-8.353743113508142*^-8*I	-0.0000972784193867113-0.30772819436215404*I	3.1759371870106504*^-8+0.20171848512001803*I	0.49977858332330105+0.10595994734417863*I	-0.4997317120889834-1.1180676776846897*^-7*I	-0.0001363684242372294+0.341004066293941*I	3.775316376648807*^-8-0.6487323578770771*I	-0.00012635267421105955+0.3076285543678619*I	-0.49974506654258977-9.53529802200296*^-8*I	0.4997894735629008+0.1480206890450526*I	2.3845344284484317*^-8+0.1930332371343611*I	-0.00006375157642045468-0.3411037574919354*I	0.00005924062150137975-3.702128272515039*^-8*I	-0.000044430314545114835+0.14807056671699093*I
0.07497845857063459-499.83971881203684*I	-0.000010000727840922541-0.0481205064458667*I	-0.07497326989347627+499.8878393194829*I	-0.000029624982433333652+0.07263429124881965*I	0.07501015830502285-499.96047360776936*I	-0.00003472258984053844-0.29018125275499684*I	-0.0750044538404149+500.25065486399666*I	0.49990214316886267+0.3077284170270233*I	-0.4248669164867401-500.5584332712381*I	0.4999005599087581+0.323556865738996*I	-0.07500128773548677+500.23482641544314*I	-0.00003630699716682695-0.3077282985150223*I	0.07500682190281278-499.9270981132975*I	-0.00003471992100893828+0.09018135379629211*I	-0.07496308384644479+499.8369167629729*I	-0.00001509623426904403-0.07263422193100266*I	0.07497091665851902-499.7642825395324*I	-9.999194933260624*^-6+0.02451374630104057*I	-0.07495846608895243+499.7397687942312*I	0.12494244216331289-499.76427504468563*I	-0.0999604035787981+0.024493756210293274*I	-0.1249222494832707+499.81239551807073*I	0.19989297595538294-0.07259424252360246*I	0.12499659167798223-499.8544563985301*I	-0.29991192942676803+0.09012137842139414*I	-0.12492850479601281+500.14463755733397*I	0.3998480760756986-0.30764832960743893*I	-0.37483948253455357-500.2506474825382*I	-0.00003237055391837329+0.3235068806508555*I	0.3750083700819969+499.92719047516374*I	0.09988363600616652+0.3076984145864306*I	-0.37483790125218086-500.2681945278234*I	0.2999318996336559-0.2901212669695966*I	-0.12494185809347426+500.1780130682598*I	-0.19998239853834482+0.07259430066508632*I	0.12500167953566904-499.9123456069589*I	0.09996275433545683-0.04810051335704789*I	-0.12495242972400986+499.88783182063696*I
-9.99747759080087*^-6+0.09995001880781285*I	0.000022360597169411674+0.023606757907920134*I	-0.000010002443787846942-0.12355677895179529*I	0.00004472120961642728-7.378983801042835*^-8*I	-0.00003471877320748975+0.12355684826952379*I	0.0000894425005172053+0.1999998900149332*I	-0.00003472373830817973-0.3235567472288042*I	-0.4998658311843216+0.000049868072132778724*I	0.49990055990943716+0.3235568657397986*I	0.00013416880619385917-0.6471137448972829*I	0.4999005599098792+0.32355686574062387*I	-0.49986583118344763+0.000049868072133211945*I	-0.00003472373962437273-0.32355674722954564*I	0.00008944250051617244+0.1999998900177017*I	-0.00003471877189001312+0.12355684826755403*I	0.00004472120680514669-7.37898372624627*^-8*I	-0.00001000244229406154-0.1235567789498237*I	0.000022360597169216104+0.02360675790542499*I	-9.997479084639479*^-6+0.09995001880842533*I	-2.368116203727862*^-6-0.12355677571405933*I	9.917716952746893*^-9+0.023606757142417667*I	-0.00006943503957528484+0.0999500958345599*I	0.00008942257373585863-6.708364125263773*^-8*I	-0.00008708925060451657-0.32355666102347236*I	2.97826563686786*^-8+0.1999998885484418*I	0.49977875674783284+0.12350699261211186*I	-0.49973171209160366-1.1180676737200334*^-7*I	-0.0001365418460514189+0.3234570210286313*I	3.9729878754044803*^-8-0.647013761308186*I	-0.00013654184473538627+0.3234570210294104*I	-0.49973171209247746-1.118067680686981*^-7*I	0.49977875674738964+0.12350699261411126*I	2.9782657287763558*^-8+0.19999988854569353*I	-0.00008708925209914244-0.3235566610227213*I	0.0000894225765471874-6.708364232211024*^-8*I	-0.00006943504089315011+0.09995009583401797*I	9.917717179856755*^-9+0.023606757144830237*I	-2.3681176978845755*^-6-0.1235567757160109*I
