0.-0.00008247089163252186*I	0.5845489902858061+0.*I	0.+0.000024015992603941217*I	-0.25079514153549987+0.*I	0.+1.0635215496088092*^-6*I	0.04564346744218001+0.*I	0.-5.627868293826794*^-6*I	0.03451657511635063+0.*I	0.+2.1762107821917254*^-6*I	-0.03314381005435761+0.*I	0.+1.13817022324403*^-6*I	0.004987320514883672+0.*I	0.-1.636902274732413*^-6*I	0.012150419523276551+0.*I	0.+4.218603224047787*^-7*I	-0.009415556809269015+0.*I	0.+5.196953585220758*^-7*I	-0.0011405334897360583+0.*I	0.-4.0564200954847507*^-7*I	0.005147619463995368+0.*I	0.-1.091199368510915*^-7*I	-0.0051476194749077425+0.*I	0.+6.238818843418881*^-7*I	-0.004007086014823684+0.*I	0.+1.8246872668889952*^-7*I	0.010556090350974472+0.*I	0.-1.7577731203085034*^-6*I	-0.00273486267182173+0.*I	0.+1.6093990650852402*^-6*I	-0.017137740201850448+0.*I	0.+1.7412772298322262*^-6*I	0.028156489653291004+0.*I	0.-5.695096418405001*^-6*I	-0.0013727648443719461+0.*I	0.+3.6561621206504807*^-6*I	-0.08016004312131737+0.*I	0.+9.987710485308096*^-6*I	0.20515167419967212+0.*I	0.-0.00003156639945488323*I	-0.3337538463487069+0.*I	0.+0.00004092579148581313*I	0.4154510014671048+0.*I
0.5845489902858033+0.*I	0.-816.9716096388845*I	0.3337538487503081+0.*I	0.+1286.0217465698609*I	-0.2051516740933219+0.*I	0.-1249.9163153479142*I	0.08016004255853054+0.*I	0.+815.3280762052359*I	0.0013727650619930198+0.*I	0.-267.83724477478944*I	-0.028156489539471988+0.*I	0.-110.18749501312006*I	0.017137740038159988+0.*I	0.+198.7260275216764*I	0.002734862714007663+0.*I	0.-78.21227584996731*I	-0.010556090299004423+0.*I	0.-65.49004324745131*I	0.0040070859742593334+0.*I	0.+91.54705438254874*I	0.005147619463995459+0.*I	0.-91.54705489731064*I	-0.014302324953726589+0.*I	0.-26.05701153580605*I	0.007689537825886716+0.*I	0.+143.70232015302778*I	0.01723678448842081+0.*I	0.-120.51375194519522*I	-0.0320230223969476+0.*I	0.-88.53853422232999*I	0.006031428936555339+0.*I	0.+378.02474260355865*I	0.05992753486327307+0.*I	0.-547.4908315677233*I	-0.11604938308203872+0.*I	0.+434.5882311266739*I	0.0793481636361747+0.*I	0.-36.10541070677912*I	0.12219296938646562+0.*I	0.-469.0501703063613*I	-0.5028518351674173+0.*I	0.+816.9715511839855*I
0.+0.00002401599260394137*I	0.33375384875030595+0.*I	0.-0.00005739137747897202*I	0.3793973161924859+0.*I	0.+0.000019451645859723464*I	-0.17063509897697093+0.*I	0.-2.3881359620262956*^-6*I	0.047016232504174166+0.*I	0.-2.313487288391109*^-6*I	0.006360085576877057+0.*I	0.+1.6774787307033986*^-6*I	-0.016006070016196212+0.*I	0.-7.687172908376929*^-8*I	0.007722183228891958+0.*I	0.-6.953465938054373*^-7*I	0.0015943292242715746+0.*I	0.+5.359136713783264*^-7*I	-0.005408470835008976+0.*I	0.+4.933412122561964*^-9*I	0.004007085974259152+0.*I	0.-4.0564200954850636*^-7*I	-0.004007086014823553+0.*I	0.+8.063506110308493*^-7*I	0.0014013848612429108+0.*I	0.-9.514225092777114*^-7*I	0.003814141664328818+0.*I	0.+3.409467146635736*^-8*I	-0.009316512522698125+0.*I	0.+1.592903174609476*^-6*I	0.008283886779617142+0.*I	0.-2.3444201234874478*^-6*I	0.00964598460706705+0.*I	0.-2.976570679226135*^-7*I	-0.05337631831239983+0.*I	0.+7.94877618755337*^-6*I	0.12361886623398328+0.*I	0.-0.000017922526848925508*I	-0.20876221527035022+0.*I	0.+0.000019347102516235385*I	0.28684882931807054+0.*I	0.+9.359392030927382*^-6*I	-0.3337538463487067+0.*I
-0.25079514153549676+0.*I	0.+1286.0217465698609*I	0.3793973161924829+0.*I	0.-2066.887924986796*I	0.4139138913088376+0.*I	0.+2101.3498227750956*I	-0.20377890903132803+0.*I	0.-1517.7535601227023*I	0.05200355301905779+0.*I	0.+705.1405811921135*I	0.018510505100153535+0.*I	0.-69.11121725310898*I	-0.025421626825464477+0.*I	0.-188.39977086308792*I	0.006581649739155621+0.*I	0.+133.23598427422573*I	0.006741948688266913+0.*I	0.+13.334778532581606*I	-0.005408470835008811+0.*I	0.-65.49004324745165*I	-0.0011405334897361952+0.*I	0.+65.49004336150496*I	0.0076895378258869385+0.*I	0.+52.15526525571734*I	0.0029344595346941227+0.*I	0.-146.5707634810022*I	-0.024333484571061548+0.*I	0.+55.16378593069729*I	0.023268213424976092+0.*I	0.+257.5109906583595*I	0.02790451246632386+0.*I	0.-636.0293657900548*I	-0.1100179541454831+0.*I	0.+812.612973730234*I	0.13927569849944876+0.*I	0.-583.5962422745023*I	0.0061435863044303485+0.*I	0.-34.46193917968881*I	-0.42350367153123436+0.*I	0.+780.8661404772037*I	0.1221929693864775+0.*I	0.-1286.0217214903466*I
0.+1.063521549608189*^-6*I	-0.20515167409331994+0.*I	0.+0.00001945164585972381*I	0.4139138913088346+0.*I	0.-0.000060843034990607254*I	0.3807700812544804+0.*I	0.+0.000022766026865159205*I	-0.19879158851644343+0.*I	0.-2.8868680135148962*^-6*I	0.0641539725423337+0.*I	0.-3.5285292407184766*^-6*I	0.009094948290885595+0.*I	0.+2.6190344116298976*^-6*I	-0.026562160315200256+0.*I	0.+3.718161989011869*^-8*I	0.011729269203150624+0.*I	0.-1.210108540205226*^-6*I	0.006741948688267655+0.*I	0.+5.359136713784309*^-7*I	-0.010556090299004669+0.*I	0.+5.19695358522011*^-7*I	0.010556090350974127+0.*I	0.-1.5753043936194847*^-6*I	0.003814141664328463+0.*I	0.+6.579765558082767*^-7*I	-0.018471218012429007+0.*I	0.+2.399253785639877*^-6*I	0.014832891115767745+0.*I	0.-3.919724517106499*^-6*I	0.017467212286217997+0.*I	0.-4.4603112314521626*^-7*I	-0.07324892118607214+0.*I	0.+0.000011299452482471091*I	0.1346376156854229+0.*I	0.-0.00002187634603749822*I	-0.18197849046143444+0.*I	0.+0.0000173081682184827*I	0.2053160213523816+0.*I	0.+0.000023003264636887185*I	-0.20876221527035008+0.*I	0.-0.0000215786889695758*I	0.20515167419967206+0.*I
0.04564346744217729+0.*I	0.-1249.9163153479114*I	-0.1706350989769685+0.*I	0.+2101.3498227750906*I	0.3807700812544777+0.*I	0.-2334.72516976158*I	0.385757401769364+0.*I	0.+1991.1623277619667*I	-0.1866411689931674+0.*I	0.-1319.0275326010205*I	0.0547384157330654+0.*I	0.+626.928305342144*I	0.007954414801149001+0.*I	0.-134.6012605005611*I	-0.021414540851205033+0.*I	0.-96.85271648053998*I	0.011729269203151094+0.*I	0.+133.23598427422544*I	0.0015943292242716622+0.*I	0.-78.21227584996697*I	-0.009415556809268477+0.*I	0.+78.2122767915226*I	0.01723678448842053+0.*I	0.-55.023708583691466*I	-0.024333484571060993+0.*I	0.-36.383268966612405*I	0.008965888471249572+0.*I	0.+231.4539791225552*I	0.035594050292211854+0.*I	0.-492.3270456370242*I	-0.09278116965706218+0.*I	0.+692.0992217850348*I	0.107252676102501+0.*I	0.-672.1347764968294*I	0.012175015240984521+0.*I	0.+343.56280342387305*I	-0.3635761366679606+0.*I	0.+233.3753089094812*I	0.006143586304424797+0.*I	0.-851.4334903636698*I	0.07934816363616215+0.*I	0.+1249.9163107835645*I
0.-5.6278682938260875*^-6*I	0.08016004255852861+0.*I	0.-2.3881359620267585*^-6*I	-0.20377890903132517+0.*I	0.+0.00002276602686515928*I	0.3857574017693616+0.*I	0.-0.00006134176704209547*I	0.3979078212926397+0.*I	0.+0.00002155098491283148*I	-0.19605672580243527+0.*I	0.-1.9453123325879807*^-6*I	0.05359788224332889+0.*I	0.-3.414475891744922*^-6*I	0.013102034265144304+0.*I	0.+2.104272465230482*^-6*I	-0.02141454085120487+0.*I	0.+3.7181619889995606*^-8*I	0.006581649739155443+0.*I	0.-6.953465938055705*^-7*I	0.0027348627140078084+0.*I	0.+4.218603224048389*^-7*I	-0.002734862671821758+0.*I	0.-1.483740552226342*^-7*I	-0.009316512522697905+0.*I	0.+1.775371901297927*^-6*I	0.014832891115767414+0.*I	0.-3.2958426327647555*^-6*I	0.008312506796487743+0.*I	0.+3.6031948788554746*^-7*I	-0.06669991684992066+0.*I	0.+9.724148088851222*^-6*I	0.14245884336457515+0.*I	0.-0.00002202472009272102*I	-0.20185109333510606+0.*I	0.+0.000020658844513399896*I	0.21633477080382188+0.*I	0.+0.000019049445448313337*I	-0.18197849046143372+0.*I	0.-0.00002361762326733044*I	0.123618866233983+0.*I	0.+0.00001364387260595891*I	-0.08016004312131549+0.*I
0.0345165751163492+0.*I	0.+815.3280762052302*I	0.04701623250417375+0.*I	0.-1517.7535601226957*I	-0.19879158851644335+0.*I	0.+1991.1623277619653*I	0.3979078212926399+0.*I	0.-2135.9991422398944*I	0.3884922644833707+0.*I	0.+1912.9500519119927*I	-0.19719725929217147+0.*I	0.-1384.5175758484659*I	0.05874550170732484+0.*I	0.+718.4753597246898*I	0.013102034265144058+0.*I	0.-134.601260500562*I	-0.02656216031520031+0.*I	0.-188.39977086308556*I	0.0077221832288916215+0.*I	0.+198.72602752167518*I	0.01215041952327578+0.*I	0.-198.72602873671715*I	-0.0320230223969476+0.*I	0.-10.326257430807894*I	0.023268213424975315+0.*I	0.+323.001034019864*I	0.035594050292210966+0.*I	0.-583.8741005343312*I	-0.10708349461078814+0.*I	0.+666.0422102492258*I	0.11494221392838533+0.*I	0.-528.4324563438003*I	0.029411799729404997+0.*I	0.+223.04905147867598*I	-0.3955991590649086+0.*I	0.+144.83677468714723*I	0.012175015240983189+0.*I	0.-473.4087477601106*I	0.13927569849944565+0.*I	0.+702.4254792158424*I	-0.11604938308203694+0.*I	0.-815.3280796568879*I
0.+2.1762107821909673*^-6*I	0.001372765061994503+0.*I	0.-2.3134872883904233*^-6*I	0.052003553019055584+0.*I	0.-2.886868013515119*^-6*I	-0.18664116899316516+0.*I	0.+0.000021550984912831653*I	0.3884922644833705+0.*I	0.-0.000060400211361168704*I	0.3873517309936351+0.*I	0.+0.00002166503826180515*I	-0.19204963982817574+0.*I	0.-2.4600742789875685*^-6*I	0.05874550170732454+0.*I	0.-3.41447589174488*^-6*I	0.007954414801148606+0.*I	0.+2.6190344116300284*^-6*I	-0.025421626825463905+0.*I	0.-7.687172908362744*^-8*I	0.017137740038159717+0.*I	0.-1.6369022747323302*^-6*I	-0.017137740201849674+0.*I	0.+3.350676294917325*^-6*I	0.008283886779617059+0.*I	0.-4.102193243795507*^-6*I	0.01746721228621871+0.*I	0.-2.635623964563371*^-7*I	-0.06669991684992083+0.*I	0.+0.000010348029973193044*I	0.13330413787484377+0.*I	0.-0.000021218369481689807*I	-0.19530208899895557+0.*I	0.+0.000019083540119780285*I	0.22415599848297335+0.*I	0.+0.000018901071393091126*I	-0.20185109333510678+0.*I	0.-0.000020266946972411916*I	0.13463761568542273+0.*I	0.+9.690053417385151*^-6*I	-0.053376318312398856+0.*I	0.-2.0389342977561407*^-6*I	-0.0013727648443734655+0.*I
-0.03314381005435374+0.*I	0.-267.8372447747842*I	0.006360085576875285+0.*I	0.+705.1405811921068*I	0.06415397254233546+0.*I	0.-1319.0275326010099*I	-0.19605672580243644+0.*I	0.+1912.9500519119877*I	0.3873517309936351+0.*I	0.-2201.4891854873413*I	0.39249935045763096+0.*I	0.+2004.4971062945426*I	-0.1920496398281768+0.*I	0.-1384.5175758484686*I	0.05359788224333001+0.*I	0.+626.9283053421442*I	0.00909494829088453+0.*I	0.-69.11121725311192*I	-0.016006070016195584+0.*I	0.-110.18749501311949*I	0.004987320514883931+0.*I	0.+110.18749451438731*I	0.00603142893655495+0.*I	0.+179.2987138668384*I	0.02790451246632497+0.*I	0.-557.8170889985277*I	-0.0927811696570624+0.*I	0.+757.589265146536*I	0.11494221392838622+0.*I	0.-619.9795112411102*I	0.015109474775678144+0.*I	0.+196.99203994286322*I	-0.3879096212390247+0.*I	0.+288.53909484018044*I	0.029411799729407218+0.*I	0.-593.922499705305*I	0.10725267610249656+0.*I	0.+613.886944993506*I	-0.11001795414548732+0.*I	0.-437.3033370533312*I	0.05992753486327096+0.*I	0.+267.8372480891652*I
0.+1.1381702232442602*^-6*I	-0.028156489539472824+0.*I	0.+1.6774787307030428*^-6*I	0.018510505100155002+0.*I	0.-3.528529240718522*^-6*I	0.05473841573306394+0.*I	0.-1.9453123325878786*^-6*I	-0.1971972592921717+0.*I	0.+0.000021665038261805044*I	0.39249935045763096+0.*I	0.-0.00006091497330756816*I	0.3924993504576298+0.*I	0.+0.00002166503826180515*I	-0.19719725929217094+0.*I	0.-1.945312332588068*^-6*I	0.05473841573306545+0.*I	0.-3.5285292407185024*^-6*I	0.018510505100152945+0.*I	0.+1.6774787307031872*^-6*I	-0.028156489539471776+0.*I	0.+1.1381702232439633*^-6*I	0.028156489653288673+0.*I	0.-3.953819188572824*^-6*I	0.009645984607066713+0.*I	0.+1.3117419971630755*^-6*I	-0.07324892118607128+0.*I	0.+9.541679362162521*^-6*I	0.14245884336457426+0.*I	0.-0.000021842251366031754*I	-0.19530208899895488+0.*I	0.+0.000019707422004122117*I	0.21500129299324192+0.*I	0.+0.000019707422004122015*I	-0.19530208899895557+0.*I	0.-0.00002184225136603182*I	0.14245884336457645+0.*I	0.+9.541679362162116*^-6*I	-0.07324892118607187+0.*I	0.+1.3117419971631081*^-6*I	0.009645984607065686+0.*I	0.-3.953819188571945*^-6*I	0.028156489653289842+0.*I
