0.4619519995538608-0.00003626808269308373*I	-0.19201579547585554+0.00003048278506246611*I	0.11409538992198433-0.000035978692946729037*I	-0.05069790665819709+0.000022558094831602596*I	0.03799833230841647-0.000026625800882259047*I	-0.018018341206418983+0.00001609057057357033*I	0.016056692919897534-0.00001984407671781005*I	-0.008027988529520302+0.000011938776595131508*I	0.008027273862541031-0.000015169454214632445*I	-0.0041745751846237284+9.119450632674885*^-6*I	0.004496452603275219-0.000011771440164929836*I	-0.0024035731346754357+7.053835589361514*^-6*I	0.0027142675061346475-9.14970928968716*^-6*I	-0.001475546685564596+5.438072212178596*^-6*I	0.0017123730943663616-7.01695267829217*^-6*I	-0.000935795621540064+4.103638762158748*^-6*I	0.0010950141806177062-5.2003840460300664*^-6*I	-0.0005915533332874518+2.9495441961609834*^-6*I	0.000679646114199069-3.58909320912414*^-6*I	-0.000350673277774761+1.910191617884017*^-6*I	0.0003723739101443757-2.1064143167504328*^-6*I	-0.00016369372911650206+9.391244828076197*^-7*I	0.00011870737111757889-6.945897587607763*^-7*I	-0.00019242845369521046+1.1327740563629516*^-6*I	0.00045857810324545815-2.6844895649585577*^-6*I	-0.0006027549341832957+3.432689458545225*^-6*I	0.000977313132428999-5.446889000508356*^-6*I	-0.0010967120904443154+5.839579201907513*^-6*I	0.0016331776086627985-8.373084187045614*^-6*I	-0.0017576941070640063+8.438467761708698*^-6*I	0.0025448913757582917-0.000011566165641344007*I	-0.0027257776776896934+0.00001133790975110253*I	0.003920069696735404-0.000015158033165902451*I	-0.00426368361313484+0.000014685793316907902*I	0.006156715105113799-0.000019323269133820615*I	-0.0069112106676705075+0.00001869138901242559*I	0.01008046616376141-0.00002428833667175928*I	-0.011879259390424491+0.00002364740802983685*I	0.01753004050971183-0.00003029650726407637*I	-0.022123751008160993+0.00002989721369273856*I	0.03278452258459497-0.00003733868199551316*I	-0.04527875172321342+0.000037428904010762564*I	0.06505340401951921-0.00004379435398219413*I	-0.09957247122976964+0.00004348565995391997*I	0.11956862409637131-0.00004072668580985979*I	-0.1938402068125353+0.00003212626306139901*I
-0.1920157954758555+0.000030482785062466103*I	0.4782431644105474-0.00004378266046586318*I	-0.24271370213405266+0.0000530408798940687*I	0.10380998219877244-0.00003402351450637297*I	-0.06871624786461611+0.00003864866540517293*I	0.03158752509088774-0.000023278921694321187*I	-0.026046329735939285+0.000028029347168701842*I	0.012749630590444025-0.000016787512485184214*I	-0.012202563714144032+0.0000210582272278064*I	0.006260236923841766-0.000012619179047408993*I	-0.006578148319299166+0.000016173286222036404*I	0.003485755724137849-9.671256531996767*^-6*I	-0.0038791198202400333+0.000012491907801540116*I	0.002096820461967111-7.414433607358057*^-6*I	-0.00241134230710466+9.541710974337347*^-6*I	0.0013128969014642407-5.575394540934501*^-6*I	-0.0015273489548275163+7.053182958319734*^-6*I	0.0008231917220161546-3.998412648188782*^-6*I	-0.000942226611062213+4.859735814045*^-6*I	0.0004855311197888807-2.585868342238509*^-6*I	-0.0005143670068912632+2.8493161006916362*^-6*I	0.00022602020299100392-1.2703475345994524*^-6*I	-0.00016369372911650214+9.391244828076197*^-7*I	0.00026506107827095073-1.530656540911757*^-6*I	-0.000631489658762004+3.626339032100556*^-6*I	0.0008315499828255152-4.6402957245478215*^-6*I	-0.0013487937468528504+7.362077042568725*^-6*I	0.001517957477355185-7.90070379060149*^-6*I	-0.0022628528642208707+0.000011328502767455227*I	0.0024459589463204485-0.000011433006790353165*I	-0.003547676163213638+0.000015672738750652487*I	0.0038243105120537276-0.000015394170544009015*I	-0.005513914605259939+0.00002058563085583184*I	0.00605478452380592-0.000020002121283241513*I	-0.008771321146129912+0.000026323346739971986*I	0.009988453927246507-0.000025571608254773534*I	-0.014615894873471272+0.00003321934640958756*I	0.01759782573396904-0.000032547733779411594*I	-0.02597502186906518+0.000041605845127443903*I	0.033801836329420826-0.000041416974353006214*I	-0.049384161524955436+0.000051235547129930805*I	0.07075124016905467-0.00005177193522836305*I	-0.09415331629478596+0.00005835646913307995*I	0.14608796509692618-0.000057045094496564735*I	-0.10139688256644935+0.00004512913795285287*I	0.09780422506529776-0.000028464115173949585*I
0.11409538992198434-0.000035978692946729037*I	-0.24271370213405274+0.00005304087989406871*I	0.6140457217842616-0.00009887257652207183*I	-0.2607320433404717+0.00006913145046763905*I	0.16815041515029833-0.00008244857054679817*I	-0.07674423639413641+0.00005058744200030445*I	0.06208229909085504-0.00006163933181470157*I	-0.030220904920563015+0.00003714879780137674*I	0.02858041938571379-0.000046784971097372354*I	-0.014606136848819468+0.000028112062817167915*I	0.015237993971950903-0.00003609060366924946*I	-0.008053695004863764+0.000021611358434215004*I	0.008923093203776232-0.00002793810213290918*I	-0.004814915441780097+0.00001659554656369886*I	0.0055216547811187166-0.0000213670460140094*I	-0.003002895640392113+0.00001249125517049833*I	0.003487033389183138-0.000015806429933446382*I	-0.0018780222326022764+8.963374576203751*^-6*I	0.00214703420496115-0.000010895891571904639*I	-0.001105920340178715+5.798860296852621*^-6*I	0.001170727395461024-6.39009728463535*^-6*I	-0.0005143670068912633+2.849316100691636*^-6*I	0.0003723739101443757-2.1064143167504328*^-6*I	-0.0006027549341832959+3.4326894585452235*^-6*I	0.0014358912356744577-8.131378565466912*^-6*I	-0.0018918954783228219+0.00001040504271681569*I	0.0030690688443372562-0.000016504462752512527*I	-0.003457161131691618+0.000017710736422161436*I	0.005155382116850089-0.000025386138828897977*I	-0.005580183875198016+0.00002561595671471875*I	0.008098138681156499-0.000035097282994292096*I	-0.008747155397888543+0.00003446217082971915*I	0.012621676177607496-0.00004604746794106709*I	-0.013900671958495045+0.000044715092080436044*I	0.020157250965610614-0.00005876963897148235*I	-0.02305415367122984+0.000057024590359170364*I	0.03376722177858705-0.00007390811306965628*I	-0.040914221066256+0.00007223601073500104*I	0.06039502925806822-0.00009192352593134883*I	-0.07928176212179892+0.00009097352573333799*I	0.11536796711382606-0.00011142954324178372*I	-0.1669749739611441+0.00011081177765742113*I	0.21740655070048565-0.00012185972178756715*I	-0.33869142976551847+0.00011304082702608159*I	0.18462202811589057-0.00008452103979205393*I	-0.0995724712297696+0.00004348565995391997*I
-0.050697906658197116+0.000022558094831602592*I	0.1038099821987724-0.000034023514506372954*I	-0.2607320433404716+0.00006913145046763903*I	0.5098306895014351-0.00006706158216018436*I	-0.2687600318699919+0.00008107022706277056*I	0.11655961278921642-0.00005081102699155718*I	-0.0809188115787601+0.00005970689263297933*I	0.037847762014729495-0.00003589810074173017*I	-0.03262447805523845+0.00004420263339073825*I	0.01623538631458187-0.00002645876901718098*I	-0.016081683534384064+0.00003355013502934651*I	0.008357057385808875-0.00002003361265476705*I	-0.008989490626403827+0.000025714997196373756*I	0.00479865262560209-0.000015246651072931272*I	-0.005406468775067547+0.00001954509075985985*I	0.0029200121839832653-0.000011412846255546843*I	-0.0033535689181668736+0.00001440144678838235*I	0.0017984280212531207-8.161262883173008*^-6*I	-0.0020417159617187788+9.902499059011369*^-6*I	0.0010492119250071583-5.2687601827882345*^-6*I	-0.0011059203401787149+5.798860296852619*^-6*I	0.00048553111978888046-2.585868342238507*^-6*I	-0.00035067327777476095+1.910191617884016*^-6*I	0.0005664889045545641-3.1096391836360648*^-6*I	-0.00134879374685285+7.362077042568721*^-6*I	0.0017830185556261353-9.431360331513244*^-6*I	-0.0028943425229828747+0.00001495484179955578*I	0.0032775089291459617-0.000016073302514900984*I	-0.004896469910066485+0.000023034815793221208*I	0.005342267989408912-0.000023294874334610505*I	-0.00777676746948081+0.00003191413362328708*I	0.008500743470126366-0.00003143512807359467*I	-0.01231899730934355+0.00004199608549062448*I	0.013812764439300235-0.00004096577879878256*I	-0.02012980947873121+0.0000538049772654194*I	0.02365261025777495-0.0000525498550626531*I	-0.034746343015195094+0.0000679291918674159*I	0.04379029025666733-0.00006698858260777974*I	-0.06400005639842671+0.00008445489353951835*I	0.08834906590302366-0.00008431966900777462*I	-0.12012833816385113+0.00009996231426052384*I	0.17988980142634695-0.00009846206884957095*I	-0.1507810440914048+0.00009636468508278368*I	0.16855546523435247-0.00008023605040231264*I	-0.09415331629478593+0.000058356469133079926*I	0.04828374003162836-0.000028580979322615113*I
0.03799833230841646-0.000026625800882259044*I	-0.06871624786461608+0.000038648665405172924*I	0.16815041515029835-0.00008244857054679814*I	-0.268760031869992+0.00008107022706277057*I	0.6381296885667003-0.00013388610745451436*I	-0.27293460705461575+0.00009018967769544543*I	0.18067414161611461-0.00010938946492636042*I	-0.08332238471343555+0.00006676072822234085*I	0.06929301920026491-0.00008256048126931856*I	-0.034100024740803044+0.00004964070560291684*I	0.0330070599862148-0.00006295163306535167*I	-0.017017479155924126+0.00003765377379150526*I	0.01804538124693497-0.0000483079403935717*I	-0.009581043959691279+0.00002866454139253474*I	0.010697753498593001-0.00003672757938806339*I	-0.00575714205284231+0.000021455282377743865*I	0.00657367480546216-0.00002706255353988398*I	-0.0035172626472833738+0.00001534057127118997*I	0.00397811467044509-0.000018607434008957587*I	-0.0020417159617187788+9.902499059011369*^-6*I	0.0021470342049611495-0.000010895891571904639*I	-0.0009422266110622124+4.859735814044998*^-6*I	0.0006796461141990689-3.5890932091241394*^-6*I	-0.0010967120904443147+5.839579201907515*^-6*I	0.0026104907410917965-0.00001381997318755397*I	-0.003457161131691616+0.000017710736422161436*I	0.0056139602200955445-0.00002807062839385653*I	-0.00637536726307652+0.00003018142022962692*I	0.00953402991683095-0.000043228661559758994*I	-0.010446622422516148+0.000043734439490171894*I	0.015232166918699292-0.00005986744112862107*I	-0.01675507815600337+0.00005899313904405227*I	0.0243353199500317-0.000078708888799872*I	-0.027537625455983546+0.0000768009678719816*I	0.04023218285108073-0.00010063231187690276*I	-0.04790368235708052+0.00009825971380301146*I	0.07047181405991744-0.00012640482823107193*I	-0.09045665640260427+0.0001243507080626715*I	0.13160514838270124-0.00015504114904736358*I	-0.18576544401923908+0.00015315057469968358*I	0.24501705737395885-0.00017644456572340274*I	-0.37269444016410375+0.000166585448748657*I	0.23493659121019736-0.0001521562290516435*I	-0.16697497396114405+0.00011081177765742113*I	0.0978379266041142-0.00008113303597770729*I	-0.04527875172321341+0.00003742890401076255*I
-0.01801834120641898+0.000016090570573570328*I	0.031587525090887726-0.000023278921694321176*I	-0.07674423639413637+0.00005058744200030443*I	0.11655961278921646-0.00005081102699155717*I	-0.27293460705461564+0.00009018967769544543*I	0.5160909264252769-0.00007968076120759336*I	-0.27533818018929107+0.00009724351328480694*I	0.12004536851335432-0.00006048228352355394*I	-0.08479793139900017+0.00007219880043451944*I	0.0399445824766966-0.000043312534349088226*I	-0.03503582036234311+0.00005374434436507559*I	0.01754828321604612-0.00003203416355811549*I	-0.017609032489211585+0.00004060331798766625*I	0.009180249107825032-0.000024032025302955833*I	-0.00993171723746604+0.00003057473301041875*I	0.005284183745390969-0.000017832519415169778*I	-0.005920835781958813+0.000022394406860551485*I	0.0031460323869742686-0.000012683193790146289*I	-0.003517262647283374+0.000015340571271189962*I	0.0017984280212531207-8.161262883173006*^-6*I	-0.0018780222326022762+8.963374576203744*^-6*I	0.0008231917220161542-3.99841264818878*^-6*I	-0.0005915533332874517+2.949544196160982*^-6*I	0.00095146857280062-4.791064606965422*^-6*I	-0.0022628528642208694+0.000011328502767455217*I	0.0030124478508750108-0.00001454264597398922*I	-0.004896469910066486+0.000023034815793221204*I	0.005607329067679859-0.00002482553087552225*I	-0.00840825712824281+0.00003554047265538761*I	0.009332293452951883-0.000036075423798142503*I	-0.013667791056196404+0.00004935816253319321*I	0.015330721916655419-0.000048866482589384045*I	-0.022392662342952077+0.00006513348003287463*I	0.026098569204095402-0.00006398286185300626*I	-0.038294019178408724+0.00008360193061806838*I	0.047614600768721045-0.00008238275315178875*I	-0.06951397100368663+0.00010504052439535022*I	0.0944038504268296-0.00010432179029101616*I	-0.12889965930998107+0.00012628566100049584*I	0.18987825535359348-0.00012403367710434445*I	-0.165396938964876+0.00012958403149237124*I	0.18615329096832148-0.00011278378418172423*I	-0.12012833816385111+0.00009996231426052384*I	0.08208557636104918-0.00006999795367562133*I	-0.0493841615249554+0.00005123554712993077*I	0.02246750013742626-0.0000231909559057479*I
0.016056692919897537-0.00001984407671781005*I	-0.026046329735939292+0.000028029347168701846*I	0.062082299090855046-0.00006163933181470155*I	-0.08091881157876014+0.00005970689263297935*I	0.1806741416161146-0.00010938946492636045*I	-0.275338180189291+0.00009724351328480697*I	0.6453404086761101-0.0001548072569091313*I	-0.2768137268748557+0.00010268158549698556*I	0.1851007822166156-0.0001255561268943398*I	-0.08573372702054025+0.0000763024391966782*I	0.072100406475249-0.00009477781799364082*I	-0.03562737369563058+0.00005669388856123661*I	0.034781720281031596-0.00007174111032050593*I	-0.01795970576698635+0.00004251350960555028*I	0.019097401271278416-0.00005400344791944628*I	-0.010095410966582544+0.00003151385749322639*I	0.011188834779854965-0.000039528583463574606*I	-0.005920835781958812+0.00002239440686055149*I	0.006573674805462162-0.000027062553539883976*I	-0.0033535689181668736+0.000014401446788382348*I	0.0034870333891831385-0.00001580642993344638*I	-0.0015273489548275159+7.053182958319729*^-6*I	0.0010950141806177057-5.200384046030066*^-6*I	-0.0017576941070640063+8.438467761708695*^-6*I	0.004178068984421089-0.00001993924982838961*I	-0.005580183875198015+0.00002561595671471874*I	0.009075451813585496-0.00004054417199480043*I	-0.010446622422516151+0.000043734439490171874*I	0.015690745021944758-0.00006255193069357961*I	-0.017550261543881885+0.00006355860255896045*I	0.025771211185706182-0.00008684026736533896*I	-0.029237092480611165+0.00008607323653243436*I	0.04284267359217255-0.00011445228506445675*I	-0.05075808855458887+0.00011253776076662772*I	0.07464988304433853-0.0001463440780594616*I	-0.09494012818735797+0.00014412708557548276*I	0.13807010945519502-0.00018176534785461013*I	-0.19275490531006365+0.00017917427776769403*I	0.25509384217580805-0.00021092586802312586*I	-0.3838693344449092+0.00019996263107799052*I	0.25117377247907263-0.0001957678348572234*I	-0.1857654440192391+0.0001531505746996836*I	0.12544843327758745-0.000135717879913543*I	-0.07928176212179892+0.00009097352573333799*I	0.050314563094306805-0.00006763518925958953*I	-0.022123751008160986+0.000029897213692738555*I
-0.0080279885295203+0.00001193877659513151*I	0.012749630590444021-0.000016787512485184214*I	-0.03022090492056301+0.00003714879780137673*I	0.0378477620147295-0.00003589810074173017*I	-0.08332238471343556+0.00006676072822234085*I	0.12004536851335429-0.00006048228352355395*I	-0.2768137268748557+0.00010268158549698556*I	0.5181877468872441-0.00008709519481495142*I	-0.2777495224963958+0.0001067852242591443*I	0.12135826541481852-0.00006605767806448845*I	-0.08632528035382768+0.00007925198339283918*I	0.040767774198712775-0.00004731094699727703*I	-0.03597804697340534+0.00005860408017912062*I	0.018033814335834997-0.000034620031900354005*I	-0.01812339949610285+0.0000434526340883579*I	0.009406269310816038-0.000025302372837555293*I	-0.010095410966582546+0.00003151385749322638*I	0.00528418374539097-0.00001783251941516978*I	-0.0057571420528423085+0.00002145528237774386*I	0.0029200121839832653-0.000011412846255546838*I	-0.0030028956403921115+0.000012491255170498327*I	0.0013128969014642399-5.575394540934499*^-6*I	-0.0009357956215400635+4.1036387621587464*^-6*I	0.001494490373519827-6.641942183387735*^-6*I	-0.0035476761632136354+0.000015672738750652477*I	0.004775779084854346-0.000020185235150974434*I	-0.007776767469480808+0.00003191413362328707*I	0.009067232374680925-0.00003454476725723074*I	-0.013667791056196399+0.00004935816253319321*I	0.015595782994926373-0.00005039713913029583*I	-0.023024152001714093+0.00006875981906497524*I	0.02693011918692093-0.00006862315757755412*I	-0.03964281292526159+0.00009096400766063714*I	0.049132558246076256-0.0000902834569423903*I	-0.07177682386790753+0.00011636902716280548*I	0.09684980937315008-0.00011575479708136934*I	-0.13244733547319473+0.00014195839975114836*I	0.1937025658656473-0.0001394278476483535*I	-0.170910853570136+0.0001501696623482031*I	0.19220807549212734-0.00013278590546496574*I	-0.12889965930998104+0.00012628566100049584*I	0.09207403028829572-0.00009556956193039488*I	-0.06400005639842671+0.00008445489353951835*I	0.04006532587139531-0.00005573868968515951*I	-0.025975021869065164+0.00004160584512744389*I	0.011334336191994537-0.000018226018447258283*I
0.008027273862541031-0.000015169454214632445*I	-0.012202563714144028+0.000021058227227806396*I	0.02858041938571378-0.000046784971097372333*I	-0.032624478055238444+0.00004420263339073824*I	0.0692930192002649-0.00008256048126931854*I	-0.08479793139900015+0.00007219880043451944*I	0.18510078221661558-0.00012555612689433974*I	-0.27774952249639573+0.0001067852242591443*I	0.648147795951094-0.00016702459363345358*I	-0.27834107582968326+0.0001097347684553053*I	0.1868754425114324-0.000134345604149494*I	-0.08667595363160248+0.00008116217501072323*I	0.07315242649959248-0.00010047332551951542*I	-0.03614174070252184+0.000059543204661928256*I	0.03527280156229354-0.00007454211439601712*I	-0.01812339949610285+0.000043452634088357914*I	0.019097401271278427-0.00005400344791944629*I	-0.009931717237466043+0.00003057473301041876*I	0.01069775349859301-0.00003672757938806337*I	-0.005406468775067549+0.00001954509075985985*I	0.0055216547811187166-0.000021367046014009393*I	-0.0024113423071046598+9.541710974337345*^-6*I	0.0017123730943663618-7.01695267829217*^-6*I	-0.0027257776776896934+0.000011337909751102532*I	0.006464961072493694-0.00002672419880724645*I	-0.00874715539788854+0.000034462170829719134*I	0.014254853786270297-0.00005442055212811269*I	-0.01675507815600337+0.00005899313904405224*I	0.025312633082460706-0.00008415577780038035*I	-0.029237092480611168+0.00008607323653243436*I	0.04330125169541802-0.00011713677462941537*I	-0.05155327194246737+0.00011710322428153594*I	0.07608577428001301-0.00015447545662492852*I	-0.0966395952119856+0.00015339935423593553*I	0.14068060019628678-0.0001955853210421641*I	-0.1956093115075719+0.00019345232473131027*I	0.2592719111602292-0.00023086511785151557*I	-0.388352806229663+0.00021973900859080183*I	0.2576387335515662-0.0002224920336644699*I	-0.1927549053100636+0.00017917427776769403*I	0.13552521807943663-0.00017019918221326602*I	-0.09045665640260424+0.00012435070806267147*I	0.06655174436318201-0.00011124679506516943*I	-0.04091422106625599+0.000072236010735001*I	0.02761050667347323-0.00005458484393583562*I	-0.011879259390424484+0.000023647408029836836*I
-0.0041745751846237284+9.119450632674883*^-6*I	0.006260236923841763-0.000012619179047408988*I	-0.014606136848819468+0.000028112062817167908*I	0.01623538631458187-0.00002645876901718098*I	-0.034100024740803044+0.00004964070560291685*I	0.039944582476696584-0.000043312534349088226*I	-0.08573372702054019+0.00007630243919667819*I	0.12135826541481846-0.00006605767806448845*I	-0.27834107582968315+0.0001097347684553053*I	0.5190109386092601-0.00009109360746314022*I	-0.27869174910745803+0.00011164496007318933*I	0.12184379653460749-0.00006864354640672698*I	-0.08683964736071896+0.00008210129949353087*I	0.040993794401703774-0.000048581294531876496*I	-0.03614174070252184+0.00005954320466192824*I	0.018033814335835-0.00003462003190035401*I	-0.01795970576698635+0.00004251350960555028*I	0.009180249107825033-0.000024032025302955836*I	-0.009581043959691279+0.000028664541392534734*I	0.004798652625602091-0.000015246651072931268*I	-0.004814915441780096+0.00001659554656369886*I	0.002096820461967111-7.4144336073580545*^-6*I	-0.0014755466855645963+5.438072212178595*^-6*I	0.0023298201385338994-8.752228360621273*^-6*I	-0.005513914605259938+0.000020585630855831844*I	0.007549274897325745-0.000026644063466629238*I	-0.012318997309343554+0.00004199608549062447*I	0.014764233012100857-0.00004575684340574798*I	-0.02239266234295208+0.00006513348003287464*I	0.02666505810864998-0.00006709250103664235*I	-0.03964281292526161+0.00009096400766063717*I	0.04939761932434721-0.00009181411348330206*I	-0.07240831352666954+0.00011999536619490607*I	0.09768135935597562-0.00012039509280591722*I	-0.13379612922004755+0.00014932047679371712*I	0.19522052334300244-0.00014732855143895503*I	-0.1731737064343569+0.00016149816511565836*I	0.1946540344384479-0.00014421891225531894*I	-0.13244733547319468+0.00014195839975114833*I	0.09589834080034945-0.00011096373247440389*I	-0.06951397100368664+0.00010504052439535019*I	0.04612011039520122-0.00007574081096840101*I	-0.03474634301519508+0.00006792919186741588*I	0.021322790119241052-0.000043797626702031817*I	-0.014615894873471263+0.00003321934640958754*I	0.006263489541974485-0.000014321715332153287*I
