0.46195420000484316-0.000036302759691404916*I	-0.19201876274357788+0.00003052926447915827*I	0.11410209127881693-0.0000360831574717121*I	-0.05070397752889379+0.000022651642714942127*I	0.03800984357302873-0.00002680137292022489*I	-0.018027800780505792+0.00001623239186902218*I	0.016073560391727845-0.000020093022608791066*I	-0.008041297401696465+0.000012130748257224841*I	0.008050333026436377-0.000015495092422713806*I	-0.004192414632217378+9.364212210872126*^-6*I	0.004526911806636979-0.000012178302746680834*I	-0.0024269161929725462+7.354923070917305*^-6*I	0.0027538375077729663-9.64377484677383*^-6*I	-0.0015057676644720612+5.800108908677024*^-6*I	0.0017634660656541095-7.605975112810034*^-6*I	-0.0009748391522182336+4.532604421811283*^-6*I	0.001161051844261033-5.894354237401993*^-6*I	-0.0006421988612990652+3.453154919265128*^-6*I	0.0007655450849516543-4.4008906342634825*^-6*I	-0.00041695766114491776+2.498441317254561*^-6*I	0.00048532814832723096-3.0527375513857095*^-6*I	-0.0002516046644417863+1.625068511590812*^-6*I	0.0002694860075049792-1.7973075169425466*^-6*I	-0.00011865058497057381+8.009123211771364*^-7*I	0.00008646582749797435-5.935643880918051*^-7*I	-0.00014074695687978808+9.711342603484813*^-7*I	0.0003357751402548158-2.3057636972656612*^-6*I	-0.0004382029528333294+2.938993117309194*^-6*I	0.0007093480046395045-4.670087842436045*^-6*I	-0.0007874224246687439+4.986170010479034*^-6*I	0.0011675916196564977-7.156942395148474*^-6*I	-0.001237479172500043+7.174521157775591*^-6*I	0.001779301530344094-9.841982526664814*^-6*I	-0.0018661181087012242+9.581198186703463*^-6*I	0.0026580019096183664-0.000012820645985173466*I	-0.0028097921408695454+0.000012308865401376384*I	0.004007909678222701-0.000016218995892058706*I	-0.004328829630251775+0.00001550090880994986*I	0.006224743254850542-0.000020207072727991864*I	-0.006961405812551289+0.000019363081777589377*I	0.010132564312474526-0.000025007729276840305*I	-0.011917288594904532+0.00002418528349740082*I	0.017568970864331047-0.000030861299933157915*I	-0.02215158500228354+0.000030308571660953406*I	0.032812226781648905-0.00003775623394068289*I	-0.04529775508982391+0.00003771909981940749*I	0.06507119868670407-0.0000440699170883323*I	-0.09958353717229484+0.00004365835609315423*I	0.11957732591719922-0.0000408636400021888*I	-0.19384384090122767+0.00003218359459457216*I
-0.1920187627435779+0.000030529264479158265*I	0.4782471662105178-0.000043844962764770145*I	-0.24272274027247162+0.00005318090719410039*I	0.10381817172232644-0.000034148919650099115*I	-0.06873177830939958+0.00003888403458396431*I	0.03160029138156502-0.00002346906794945594*I	-0.026069098182202256+0.000028363140126247017*I	0.012767602837206914-0.000017044953626021555*I	-0.012233712033913841+0.000021494960468096963*I	0.006284347188117583-0.000012947510156232715*I	-0.006619330825189924+0.000016719135281789433*I	0.0035173378917014993-0.000010075300350184637*I	-0.003932683857444608+0.000013155031979594329*I	0.0021377632946947265-7.900507213184036*^-6*I	-0.002480606816690294+0.000010332713330488304*I	0.0013658814050129665-6.151686937355338*^-6*I	-0.001617038013517298+7.98575934107641*^-6*I	0.0008920646894697378-4.675520682181026*^-6*I	-0.001059156522443983+5.951596236519687*^-6*I	0.0005759061700913768-3.377565560791399*^-6*I	-0.0006685623255867039+4.123509828845374*^-6*I	0.0003462724518428224-2.1947059689325345*^-6*I	-0.00037025524941236023+2.425980832767948*^-6*I	0.00016296857542553344-1.0810633371625456*^-6*I	-0.00011865058497057385+8.009123211771364*^-7*I	0.00019298325957742014-1.3098085678718055*^-6*I	-0.0004602993247425435+3.109215056480538*^-6*I	0.0006015249635668078-3.965147667267528*^-6*I	-0.0009740207130602871+6.300094616197416*^-6*I	0.0010835087671768957-6.731401724253515*^-6*I	-0.001607943936023869+9.662249851000064*^-6*I	0.0017094993029304576-9.69578681434224*^-6*I	-0.002461398419902203+0.00001330256442521393*I	0.002593168744645126-0.000012968366602341139*I	-0.003701071097352536+0.000017357459166268572*I	0.003938176783634523-0.000016697885159256516*I	-0.005632854106649259+0.00002200966530264922*I	0.006142951701440795-0.00002109601998966985*I	-0.008863319249830519+0.000027509067516621932*I	0.010056309067664217-0.000026472662256431955*I	-0.014686279775238445+0.000034184153064118085*I	0.01764918822591308-0.000033269046418645237*I	-0.026027576195491606+0.00004236310690112939*I	0.033839403164148865-0.00004196848898504333*I	-0.04942153931160166+0.00005179527961133872*I	0.0707768757127108-0.0000521609383213979*I	-0.09417731473322496+0.0000587258131976196*I	0.14610288820266157-0.00005727656514018475*I	-0.10140861532994462+0.00004531268620856812*I	0.09780912507314232-0.000028540954398346867*I
0.11410209127881692-0.0000360831574717121*I	-0.2427227402724716+0.000053180907194100375*I	0.6140661348566888-0.00009918729008334188*I	-0.2607505410529774+0.00006941329906312255*I	0.16818549524357349-0.00008297755300072803*I	-0.07677307571109607+0.00005101478284118913*I	0.062133736991192956-0.00006238948795172974*I	-0.030261512814419633+0.00003772735233711913*I	0.028650805224801196-0.00004776641777818569*I	-0.014660628226886387+0.000028849883539014268*I	0.015331082340846323-0.00003731717001616848*I	-0.008125098489661989+0.00002251924419046646*I	0.009044215380064058-0.000029428052706264703*I	-0.004907523009662841+0.00001768763640140562*I	0.005678355417688109-0.000023144104196985852*I	-0.0031228056779893606+0.000013785868249753437*I	0.0036900629948667966-0.000017901219984475504*I	-0.002033995674662217+0.000010484200658330975*I	0.002411925077539918-0.000013347982423051186*I	-0.0013107611868857691+7.5766647481105*^-6*I	0.0015203592407838646-9.25093570259174*^-6*I	-0.0007872129105572778+4.924422150022509*^-6*I	0.0008412799833301849-5.443609456420062*^-6*I	-0.0003702552494123602+2.4259808327679485*^-6*I	0.00026948600750497926-1.7973075169425472*^-6*I	-0.00043820295283332933+2.938993117309195*^-6*I	0.0010451231448943205-6.975851539701706*^-6*I	-0.0013663723343818616+8.896297388136712*^-6*I	0.002212714764550819-0.000014132793934850181*I	-0.002463104550002116+0.00001509968428556382*I	0.0036562411546400947-0.00002166901276424934*I	-0.0038910197058700116+0.000021741889354958094*I	0.005604895059618959-0.00002981957090698676*I	-0.005913389422070812+0.000029064584745855447*I	0.00844521311818516-0.00003888162440389699*I	-0.009004739879822546+0.00003739097239802971*I	0.012890654842691609-0.00004924671460522405*I	-0.01410002758367261+0.000047172855988915635*I	0.020365217245547764-0.00006143379789689089*I	-0.0232075240377076+0.00005904927408494006*I	0.033926278431656125-0.0000760761019379901*I	-0.041030279409739356+0.00007385693693594359*I	0.060513761958454454-0.00009362526315068108*I	-0.07936662868701196+0.00009221295497776168*I	0.11545239633268402-0.00011268745096217311*I	-0.1670328772644023+0.00011168602757351513*I	0.21746075138555218-0.000122689791031204*I	-0.3387251331633463+0.00011356105050713385*I	0.1846485246039032-0.0000849335570905211*I	-0.09958353717229484+0.000043658356093154225*I
-0.05070397752889378+0.000022651642714942116*I	0.10381817172232642-0.00003414891965009911*I	-0.2607505410529774+0.00006941329906312255*I	0.5098474575920827-0.00006731403071422607*I	-0.26879183845467386+0.00008154404732034739*I	0.11658577455953333-0.00005119387327612065*I	-0.08096549034331339+0.00006037899505206124*I	0.03788463856968259-0.000036416578105688644*I	-0.03268842900739217+0.00004508227540803642*I	0.0162849407289084-0.00002712025397620618*I	-0.016166395891358445+0.00003464999244769129*I	0.008422110482812308-0.00002084801736941675*I	-0.009099937641880218+0.000027051848612277734*I	0.004883219296714466-0.000016226987287539974*I	-0.0055497218709619055+0.000021140791320670734*I	0.0030298279841644645-0.000012576027895365057*I	-0.0035397633391342767+0.00001628430956700799*I	0.0019417875751043439-9.529252498146735*^-6*I	-0.002285600339104002+0.000012109269169921777*I	0.00123833714131256-6.870226651113557*^-6*I	-0.0014294117718563425+8.377577069287632*^-6*I	0.0007388747455169103-4.458628897953944*^-6*I	-0.0007872129105572778+4.924422150022507*^-6*I	0.0003462724518428224-2.1947059689325337*^-6*I	-0.0002516046644417863+1.6250685115908111*^-6*I	0.0004085417039893877-2.6553390993957214*^-6*I	-0.0009740207130602867+6.300094616197414*^-6*I	0.0012764920267543162-8.041210292125318*^-6*I	-0.002068243260766412+0.000012771464907480601*I	0.002311024266497265-0.000013660934481609765*I	-0.003435419132962488+0.000019602659041411335*I	0.00367667751182202-0.00001969976832659464*I	-0.005309015033376404+0.00002701970901726863*I	0.00564767608656498-0.000026393671973598757*I	-0.00809425252655146+0.00003531222972786315*I	0.008736120446085918-0.000034064386592010985*I	-0.012564390347183053+0.000044866526682890504*I	0.013994485851298743-0.00004317054741568846*I	-0.0203191338818877+0.0000561938183667673*I	0.02379213992735387-0.000054365066408315084*I	-0.03489089544532211+0.0000698721744177513*I	0.043895712231813044-0.00006844115124147524*I	-0.06410781908684003+0.00008597943267545673*I	0.08842606393862382-0.00008542998474004307*I	-0.12020489092871656+0.00010108892009874896*I	0.17994229136681042-0.00009924505412522808*I	-0.1508301546415462+0.00009710796581990683*I	0.16858600078585306-0.00008070189271974475*I	-0.09417731473322494+0.00005872581319761959*I	0.04829376312951921-0.000028735610741837873*I
0.03800984357302874-0.00002680137292022489*I	-0.0687317783093996+0.0000388840345839643*I	0.1681854952435735-0.00008297755300072804*I	-0.26879183845467397+0.00008154404732034742*I	0.6381900282748532-0.00013477540511484676*I	-0.2729842530868913+0.00009090825953121952*I	0.18076274007664686-0.00011065094817012266*I	-0.08339240653628596+0.00006773391812297855*I	0.06941448630560286-0.00008421156554518438*I	-0.034194196671864234+0.000050882384316713455*I	0.03316810879822827-0.00006501616773776957*I	-0.01714123504357669+0.000039182596869502586*I	0.018255600250761467-0.00005081749936638052*I	-0.009742136503179288+0.000030505003531542876*I	0.010970812309276745-0.00003972329757793018*I	-0.005966679532106826+0.00002363923263792531*I	0.006929228650966994-0.00003059773238263505*I	-0.0037913680035760646+0.000017909378078598808*I	0.004444877150699006-0.000022751265052803764*I	-0.002404250924074577+0.000012910181491098917*I	0.002767876912542871-0.000015738854328085534*I	-0.0014294117718563425+8.377577069287632*^-6*I	0.001520359240783864-9.250935702591736*^-6*I	-0.0006685623255867043+4.123509828845373*^-6*I	0.00048532814832723096-3.05273755138571*^-6*I	-0.0007874224246687438+4.986170010479035*^-6*I	0.001876939624296002-0.000011827030237584518*I	-0.0024631045500021166+0.00001509968428556382*I	0.0039920162948949124-0.000023974776461514996*I	-0.004469969615583128+0.000025652016732615765*I	0.006650018204513276-0.00003679542244668844*I	-0.007139014799572884+0.000036989747873643664*I	0.010322152742481164-0.00005070865464148152*I	-0.011029641476991332+0.000049551663566284345*I	0.015837547992692203-0.00006624563952703735*I	-0.01720362486487388+0.0000639285753333947*I	0.024802520685510233-0.00008409642640872918*I	-0.027883434287278373+0.00008093933767301995*I	0.04059219001949719-0.00010511574381522229*I	-0.048168901180860674+0.00010166671114726985*I	0.07074641489152769-0.00013005133177073166*I	-0.09065686412981501+0.0001270769455653009*I	0.131809703900009-0.0001579022529670052*I	-0.18591157167185807+0.00015523439284850522*I	0.24516228656235778-0.00017855882024120216*I	-0.37279400676053437+0.00016805490566548813*I	0.23502972224988322-0.00015355109096436192*I	-0.16703287726440233+0.00011168602757351514*I	0.09788342546835298-0.00008182615102901521*I	-0.04529775508982391+0.00003771909981940749*I
-0.018027800780505795+0.00001623239186902218*I	0.03160029138156502-0.000023469067949455932*I	-0.07677307571109603+0.000051014782841189134*I	0.11658577455953333-0.00005119387327612064*I	-0.2729842530868912+0.0000909082595312195*I	0.5161318047802003-0.00008026154087045877*I	-0.27541116927986375+0.00009826318260213677*I	0.12010311245123478-0.00006126917362630525*I	-0.084898174200758+0.00007353402703165552*I	0.0400224018643773-0.000044317085318872656*I	-0.03516903582408246+0.000055414988738524724*I	0.01765082213392138-0.00003327194091356153*I	-0.01778343390487575+0.00004263575178876771*I	0.00931417517228205-0.000025523538051597782*I	-0.010159094164324204+0.00003300344484879743*I	0.005459125466805843-0.00001960455284833137*I	-0.00621828419654861+0.000025264301149516105*I	0.003376100436007288-0.000014770733864297594*I	-0.003910018588546637+0.000018710290399775938*I	0.0021047561505298756-0.000010610315835309281*I	-0.0024042509240745757+0.000012910181491098915*I	0.0012383371413125603-6.870226651113556*^-6*I	-0.0013107611868857691+7.576664748110497*^-6*I	0.0005759061700913769-3.377565560791399*^-6*I	-0.0004169576611449178+2.49844131725456*^-6*I	0.0006749670631875081-4.076062624857791*^-6*I	-0.0016079439360238692+9.662249851000061*^-6*I	0.0021180410069198447-0.000012351125913737962*I	-0.003435419132962489+0.000019602659041411345*I	0.0038696607713994413-0.00002100957689446645*I	-0.005769314358118946+0.000030128924073749157*I	0.006249201050131789-0.000030358819640866273*I	-0.009068273239611749+0.00004161232434406057*I	0.009819629213262819-0.000040795788316264505*I	-0.014172334283206925+0.000054528776533890565*I	0.015703985154229202-0.00005286633423003072*I	-0.022780532301789908+0.00006949638279198126*I	0.026385308671998998-0.00006733343301065625*I	-0.03859196654267466+0.00008722963358401989*I	0.0478338890154476-0.00008513903640073177*I	-0.06974067319348932+0.00010798909797810597*I	0.09456901564006458-0.0001065260047297129*I	-0.12906821017854697+0.0001285979876153708*I	0.18999860043447458-0.0001257177163816599*I	-0.16551643441678465+0.00013129211888402483*I	0.1862351890117662-0.00011397093913838999*I	-0.12020489092871654+0.00010108892009874896*I	0.08213316629366808-0.0000707040997268812*I	-0.04942153931160165+0.000051795279611338716*I	0.02248311258319156-0.000023425327579560012*I
0.01607356039172785-0.000020093022608791072*I	-0.02606909818220227+0.000028363140126247017*I	0.06213373699119294-0.00006238948795172975*I	-0.08096549034331343+0.000060378995052061266*I	0.18076274007664686-0.00011065094817012268*I	-0.2754111692798637+0.0000982631826021368*I	0.6454707775892629-0.00015659748270830135*I	-0.2769169369443358+0.0001040632915108138*I	0.18528004365007383-0.00012790069812970646*I	-0.08587301335297624+0.00007806663145346683*I	0.07233900421551803-0.00009771189489539642*I	-0.03581123468538155+0.000058868143657789894*I	0.035094705727440965-0.00007531141260943506*I	-0.018200391566020675+0.00004513419310602228*I	0.019506473484040356-0.00005827112755202971*I	-0.010410698828765991+0.00003462851336038825*I	0.011725626465108956-0.00004457334264625845*I	-0.006336934781519188+0.000026065213470693256*I	0.007285180485969949-0.0000329886042876694*I	-0.003910018588546638+0.000018710290399775938*I	0.004444877150699008-0.000022751265052803764*I	-0.0022856003391040023+0.000012109269169921783*I	0.0024119250775399177-0.000013347982423051184*I	-0.0010591565224439827+5.951596236519688*^-6*I	0.0007655450849516544-4.400890634263481*^-6*I	-0.0012374791725000432+7.174521157775591*^-6*I	0.002946893150000591-0.000016998924921813288*I	-0.003891019705870012+0.00002174188935495809*I	0.006314243064258461-0.0000344896587494228*I	-0.0071390147995728835+0.00003698974787364367*I	0.010657927882735974-0.00005301441833874716*I	-0.01160859138670445+0.00005346179094394202*I	0.016882671137586527-0.00007322149106673907*I	-0.01842925024237596+0.00007185373846118293*I	0.026679460309806245-0.00009592345664631371*I	-0.029908335884447166+0.00009310002884127456*I	0.04353908316949779-0.00012211466873703563*I	-0.05127249846206196+0.00011842243049174894*I	0.07518371833149018-0.00015271396028256997*I	-0.09533277437938578+0.00014896700915338078*I	0.13847561548785012-0.0001869418948442374*I	-0.19305019344297927+0.00018304416705983145*I	0.25539493949543085-0.0002149848888612526*I	-0.38408424220333737+0.00020291889625302715*I	0.2513870298172083-0.00019876589296919398*I	-0.1859115716718581+0.00015523439284850527*I	0.1255849606451585-0.0001376951802390134*I	-0.07936662868701197+0.00009221295497776171*I	0.05038119764597996-0.00006861753387384083*I	-0.022151585002283546+0.000030308571660953413*I
-0.008041297401696464+0.000012130748257224838*I	0.012767602837206913-0.000017044953626021555*I	-0.030261512814419633+0.00003772735233711913*I	0.037884638569682584-0.00003641657810568864*I	-0.08339240653628596+0.00006773391812297853*I	0.1201031124512348-0.00006126917362630525*I	-0.2769169369443359+0.00010406329151081376*I	0.518269568074895-0.00008816204808364278*I	-0.277891776096554+0.00010859589593262506*I	0.12146899385624775-0.0000674208605636606*I	-0.08651521221427531+0.00008151978637273198*I	0.04091446655384707-0.000048992606001053715*I	-0.036228192346526474+0.00006136658497504447*I	0.01822672830401276-0.00003664950647435294*I	-0.018451996230462463+0.000046759261617613096*I	0.009660447624124878-0.00002771824402053033*I	-0.01052934941373657+0.000035429425681565385*I	0.00562209404223138-0.00002068561618549392*I	-0.006336934781519188+0.000026065213470693256*I	0.003376100436007288-0.00001477073386429759*I	-0.003791368003576065+0.0000179093780785988*I	0.0019417875751043436-9.529252498146736*^-6*I	-0.002033995674662216+0.00001048420065833097*I	0.0008920646894697378-4.675520682181024*^-6*I	-0.0006421988612990652+3.4531549192651267*^-6*I	0.0010345322397429498-5.6197241894844505*^-6*I	-0.0024613984199022025+0.000013302564425213931*I	0.003268135807832634-0.00001704442922719893*I	-0.005309015033376407+0.000027019709017268626*I	0.00605621779055437-0.00002904901107299448*I	-0.009068273239611749+0.000041612324344060555*I	0.010012612472840238-0.000042105596884136305*I	-0.014632633607949475+0.00005763799159037111*I	0.01630551011779602-0.00005683148189729827*I	-0.023754553014850206+0.0000757964774081787*I	0.027468817439175914-0.0000740648347349098*I	-0.04019991047869855+0.00009689188343502001*I	0.049543388318378075-0.00009483482321507409*I	-0.07220207161339157+0.00012129166240331997*I	0.09716218438470978-0.0001194943713320541*I	-0.13276928127589957+0.0001459554467816394*I	0.1939367772181091-0.00014241560154091643*I	-0.17114928852343383+0.00015330178418667399*I	0.19237814071320694-0.00013506695912805973*I	-0.12906821017854705+0.00012859798761537082*I	0.09218947536133229-0.00009717676198331312*I	-0.06410781908684009+0.00008597943267545677*I	0.04013230080910463-0.000056694373998205245*I	-0.026027576195491613+0.000042363106901129395*I	0.01135629058095731-0.00001854316140548332*I
0.008050333026436375-0.000015495092422713803*I	-0.012233712033913841+0.00002149496046809696*I	0.028650805224801193-0.00004776641777818569*I	-0.03268842900739217+0.00004508227540803643*I	0.06941448630560286-0.00008421156554518437*I	-0.08489817420075797+0.00007353402703165554*I	0.18528004365007375-0.00012790069812970643*I	-0.27789177609655397+0.00010859589593262506*I	0.6483952954991778-0.00017009781205851336*I	-0.2785339749578532+0.00011204905085189019*I	0.18720664057928652-0.00013819594300137198*I	-0.08693216987542023+0.00008401822768998658*I	0.07358987744879693-0.0001051655230810457*I	-0.036479797010968255+0.00006299165348663528*I	0.03584951988327319-0.00008016145767776336*I	-0.01857064681543304+0.00004756017393879024*I	0.019862425319043312-0.000060661999457064074*I	-0.010529349413736568+0.000035429425681565385*I	0.011725626465108954-0.000044573342646258435*I	-0.006218284196548611+0.000025264301149516115*I	0.006929228650966993-0.00003059773238263504*I	-0.0035397633391342767+0.000016284309567007992*I	0.003690062994866796-0.00001790121998447551*I	-0.0016170380135172987+7.98575934107641*^-6*I	0.001161051844261033-5.894354237401992*^-6*I	-0.0018661181087012242+9.581198186703463*^-6*I	0.004437303439962457-0.000022662628511838278*I	-0.005913389422070811+0.000029064584745855437*I	0.009612804737841655-0.000046038566799045465*I	-0.01102964147699133+0.00004955166356628433*I	0.0165468959973317-0.00007091572736947338*I	-0.01842925024237595+0.00007185373846118293*I	0.027015235450061053-0.00009822922034357941*I	-0.030487285794160286+0.00009701015621893228*I	0.04458420631439213-0.00012909052027673735*I	-0.052498123839564044+0.0001263475936195372*I	0.07706065795578619-0.0001645409905201546*I	-0.09735767597655459+0.0001611277003216355*I	0.1414225086378507-0.00020394081976605073*I	-0.19615379072418065+0.0001997998864043106*I	0.2598322429353933-0.00023764751737309097*I	-0.38876015245290807+0.000224808959841107*I	0.25805294140504914-0.000227805534846426*I	-0.19305019344297925+0.00018304416705983135*I	0.1358176135782317-0.00017412124885906387*I	-0.090656864129815+0.00012707694556530086*I	0.06673850521330497-0.0001138323358786729*I	-0.04103027940973935+0.00007385693693594359*I	0.02770153517680557-0.000055869029209998207*I	-0.01191728859490453+0.000024185283497400817*I
-0.0041924146322173785+9.364212210872126*^-6*I	0.006284347188117583-0.000012947510156232713*I	-0.014660628226886387+0.00002884988353901426*I	0.01628494072890841-0.00002712025397620618*I	-0.034194196671864234+0.00005088238431671345*I	0.04002240186437731-0.000044317085318872656*I	-0.08587301335297623+0.00007806663145346681*I	0.12146899385624772-0.00006742086056366059*I	-0.27853397495785315+0.00011204905085189021*I	0.5191616327643649-0.00009283756876582382*I	-0.2789509326189981+0.00011454749216914483*I	0.12204490002633919-0.00007079842612445207*I	-0.08718377453986204+0.00008564329620157742*I	0.041260739005689905-0.000051187311969986285*I	-0.03659844759593883+0.00006379256580781244*I	0.018389696879438304-0.00003773056981151551*I	-0.018570646815433047+0.00004756017393879025*I	0.009660447624124881-0.000027718244020530332*I	-0.010410698828765995+0.00003462851336038826*I	0.005459125466805845-0.00001960455284833138*I	-0.0059666795321068255+0.000023639232637925303*I	0.0030298279841644658-0.000012576027895365062*I	-0.0031228056779893615+0.000013785868249753435*I	0.0013658814050129667-6.151686937355339*^-6*I	-0.0009748391522182338+4.532604421811283*^-6*I	0.0015586365049021765-7.348642412856691*^-6*I	-0.0037010710973525364+0.000017357459166268575*I	0.004972709023377476-0.000022317609348740977*I	-0.008094252526551465+0.000035312229727863174*I	0.00941108750927343-0.00003814044921686879*I	-0.014172334283206932+0.00005452877653389058*I	0.0161125268582186-0.00005552167332942645*I	-0.023754553014850206+0.0000757964774081787*I	0.027661800698753354-0.00007537464330278164*I	-0.04066020980344113+0.00010000109849150062*I	0.05014491328194492-0.00009879997088234165*I	-0.07317609232645189+0.0001275917570195175*I	0.09824569315188669-0.0001262257730563077*I	-0.1343772252119235+0.0001556176966326396*I	0.19564627652103958-0.0001521113883552588*I	-0.1736106869433361+0.00016660434861188805*I	0.194971309457852-0.0001480353257304009*I	-0.13276928127589951+0.00014595544678163935*I	0.09612765214496677-0.00011387464714256958*I	-0.06974067319348931+0.00010798909797810595*I	0.04627525251054542-0.00007779039398787507*I	-0.034890895445322125+0.00006987217441775129*I	0.021412599648621525-0.00004501582366191525*I	-0.014686279775238445+0.00003418415306411807*I	0.006292897644955772-0.000014725885013161921*I
