-0.44619638966228253-358.58512514783706*I	0.49993661005836565+0.6338532626587089*I	-0.053676835069805244+357.95122189151715*I	-4.285682507207194*^-9-0.4189529029901107*I	0.05363494406516553-357.5322689885268*I	-0.000020409164612242986+0.20405258415769623*I	-0.05359412964213902+357.3282164064101*I	-3.454608040116044*^-9-0.15883309618982677*I	0.05357824978713234-357.1693833102199*I	-0.000011364498082665209+0.11361366316124469*I	-0.053555523922716786+357.0557696481951*I	-2.9244275724725054*^-9-0.09249610290355229*I	0.05354627723685816-356.9632735452913*I	-7.14032374141832*^-6+0.07137859703891264*I	-0.05353199905343862+356.89189494896647*I	-1.9197737746289717*^-9-0.058112201697739514*I	0.05352618975300269-356.83378274726863*I	-4.486324184364843*^-6+0.044845852479997866*I	-0.05351721884358053+356.78893689523727*I	-1.555083042209266*^-9-0.034909170616377154*I	0.05351372948165378-356.7540277246206*I	-2.4982573168311206*^-6+0.024972521846957696*I	-0.05350873397217444+356.7290552030233*I	-5.862201511301927*^-10-0.0165067169679386*I	0.053507083886724253-356.71254848605554*I	-8.044939339216239*^-7+0.0080409293069163*I	-0.05350547529982196+356.70450755682873*I	0.08917673054946951-356.7125431355884*I	-0.07134250956318866+0.008026661086460801*I	-0.0891775336551372+356.721008923008*I	0.14268506022392788-0.016478180285627496*I	0.08918413833603038-356.73751565702906*I	-0.21403421615349935+0.024929715877490585*I	-0.0891866324417198+356.763959022017*I	0.28538351501573433-0.03485209461067076*I	0.08920060041241189-356.7988682253789*I	-0.35674678340707955+0.044774504692432576*I	-0.08920507978376438+356.84704374386735*I	0.42811037781221883-0.05802658078318184*I	0.08922833079181858-356.9051559911078*I	-0.499497225149725+0.07127870009134032*I	-0.0892354613432293+356.9843856965283*I	0.5708848478257542-0.09238192778217995*I	0.08927246831005456-357.0768818529004*I	-0.6423094803983811+0.11348520524066122*I	-0.08928382016546985+357.2145973854235*I	0.7137365105152478-0.15869035206226398*I	0.0893473639019815-357.37343053496494*I	-0.7852270878286339+0.20389554588082073*I	-0.08936775751372789+357.74716394386485*I	0.8567346176715503-0.4187815644430634*I	-0.410464648513732-358.16611688350264*I	-0.42840974577636637+0.6337176028930411*I	0.9104012670891506+357.95131650481716*I
0.4999366100611336+0.6338532626593528*I	0.000041908801348036775-0.848753626519289*I	0.4999366057748664+0.21490035966904558*I	-0.49991618732719034+0.000049950782986550245*I	-0.00002041345259777929-0.21490031883327773*I	0.00005779415521573168+0.1696808250842847*I	-0.00002041262010947422+0.04521948796958829*I	0.000031780567216904275-5.811826782162625*^-8*I	-0.000011367952919272666-0.0452194330293528*I	0.000025145562428649376+0.024101870256161062*I	-0.000011367422483787485+0.02111756025859156*I	0.000018510668214232493-5.6245765848181776*^-8*I	-7.143251355073456*^-6-0.02111750586390159*I	0.000015070605790342816+0.007851109014736485*I	-7.142243533905309*^-6+0.013266395342156193*I	0.000011630480487849915-4.7288671332629446*^-8*I	-4.488241682835435*^-6-0.013266349216455434*I	9.309086648595976*^-6+0.0033296664237500995*I	-4.487878323332589*^-6+0.00993668186183188*I	6.987689312497794*^-6-3.379122735451156*^-8*I	-2.499814368244634*^-6-0.009936648769353844*I	5.145744648504101*^-6+0.0014708433764152873*I	-2.498845942563197*^-6+0.008465804878318564*I	3.3039206361151386*^-6-1.754694524264225*^-8*I	-8.050764482297215*^-7-0.008465787661794275*I	1.652054733648473*^-6+0.00042485819038198813*I	-8.044924663499678*^-7+0.008040929306259409*I	-4.346933668121294*^-8-0.008465787416233841*I	1.3830614154738589*^-9+0.0004248581144579988*I	-4.99747768769184*^-6+0.008040947098844745*I	6.605265784452873*^-6-1.7051602806333843*^-8*I	-5.10423885422867*^-6-0.009936630457946079*I	4.155966367799106*^-9+0.0014708431416144974*I	-0.000010627284469622912+0.008465839434086936*I	0.00001396952681494776-3.274367725518195*^-8*I	-0.000010815229451506449-0.013266314045516883*I	6.949555401345565*^-9+0.0033296660089019714*I	-0.000017777960375254266+0.009936730530212087*I	0.000023252925555845643-4.554488447732664*^-8*I	-0.000018232203210063655-0.021117456354008614*I	9.775552827880616*^-9+0.007851108380020844*I	-0.00002854977323598391+0.013266453809321302*I	0.00003700989441904554-5.3470322772482486*^-8*I	-0.000030177052133238142-0.045219373132340576*I	1.2642884749473193*^-8+0.02410186936172809*I	-0.00005008012002927131+0.021117622028212088*I	0.00006354719226660688-5.3352571002371626*^-8*I	-0.00006464015352619205-0.2149002528943948*I	1.555607959953493*^-8+0.16968082474128524*I	0.49985731659268917+0.04516954500730806*I	-0.4998324017416705-3.664707423892182*^-8*I	-0.00004083721305707318+0.6337533224066491*I	8.512101975309059*^-9-0.8486536413448683*I	-0.4999151335362156+0.214850370198968*I
-0.05367683507267891+357.95122189151647*I	0.49993660577771454+0.21490035966986218*I	-0.446238280669052-358.16617224484685*I	0.499916196608046+0.418952943825857*I	-0.0536360206445806+357.74716930940144*I	-0.000020416908181518367-0.37373341502153856*I	0.053619064211219265-357.37343589233836*I	-0.000031777118354859676+0.15883315113003793*I	-0.05357140377777022+357.21460274438607*I	-0.000011370877212625585-0.13771553593179658*I	0.05356900310143542-357.0768872073172*I	-0.000018507749367943367+0.09249615729825156*I	-0.0535412457363267+356.9843910518697*I	-7.145171247127657*^-6-0.07922970756072811*I	0.05354046793679608-356.90516134359456*I	-0.000011628565518849947+0.058112247823362544*I	-0.053523028146488495+356.847049096934*I	-4.489795743325281*^-6-0.04817551983455445*I	0.05352270039024723-356.7988735766504*I	-6.986137593737379*^-6+0.03490920370883595*I	-0.05351222333232562+356.7639643736402*I	-2.5004030620341677*^-6-0.026443365738064023*I	0.05351207939884892-356.737521007652*I	-3.3033361938471266*^-6+0.01650673418449137*I	-0.05350712538924627+356.7210142737978*I	-8.050748381283057*^-7-0.008465787662450125*I	0.05350708388536097-356.7125484860549*I	-0.08917753365909076+356.7210089230089*I	0.07134255066604692-0.008451519200679602*I	0.08918333522768924-356.72904986960737*I	-0.1426916654914408+0.016478196676703246*I	-0.08918002776036124+356.7474522879976*I	0.2140343590817526-0.02640055901952438*I	0.0891981063103512-356.77242486038847*I	-0.2853974845458084+0.03485212595739561*I	-0.0891911118145919+356.8121345405061*I	0.35674710942420623-0.04810417070193827*I	0.08922385141743605-356.85698047262*I	-0.4281336307424045+0.05802662400277335*I	-0.08921221033438899+356.92627344928513*I	0.4994980004849468-0.0791298084724282*I	0.08926533776210346-356.9976521474827*I	-0.5709218577254767+0.09238197755151333*I	-0.08924681319554569+357.1221012290505*I	0.6423118779425397-0.13758707460348774*I	0.08933601204782982-357.23571500244384*I	-0.7138000577127831+0.15869039906011548*I	-0.08930421377394572+357.58833079432344*I	0.7852440403549379-0.3735763706237774*I	-0.41048504212435594-357.79238347460375*I	-0.35690221593344934+0.418831584330312*I	0.4105688610588264+357.53236356517937*I	0.42832487190025126+0.21493603845119086*I	-0.4104646485158754-358.16611688350287*I
-4.2858234897222985*^-9-0.4189529029905567*I	-0.49991618732804705+0.00004995078299101394*I	0.49991619660896325+0.4189529438262985*I	0.00009970295656824767-0.6790728014340072*I	0.4999161931543182+0.2601198476374129*I	-0.49988440676171814+0.00004989266471121169*I	-0.00003178140334372352-0.26011975186144803*I	0.00008293971764655224+0.19378269534157255*I	-0.00003178004475921424+0.0663370482259038*I	0.00005029123601824856-1.1436402239514221*^-7*I	-0.000018511202720689545-0.06633693889100498*I	0.000040216168214416296+0.03195297926909912*I	-0.000018509667611047176+0.034383955600289104*I	0.000030141149035217596-1.0353443326687672*^-7*I	-0.000011631491805791581-0.03438385507997075*I	0.000024379692439152066+0.011180775436952452*I	-0.00001163012311356507+0.02320307720504911*I	0.000018618172940806265-8.107989056859675*^-8*I	-6.988058004815613*^-6-0.023202997986975823*I	0.000014454831297521111+0.004800509799384569*I	-6.986722301985818*^-6+0.018402486742108135*I	0.000010291610495240891-5.133816337113949*^-8*I	-3.304893352000388*^-6-0.018402436433105806*I	6.797799382914793*^-6+0.0018957015683766748*I	-3.303335885838842*^-6+0.016506734184949176*I	3.3039191622329447*^-6-1.75469451001796*^-8*I	-5.850327991014292*^-10-0.016506716968395986*I	-4.9540058340826815*^-6+0.01650673451539959*I	6.605264278984956*^-6-1.705160301268707*^-8*I	-5.147709209588297*^-6-0.01840241787604717*I	5.539028435603531*^-9+0.0018957012574719037*I	-0.000015624760202377405+0.016506786533381813*I	0.000020574793128673926-4.979527193099511*^-8*I	-0.000015919470813942142-0.023202944504657073*I	1.1105521661137806*^-8+0.004800509149767945*I	-0.000028405246069664275+0.018402569966287613*I	0.000037222455501452004-7.828855517157753*^-8*I	-0.000029047434582857773-0.03438377039909864*I	1.672510755096095*^-8+0.011180774387348083*I	-0.00004632773519070319+0.0232031843406008*I	0.000060262820319660514-9.901520463833675*^-8*I	-0.000048409254096119156-0.06633682948398816*I	2.2418432330252152*^-8+0.03195297773982922*I	-0.00007862989540407299+0.03438407583704858*I	0.00010055708725463626-1.0682288309876412*^-7*I	-0.00009481720409515992-0.26011962602544947*I	2.8198966525398294*^-8+0.19378269410414908*I	0.499807236472253+0.06628716703330471*I	-0.4997688545511851-8.999965300200355*^-8*I	-0.00010547736443724387+0.41885306951256757*I	2.4068186324593098*^-8-0.6789728166025911*I	-0.00005781694311446151+0.26001991520505663*I	-0.49983240174253707-3.6647069912053905*^-8*I	0.4998742963235723+0.4189029522079943*I
0.0536349440682553-357.5322689885259*I	-0.000020413454603223496-0.2149003188341151*I	-0.05363602064552537+357.7471693094012*I	0.49991619315527996+0.26011984763785445*I	-0.44625416052500483-358.00733914865845*I	0.49990482865919844+0.3737335107975982*I	-0.053613294783067075+357.633555647378*I	-0.00003178432969993312-0.3526158547655824*I	0.053609817527293185-357.280939789434*I	-0.000038920370228023166+0.1377156452666958*I	-0.0535571255925353+357.1432241480594*I	-0.000018513120889720005-0.1244491405889674*I	0.053563193799397515-357.0187750056191*I	-0.00002299598816049228+0.07922980808111532*I	-0.05353227483043473+356.9395451998376*I	-0.00001163304939156125-0.06929302569828434*I	0.05353697857723777-356.870252172976*I	-0.000014128385341694721+0.048175599052552545*I	-0.053518032631992514+356.82207657533627*I	-6.988642716587506*^-6-0.039709714953703616*I	0.05352105030322965-356.782366859684*I	-7.791212569122075*^-6+0.026443416047165866*I	-0.05351061474907727+356.7559234444157*I	-3.304893058316928*^-6-0.018402436432648054*I	0.05351207939852222-356.7375210076525*I	-2.4988460802025103*^-6+0.008465804878967809*I	-0.053508733971986605+356.72905520302356*I	0.08918413833833078-356.7375156570292*I	-0.07134915593205635+0.008451535591791293*I	-0.08918002776017603+356.74745228799827*I	0.1426918495225121-0.018373897934729145*I	0.08919730319914806-356.7639590729687*I	-0.21405493387987687+0.02640060675749012*I	-0.08918450713390426+356.7956278064853*I	0.2853979534912091-0.03965263510827412*I	0.08922135731756828-356.830537107632*I	-0.3567843318875653+0.04810424526815657*I	-0.08919824235979887+356.891364245924*I	0.4281347320947213-0.0692073983917941*I	0.0892608583879656-356.949476628993*I	-0.4995582633151494+0.07912990146130908*I	-0.0892235621908932+357.0639889818076*I	0.5709250306048487-0.12433495529358436*I	0.08932888149846069-357.15648529702463*I	-0.6424124350404742+0.13758717137057183*I	-0.08926720680631882+357.49583463795125*I	0.7138194077832857-0.3524730931670847*I	-0.4104963939816524-357.6546679420805*I	-0.28547518581275205+0.3736264375090427*I	0.4106324047956915+357.3735304156391*I	0.356834294583641+0.26014123226987235*I	-0.41048504212420717-357.79238347460296*I	0.07150752983863534-0.2148860185639505*I	-0.0893677575125151+357.74716394386553*I
-0.000020409168412234313+0.20405258415619051*I	0.00005779415521587115+0.16968082508785934*I	-0.00002041690429476097-0.37373341502342083*I	-0.4998844067619928+0.000049892664715855895*I	0.4999048286555541+0.3737335107994508*I	0.00012484851899283929-0.6549709311801868*I	0.49990482573233486+0.2812374078959597*I	-0.4998658960938117+0.00004983641895618669*I	-0.00003892465488140534-0.2812372577252362*I	0.00009801032343647784+0.20163380435494932*I	-0.000038922288119590446+0.07960344356921832*I	0.00006192171462387545-1.6165270392030546*^-7*I	-0.00002299944266943003-0.07960328810870723*I	0.00004952525486573739+0.03528264569191733*I	-0.000022997547627123062+0.04432063746425539*I	0.00003712884203171779-1.3732565734417352*^-7*I	-0.000014131308137130755-0.04432050385149051*I	0.000029525437086529282+0.012651618815620741*I	-0.000014128967067759962+0.03166888208328471*I	0.000021922090697167114-9.862684116573709*^-8*I	-7.793133492045378*^-6-0.03166878564871839*I	0.000016106886028116684+0.005225367990252416*I	-7.791215737080565*^-6+0.02644341604781216*I	0.000010291610859902135-5.13381676923274*^-8*I	-2.5004002566418696*^-6-0.02644336573882556*I	5.145744651055752*^-6+0.0014708433785681763*I	-2.498260056561872*^-6+0.02497252184568481*I	-1.5023240997099198*^-7-0.026443364974467906*I	4.155969055212725*^-9+0.0014708431437346625*I	-0.000015581291828190355+0.02497257394841912*I	0.00002057479351058151-4.979527577239169*^-8*I	-0.000015962939546158018-0.03166873192082599*I	1.2488580709597575*^-8+0.005225367264672348*I	-0.000033402721798092477+0.026443517064649966*I	0.00004382771841589127-9.534016280674879*^-8*I	-0.00003415167250753274-0.0443204008592661*I	2.0881073481907894*^-8+0.012651617531205528*I	-0.000056955021366226645+0.03166902377459009*I	0.00007423235080711414-1.3175887820753103*^-7*I	-0.000059224485523870865-0.0796031435307344*I	2.936799049788535*^-8+0.03528264374785137*I	-0.00009640785563090462+0.04432080636940362*I	0.00012381001094684-1.523677772755481*^-7*I	-0.00011304940558376854-0.2812370823792721*I	3.7974518446787426*^-8+0.20163380248285692*I	0.4997786866994839+0.07955362084379304*I	-0.4997318446570365-1.43469964365772*^-7*I	-0.00013565441672662448+0.3736336963828041*I	3.671106661597265*^-8-0.6548709472432722*I	-0.00010789706147425602+0.2811375372331954*I	-0.49976885455142317-8.999964786638858*^-8*I	0.49980965616956935+0.20400269931258574*I	1.5556079593124583*^-8+0.16968082474493326*I	-0.000016979728387883674-0.3737334072031395*I
-0.05359412964137583+357.32821640641026*I	-0.00002041261813795492+0.04521948796680486*I	0.05361906420832323-357.37343589233575*I	-0.000031781403908157937-0.2601197518618942*I	-0.05361329477956411+357.6335556473757*I	0.49990482572874917+0.2812374078979184*I	-0.44626340720840485-357.9148430457563*I	0.4998976854072436+0.3526160049362355*I	-0.05359901659836458+357.5621770510515*I	-0.000038926572811147364-0.33934945942278777*I	0.05360400822519786-357.22282758773605*I	-0.000043408609858856925+0.12444929604949945*I	-0.053548154685774646+357.0983782960274*I	-0.000023001002118144126-0.11451245872560802*I	0.05355970444200407-356.98386583500167*I	-0.00002549580652520857+0.06929315931105755*I	-0.05352727931952605+356.91457267824035*I	-0.000014131889917431972-0.06082722082088314*I	0.05353532848734641-356.85374545600627*I	-0.00001493345783983984+0.03970981138833549*I	-0.053516424048370974+356.8140356461113*I	-7.793136648531762*^-6-0.031668785647961745*I	0.05352105030646829-356.7823668596842*I	-6.986722912963978*^-6+0.018402486741654643*I	-0.053512223334917744+356.763964373641*I	-2.4998142908114196*^-6-0.00993664877212623*I	0.05351372948433385-356.75402772461877*I	-0.08918663244250569+356.7639590220182*I	0.07134929886037764-0.009922378735951441*I	0.08919810630949986-356.7724248603881*I	-0.14271242432097955+0.01837394567252551*I	-0.08918450713290156+356.7956278064852*I	0.21405544392804005-0.03162597402314003*I	0.08922055420747528-356.82207132020926*I	-0.2854417812191556+0.03965272606566486*I	-0.08919163768520981+356.874857511906*I	0.35678557616816303-0.06075586280155909*I	0.08925836428377987-356.9230332640026*I	-0.4282089644588564+0.06920752272743726*I	-0.08920959421685735+357.02907977844586*I	0.49956176221156107-0.11441254521208222*I	0.08932440212733761-357.1083097785357*I	-0.5710488406309913+0.12433509528035991*I	-0.08924395580132216+357.4377223907086*I	0.64243256044618-0.33922097385731365*I	-0.4105035245309798-357.5754382366633*I	-0.21408756314050467+0.3525232098215145*I	0.4106694117678348+357.28103425926275*I	0.2854096620070077+0.28124450973073717*I	-0.41049639398054477-357.6546679420825*I	0.1429345599588954-0.2600911653847696*I	-0.0893042137755134+357.58833079432446*I	-0.07149057731226997+0.04520519381735261*I	0.08934736390016904-357.37343053496403*I
-3.4512067265970135*^-9-0.1588330961920845*I	0.00003178056272162263-5.811827662335951*^-8*I	-0.00003177711734884329+0.15883315113230495*I	0.00008293971764208574+0.19378269533993034*I	-0.00003178433082426144-0.352615854766207*I	-0.4998658960918797+0.00004983641896401078*I	0.4998976854063421+0.35261600493685225*I	0.00013991912477889367-0.6471198221677649*I	0.49989768348668834+0.2945038032390001*I	-0.4998542656126354+0.00004978913028774936*I	-0.00004341289520431526-0.29450360694272665*I	0.00010731941008110032+0.20496347077700525*I	-0.00004341016778658779+0.08954012543378038*I	0.00006890940883752235-1.954439277272416*^-7*I	-0.000025499260589210456-0.08953993688079355*I	0.00005467099951240054+0.03675348906980125*I	-0.00002549639001297587+0.052786442343892376*I	0.00004043275899259098-1.5487259743550591*^-7*I	-0.000014936384416733398-0.05278629151457084*I	0.00003117749181592328+0.013076477006866495*I	-0.000014933459655277329+0.03970981138995522*I	0.000021922092066643098-9.862684024600082*^-8*I	-6.988642240674875*^-6-0.039709714955324174*I	0.000014454831290414071+0.004800509800354357*I	-6.986138001412547*^-6+0.034909203709486705*I	6.987690125050876*^-6-3.379122214595863*^-8*I	-1.5555569769570496*^-9-0.03490917061703356*I	-0.000010477051660204707+0.03490920440841125*I	0.000013969527641277636-3.2743672532253355*^-8*I	-0.00001096546308929895-0.039709679020005086*I	1.11055149204242*^-8+0.004800509150737225*I	-0.00003335925256401914+0.03490930448067431*I	0.000043827719803293886-9.534016218301347*^-8*I	-0.00003419514303394818-0.05278618827663549*I	2.2264130059696224*^-8+0.013076475646356731*I	-0.00006195249546922127+0.039709970873940244*I	0.00008083761292559163-1.4881047661503565*^-7*I	-0.0000643287242072471-0.08953977399145717*I	3.3523954150860004*^-8+0.036753486890913845*I	-0.00010703514140903602+0.052786645804846086*I	0.00013777954262889354-1.8511145226160477*^-7*I	-0.00012386463856180213-0.2945033964258411*I	4.4924068324532886*^-8+0.20496346848997685*I	0.4997609087370124+0.0894903513767232*I	-0.49970859173076687-1.8901484714304732*^-7*I	-0.0001538866185655425+0.3525162400301282*I	4.6486613305943996*^-8-0.6470198388656193*I	-0.00013644683874167608+0.2944039910434079*I	-0.4997318446550781-1.4346995703634846*^-7*I	0.499779479119599+0.15878332618574584*I	2.8198960951182888*^-8+0.19378269410250645*I	-0.00006705984794851778-0.3526157851762469*I	0.00006354718770893106-5.3352579707330946*^-8*I	-0.000047660421150011066+0.15883315431070627*I
0.053578249782865975-357.1693833102182*I	-0.000011367950375137936-0.045219433026415026*I	-0.05357140377578164+357.21460274438135*I	-0.00003178004418480537+0.06633704822799193*I	0.0536098175247972-357.28093978943144*I	-0.00003892465324099176-0.28123725772729125*I	-0.05359901659733459+357.5621770510514*I	0.49989768348574587+0.29450380323961656*I	-0.4462692165081207-357.8567308440594*I	0.49989319716431974+0.33934965571909725*I	-0.053590045690599566+357.51733119902036*I	-0.000043414453139138505-0.32941277755844617*I	0.053600518866012054-357.18791841712044*I	-0.000045908426256159596+0.11451264727860784*I	-0.05354315917499458+357.0734057744329*I	-0.00002549984411543763-0.10604665384795847*I	0.05355805435370234-356.96735911803484*I	-0.000026300884587864698+0.06082737165004914*I	-0.053525670731989924+356.90653174901473*I	-0.00001493638626151345-0.05278629151295164*I	0.053535328489098505-356.8537454560082*I	-0.000014128965254475712+0.03166888208266741*I	-0.05351803263564811+356.82207657533854*I	-6.988057366366074*^-6-0.023202997987492133*I	0.05352270039318292-356.7988735766521*I	-4.487879238790349*^-6+0.009936681864487651*I	-0.05351721884571425+356.78893689523636*I	0.08920060041450237-356.79886822537924*I	-0.07136326839132705+0.009922410082639811*I	-0.0891911118142232+356.8121345405051*I	0.14271289326641096-0.023174454824373365*I	0.0892213573157929-356.8305371076303*I	-0.21409927165731457+0.03162606498054765*I	-0.08919163768320518+356.8748575119057*I	0.2854430666026039-0.05272920171424829*I	0.08925756117767362-356.9145674765848*I	-0.3568664137959837+0.060756003528287944*I	-0.08920298953687787+357.0125730444272*I	0.4282126062835564-0.10596100962170307*I	0.08932190802280159-357.0818664135474*I	-0.49969954177276704+0.11441271654559607*I	-0.08922998782831695+357.4028131873485*I	0.5710692920537774-0.3292985637748296*I	-0.41050800390066144-357.52726271817653*I	-0.1427239687343514+0.3392711337313551*I	0.4106926627736684+357.22292201202214*I	0.21402281466999026+0.2944966290394559*I	-0.41050352453007716-357.5754382366619*I	0.2143221826337126-0.2811943930762768*I	-0.08926720680633267+357.49583463794903*I	-0.14291520988843093+0.06630847127944296*I	0.08933601204480937-357.2357150024426*I	0.07142703011919396-0.04520514681950716*I	-0.08928382016350414+357.21459738541967*I
-0.000011364496905259542+0.11361366316238566*I	0.00002514556243274008+0.024101870254035568*I	-0.000011370878502041913-0.13771553593099772*I	0.000050291234641506986-1.1436402729587545*^-7*I	-0.000038920367575869414+0.13771564526595434*I	0.00009801032344020176+0.20163380435644324*I	-0.00003892657542866037-0.3393494594234546*I	-0.49985426561021384+0.00004978913028146455*I	0.4998931971645555+0.3393496557197304*I	0.00014922821142895903-0.6437901557435636*I	0.49989319560844125+0.30444048510109767*I	-0.4998472779203491+0.000049755339057623686*I	-0.00004591271255803778-0.30444025571227706*I	0.00011246515472545185+0.20643431415463712*I	-0.000045909010751899774+0.09800593031120076*I	0.00007221332628543333-2.1299085797620708*^-7*I	-0.000026304336832591764-0.09800572454158972*I	0.000056323054243165+0.03717834725933605*I	-0.00002630088268452995+0.060827371649998435*I	0.00004043276092638774-1.5487259829684684*^-7*I	-0.000014131893729047953-0.060827220820672656*I	0.000029525437086338507+0.01265161881699059*I	-0.000014128381475571832+0.04817559905129469*I	0.000018618171735535715-8.10798982455669*^-8*I	-4.4897983680390954*^-6-0.04817551983320971*I	9.309086650978647*^-6+0.0033296664198147197*I	-4.486321640936538*^-6+0.044845852482484905*I	-3.3817976180224116*^-7-0.048175518453653116*I	6.949557364139438*^-9+0.003329666004994014*I	-0.000028255012001802743+0.04484593494226627*I	0.0000372224543067227-7.82885626975905*^-8*I	-0.000029197667441295143-0.060827135375533234*I	2.0881072500175533*^-8+0.012651617532495246*I	-0.00006190902636566331+0.04817575828958351*I	0.00008083761485106177-1.4881047808349384*^-7*I	-0.00006437219531994133-0.098005561406665*I	3.4907012631200376*^-8+0.037178345004253655*I	-0.0001120326161501383+0.06082759290359652*I	0.0001443848052605162-2.0216304109592132*^-7*I	-0.00012896887722791667-0.3044400268840663*I	4.9080030920190193*^-8+0.2064343116328522*I	0.4997502814526103+0.09795619080992012*I	-0.49969462220100225-2.2175852863805007*^-7*I	-0.00016470185101084836+0.33924992598399356*I	5.343617053247277*^-8-0.6436901728562474*I	-0.00015422480019883217+0.30434072157386083*I	-0.4997085917283699-1.8901485426463607*^-7*I	0.49976124691625995+0.13766586982932055*I	3.797452153971807*^-8+0.20163380248422313*I	-0.00009560962597919824-0.33934933136630496*I	0.00010055708589713265-1.0682288794847879*^-7*I	-0.00007783747216531274+0.11361378117804702*I	1.2642887904996183*^-8+0.024101869359580613*I	-2.419699211179602*^-6-0.1377155322800483*I
