0.-0.00008299740581297408*I	0.5895229759738349+0.*I	0.+0.00002404510821559066*I	-0.25618964458537813+0.*I	0.+1.5738562429470902*^-6*I	0.046381101592982935+0.*I	0.-6.211966402245376*^-6*I	0.03941986983008604+0.*I	0.+2.269979419236763*^-6*I	-0.039419870238156615+0.*I	0.+1.6720076045788192*^-6*I	0.006652994852593923+0.*I	0.-2.337307089838219*^-6*I	0.017344580664467417+0.*I	0.+6.028490233914736*^-7*I	-0.01734458086348255+0.*I	0.+1.1316090629567798*^-6*I	0.0019606234632314834+0.*I	0.-1.3276714092799052*^-6*I	0.011169160250556103+0.*I	0.+2.107553842242802*^-7*I	-0.011169160350746242+0.*I	0.+9.061606508503775*^-7*I	0.0006484696870583915+0.*I	0.-9.710076195561698*^-7*I	0.009160081106314307+0.*I	0.+5.499950892468966*^-8*I	-0.009160081137334707+0.*I	0.+8.610086048087303*^-7*I	0.009160081223435703+0.*I	0.-1.7770167271523883*^-6*I	3.6520336769300524*^-11+0.*I	0.+1.7220172145756247*^-6*I	-0.009808550890473586+0.*I	0.+2.298454940287565*^-7*I	0.010520690754303784+0.*I	0.-2.1880752203098092*^-6*I	1.212656193390875*^-10+0.*I	0.+1.977319823958786*^-6*I	-0.013129783846554735+0.*I	0.+6.633299699762845*^-7*I	0.015383957513412115+0.*I	0.-3.3333347842748917*^-6*I	2.5930012954705904*^-10+0.*I	0.+2.7304857349558217*^-6*I	-0.023997575750792057+0.*I	0.+2.0065789299582324*^-6*I	0.032766875552763274+0.*I	0.-6.955274089766185*^-6*I	6.350684288581427*^-10+0.*I	0.+4.68529460702019*^-6*I	-0.08580097204426558+0.*I	0.+0.000010106768999616273*I	0.20980854314978092+0.*I	0.-0.00003266147955745083*I	-0.3333333289839457+0.*I	0.+0.00004194970424038912*I	0.4104770157264246+0.*I
0.5895229759738215+0.*I	0.-771.4369263772436*I	0.333333331388454+0.*I	0.+1235.2478839605876*I	-0.20980854299239532+0.*I	0.-1240.075715693526*I	0.08580097142304267+0.*I	0.+858.0097101499342*I	-4.0804924716919544*^-10+0.*I	0.-327.6687579361457*I	-0.03276687538556525+0.*I	0.-87.69299868526079*I	0.023997575517039182+0.*I	0.+239.97575318034677*I	-1.9900450731746844*^-10+0.*I	0.-153.8395759926799*I	-0.01538395740026343+0.*I	0.-22.54173686475356*I	0.013129783713788097+0.*I	0.+131.29783613610442*I	-1.0017763008018932*^-10+0.*I	0.-105.20690763882797*I	-0.010520690663705284+0.*I	0.-7.121398703217751*I	0.009808550793383566+0.*I	0.+98.08550762365181*I	-3.1018410062699786*^-11+0.*I	0.-91.60081168365257*I	-0.009160081137346808+0.*I	0.+91.60081259966103*I	0.018320162397312892+0.*I	0.-6.484695939999154*I	-0.018968631960294385+0.*I	0.-90.96410990128959*I	0.0000636701767804948+0.*I	0.+112.32830739411438*I	0.021689851226336765+0.*I	0.-26.090928497276252*I	-0.024298943975886556+0.*I	0.-108.75610058432883*I	0.0002935502036647275+0.*I	0.+176.38131439582935*I	0.032728538636182636+0.*I	0.-86.13617718766703*I	-0.041342156155938836+0.*I	0.-152.28275689484383*I	0.0021163049494223873+0.*I	0.+415.3617598980938*I	0.07218674642593137+0.*I	0.-530.3409522137882*I	-0.12522084123923205+0.*I	0.+382.06599696349457*I	0.07762646951258112+0.*I	0.+4.827852713792297*I	0.13266485875116552+0.*I	0.-463.8109909166774*I	-0.5123792892313742+0.*I	0.+771.436867424946*I
0.+0.000024045108215590956*I	0.3333333313884407+0.*I	0.-0.00005737844135443503*I	0.379714432981437+0.*I	0.+0.000019406998056291337*I	-0.17038867316233386+0.*I	0.-2.368130740057899*^-6*I	0.04638110118490523+0.*I	0.-2.2699793784325207*^-6*I	0.006652994444543531+0.*I	0.+1.6046799339781937*^-6*I	-0.015422294721121447+0.*I	0.-6.245046186607267*^-8*I	0.006652994653570508+0.*I	0.-6.028490034909572*^-7*I	0.0019606232642130263+0.*I	0.+4.0678667706965133*^-7*I	-0.004214797149705784+0.*I	0.+1.4693037900936784*^-8*I	0.001960623363054872+0.*I	0.-2.1075537420641443*^-7*I	0.0006484695868623604+0.*I	0.+1.4590841552014036*^-7*I	-0.0013606095573804801+0.*I	0.-9.847459782076822*^-9*I	0.0006484696560521533+0.*I	0.-5.499950582308809*^-8*I	-3.1031733691518185*^-11+0.*I	0.+5.499950892625094*^-8*I	3.6531391452996755*^-11+0.*I	0.-5.499951257939254*^-8*I	-0.0006484696305205353+0.*I	0.+1.7484598145422164*^-7*I	0.0007121399003438505+0.*I	0.-2.3621251170723558*^-7*I	0.0007121399851092266+0.*I	0.+1.9090097675833757*^-8*I	-0.002609092970992752+0.*I	0.+4.525745736295756*^-7*I	0.002254173788120342+0.*I	0.-6.926849903422152*^-7*I	0.0022541739261716207+0.*I	0.+6.048092065530501*^-8*I	-0.008613617978068209+0.*I	0.+1.4037298806390554*^-6*I	0.008769300061305853+0.*I	0.-2.2182094248922117*^-6*I	0.008769300437045498+0.*I	0.-2.634005527943164*^-7*I	-0.053034095856446584+0.*I	0.+7.83678951693404*^-6*I	0.12400757174061561+0.*I	0.-0.00001786941595087294*I	-0.20932575787840366+0.*I	0.+0.00001939499368229833*I	0.28695222989227803+0.*I	0.+9.288224682719322*^-6*I	-0.33333332898392987+0.*I
-0.2561896445853725+0.*I	0.+1235.2478839605783*I	0.37971443298143054+0.*I	0.-2011.5126420706554*I	0.41913430281150366+0.*I	0.+2093.257594110597*I	-0.20980854340044397+0.*I	0.-1567.7444736296673*I	0.05303409603747734+0.*I	0.+770.316711464696*I	0.023997575108992253+0.*I	0.-87.69300475572855*I	-0.032766875584565064+0.*I	0.-241.5325746778991*I	0.008613618116775162+0.*I	0.+217.43401631559144*I	0.013129783514783902+0.*I	0.-22.54173985656827*I	-0.015383957500440804+0.*I	0.-127.74864450358112*I	0.002609093050082667+0.*I	0.+124.17643743288453*I	0.009808550693205936+0.*I	0.-7.121400015179332*I	-0.010520690694723861+0.*I	0.-98.72221038686465*I	0.0006484696560375702+0.*I	0.+98.08550762364602*I	0.009160081106326934+0.*I	0.-98.08550853965477*I	-0.018968631960292706+0.*I	0.+0.6367026983714996*I	0.018383832574091735+0.*I	0.+105.84361145411359*I	0.0027212192660438506+0.*I	0.-117.05503839855994*I	-0.024235273799106505+0.*I	0.+3.5722068097869615*I	0.021983401429996552+0.*I	0.+150.2903858985448*I	0.00842959466029991+0.*I	0.-194.89227777200134*I	-0.04104860595228377+0.*I	0.+24.098557500945898*I	0.03484484358558859+0.*I	0.+329.22558271031465*I	0.030844590270007632+0.*I	0.-682.623709108725*I	-0.12310453628979712+0.*I	0.+797.4277568615619*I	0.14981321593847596+0.*I	0.-525.5130995000753*I	0.007444017511901713+0.*I	0.-81.74499395337205*I	-0.4347528197186399+0.*I	0.+776.2647201386338*I	0.13266485875130685+0.*I	0.-1235.247858341614*I
0.+1.5738562429438462*^-6*I	-0.20980854299238366+0.*I	0.+0.0000194069980562944*I	0.41913430281149694+0.*I	0.-0.00006132042833744412*I	0.37971443257339643+0.*I	0.+0.00002334898508010445*I	-0.20315554854787787+0.*I	0.-3.03343022531668*^-6*I	0.07037867670193204+0.*I	0.-4.004437444876515*^-6*I	0.006652994245544648+0.*I	0.+3.339138020322073*^-6*I	-0.03080625212135807+0.*I	0.-2.58512808186325*^-7*I	0.019782778367344125+0.*I	0.-1.719765028548085*^-6*I	0.0019606231640509233+0.*I	0.+1.5237027121430012*^-6*I	-0.014735487813414666+0.*I	0.-5.01539308014994*^-8*I	0.011769174156426178+0.*I	0.-1.126763484841121*^-6*I	0.000648469555863997+0.*I	0.+1.0619165292547357*^-6*I	-0.010520690694740318+0.*I	0.-9.847459780693464*^-9*I	0.009808550793397174+0.*I	0.-9.710076195590037*^-7*I	-0.009808550890497928+0.*I	0.+1.9518627086087754*^-6*I	0.0007121399003582615+0.*I	0.-2.0132292388636695*^-6*I	0.00987222124506793+0.*I	0.-3.5909414897249044*^-8*I	-0.012417643824966513+0.*I	0.+2.4044372822350395*^-6*I	0.0029663136519732032+0.*I	0.-2.6509147166304427*^-6*I	0.012774864801734115+0.*I	0.-1.5027447568730462*^-7*I	-0.02174340170337147+0.*I	0.+4.0443796745713495*^-6*I	0.011023473728162357+0.*I	0.-4.8882142391994565*^-6*I	0.024153258209727007+0.*I	0.-8.662496021073935*^-7*I	-0.0770316713479203+0.*I	0.+0.00001257385418178002*I	0.13277687154260287+0.*I	0.-0.000022818111110772666*I	-0.17655888169062012+0.*I	0.+0.00001712501419965725*I	0.20115125848306373+0.*I	0.+0.00002408028828948265*I	-0.20932575787841348+0.*I	0.-0.000022554710557950015*I	0.20980854314976927+0.*I
0.04638110159298936+0.*I	0.-1240.0757156933953*I	-0.17038867316232886+0.*I	0.+2093.257594110433*I	0.3797144325733721+0.*I	0.-2339.181400006887*I	0.386367427425939+0.*I	0.+2005.5645954253566*I	-0.18581096788340343+0.*I	0.-1327.7687204492884*I	0.05303409583847449+0.*I	0.+616.4771354719807*I	0.008613617708723542+0.*I	0.-110.23474162052574*I	-0.019637091870776086+0.*I	0.-110.23473854179174*I	0.008613618016596963+0.*I	0.+112.22710867676652*I	0.0026090928510797973+0.*I	0.-29.663138559798302*I	-0.00557540670705961+0.*I	0.-29.66313687992667*I	0.0026090930190670603+0.*I	0.+32.575625749245724*I	0.0006484695558577613+0.*I	0.-7.121400015198131*I	-0.0013606095573776844+0.*I	0.-7.121398703199844*I	0.0006484696870577011+0.*I	0.+7.1213986383535675*I	0.00006367017677763598+0.*I	0.+14.242798854459092*I	0.0027212192660451273+0.*I	0.-25.454225798894967*I	-0.0059151114017943485+0.*I	0.-2.9124891302286833*I	0.0030147694697053584+0.*I	0.+59.326275997265896*I	0.008493264837083014+0.*I	0.-82.56397037787691*I	-0.01935875472594928+0.*I	0.-1.99237099633663*I	0.010545899609717857+0.*I	0.+220.4694821260265*I	0.03113814047365615+0.*I	0.-506.2423947128168*I	-0.09037599765365423+0.*I	0.+711.2915796738979*I	0.10847105978250271+0.*I	0.-677.7958563949716*I	0.009560322461435788+0.*I	0.+333.6167659447872*I	-0.3625660732928435+0.*I	0.+245.9237679250108*I	0.007444017511818668+0.*I	0.-853.1818613781703*I	0.07762646951245311+0.*I	0.+1240.0757110552852*I
0.-6.211966402246411*^-6*I	0.08580097142304442+0.*I	0.-2.3681307400579916*^-6*I	-0.20980854340045493+0.*I	0.+0.0000233489850801035*I	0.3863674274259188+0.*I	0.-0.00006198572782269537*I	0.4037120080904064+0.*I	0.+0.000021614527013654688*I	-0.20315554874685327+0.*I	0.-1.2989721389693158*^-6*I	0.05499471930164731+0.*I	0.-4.200499791195419*^-6*I	0.019782777959308284+0.*I	0.+2.2222219952645783*^-6*I	-0.03080625222152785+0.*I	0.+8.584032268881897*^-7*I	0.00926208770362821+0.*I	0.-1.7846119972509803*^-6*I	0.011769173957433363+0.*I	0.+6.076946015076663*^-7*I	-0.014735487844417952+0.*I	0.+8.658541829340568*^-7*I	0.0026090930190615803+0.*I	0.-1.1267634848402497*^-6*I	0.009808550693218726+0.*I	0.+1.4590841551839775*^-7*I	-0.010520690663716196+0.*I	0.+9.061606508532475*^-7*I	0.01052069075433239+0.*I	0.-1.958229726286507*^-6*I	0.000712139985088219+0.*I	0.+1.7411073122591482*^-6*I	-0.012417643824956718+0.*I	0.+6.274205550769*^-7*I	0.012126394911941707+0.*I	0.-2.7059142292052217*^-6*I	0.0029663139477541485+0.*I	0.+1.8015882329218024*^-6*I	-0.021031261839522614+0.*I	0.+2.086149948282018*^-6*I	0.02154416460373975+0.*I	0.-5.098969635544542*^-6*I	0.011023474484441508+0.*I	0.+1.7744001918358526*^-6*I	-0.07477749768100553+0.*I	0.+9.903849367465353*^-6*I	0.14816082931530875+0.*I	0.-0.000023420960160038485*I	-0.20055645718210047+0.*I	0.+0.00002186207886461965*I	0.20992055828510195+0.*I	0.+0.00001913159312961977*I	-0.17655888169056536+0.*I	0.-0.00002482469004073163*I	0.12400757174059743+0.*I	0.+0.000014792063606622998*I	-0.08580097204424109+0.*I
0.03941986983006196+0.*I	0.+858.0097101498412*I	0.046381101184922+0.*I	0.-1567.744473629531*I	-0.2031555485478751+0.*I	0.+2005.56459542526*I	0.4037120080904012+0.*I	0.-2099.2056468265505*I	0.38636742722694367+0.*I	0.+1851.7250194327157*I	-0.2011949252836721+0.*I	0.-1350.310457314092*I	0.06616387955226302+0.*I	0.+747.7749716080976*I	0.00861361760854673+0.*I	0.-215.4416492593482*I	-0.030157782534481536+0.*I	0.-117.35613724503456*I	0.0184221688099781+0.*I	0.+210.31261630043784*I	0.0026090928200655505+0.*I	0.-121.26395024344438*I	-0.014735487844410033+0.*I	0.-29.663136879956237*I	0.011769174156414153+0.*I	0.+124.17643743292467*I	0.0006484695868784196+0.*I	0.-105.20690763885734*I	-0.011169160350764151+0.*I	0.+105.20690875577286*I	0.021689851226341317+0.*I	0.-18.969529858914584*I	-0.024235273799111057+0.*I	0.-94.51330172988598*I	0.003014769469708578+0.*I	0.+150.92708859694906*I	0.026813427234394727+0.*I	0.-89.0486663179028*I	-0.03832738668625235+0.*I	0.-92.95648089762004*I	0.01060956978650629+0.*I	0.+332.7977895201613*I	0.052827991699993415+0.*I	0.-532.3333232101114*I	-0.11467494162952496+0.*I	0.+602.5354790896064*I	0.10876460998621607+0.*I	0.-501.414541999131*I	0.04228886109764751+0.*I	0.+247.48058875709205*I	-0.4039082294488838+0.*I	0.+93.64101103009013*I	0.009560322461392712+0.*I	0.-437.82010148017355*I	0.14981321593863206+0.*I	0.+709.7347588415802*I	-0.12522084123909205+0.*I	0.-858.0097140918281*I
0.+2.269979419238893*^-6*I	-4.0806027580036514*^-10+0.*I	0.-2.26997937843284*^-6*I	0.053034096037501983+0.*I	0.-3.033430225317317*^-6*I	-0.18581096788339072+0.*I	0.+0.00002161452701365635*I	0.38636742722693634+0.*I	0.-0.00006025126973634995*I	0.3883280506901274+0.*I	0.+0.00002141846466733729*I	-0.19002576503305815+0.*I	0.-2.4158881640314405*^-6*I	0.05499471920150259+0.*I	0.-3.083583756118806*^-6*I	0.00926208729559076+0.*I	0.+2.1573750265597386*^-6*I	-0.020997701428130823+0.*I	0.-5.760488374663584*^-8*I	0.009262087672610456+0.*I	0.-8.686038835144235*^-7*I	0.002609092820074127+0.*I	0.+6.076946015070543*^-7*I	-0.005575406707057649+0.*I	0.-5.0153930801208066*^-8*I	0.002609093050074171+0.*I	0.-2.107553742062748*^-7*I	-1.0016960371936064*^-10+0.*I	0.+2.1075538422319766*^-7*I	1.2124517230481264*^-10+0.*I	0.-2.1075539634771324*^-7*I	-0.002609092970979955+0.*I	0.+6.824200676519583*^-7*I	0.0029663136519683534+0.*I	0.-9.288975020477173*^-7*I	0.002966313947753216+0.*I	0.+2.45715057655697*^-8*I	-0.011871180579544923+0.*I	0.+2.031150435703261*^-6*I	0.011735613749759902+0.*I	0.-3.147106926932778*^-6*I	0.01173561434827765+0.*I	0.-1.8382953445517264*^-7*I	-0.06425680680545168+0.*I	0.+9.693093971118364*^-6*I	0.13503104558996692+0.*I	0.-0.000020780310366087446*I	-0.19830228351522275+0.*I	0.+0.00001919207405028611*I	0.22530451605780927+0.*I	0.+0.000018528744080278054*I	-0.200556457182093+0.*I	0.-0.000020087625375753803*I	0.1327768715425457+0.*I	0.+9.84336844684876*^-6*I	-0.053034095856439666+0.*I	0.-2.2699794827303476*^-6*I	6.350581933548554*^-10+0.*I
-0.03941987023812721+0.*I	0.-327.66875793611314*I	0.006652994444515947+0.*I	0.+770.3167114646228*I	0.07037867670194642+0.*I	0.-1327.7687204492054*I	-0.20315554874686675+0.*I	0.+1851.7250194326832*I	0.3883280506901351+0.*I	0.-2121.7473836914332*I	0.3994972109407216+0.*I	0.+1983.0228555688911*I	-0.20119492538383255+0.*I	0.-1455.5173649528451*I	0.05564318888854802+0.*I	0.+740.6535729048204*I	0.018422168401933836+0.*I	0.-117.35614163563066*I	-0.03015778256549695+0.*I	0.-208.95694892871362*I	0.009262087672625485+0.*I	0.+210.31261630041445*I	0.011769173957416001+0.*I	0.-29.663138559745995*I	-0.014735487813390291+0.*I	0.-127.74864450363671*I	0.0019606233630267145+0.*I	0.+131.2978361361414*I	0.011169160250587451+0.*I	0.-131.2978372530571*I	-0.024298943975892995+0.*I	0.-3.5491918285667543*I	0.021983401430007876+0.*I	0.+157.41178453693183*I	0.008493264837075354+0.*I	0.-180.64947891758572*I	-0.03832738668624969+0.*I	0.-1.3556682979100783*I	0.02892973218383399+0.*I	0.+326.3130935801226*I	0.03385935973967946+0.*I	0.-623.2974331114061*I	-0.11461127145275363+0.*I	0.+714.863786483706*I	0.13045446121254178+0.*I	0.-527.5054704965537*I	0.017989917121633336+0.*I	0.+138.72448817282088*I	-0.40361467924523886+0.*I	0.+270.02232542594476*I	0.04228886109764618+0.*I	0.-523.9562786679229*I	0.10847105978250782+0.*I	0.+557.452001946715*I	-0.12310453629001872+0.*I	0.-442.6479541938093*I	0.07218674642576062+0.*I	0.+327.66876187810027*I
0.+1.6720076045744866*^-6*I	-0.032766875385551605+0.*I	0.+1.6046799339806727*^-6*I	0.023997575108961344+0.*I	0.-4.004437444876807*^-6*I	0.053034095838469394+0.*I	0.-1.2989721389701275*^-6*I	-0.20119492528366684+0.*I	0.+0.00002141846466733681*I	0.39949721094072843+0.*I	0.-0.00006136818576140964*I	0.38832805058994846+0.*I	0.+0.000022535380702414763*I	-0.20054645569678808+0.*I	0.-2.480735132735986*^-6*I	0.06480326999489303+0.*I	0.-3.9995918667533085*^-6*I	0.009262087264566815+0.*I	0.+3.0733831402966253*^-6*I	-0.03015778256548178+0.*I	0.-5.760488374842564*^-8*I	0.018422168809967984+0.*I	0.-1.7846119972483764*^-6*I	0.002609092851082146+0.*I	0.+1.5237027121400637*^-6*I	-0.015383957500437135+0.*I	0.+1.469303790371092*^-8*I	0.013129783713783642+0.*I	0.-1.3276714092821009*^-6*I	-0.01312978384655055+0.*I	0.+2.6406497939369894*^-6*I	0.0022541737881228634+0.*I	0.-2.88076021065279*^-6*I	0.012774864801724949+0.*I	0.+7.957101834017008*^-8*I	-0.021031261839511355+0.*I	0.+3.808167162859227*^-6*I	0.011735613749753664+0.*I	0.-4.924123654087075*^-6*I	0.020895695608253433+0.*I	0.-2.3882904703516506*^-7*I	-0.07406535765941893+0.*I	0.+0.00001164495667972984*I	0.13574318545382166+0.*I	0.-0.00002273854009237542*I	-0.18778159263962235+0.*I	0.+0.000018981318653923215*I	0.2121747323325047+0.*I	0.+0.00002116939387423685*I	-0.1983022835152149+0.*I	0.-0.000022757630190039342*I	0.14816082931530036+0.*I	0.+9.240519397497583*^-6*I	-0.07703167134787454+0.*I	0.+2.4670851821559658*^-6*I	0.008769300437058205+0.*I	0.-4.948695159844957*^-6*I	0.03276687555275235+0.*I
