0.4600511070856027-0.00003295176205908029*I	-0.18915307324767996+0.00002586228215916221*I	0.1074081152436653-0.000025719777093638335*I	-0.04325504047244212+0.000012812765380745824*I	0.022357007454937586-8.39301500135492*^-6*I	-0.023815982731672136+0.000010130578877825184*I	0.049090941753136705-0.00001961712335895342*I	-0.08981623458285158+0.000027743472216640446*I	0.11294964952609993-0.000028911892739044434*I	-0.19100025130430445+0.00002698789330951839*I
-0.18915307324768+0.000025862282159162213*I	0.47385372774568185-0.00003730756749121281*I	-0.23240811372012207+0.00003867504753990802*I	0.0918877173900038-0.000020225528219884743*I	-0.043255040472442115+0.00001281276538074582*I	0.0378774053085991-0.000013887263875108512*I	-0.07037717684208157+0.000025061285713719803*I	0.13148289989218537-0.00003525123553661433*I	-0.09166341263947608+0.00002886908336699663*I	0.09360549458358629-0.000021363971661505825*I
0.1074081152436653-0.000025719777093638335*I	-0.23240811372012202+0.00003867504753990802*I	0.5898162297842056-0.00006706455415407353*I	-0.23240811372012202+0.000038675047539908016*I	0.10740811524366528-0.00002571977709363833*I	-0.08981623458285154+0.000027743472216640443*I	0.16204059127923662-0.00004852901609799784*I	-0.3046324686188281+0.00006486194440398401*I	0.16204059127923662-0.00004852901609799785*I	-0.08981623458285158+0.000027743472216640446*I
-0.04325504047244211+0.000012812765380745824*I	0.09188771739000379-0.000020225528219884743*I	-0.23240811372012204+0.00003867504753990802*I	0.47385372774568174-0.0000373075674912128*I	-0.1891530732476799+0.000025862282159162202*I	0.09360549458358627-0.000021363971661505818*I	-0.09166341263947607+0.00002886908336699662*I	0.13148289989218537-0.00003525123553661433*I	-0.07037717684208158+0.00002506128571371981*I	0.03787740530859911-0.000013887263875108514*I
0.022357007454937586-8.39301500135492*^-6*I	-0.043255040472442115+0.00001281276538074582*I	0.10740811524366528-0.00002571977709363833*I	-0.1891530732476799+0.0000258622821591622*I	0.46005110708560265-0.000032951762059080285*I	-0.1910002513043044+0.000026987893309518382*I	0.11294964952609991-0.00002891189273904442*I	-0.08981623458285155+0.000027743472216640443*I	0.049090941753136705-0.000019617123358953415*I	-0.023815982731672136+0.000010130578877825184*I
-0.023815982731672136+0.000010130578877825184*I	0.0378774053085991-0.000013887263875108515*I	-0.08981623458285157+0.000027743472216640446*I	0.09360549458358627-0.000021363971661505818*I	-0.19100025130430448+0.000026987893309518382*I	0.4793952620281164-0.000040499683136618894*I	-0.24718553883001296+0.00004657162989752665*I	0.13796580663071656-0.000038997557655021843*I	-0.07689565037904089+0.000028880990187826777*I	0.0335705438994752-0.000014122874485199827*I
0.04909094175313669-0.000019617123358953415*I	-0.07037717684208158+0.000025061285713719803*I	0.1620405912792366-0.000048529016097997835*I	-0.09166341263947604+0.00002886908336699662*I	0.1129496495260999-0.000028911892739044417*I	-0.2471855388300129+0.00004657162989752664*I	0.6286069716211018-0.00008608444307053424*I	-0.32408118920905377+0.00007545262008535342*I	0.18159601227208494-0.000059336282166622826*I	-0.07689565037904086+0.000028880990187826777*I
-0.08981623458285157+0.000027743472216640453*I	0.1314828998921854-0.00003525123553661433*I	-0.30463246861882814+0.00006486194440398401*I	0.1314828998921854-0.00003525123553661433*I	-0.08981623458285157+0.000027743472216640443*I	0.13796580663071653-0.00003899755765502185*I	-0.3240811892090539+0.00007545262008535343*I	0.6509316125583081-0.00009362011527684058*I	-0.3240811892090539+0.00007545262008535345*I	0.1379658066307166-0.00003899755765502186*I
0.11294964952609993-0.000028911892739044434*I	-0.09166341263947607+0.00002886908336699663*I	0.16204059127923662-0.00004852901609799785*I	-0.07037717684208158+0.000025061285713719803*I	0.049090941753136705-0.00001961712335895342*I	-0.07689565037904086+0.000028880990187826777*I	0.1815960122720849-0.00005933628216662283*I	-0.3240811892090538+0.00007545262008535345*I	0.628606971621102-0.00008608444307053428*I	-0.24718553883001299+0.000046571629897526674*I
-0.19100025130430448+0.000026987893309518392*I	0.0936054945835863-0.000021363971661505825*I	-0.08981623458285157+0.000027743472216640446*I	0.03787740530859911-0.000013887263875108514*I	-0.023815982731672136+0.000010130578877825184*I	0.03357054389947518-0.000014122874485199827*I	-0.07689565037904086+0.000028880990187826784*I	0.13796580663071656-0.00003899755765502186*I	-0.24718553883001299+0.000046571629897526674*I	0.47939526202811644-0.00004049968313661891*I
