0.-0.00008145897901946925*I	0.5763931921598517+0.*I	0.+0.000023819659803484052*I	-0.238196594034841+0.*I	0.-3.9999995638884476*^-13*I	0.03819660203484034+0.*I	0.-3.819659803484063*^-6*I	0.023606793840149406+0.*I	0.+1.4589804194691228*^-6*I	-0.02360679369425154+0.*I	0.+9.016989499560244*^-7*I	-0.06180339625695572+0.*I	0.+9.098300479223648*^-6*I	0.1999999920000007+0.*I	0.-0.000029098299279223784*I	-0.3381965957430447+0.*I	0.+0.00003909829905004419*I	0.42360679969425036+0.*I
0.5763931921598519+0.*I	0.-854.1020971513747*I	0.3381965981250108+0.*I	0.+1381.9660612500998*I	-0.1999999920000008+0.*I	0.-1381.965961250111*I	0.0618033958749897+0.*I	0.+854.1018971513926*I	0.023606793840149545+0.*I	0.-854.1018995120721*I	-0.10901698379135673+0.*I	0.+527.8640579183784*I	0.09999999370820475+0.*I	0.-0.00007999998962304744*I	0.09999999029179715+0.*I	0.-527.8639979183848*I	-0.4909829882086463+0.*I	0.+854.1020395120554*I
0.+0.000023819659803484083*I	0.3381965981250107+0.*I	0.-0.000057639319615985135*I	0.3763932001598511+0.*I	0.+0.00001999999960000002*I	-0.17639319815985144+0.*I	0.-2.3606797840148807*^-6*I	0.061803395874989855+0.*I	0.-3.819659803484097*^-6*I	-0.06180339625695595+0.*I	0.+9.999999429179676*^-6*I	0.11458980204879352+0.*I	0.-0.0000190982998500441*I	-0.1999999999999998+0.*I	0.+0.000019098300250044055*I	0.28541019595120626+0.*I	0.+9.999999770820426*^-6*I	-0.33819659574304467+0.*I
-0.23819659403484125+0.*I	0.+1381.9660612500995*I	0.37639320015985106+0.*I	0.-2236.0680584014854*I	0.39999999400000036+0.*I	0.+2236.067958401493*I	-0.17639319815985124+0.*I	0.-1381.9659612501107*I	0.038196602034840196+0.*I	0.+1381.9659574304505*I	0.09999999370820489+0.*I	0.-854.1019795120619*I	-0.009016993499559724+0.*I	0.+0.00005999999305572601*I	-0.39098299450044144+0.*I	0.+854.1019595120656*I	0.09999999029179732+0.*I	0.-1381.96603743044*I
0.-3.9999993339011443*^-13*I	-0.19999999200000082+0.*I	0.+0.000019999999600000015*I	0.3999999940000006+0.*I	0.-0.00005999999900000008*I	0.39999999400000047+0.*I	0.+0.000019999999600000036*I	-0.19999999200000068+0.*I	0.-3.9999996772641255*^-13*I	0.19999999200000093+0.*I	0.-0.00001999999880000012*I	-0.1999999999999997+0.*I	0.+0.00001999999920000007*I	0.20000000599999912+0.*I	0.+0.00001999999920000007*I	-0.19999999999999973+0.*I	0.-0.00001999999880000011*I	0.19999999200000076+0.*I
0.038196602034840245+0.*I	0.-1381.9659612501105*I	-0.17639319815985127+0.*I	0.+2236.0679584014915*I	0.39999999400000047+0.*I	0.-2236.0680584014844*I	0.37639320015985106+0.*I	0.+1381.9660612500993*I	-0.2381965940348412+0.*I	0.-1381.9660374304399*I	0.09999999029179714+0.*I	0.+854.1019595120654*I	-0.3909829945004416+0.*I	0.+0.000059999993681003616*I	-0.009016993499559391+0.*I	0.-854.1019795120613*I	0.0999999937082046+0.*I	0.+1381.96595743045*I
0.-3.819659803484108*^-6*I	0.06180339587498977+0.*I	0.-2.360679784014866*^-6*I	-0.17639319815985133+0.*I	0.+0.000019999999600000002*I	0.3763932001598512+0.*I	0.-0.000057639319615985115*I	0.33819659812501063+0.*I	0.+0.000023819659803484042*I	-0.3381965957430446+0.*I	0.+9.99999977082041*^-6*I	0.28541019595120637+0.*I	0.+0.00001909830025004408*I	-0.19999999999999976+0.*I	0.-0.000019098299850044133*I	0.1145898020487936+0.*I	0.+9.999999429179637*^-6*I	-0.06180339625695577+0.*I
0.023606793840149597+0.*I	0.+854.1018971513922*I	0.061803395874989626+0.*I	0.-1381.96596125011*I	-0.1999999920000006+0.*I	0.+1381.9660612500995*I	0.33819659812501063+0.*I	0.-854.1020971513743*I	0.576393192159852+0.*I	0.+854.1020395120552*I	-0.4909829882086463+0.*I	0.-527.8639979183847*I	0.09999999029179694+0.*I	0.-0.00007999999004937308*I	0.09999999370820468+0.*I	0.+527.8640579183783*I	-0.10901698379135677+0.*I	0.-854.1018995120716*I
0.+1.458980419469131*^-6*I	0.02360679384014948+0.*I	0.-3.819659803484081*^-6*I	0.038196602034840293+0.*I	0.-3.999999468173724*^-13*I	-0.23819659403484106+0.*I	0.+0.00002381965980348405*I	0.576393192159852+0.*I	0.-0.00008145897901946925*I	0.42360679969425036+0.*I	0.+0.000039098299050044186*I	-0.33819659574304484+0.*I	0.-0.000029098299279223774*I	0.19999999200000074+0.*I	0.+9.098300479223666*^-6*I	-0.061803396256955745+0.*I	0.+9.016989499560322*^-7*I	-0.02360679369425145+0.*I
-0.02360679369425138+0.*I	0.-854.1018995120717*I	-0.06180339625695576+0.*I	0.+1381.9659574304499*I	0.19999999200000074+0.*I	0.-1381.9660374304399*I	-0.3381965957430448+0.*I	0.+854.102039512055*I	0.42360679969425036+0.*I	0.-854.102081872735*I	0.4909829921184763+0.*I	0.+527.8640317380442*I	-0.09999999320162689+0.*I	0.+0.000059999990611459*I	-0.09999999279837472+0.*I	0.-527.8640517380387*I	0.10901698388152674+0.*I	0.+854.101901872751*I
0.+9.01698949956002*^-7*I	-0.10901698379135667+0.*I	0.+9.999999429179656*^-6*I	0.09999999370820467+0.*I	0.-0.000019999998800000124*I	0.09999999029179701+0.*I	0.+9.99999977082042*^-6*I	-0.49098298820864633+0.*I	0.+0.0000390982990500442*I	0.4909829921184761+0.*I	0.-0.00008819659826189183*I	0.3909829989168492+0.*I	0.+0.000039098298599386466*I	-0.19999998600000166+0.*I	0.+9.016988006138311*^-7*I	0.00901699108315188+0.*I	0.-0.000011803397338108691*I	0.10901698388152656+0.*I
