0.-0.8487765437153361*I	0.4999575668420209+0.*I	0.+0.1697647865438186*I	-0.00001708447961062136+0.*I	0.+0.02425202804797202*I	-9.277648876203839*^-6+0.*I	0.+0.008079965710694895*I	-0.000013069758205574666+0.*I	0.+0.0036810939164342565*I	4.966520851490945*^-6+0.*I	0.+0.0019623571885360783*I	-0.00002245780485773003+0.*I	0.+0.0012043730902072233*I	0.00001573189855027794+0.*I	0.+0.0007463668606506295*I	-0.000021030470517072197+0.*I	0.+0.0005372176334832174*I	8.012859612037304*^-6+0.*I	0.+0.00036418760884469257*I	-7.927489083404778*^-6+0.*I	0.+0.00027676709524769734*I	-9.470391416099188*^-7+0.*I	0.+0.0002060232649804605*I	-2.261456330362614*^-6+0.*I	0.+0.00015938801652190442*I	-1.8654338829778147*^-6+0.*I	0.+0.00012488541598114952*I	-1.2799871245224481*^-6+0.*I	0.+0.0000998131040617719*I	-1.6068091997046234*^-6+0.*I	0.+0.00008101029364555617*I	-4.069172393235962*^-6+0.*I	0.+0.00006472897038153879*I	-0.000012813171707007283+0.*I	0.+0.00002929676346375045*I	3.0683783330820582*^-6+0.*I	0.-0.00005556615626949159*I	0.0003485253403905393+0.*I	0.+0.000839472846682274*I	-0.0014700286210658441+0.*I	0.-0.0022348492453557155*I	0.0030297410532384183+0.*I	0.+0.0036147503425073228*I	-0.0038018148519939803+0.*I	0.-0.003577849710397418*I	0.0030328009802891315+0.*I	0.+0.002270717103317101*I	-0.001457454511045622+0.*I	0.-0.0008237313871158788*I	0.00034528322866885235+0.*I
0.4999575668420004+0.*I	0.-0.6790117571714896*I	0.4999404823624367+0.*I	0.+0.1940168145918129*I	-0.000026362128548968602+0.*I	0.+0.03233199375863191*I	-0.000022347407037261628+0.*I	0.+0.011761059627114066*I	-8.103237434504883*^-6+0.*I	0.+0.0056434511049834515*I	-0.00001749128397223057+0.*I	0.+0.0031667302787417254*I	-6.725906337443112*^-6+0.*I	0.+0.0019507399508326582*I	-5.298571949365332*^-6+0.*I	0.+0.0012835844941364535*I	-0.000013017610961996319+0.*I	0.+0.0009014052423337241*I	8.537056417419816*^-8+0.*I	0.+0.0006409547041011538*I	-8.874528197360336*^-6+0.*I	0.+0.00048279036024398257*I	-3.2084955063086786*^-6+0.*I	0.+0.00036541128147812466*I	-4.12689020060477*^-6+0.*I	0.+0.00028427343250228527*I	-3.1454210040291552*^-6+0.*I	0.+0.0002246985200507784*I	-2.886796334788215*^-6+0.*I	0.+0.00018082339767415984*I	-5.675981575711059*^-6+0.*I	0.+0.000145739264037171*I	-0.00001688234408893754+0.*I	0.+0.00009402573383443855*I	-9.744793343447538*^-6+0.*I	0.-0.000026269392757435707*I	0.0003515937186996736+0.*I	0.+0.0007839066903786283*I	-0.0011215032806246442+0.*I	0.-0.0013953763986769853*I	0.0015597124321824255+0.*I	0.+0.0013799010971489163*I	-0.0007720737987480923+0.*I	0.+0.00003690063213811268*I	-0.0007690138717041785+0.*I	0.-0.0013071326071073595*I	0.0015753464692498278+0.*I	0.+0.0014469857161924068*I	-0.0011121712824091218+0.*I	0.-0.0008237313871179438*I
0.+0.16976478654383487*I	0.49994048236239946+0.*I	0.-0.6547597291235666*I	0.49993120471357305+0.*I	0.+0.20209678030247583*I	-0.00003943188671479703+0.*I	0.+0.036013087675088686*I	-0.000017380886240844355+0.*I	0.+0.013723416815627124*I	-0.00003056104219626503+0.*I	0.+0.0068478241951906065*I	-1.7593854748900936*^-6+0.*I	0.+0.003913097139428799*I	-0.000027756376798336344+0.*I	0.+0.0024879575843342683*I	2.714287608335573*^-6+0.*I	0.+0.0016477721030082684*I	-0.000020945099968017002+0.*I	0.+0.0011781723375895508*I	-8.61668641079886*^-7+0.*I	0.+0.0008469779690670521*I	-0.000011135984509373216+0.*I	0.+0.000642178376754933*I	-5.073929383894886*^-6+0.*I	0.+0.0004902966974472204*I	-5.406877318052104*^-6+0.*I	0.+0.00038408653655701833*I	-4.752230227018613*^-6+0.*I	0.+0.00030570881365667466*I	-6.955968727522587*^-6+0.*I	0.+0.0002455523680794703*I	-0.000018489153242858987+0.*I	0.+0.00017503602749235485*I	-0.000013813965783620094+0.*I	0.+0.000038459577580681096*I	0.00033878054704966556+0.*I	0.+0.0008132034538984995*I	-0.0011184349023470616+0.*I	0.-0.001450942554940023*I	0.001908237772568376+0.*I	0.+0.002219373943835501*I	-0.002242102419826288+0.*I	0.-0.0021979486132376086*I	0.0022607271815522343+0.*I	0.+0.0023076177354126462*I	-0.0022264683827740443+0.*I	0.-0.0021308639941976593*I	0.0019206296979253456+0.*I	0.+0.0014469857162010893*I	-0.0014574545110539188+0.*I
-0.00001708447965691693+0.*I	0.+0.19401681459178463*I	0.4999312047135417+0.*I	0.-0.6466797634128747*I	0.4999181349553296+0.*I	0.+0.2057778742189454*I	-0.000034465365888006934+0.*I	0.+0.03797544486363346*I	-0.000039838691109379835+0.*I	0.+0.014927789905870048*I	-0.000014829143657930439+0.*I	0.+0.007594191055797113*I	-0.000022789855989995968+0.*I	0.+0.0044503147729123525*I	-0.00001974351721335701+0.*I	0.+0.0028521451931827037*I	-5.213201422889582*^-6+0.*I	0.+0.0019245391982575474*I	-0.000021892139140424896+0.*I	0.+0.001384195602527546*I	-3.123124938496498*^-6+0.*I	0.+0.001006365985618906*I	-0.000013001418440329574+0.*I	0.+0.0007670637926814701*I	-6.353916489921048*^-6+0.*I	0.+0.0005901098015573294*I	-7.013686526382044*^-6+0.*I	0.+0.0004650968301707131*I	-8.821402627686356*^-6+0.*I	0.+0.0003704377840671372*I	-0.000019769140402727293+0.*I	0.+0.0002748491315626618*I	-0.000015420774942869405+0.*I	0.+0.00011946987122077917*I	0.0003347113746376652+0.*I	0.+0.0008779324242419318*I	-0.0011312480740130104+0.*I	0.-0.0014216457914700649*I	0.0019113061508831855+0.*I	0.+0.00216380778754687*I	-0.0018935770794026652+0.*I	0.-0.0013584757665265127*I	0.0007906985604811491+0.*I	0.+0.00007276849004598623*I	0.0008032726704875124+0.*I	0.+0.001483886348326012*I	-0.0018811851540926029+0.*I	0.-0.0021308639942198993*I	0.001575346469252788+0.*I	0.+0.002270717103347309*I
0.+0.024252028047899284*I	-0.000026362128502221304+0.*I	0.+0.2020967803025177*I	0.4999181349553277+0.*I	0.-0.6429986694964513*I	0.4999231014761484+0.*I	0.+0.207740231407508*I	-0.0000569231707229735+0.*I	0.+0.03917981795377357*I	-0.00002410679252314309+0.*I	0.+0.015674156766540857*I	-0.00003585961416545074+0.*I	0.+0.008131408689318973*I	-0.00001477699640734648+0.*I	0.+0.004814502381750372*I	-0.000027671006273519274+0.*I	0.+0.00312891228845198*I	-6.160240598159582*^-6+0.*I	0.+0.0021305624632307345*I	-0.00002415359543387351+0.*I	0.+0.0015435836190539134*I	-4.988558838907984*^-6+0.*I	0.+0.0011312514015719476*I	-0.000014281405541592557+0.*I	0.+0.000866876896770675*I	-7.960725689051126*^-6+0.*I	0.+0.0006711200951625759*I	-0.00001108285896495537+0.*I	0.+0.0005298258005328593*I	-0.000021634574292981703+0.*I	0.+0.0003997345475435108*I	-0.000016700762050120095+0.*I	0.+0.00021928297526030527*I	0.000333104565447853+0.*I	0.+0.0009589427179096441*I	-0.0011353172464142244+0.*I	0.-0.0013569168211019138*I	0.0018984929792029135+0.*I	0.+0.0021931045510606216*I	-0.001890508701074542+0.*I	0.-0.0014140419228374649*I	0.0011392239008433367+0.*I	0.+0.0009122413367688573*I	-0.0006667559505647098+0.*I	0.-0.0007509628970483588*I	0.0011485558991428664+0.*I	0.+0.0014838863483045642*I	-0.0022264683827523278+0.*I	0.-0.0013071326070736005*I	0.0030328009802713988+0.*I
-9.277648875208379*^-6+0.*I	0.+0.032331993758625596*I	-0.000039431886735874706+0.*I	0.+0.20577787421890575*I	0.4999231014761551+0.*I	0.-0.641036312307828*I	0.49990064367131093+0.*I	0.+0.20894460449763697*I	-0.00004119127219412544+0.*I	0.+0.039926184814471605*I	-0.000045137263050353816+0.*I	0.+0.016211374399981576*I	-0.000027846754620433456+0.*I	0.+0.008495596298209134*I	-0.000022704485421652152+0.*I	0.+0.00509126947700303*I	-0.000028618045418856728+0.*I	0.+0.0033349355534198306*I	-8.421696908889917*^-6+0.*I	0.+0.0022899504797213753*I	-0.00002601902937472869+0.*I	0.+0.001668469035039202*I	-6.26854593351315*^-6+0.*I	0.+0.0012310645056220761*I	-0.000015888214730517202+0.*I	0.+0.000947887190373062*I	-0.000012029898090372675+0.*I	0.+0.0007358490655376422*I	-0.00002389603064743529+0.*I	0.+0.0005591225640828891*I	-0.000018566195952515937+0.*I	0.+0.000344168391241025*I	0.0003318245783098237+0.*I	0.+0.0010587558219642703*I	-0.0011369240555935355+0.*I	0.-0.0012759065274538174*I	0.0018944238067990643+0.*I	0.+0.0022578335214092997*I	-0.0019033218727708958+0.*I	0.-0.001384745159344582*I	0.0011422922791982934+0.*I	0.+0.0008566751804743392*I	-0.0003182306101668254+0.*I	0.+0.00008850994963008322*I	-0.00032147272194359925+0.*I	0.-0.0007509628970407574*I	0.0008032726704946909+0.*I	0.+0.0023076177354380265*I	-0.0007690138716966176+0.*I	0.-0.0035778497103981927*I
0.+0.008079965710660485*I	-0.000022347407071648543+0.*I	0.+0.03601308767509016*I	-0.000034465365910653525+0.*I	0.+0.20774023140747905*I	0.49990064367133846+0.*I	0.-0.639831939217667*I	0.4999163755698796+0.*I	0.+0.20969097135833734*I	-0.00006222174268729231+0.*I	0.+0.040463402447977824*I	-0.00003712440347519163+0.*I	0.+0.016575562008845992*I	-0.000035774243643659135+0.*I	0.+0.008772363393400796*I	-0.000023651524602141683+0.*I	0.+0.0052972927419680065*I	-0.00003087950175781375+0.*I	0.+0.003494323569932202*I	-0.000010287130772952829+0.*I	0.+0.002414835895707183*I	-0.000027299016488299344+0.*I	0.+0.0017682821391124042*I	-7.875355115608077*^-6+0.*I	0.+0.0013120747992693138*I	-0.0000199573871562703+0.*I	0.+0.0010126161607799248*I	-0.000024843069754836868+0.*I	0.+0.0007651458290224838*I	-0.000020827652312475813+0.*I	0.+0.0005035564077534543*I	0.0003299591444336016+0.*I	0.+0.0011836412379300355*I	-0.001138204042758485+0.*I	0.-0.0011760934234132342*I	0.0018928169976273408+0.*I	0.+0.0023388438150470647*I	-0.0019073910451957322+0.*I	0.-0.0013200161889680062*I	0.0011294791075589295+0.*I	0.+0.0008859719439815258*I	-0.00031516223187801876+0.*I	0.+0.00003294379335496078*I	0.000027052618510443286+0.*I	0.+0.00008850994966063313*I	-0.0006667559505947062+0.*I	0.+0.00007276849007322987*I	0.0022607271815754753+0.*I	0.+0.000036900632146896483*I	-0.0038018148520278777+0.*I
-0.000013069758217399368+0.*I	0.+0.011761059627127278*I	-0.000017380886276819634+0.*I	0.+0.037975444863628846*I	-0.00005692317071924199+0.*I	0.+0.20894460449767724*I	0.4999163755698837+0.*I	0.-0.6390855723570644*I	0.4998953450993272+0.*I	0.+0.21022818899180024*I	-0.00005420888308456801+0.*I	0.+0.04082759005679716*I	-0.000045051892541836466+0.*I	0.+0.016852329104131303*I	-0.000036721282807481395+0.*I	0.+0.008978386658394148*I	-0.00002591298091602387+0.*I	0.+0.005456680758506702*I	-0.000032744935656930695+0.*I	0.+0.0036192089858930287*I	-0.000011567117959390294+0.*I	0.+0.0025146489997875366*I	-0.00002890582564556563+0.*I	0.+0.0018492924326995648*I	-0.000011944527571159037+0.*I	0.+0.0013768037696716348*I	-0.00003277055881413405+0.*I	0.+0.0010419129242344833*I	-0.000021774691428528922+0.*I	0.+0.0007095796727871795*I	0.0003276976881053356+0.*I	0.+0.0013430292544240015*I	-0.001140069476615851+0.*I	0.-0.001051208007390286*I	0.0018915370104880505+0.*I	0.+0.0024386569190955085*I	-0.0019089978543701809+0.*I	0.-0.0012390058952769021*I	0.0011254099351124109+0.*I	0.+0.0009507009142870371*I	-0.0003279754035580682+0.*I	0.+0.00006224055686168566*I	0.000030120996803905148+0.*I	0.+0.000032943793318960396*I	-0.00031823061017058113+0.*I	0.+0.0009122413368043479*I	0.0007906985604844353+0.*I	0.-0.002197948613263354*I	-0.000772073798743976+0.*I	0.+0.003614750342517682*I
0.+0.0036810939163978654*I	-8.103237371791807*^-6+0.*I	0.+0.013723416815669453*I	-0.00003983869108001336+0.*I	0.+0.03917981795382032*I	-0.00004119127213389834+0.*I	0.+0.20969097135830705*I	0.49989534509937883+0.*I	0.-0.6385483547235281*I	0.499903357958911+0.*I	0.+0.21059237660066366*I	-0.00006213637218408779+0.*I	0.+0.04110435715205925*I	-0.00004599893166279321+0.*I	0.+0.01705835236906826*I	-0.00003898273913778239+0.*I	0.+0.009137774674945802*I	-0.00002777841484223392+0.*I	0.+0.0055815661744679276*I	-0.00003402492275618556+0.*I	0.+0.003719022089958413*I	-0.000013173927106029551+0.*I	0.+0.002595659293407833*I	-0.00003297499806739441+0.*I	0.+0.0019140214031268107*I	-0.00002475769921140776+0.*I	0.+0.0014061005331211386*I	-0.00002970218048378476+0.*I	0.+0.0009863467680094296*I	0.0003267506489512918+0.*I	0.+0.0015490525194097342*I	-0.001142330932973723+0.*I	0.-0.0008918199909075694*I	0.0018896715766096642+0.*I	0.+0.0025635423350892444*I	-0.001910277841505451+0.*I	0.-0.0011391927912698132*I	0.0011238031259540205+0.*I	0.+0.001031711207969763*I	-0.00033204457595903056+0.*I	0.+0.00012696952722831767*I	0.000017307825147382824+0.*I	0.+0.00006224055684823542*I	-0.00031516223185324495+0.*I	0.+0.0008566751804789511*I	0.0011392239008790642+0.*I	0.-0.001358475766551271*I	-0.0022421024198313526+0.*I	0.+0.0013799010971772116*I	0.00302974105325049+0.*I
4.966520840985649*^-6+0.*I	0.+0.00564345110500766*I	-0.000030561042248348314+0.*I	0.+0.014927789905863369*I	-0.00002410679252180696+0.*I	0.+0.03992618481447397*I	-0.00006222174272698305+0.*I	0.+0.21022818899177168*I	0.49990335795893054+0.*I	0.-0.6381841671146687*I	0.4998954304698871+0.*I	0.+0.2108691436959176*I	-0.00006308341128739315+0.*I	0.+0.041310380417033825*I	-0.0000482603880192484+0.*I	0.+0.017217740385592605*I	-0.000040848173014212426+0.*I	0.+0.009262660090896983*I	-0.000029058401947616066+0.*I	0.+0.005681379278515126*I	-0.00003563173193469774+0.*I	0.+0.00380003238362916*I	-0.000017243099541546417+0.*I	0.+0.002660388263774748*I	-0.000045788169765166134+0.*I	0.+0.0019433181666268034*I	-0.000021689320899745634+0.*I	0.+0.0013505343768200908*I	0.0003188231599228624+0.*I	0.+0.0018258196147034444*I	-0.0011432779721304686+0.*I	0.-0.0006857967259487082*I	0.001887410120303209+0.*I	0.+0.0027229303516270757*I	-0.0019121432754125437+0.*I	0.-0.0010143073753336603*I	0.0011225231388239231+0.*I	0.+0.0011315243120782726*I	-0.0003336513851330208+0.*I	0.+0.00020797982083471783*I	0.000013238652727603171+0.*I	0.+0.00012696952722837508*I	-0.00032797540355185094+0.*I	0.+0.0008859719439278458*I	0.0011422922792318165+0.*I	0.-0.0014140419228045233*I	-0.0018935770794270108+0.*I	0.+0.002219373943809875*I	0.0015597124321847114+0.*I	0.-0.0022348492453192364*I
0.+0.0019623571885040987*I	-0.000017491284031369946+0.*I	0.+0.006847824195213336*I	-0.000014829143629293073+0.*I	0.+0.015674156766488444*I	-0.000045137263063271075+0.*I	0.+0.04046340244797525*I	-0.0000542088831218196+0.*I	0.+0.21059237660061128*I	0.4998954304699032+0.*I	0.-0.6379074000193968*I	0.49989448343069537+0.*I	0.+0.21107516696085082*I	-0.00006534486761991016+0.*I	0.+0.04146976843360445*I	-0.00005012582190661535+0.*I	0.+0.01734262580154796*I	-0.00004212816015232138+0.*I	0.+0.009362473194963805*I	-0.00003066521112870491+0.*I	0.+0.0057623895721396765*I	-0.000039700904353973736+0.*I	0.+0.00386476135398669*I	-0.00003005627121421222+0.*I	0.+0.0026896850272416124*I	-0.00004271979140164553+0.*I	0.+0.0018877520103407412*I	0.00032683601946309547+0.*I	0.+0.0021900072235160736*I	-0.0011512054611537718+0.*I	0.-0.00040902963067281496*I	0.0018864630811208742+0.*I	0.+0.002928953616567648*I	-0.0019144047316897931+0.*I	0.-0.0008549193587643981*I	0.0011206577049089137+0.*I	0.+0.0012564097280078975*I	-0.0003349313722433386+0.*I	0.+0.0003077929249144721*I	0.000011631843525107603+0.*I	0.+0.00020797982084653325*I	-0.00033204457591999153+0.*I	0.+0.0009507009143276036*I	0.001129479107517885+0.*I	0.-0.0013847451593479994*I	-0.001890508701096005+0.*I	0.+0.002163807787557661*I	0.0019082377725543429+0.*I	0.-0.0013953763986644674*I	-0.0014700286210602403+0.*I
