-0.3462747013732145-0.000024112785342268206*I	-0.19166307982251646-0.000030204103275200397*I	-0.08496723124785795-0.000024680139044681037*I	-0.04992076298465451-0.000020329530419954678*I	-0.02735448750056772-0.00001606922810175154*I	-0.016639962984697037-0.00001181737683304981*I	-0.010085430396738294-8.855873474140823*^-6*I	-0.005670623215394364-5.4442627119877815*^-6*I	-0.002673472382325297-2.8266553062922465*^-6*I	-0.005023266596572355-5.595011274948675*^-6*I	-0.00862887801946363-9.259793402685035*^-6*I	-0.018031136272449122-0.000017153311311851877*I	-0.02185574991213973-0.000018676169947595952*I	-0.04285722563984216-0.000029394556403944898*I	-0.04721852321639304-0.000027106631295544314*I	-0.09828508465227478-0.00003969019935878328*I	-0.0889556899723872-0.00002768766975180954*I	-0.19343572808162005-0.000031619567956550995*I
-0.19166307982251646-0.00003020410327520039*I	-0.6369986294267727-0.00006419448885023676*I	-0.24158384280717093-0.000050533633695155065*I	-0.13695313977473386-0.00004283371330028129*I	-0.06656072596935154-0.00003214690725300448*I	-0.03949835991020411-0.00002371483679513888*I	-0.022310586200091402-0.000017261639545037588*I	-0.01243609260047246-0.000010644227340921162*I	-0.0056706232153943634-5.444262711987779*^-6*I	-0.010246400805531266-0.000010565761185490522*I	-0.017383779653627106-0.00001730405987481277*I	-0.03730789401585298-0.000032456435424081166*I	-0.04424839892759423-0.000034730490882746955*I	-0.08979140740715891-0.00005538300631966259*I	-0.09122154730746239-0.00004875522534277347*I	-0.19238360708054078-0.00007094794834938509*I	-0.10005773291137819-0.000041105664040133854*I	-0.12965369288370354-0.00003745561626831315*I
-0.08496723124785795-0.00002468013904468103*I	-0.24158384280717096-0.000050533633695155065*I	-0.45859642012164015-0.00006486215248870077*I	-0.25822380579186804-0.00006235101052820488*I	-0.12240714914516396-0.00004960524062057339*I	-0.07223134918474591-0.00003759116996499227*I	-0.04011339027963132-0.00002775175688218461*I	-0.022310586200091402-0.00001726163954503759*I	-0.010085430396738294-8.855873474140823*^-6*I	-0.01803113627244912-0.00001715331131185188*I	-0.030484627931603357-0.000027935963350280985*I	-0.06591162850886365-0.00005214287899074545*I	-0.0777031511479964-0.0000550425946458253*I	-0.15917344656456606-0.00008623806707458004*I	-0.15802996310091993-0.0000734704709949498*I	-0.3345780383737369-0.00010070432371927917*I	-0.1361742131887802-0.000054794301047353845*I	-0.09828508465227476-0.00003969019935878327*I
-0.049920762984654504-0.00002032953041995467*I	-0.13695313977473386-0.000042833713300281296*I	-0.258223805791868-0.00006235101052820488*I	-0.6764969893369767-0.00008790932564537566*I	-0.2638944290072623-0.00006779527324019265*I	-0.14938923237520627-0.00005347794064120246*I	-0.07223134918474591-0.00003759116996499227*I	-0.03949835991020412-0.000023714836795138888*I	-0.016639962984697033-0.000011817376833049805*I	-0.027061493210321707-0.00002189067423859064*I	-0.044248398927594225-0.000034730490882746955*I	-0.10003780821269016-0.00006594876750515311*I	-0.10860532696108949-0.00006605928521758626*I	-0.22969150109639372-0.0001034043837734663*I	-0.14430613183897242-0.00007583615492288081*I	-0.2194451002908625-0.00009283862258797576*I	-0.0912215473074624-0.000048755225342773484*I	-0.0627299141968372-0.00003349233208107195*I
-0.027354487500567716-0.000016069228101751532*I	-0.06656072596935153-0.000032146907253004474*I	-0.12240714914516397-0.000049605240620573376*I	-0.26389442900726234-0.00006779527324019265*I	-0.4713553229007037-0.00007654468126913386*I	-0.26389442900726234-0.00006779527324019265*I	-0.12240714914516397-0.00004960524062057339*I	-0.06656072596935156-0.00003214690725300449*I	-0.027354487500567723-0.000016069228101751535*I	-0.04285722563984215-0.000029394556403944894*I	-0.06907427312853276-0.00004578280124314025*I	-0.15917344656456603-0.00008623806707458004*I	-0.16665884112038354-0.00008273026439763482*I	-0.3576324412427583-0.00012345264630607972*I	-0.16665884112038354-0.00008273026439763481*I	-0.15917344656456603-0.00008623806707458003*I	-0.06907427312853276-0.00004578280124314025*I	-0.04285722563984215-0.000029394556403944887*I
-0.01663996298469703-0.000011817376833049803*I	-0.03949835991020411-0.000023714836795138875*I	-0.0722313491847459-0.000037591169964992255*I	-0.1493892323752063-0.00005347794064120246*I	-0.2638944290072624-0.00006779527324019265*I	-0.6764969893369767-0.00008790932564537566*I	-0.2582238057918681-0.0000623510105282049*I	-0.1369531397747339-0.00004283371330028132*I	-0.04992076298465451-0.000020329530419954678*I	-0.06272991419683721-0.000033492332081071955*I	-0.0912215473074624-0.0000487552253427735*I	-0.21944510029086253-0.00009283862258797578*I	-0.14430613183897245-0.00007583615492288085*I	-0.22969150109639383-0.00010340438377346631*I	-0.10860532696108952-0.00006605928521758626*I	-0.10003780821269019-0.0000659487675051531*I	-0.04424839892759423-0.000034730490882746955*I	-0.027061493210321703-0.000021890674238590634*I
-0.010085430396738291-8.855873474140821*^-6*I	-0.0223105862000914-0.000017261639545037584*I	-0.04011339027963131-0.000027751756882184605*I	-0.07223134918474591-0.000037591169964992275*I	-0.12240714914516398-0.000049605240620573403*I	-0.2582238057918681-0.0000623510105282049*I	-0.4585964201216402-0.00006486215248870079*I	-0.24158384280717105-0.00005053363369515509*I	-0.08496723124785799-0.000024680139044681043*I	-0.09828508465227481-0.00003969019935878329*I	-0.1361742131887802-0.00005479430104735387*I	-0.3345780383737369-0.00010070432371927921*I	-0.15802996310092-0.00007347047099494984*I	-0.15917344656456606-0.00008623806707458006*I	-0.07770315114799639-0.00005504259464582531*I	-0.06591162850886363-0.00005214287899074545*I	-0.03048462793160335-0.000027935963350280985*I	-0.018031136272449115-0.000017153311311851877*I
-0.0056706232153943634-5.44426271198778*^-6*I	-0.01243609260047246-0.000010644227340921162*I	-0.022310586200091402-0.00001726163954503759*I	-0.039498359910204124-0.000023714836795138888*I	-0.06656072596935156-0.0000321469072530045*I	-0.13695313977473386-0.00004283371330028133*I	-0.24158384280717102-0.0000505336336951551*I	-0.6369986294267728-0.0000641944888502368*I	-0.19166307982251649-0.00003020410327520041*I	-0.12965369288370363-0.00003745561626831318*I	-0.10005773291137823-0.00004110566404013389*I	-0.19238360708054084-0.00007094794834938516*I	-0.09122154730746244-0.00004875522534277352*I	-0.08979140740715895-0.00005538300631966262*I	-0.04424839892759423-0.000034730490882746975*I	-0.03730789401585299-0.00003245643542408117*I	-0.017383779653627113-0.000017304059874812772*I	-0.01024640080553127-0.000010565761185490523*I
-0.002673472382325296-2.8266553062922457*^-6*I	-0.005670623215394363-5.44426271198778*^-6*I	-0.010085430396738293-8.855873474140823*^-6*I	-0.016639962984697037-0.000011817376833049806*I	-0.027354487500567723-0.00001606922810175154*I	-0.04992076298465452-0.000020329530419954678*I	-0.08496723124785797-0.000024680139044681043*I	-0.1916630798225165-0.000030204103275200404*I	-0.3462747013732145-0.00002411278534226821*I	-0.19343572808161996-0.000031619567956551*I	-0.08895568997238718-0.00002768766975180954*I	-0.09828508465227478-0.00003969019935878329*I	-0.04721852321639304-0.000027106631295544314*I	-0.042857225639842164-0.0000293945564039449*I	-0.021855749912139722-0.00001867616994759595*I	-0.01803113627244912-0.000017153311311851877*I	-0.00862887801946363-9.259793402685036*^-6*I	-0.005023266596572355-5.595011274948675*^-6*I
-0.0050232665965723525-5.595011274948673*^-6*I	-0.010246400805531266-0.00001056576118549052*I	-0.018031136272449115-0.000017153311311851874*I	-0.0270614932103217-0.00002189067423859064*I	-0.04285722563984215-0.0000293945564039449*I	-0.06272991419683721-0.000033492332081071955*I	-0.09828508465227477-0.00003969019935878328*I	-0.12965369288370363-0.000037455616268313175*I	-0.19343572808161996-0.00003161956795655099*I	-0.644089222604733-0.00006967908274972882*I	-0.25576502974693743-0.000060749445969865574*I	-0.20075673549757822-0.00007798434062052052*I	-0.09765254826877287-0.00005494944751776447*I	-0.08163749809166533-0.00005790949673213279*I	-0.04317460258858166-0.000037788613916422864*I	-0.03481665278927462-0.00003435369619608143*I	-0.017131733350206745-0.00001887222593398101*I	-0.009846666140259277-0.000011311957254646935*I
