-0.336134450148102-0.00004037919976890006*I	0.339850423131462-3.7527986434161983*^-6*I	0.08124663242422553+9.208756438315974*^-6*I	-0.09147864189205673+1.8581030964602032*^-6*I	-0.012637650819372643-1.454469571455451*^-6*I	0.017204681943869465-4.2520895981392456*^-7*I	-0.00026586068105034777+5.290809692894928*^-8*I	-0.0012207802387400836-7.674736482860061*^-9*I	0.0011814458593379417+7.492597930720318*^-8*I	0.002402226105570624-3.554387014373083*^-8*I	-0.0029831154420703033-2.884906872564679*^-7*I	-0.01624976238088892+5.1237786133077*^-7*I	0.015436297960025117+1.4762754324183318*^-6*I	0.06163630898336767-1.6235986261644653*^-6*I	-0.04902587904053807-4.967737789676292*^-6*I	-0.1671251478943041+2.9787887428494074*^-6*I	0.09312310783491948+0.000010237404583653674*I	0.324015122682516-3.0129561106736525*^-6*I
0.33985042313146197-3.7527986434162177*^-6*I	0.5490370520821835-0.00006567494802379493*I	0.24837178123940537-1.8946955469559936*^-6*I	-0.2321304241794296+0.00003156645843767023*I	-0.07427395994818728+1.4328941366462804*^-6*I	0.07772007609794065-0.000011696024066858083*I	0.01598390170512938-4.328836962967855*^-7*I	-0.019684161526923573+3.2119661139626675*^-6*I	-0.0012207802387400927-7.674736482859393*^-9*I	0.018463381287415995-3.0975628265715175*^-6*I	-0.012626756036578186+4.845087276698982*^-7*I	-0.04205201290917609+6.452784086085693*^-6*I	0.028181864658609286-6.860118050197695*^-7*I	0.08013638827659104-0.000011010144239347128*I	-0.014010197018879685-5.029129797752664*^-7*I	-0.06853484685281835+7.376615915228169*^-6*I	-0.18296044834325034+3.7186312755919662*^-6*I	-0.2091866293260014+0.000027937107067232508*I
0.08124663242422553+9.208756438315976*^-6*I	0.2483717812394053-1.894695546955985*^-6*I	-0.267525468543249-0.00003262491290203953*I	0.2655764631832748-2.3199045067699153*^-6*I	0.06834312092380254+7.807194963789474*^-6*I	-0.0754947401869274+1.425219400163426*^-6*I	-0.011722065641085055-1.3266354952193013*^-6*I	0.015983901705129384-4.3288369629678484*^-7*I	-0.0002658606810503457+5.290809692895105*^-8*I	-0.016249762380888915+5.123778613307698*^-7*I	0.012453182517954816+1.1877847451618635*^-6*I	0.047788772708049404-1.1467646349774316*^-6*I	-0.03657269652258328-3.779953044514433*^-6*I	-0.12173860129182544+1.8675679780157097*^-6*I	0.0595335267544065+6.74594222639571*^-6*I	0.21852628377157948-1.657765993988698*^-6*I	0.04409722879438142+5.269666793977383*^-6*I	-0.16712514789430413+2.9787887428494108*^-6*I
-0.09147864189205679+1.8581030964602102*^-6*I	-0.23213042417942964+0.000031566458437670233*I	0.2655764631832749-2.3199045067699115*^-6*I	0.6267571281801243-0.000077370972090653*I	0.2643556829445348-2.327579243252779*^-6*I	-0.25181458570635323+0.00003477842455163289*I	-0.0754947401869274+1.4252194001634223*^-6*I	0.0777200760979407-0.000011696024066858081*I	0.017204681943869496-4.2520895981392515*^-7*I	-0.06051539419659208+9.550346912657208*^-6*I	0.02818186465860928-6.860118050197719*^-7*I	0.09859976956400707-0.00001410770706591865*I	-0.026636953055457876-1.8404252105371717*^-8*I	-0.11058685976199441+0.000013829400001313853*I	-0.15477858368464104+3.0326194705721946*^-6*I	-0.12905024104941037+0.00001692696282788537*I	-0.014010197018879667-5.029129797752679*^-7*I	0.14065178247318313-0.000020560491152004344*I
-0.012637650819372627-1.4544695714554543*^-6*I	-0.07427395994818725+1.432894136646277*^-6*I	0.06834312092380251+7.807194963789475*^-6*I	0.26435568294453465-2.32757924325277*^-6*I	-0.26660988336496144-0.000032497078825803365*I	0.2643556829445347-2.3275792432527747*^-6*I	0.06834312092380257+7.807194963789474*^-6*I	-0.07427395994818732+1.4328941366462817*^-6*I	-0.012637650819372657-1.4544695714554543*^-6*I	0.06163630898336767-1.6235986261644685*^-6*I	-0.03358958108051295-3.491462357257963*^-6*I	-0.1217386012918254+1.8675679780157148*^-6*I	0.05655041131233622+6.457451539139248*^-6*I	0.2046787474962612-1.1809320028016598*^-6*I	0.05655041131233618+6.457451539139249*^-6*I	-0.12173860129182541+1.8675679780157188*^-6*I	-0.033589581080512965-3.4914623572579627*^-6*I	0.061636308983367666-1.6235986261644683*^-6*I
0.017204681943869496-4.252089598139245*^-7*I	0.07772007609794071-0.000011696024066858086*I	-0.07549474018692742+1.4252194001634185*^-6*I	-0.25181458570635323+0.0000347784245516329*I	0.2643556829445349-2.327579243252773*^-6*I	0.6267571281801244-0.00007737097209065301*I	0.26557646318327494-2.319904506769918*^-6*I	-0.23213042417942956+0.00003156645843767022*I	-0.09147864189205679+1.8581030964602085*^-6*I	0.14065178247318308-0.000020560491152004338*I	-0.014010197018879669-5.029129797752654*^-7*I	-0.12905024104941043+0.000016926962827885376*I	-0.15477858368464106+3.032619470572199*^-6*I	-0.11058685976199442+0.000013829400001313855*I	-0.026636953055457872-1.8404252105371532*^-8*I	0.09859976956400707-0.00001410770706591865*I	0.02818186465860929-6.860118050197706*^-7*I	-0.060515394196592104+9.550346912657211*^-6*I
-0.00026586068105035167+5.290809692895066*^-8*I	0.015983901705129377-4.328836962967855*^-7*I	-0.01172206564108505-1.3266354952192994*^-6*I	-0.07549474018692738+1.4252194001634219*^-6*I	0.06834312092380254+7.80719496378947*^-6*I	0.2655764631832748-2.3199045067699174*^-6*I	-0.26752546854324905-0.000032624912902039524*I	0.24837178123940534-1.8946955469559876*^-6*I	0.08124663242422556+9.208756438315972*^-6*I	-0.16712514789430413+2.978788742849407*^-6*I	0.04409722879438142+5.26966679397738*^-6*I	0.21852628377157945-1.6577659939887028*^-6*I	0.05953352675440649+6.7459422263957056*^-6*I	-0.12173860129182539+1.867567978015708*^-6*I	-0.03657269652258325-3.779953044514433*^-6*I	0.0477887727080494-1.1467646349774305*^-6*I	0.012453182517954813+1.1877847451618635*^-6*I	-0.01624976238088892+5.123778613307708*^-7*I
-0.0012207802387400905-7.674736482860028*^-9*I	-0.019684161526923566+3.2119661139626675*^-6*I	0.015983901705129384-4.328836962967839*^-7*I	0.07772007609794065-0.00001169602406685808*I	-0.0742739599481873+1.4328941366462785*^-6*I	-0.2321304241794296+0.00003156645843767022*I	0.24837178123940531-1.8946955469559758*^-6*I	0.5490370520821836-0.00006567494802379489*I	0.33985042313146213-3.752798643416198*^-6*I	-0.2091866293260014+0.000027937107067232498*I	-0.18296044834325031+3.718631275591966*^-6*I	-0.06853484685281828+7.376615915228163*^-6*I	-0.014010197018879646-5.02912979775268*^-7*I	0.08013638827659106-0.00001101014423934713*I	0.02818186465860928-6.8601180501977*^-7*I	-0.04205201290917609+6.452784086085692*^-6*I	-0.01262675603657818+4.845087276698972*^-7*I	0.018463381287415998-3.097562826571518*^-6*I
0.0011814458593379334+7.492597930720318*^-8*I	-0.001220780238740101-7.674736482859168*^-9*I	-0.00026586068105033264+5.2908096928951314*^-8*I	0.017204681943869496-4.252089598139263*^-7*I	-0.01263765081937268-1.4544695714554554*^-6*I	-0.0914786418920568+1.8581030964602079*^-6*I	0.08124663242422558+9.20875643831598*^-6*I	0.33985042313146213-3.7527986434161987*^-6*I	-0.33613445014810206-0.000040379199768900045*I	0.3240151226825159-3.012956110673639*^-6*I	0.09312310783491946+0.000010237404583653675*I	-0.1671251478943041+2.9787887428494154*^-6*I	-0.04902587904053803-4.967737789676288*^-6*I	0.061636308983367666-1.6235986261644685*^-6*I	0.015436297960025117+1.4762754324183322*^-6*I	-0.01624976238088892+5.123778613307702*^-7*I	-0.0029831154420703063-2.884906872564681*^-7*I	0.002402226105570633-3.554387014373106*^-8*I
0.0024022261055706264-3.554387014373249*^-8*I	0.01846338128741599-3.097562826571519*^-6*I	-0.016249762380888905+5.123778613307714*^-7*I	-0.060515394196592076+9.550346912657213*^-6*I	0.061636308983367666-1.6235986261644719*^-6*I	0.1406517824731831-0.000020560491152004334*I	-0.16712514789430408+2.9787887428494108*^-6*I	-0.20918662932600138+0.00002793710706723249*I	0.3240151226825159-3.012956110673639*^-6*I	0.5332017517072217-0.00006335157544615772*I	0.27608355720191025-2.7935374754302382*^-6*I	-0.09859030074360693+0.000012314687617051668*I	-0.03501568251843218+4.3776309415278603*^-7*I	-0.018500079455583244+3.2229147148458927*^-6*I	-0.012745566550956612+6.186574414355908*^-7*I	0.025802250579524958-4.315429986666031*^-6*I	0.009643640565658819-4.746878707193349*^-7*I	-0.01606115518539975+2.8217963458707236*^-6*I
