-0.585707419333557-0.00007137099680266479*I	0.35753105991352946+0.000012142270283861244*I	0.1459442168541432+0.0000206828983621625*I	-0.10041663283950371-6.264027440851755*^-6*I	-0.022431759087956457-2.936481325964485*^-6*I	0.01924961765183927+1.4314292172842026*^-6*I	-0.0012452704806629874-7.49138376479009*^-7*I	-0.0011462532301545867+7.997309271633388*^-8*I	0.0026551619617504506+7.653967954533724*^-7*I	0.0025269375268045188+5.251704474437161*^-8*I	-0.005763295114468278-1.0826865131693987*^-6*I	-0.0187509051465433-1.7764272177033228*^-6*I	0.030072178747736836+5.891920882077824*^-6*I	0.06950250016827889+5.548803842861665*^-6*I	-0.09312849431188303-0.00001673071829966107*I	-0.18122343224158138-9.717557380099314*^-6*I	0.17008909814312922+0.000026122758739178858*I	0.3379010748959212+9.315553312108782*^-6*I
0.35753105991352924+0.000012142270283861256*I	0.3132963487806811-0.00004012207154873079*I	0.25711442707402565+5.8782428430095*^-6*I	-0.14304667545397726+0.000010779693435736398*I	-0.08116701518766434-4.8325982235675546*^-6*I	0.05127126066598053-1.4682358967731987*^-6*I	0.0181033644216847+1.5114023100005363*^-6*I	-0.013786269275468901-1.729662399755955*^-7*I	-0.0011462532301545953+7.997309271633829*^-8*I	0.01319021760378582+3.291775712035521*^-7*I	-0.015077714389584208-1.8038832656752891*^-6*I	-0.02807124174009535+6.167948957806031*^-7*I	0.031501977369896274+2.3409474078741456*^-6*I	0.04956856640715143-3.7077070964519048*^-6*I	-0.011304299233798915+2.0952739036141077*^-6*I	-0.036550170660386294+6.687621683956759*^-6*I	-0.20085341725918943-0.000012544274351851791*I	-0.12738019641141887+0.00001068294610498571*I
0.1459442168541431+0.000020682898362162505*I	0.2571144270740257+5.878242843009506*^-6*I	-0.46219496156737044-0.00005362457976646676*I	0.2763640447258649+7.309672060293703*^-6*I	0.12226718728552369+0.000016997278659719008*I	-0.08231326841781897-4.7526251308512126*^-6*I	-0.02102186760686896-2.920222906990113*^-6*I	0.01810336442168474+1.5114023100005344*^-6*I	-0.0012452704806629952-7.491383764790132*^-7*I	-0.018750905146543314-1.7764272177033213*^-6*I	0.024308883633268535+4.809234368908424*^-6*I	0.0532785325485401+3.824893669902712*^-6*I	-0.06881961067861449-0.000011921483930752653*I	-0.13047183721984584-5.945180754940972*^-6*I	0.10703278257898312+0.000015283961321595616*I	0.22618014282261878+5.146799774871132*^-6*I	0.07696060383124627+9.392040439517797*^-6*I	-0.18122343224158144-9.71755738009931*^-6*I
-0.1004166328395036-6.2640274408517536*^-6*I	-0.14304667545397723+0.000010779693435736405*I	0.27636404472586495+7.309672060293699*^-6*I	0.36456760944666167-0.000041590307445503985*I	0.2752177914957103+7.389645153010041*^-6*I	-0.15683294472944617+0.000010606727195760812*I	-0.0823132684178189-4.7526251308512185*^-6*I	0.051271260665980534-1.468235896773197*^-6*I	0.01924961765183929+1.4314292172841982*^-6*I	-0.041261459343881174+2.876173245770507*^-7*I	0.03150197736989628+2.3409474078741473*^-6*I	0.06275878401093724-3.378529525248353*^-6*I	-0.026382013623383122+2.9139063793882135*^-7*I	-0.06462141240048166+7.3044165797373625*^-6*I	-0.16935143988929321-0.000010203326943977652*I	-0.07781163000426748+6.975239008533808*^-6*I	-0.011304299233798921+2.0952739036141124*^-6*I	0.0908300257510326-3.995324421028956*^-6*I
-0.0224317590879564-2.9364813259644915*^-6*I	-0.08116701518766434-4.832598223567556*^-6*I	0.12226718728552373+0.00001699727865971902*I	0.2752177914957104+7.3896451530100375*^-6*I	-0.46078507008628294-0.0000536083213474924*I	0.27521779149571035+7.389645153010051*^-6*I	0.12226718728552373+0.00001699727865971902*I	-0.08116701518766432-4.832598223567566*^-6*I	-0.022431759087956377-2.9364813259644907*^-6*I	0.06950250016827889+5.548803842861666*^-6*I	-0.06305631556414626-0.000010838797417583254*I	-0.13047183721984584-5.945180754940965*^-6*I	0.10126948746451479+0.000014201274808426208*I	0.20995617520287993+3.4228896019121754*^-6*I	0.1012694874645148+0.000014201274808426208*I	-0.13047183721984582-5.945180754940965*^-6*I	-0.06305631556414623-0.000010838797417583257*I	0.06950250016827886+5.548803842861661*^-6*I
0.019249617651839312+1.4314292172842011*^-6*I	0.051271260665980534-1.4682358967731973*^-6*I	-0.08231326841781895-4.752625130851222*^-6*I	-0.15683294472944614+0.000010606727195760812*I	0.2752177914957104+7.389645153010037*^-6*I	0.36456760944666167-0.00004159030744550399*I	0.2763640447258649+7.309672060293698*^-6*I	-0.14304667545397726+0.000010779693435736405*I	-0.10041663283950363-6.264027440851752*^-6*I	0.09083002575103259-3.995324421028952*^-6*I	-0.01130429923379891+2.0952739036141086*^-6*I	-0.07781163000426745+6.9752390085338076*^-6*I	-0.16935143988929313-0.000010203326943977642*I	-0.06462141240048165+7.304416579737357*^-6*I	-0.02638201362338311+2.913906379388215*^-7*I	0.06275878401093725-3.378529525248355*^-6*I	0.0315019773698963+2.340947407874147*^-6*I	-0.041261459343881174+2.8761732457705063*^-7*I
-0.0012452704806629935-7.491383764790094*^-7*I	0.0181033644216847+1.5114023100005342*^-6*I	-0.021021867606868954-2.9202229069901174*^-6*I	-0.08231326841781894-4.752625130851216*^-6*I	0.1222671872855237+0.00001699727865971901*I	0.27636404472586495+7.309672060293697*^-6*I	-0.46219496156737044-0.00005362457976646677*I	0.25711442707402576+5.878242843009502*^-6*I	0.14594421685414313+0.000020682898362162502*I	-0.18122343224158144-9.717557380099312*^-6*I	0.07696060383124628+9.392040439517785*^-6*I	0.22618014282261875+5.1467997748711215*^-6*I	0.10703278257898313+0.00001528396132159561*I	-0.13047183721984587-5.945180754940965*^-6*I	-0.06881961067861452-0.000011921483930752653*I	0.05327853254854007+3.824893669902716*^-6*I	0.02430888363326856+4.8092343689084325*^-6*I	-0.0187509051465433-1.7764272177033198*^-6*I
-0.0011462532301545823+7.997309271633866*^-8*I	-0.013786269275468895-1.7296623997559842*^-7*I	0.018103364421684694+1.511402310000537*^-6*I	0.05127126066598051-1.4682358967731947*^-6*I	-0.08116701518766432-4.832598223567559*^-6*I	-0.14304667545397728+0.000010779693435736407*I	0.25711442707402565+5.8782428430095075*^-6*I	0.31329634878068113-0.000040122071548730793*I	0.3575310599135293+0.00001214227028386125*I	-0.12738019641141896+0.000010682946104985719*I	-0.2008534172591895-0.000012544274351851794*I	-0.03655017066038633+6.68762168395677*^-6*I	-0.011304299233798939+2.095273903614111*^-6*I	0.04956856640715144-3.7077070964519056*^-6*I	0.031501977369896295+2.340947407874147*^-6*I	-0.028071241740095353+6.167948957806028*^-7*I	-0.01507771438958421-1.80388326567529*^-6*I	0.013190217603785819+3.2917757120355273*^-7*I
0.0026551619617504593+7.653967954533763*^-7*I	-0.0011462532301545801+7.997309271633819*^-8*I	-0.001245270480663017-7.491383764790127*^-7*I	0.019249617651839294+1.4314292172841988*^-6*I	-0.02243175908795639-2.93648132596448*^-6*I	-0.10041663283950363-6.264027440851754*^-6*I	0.14594421685414313+0.000020682898362162502*I	0.35753105991352935+0.000012142270283861258*I	-0.585707419333557-0.00007137099680266479*I	0.3379010748959213+9.315553312108762*^-6*I	0.17008909814312936+0.000026122758739178865*I	-0.1812234322415814-9.717557380099314*^-6*I	-0.093128494311883-0.000016730718299661078*I	0.06950250016827887+5.548803842861667*^-6*I	0.030072178747736822+5.891920882077821*^-6*I	-0.018750905146543317-1.776427217703321*^-6*I	-0.005763295114468292-1.0826865131693972*^-6*I	0.0025269375268044984+5.251704474437173*^-8*I
0.002526937526804501+5.2517044744369716*^-8*I	0.013190217603785815+3.291775712035525*^-7*I	-0.018750905146543297-1.7764272177033203*^-6*I	-0.04126145934388117+2.8761732457705037*^-7*I	0.06950250016827886+5.548803842861665*^-6*I	0.09083002575103258-3.995324421028951*^-6*I	-0.18122343224158136-9.71755738009931*^-6*I	-0.12738019641141887+0.00001068294610498571*I	0.33790107489592125+9.315553312108774*^-6*I	0.3030887562888533-0.00003962896587228127*I	0.2892997509058926+9.119199081911872*^-6*I	-0.05768601507699175+6.381591702549738*^-6*I	-0.03712251948145209-1.4823979882495665*^-6*I	-0.013427265764766029-3.5716492208791987*^-7*I	-0.015864443831881053-2.2843664239673616*^-6*I	0.018320770886250115+3.3455346566800016*^-7*I	0.012080800821792059+1.8172157902740317*^-6*I	-0.011876210084595771-5.545624606169301*^-7*I
