0.16824592842229413-4.5533385282788035*^-6*I	0.0687706739089969-3.6876762621674363*^-6*I	0.039594330639254924-4.044576622975487*^-6*I	0.017152319690091414-2.407906391015117*^-6*I	0.012243791179980834-2.5973804813482963*^-6*I	0.00560272428626805-1.474642644264101*^-6*I	0.004688886717579-1.6518089810843919*^-6*I	0.002241408586680068-9.283870359978251*^-7*I	0.0020851481565499117-1.0709678170912553*^-6*I	0.0010293005614034532-6.00285507684327*^-7*I	0.0010256268957022105-7.051061408953234*^-7*I	0.0005177681782963269-3.940140884404091*^-7*I	0.0005391836132975808-4.665153938617526*^-7*I	0.0002757989047786317-2.586790472947777*^-7*I	0.0002943419751696559-3.050553970447374*^-7*I	0.0001505456548291359-1.659011631167212*^-7*I	0.00016064045445844224-1.9075901982545927*^-7*I	0.00007972128674875361-9.869390323779765*^-8*I	0.00008029499359312061-1.0456324748770874*^-7*I	0.00003464059660517567-4.603919451653404*^-8*I	0.000024396588963232342-3.3294444213921026*^-8*I	0.00003909131793905406-5.3680437294307585*^-8*I	0.00009374606279629543-1.2749193968520657*^-7*I	0.00012830743448910363-1.6830638377914642*^-7*I	0.00021373252963344477-2.718519788229827*^-7*I	0.0002552242167394404-3.0597143598988987*^-7*I	0.00039697132671958593-4.526499257973198*^-7*I	0.0004632223099810963-4.864634349100167*^-7*I	0.0007086474751819019-6.953388985903965*^-7*I	0.0008359656321694113-7.372502911470883*^-7*I	0.0012786428493825263-1.0353182307120361*^-6*I	0.0015526036823152753-1.0987016705921595*^-6*I	0.002388043646605194-1.5225923927631934*^-6*I	0.0030310719869327965-1.630802482914015*^-6*I	0.004687381373308548-2.2228253686215077*^-6*I	0.006326724823579858-2.4154416582161246*^-6*I	0.009744500354281272-3.1910439646220964*^-6*I	0.014248413908226332-3.5138382276111554*^-6*I	0.021073581740741844-4.303456497171977*^-6*I	0.03373987248268125-4.6615700059116945*^-6*I	0.041301480184757294-4.490642435397463*^-6*I	0.0693355395655416-3.842193940990207*^-6*I
0.06877067390899691-3.6876762621674355*^-6*I	0.17373442423225607-5.366206065523355*^-6*I	0.08592299359908835-6.0955826531825544*^-6*I	0.03595964474013263-3.7422696118701046*^-6*I	0.022755043976359465-3.882549035279219*^-6*I	0.010124727606953926-2.2038646191980993*^-6*I	0.007844132872948122-2.403029680261927*^-6*I	0.003677705063993302-1.3460007979225912*^-6*I	0.0032707091480835226-1.5286725436821526*^-6*I	0.001594117672987824-8.543427138207577*^-7*I	0.0015470687396997803-9.942995961247364*^-7*I	0.0007744750816233579-5.544519465911922*^-7*I	0.0007935670830749586-6.526931357351869*^-7*I	0.00040364723028230655-3.6139739676768176*^-7*I	0.0004263445596077676-4.24580210411499*^-7*I	0.00021726115565336146-2.306984513276452*^-7*I	0.00023026694157788952-2.645950663545189*^-7*I	0.00011403159480787004-1.3683691208023082*^-7*I	0.0001143618833539293-1.4473309775433174*^-7*I	0.000049302290381966346-6.3727379677639*^-8*I	0.00003464059660517567-4.6039194516534054*^-8*I	0.000055389292174386594-7.413031202399076*^-8*I	0.00013275815582298206-1.7594762655691993*^-7*I	0.00018229314541807936-2.3261566725692794*^-7*I	0.0003038103644797905-3.755839165312387*^-7*I	0.0003646251272184297-4.236013207754888*^-7*I	0.0005679008718914007-6.265337077831854*^-7*I	0.0006675996321596673-6.752893596813604*^-7*I	0.0010233890373718758-9.650346787623276*^-7*I	0.0012202137855613635-1.0273429823046927*^-6*I	0.0018708011361883593-1.441937873298839*^-6*I	0.002306992806640731-1.5389008323317056*^-6*I	0.003554375107844619-2.129218645821848*^-6*I	0.004612987189399907-2.298507244418878*^-6*I	0.0071163882238325865-3.117857105132316*^-6*I	0.00990428010074152-3.4221008434876466*^-6*I	0.014972414445538141-4.454637241563181*^-6*I	0.022686427369709068-4.945012335688269*^-6*I	0.030835966700816172-5.767501842507736*^-6*I	0.04998431190839613-6.131396578184615*^-6*I	0.03430473813922593-4.816087684734464*^-6*I	0.03410583482929298-3.2317090857309345*^-6*I
0.039594330639254924-4.044576622975486*^-6*I	0.08592299359908834-6.0955826531825544*^-6*I	0.22008405024152988-0.000011195295632602588*I	0.09152571788535642-7.570225297446659*^-6*I	0.05652700853681479-8.293766085408177*^-6*I	0.02499645256303954-4.810936071277044*^-6*I	0.01901782605410975-5.320157279523945*^-6*I	0.008873433434351574-3.003315187946254*^-6*I	0.007799661769831124-3.427882939070972*^-6*I	0.0037884773263798495-1.922686632122562*^-6*I	0.003649958665549703-2.242589351848332*^-6*I	0.0018228676444784122-1.252978643419514*^-6*I	0.0018591524841694474-1.4766769318018137*^-6*I	0.0009441127379040946-8.185942988519084*^-7*I	0.0009941660429256792-9.623298107319498*^-7*I	0.0005060658463565213-5.232741136492969*^-7*I	0.0005352774232212188-6.003776643579057*^-7*I	0.0002649075381830651-3.10634260871053*^-7*I	0.00026533203701479516-3.28616711527089*^-7*I	0.00011436188335392924-1.4473309775433171*^-7*I	0.00008029499359312061-1.0456324748770871*^-7*I	0.00012830743448910366-1.6830638377914642*^-7*I	0.0003074785924297402-3.993439185081892*^-7*I	0.00042262296916759806-5.279582570633439*^-7*I	0.0007044499191493263-8.519938443055093*^-7*I	0.0008467539612096405-9.60741254679053*^-7*I	0.0013193513315349326-1.4198408032106997*^-6*I	0.0015544121588899485-1.5296851620469958*^-6*I	0.0023842616512840145-2.1833070550997544*^-6*I	0.0028517916244657836-2.322415396649266*^-6*I	0.0043753339711696225-3.2532495220656263*^-6*I	0.005419641301417485-3.4667544446532643*^-6*I	0.008354067869296272-4.780735992096739*^-6*I	0.010910400492827934-5.1449458117223005*^-6*I	0.016819925374195015-6.9364617260068015*^-6*I	0.023606210718738984-7.560082368741298*^-6*I	0.03550546346833166-9.717325830415585*^-6*I	0.054315011214487466-0.000010590849891738981*I	0.07211956227978043-0.000011985142897191541*I	0.11732382595644922-0.000012017602174513062*I	0.06237506192549914-8.794098932569442*^-6*I	0.03373987248268124-4.6615700059116945*^-6*I
0.017152319690091414-2.4079063910151173*^-6*I	0.035959644740132614-3.742269611870105*^-6*I	0.0915257178853564-7.570225297446657*^-6*I	0.18385915183921-7.57007068472146*^-6*I	0.0937671264720365-8.498612333444487*^-6*I	0.03963734980412593-5.088270409792698*^-6*I	0.026025753124442996-5.411221578961373*^-6*I	0.011718845279941752-3.058207333018857*^-6*I	0.009391201612647905-3.3973292763866637*^-6*I	0.004452180145616664-1.9004527445137839*^-6*I	0.0040642762311584825-2.1813656794173404*^-6*I	0.001997764903270132-1.2157401105884396*^-6*I	0.001973413299307549-1.4188798065362357*^-6*I	0.0009917362372767198-7.851503979188377*^-7*I	0.0010238340246528487-9.172882020897065*^-7*I	0.0005176788250901769-4.982343088479129*^-7*I	0.0005407064429616972-5.69313308165831*^-7*I	0.00026656344603532786-2.9442583100528426*^-7*I	0.0002649075381830652-3.1063426087105297*^-7*I	0.00011403159480787005-1.3683691208023082*^-7*I	0.0000797212867487536-9.869390323779767*^-8*I	0.0001269038532436928-1.584853552329371*^-7*I	0.0003038103644797905-3.755839165312387*^-7*I	0.0004200144193928163-4.977316327994796*^-7*I	0.000700659027714383-8.024813343401054*^-7*I	0.000849892777577747-9.079050269382884*^-7*I	0.001327199401851667-1.340618595293567*^-6*I	0.0015848389127797945-1.4509443030801823*^-6*I	0.0024387020080797626-2.0684715810820257*^-6*I	0.002974592438800401-2.2141901920130667*^-6*I	0.004577764145216497-3.094253324584176*^-6*I	0.005833200974961275-3.325850226723572*^-6*I	0.008987189360020954-4.559794978431156*^-6*I	0.012211272907382255-4.9610016758193535*^-6*I	0.018526789553382772-6.583855887385029*^-6*I	0.027299414559108986-7.2435195801071485*^-6*I	0.03795235492464878-8.885358947640054*^-6*I	0.059888592009137716-9.553497421672267*^-6*I	0.0492771525847641-9.270724926297653*^-6*I	0.05679226219900208-8.17672142141921*^-6*I	0.030835966700816172-5.767501842507736*^-6*I	0.01587847707910315-2.899687492453679*^-6*I
0.012243791179980838-2.5973804813482963*^-6*I	0.022755043976359468-3.882549035279218*^-6*I	0.05652700853681479-8.293766085408179*^-6*I	0.09376712647203649-8.498612333444486*^-6*I	0.22685808511565886-0.000013918072430778244*I	0.09479642703343995-9.09889784112881*^-6*I	0.0596377835890669-0.000010069840043394756*I	0.026543521302739313-5.80523566740178*^-6*I	0.02058263656310954-6.49177881428102*^-6*I	0.009667000517426532-3.6560083236814414*^-6*I	0.00863318735829836-4.199453729977462*^-6*I	0.004214821885987617-2.347266842534061*^-6*I	0.004104941095177801-2.738403768718529*^-6*I	0.0020531345860563014-1.5175737097740332*^-6*I	0.0021000879322210105-1.771999199114982*^-6*I	0.001058474621258024-9.633273966062403*^-7*I	0.0010988576254820324-1.1001875024335793*^-6*I	0.0005407064429616968-5.693133081658306*^-7*I	0.0005352774232212185-6.003776643579055*^-7*I	0.00023026694157788938-2.6459506635451873*^-7*I	0.00016064045445844213-1.907590198254592*^-7*I	0.00025522421673944016-3.059714359898896*^-7*I	0.0006107038563530301-7.245019046203021*^-7*I	0.0008467539612096397-9.607412546790527*^-7*I	0.0014130973943312277-1.5473327428959059*^-6*I	0.0017218109113181059-1.7516719831204492*^-6*I	0.0026917402437137555-2.5826509736079433*^-6*I	0.003235323275694328-2.7966932164183024*^-6*I	0.004986037827522654-3.97775142668593*^-6*I	0.006138087828138021-4.259189315553171*^-6*I	0.009459686671197755-5.928724816484454*^-6*I	0.012209588434978443-6.3686595377794064*^-6*I	0.018807215698759445-8.667118855309235*^-6*I	0.025994780033223676-9.396034330480547*^-6*I	0.03917214996431939-0.000012275236453890815*I	0.05889868688373553-0.000013320354045245157*I	0.07919498729969418-0.00001573056065857625*I	0.1266816227669619-0.00001606384631564321*I	0.076806943653089-0.000014207968265813056*I	0.05431501121448748-0.000010590849891738985*I	0.03081808209502313-7.494500461794076*^-6*I	0.014248413908226332-3.5138382276111563*^-6*I
0.005602724286268051-1.4746426442641012*^-6*I	0.010124727606953926-2.2038646191980993*^-6*I	0.024996452563039544-4.810936071277046*^-6*I	0.03963734980412594-5.088270409792698*^-6*I	0.09479642703343996-9.09889784112881*^-6*I	0.18545326951219787-8.424413398542214*^-6*I	0.09531419521173626-9.492911929569217*^-6*I	0.04041182488574928-5.642722356383888*^-6*I	0.026819320207517938-6.063914714696559*^-6*I	0.012122492510224056-3.419604729786538*^-6*I	0.00981754617225567-3.821909486798162*^-6*I	0.004669441301270023-2.131151195841429*^-6*I	0.004294543172736371-2.4459607457718585*^-6*I	0.002111796498078001-1.3525770226686707*^-6*I	0.002087775182661478-1.5636129042905676*^-6*I	0.0010410385276586863-8.488777775964766*^-7*I	0.001058474621258024-9.6332739660624*^-7*I	0.0005176788250901766-4.982343088479125*^-7*I	0.000506065846356521-5.232741136492963*^-7*I	0.00021726115565336133-2.3069845132764498*^-7*I	0.00015054565482913582-1.6590116311672107*^-7*I	0.00023772127397473662-2.6511596554255135*^-7*I	0.0005679008718914004-6.265337077831848*^-7*I	0.0007945034854033597-8.337747149142969*^-7*I	0.0013271994018516664-1.3406185952935659*^-6*I	0.0016402282049541804-1.5250746151041719*^-6*I	0.002571460163902744-2.2444192076389453*^-6*I	0.0031568855842184803-2.446805859269995*^-6*I	0.004881574509696287-3.469837241115415*^-6*I	0.006197826102179703-3.74945154749906*^-6*I	0.00955509023191235-5.186328686214339*^-6*I	0.012878872539541925-5.636291035500713*^-6*I	0.01955017859075464-7.548890566147358*^-6*I	0.028519628344670343-8.27086256241184*^-6*I	0.039823156060837125-0.000010327296820938889*I	0.06219558481577842-0.00001109239825400397*I	0.05283152769260872-0.000011399943572119497*I	0.06140524938840199-0.000010475228665838086*I	0.03795235492464877-8.885358947640053*^-6*I	0.025782757179844688-6.321788335941327*^-6*I	0.014972414445538141-4.454637241563181*^-6*I	0.00680795029060591-2.0453248432345897*^-6*I
0.004688886717578999-1.6518089810843915*^-6*I	0.007844132872948117-2.403029680261926*^-6*I	0.019017826054109743-5.320157279523943*^-6*I	0.026025753124442986-5.411221578961371*^-6*I	0.05963778358906689-0.000010069840043394754*I	0.09531419521173622-9.492911929569215*^-6*I	0.22842289562465853-0.000015089693965535306*I	0.09558999411651485-9.75159097686399*^-6*I	0.06047130917753411-0.000010841410834301237*I	0.02696986586234707-6.229815877813275*^-6*I	0.021037618992737626-6.987593231151213*^-6*I	0.009897267459004416-3.920603390035957*^-6*I	0.008874122806349917-4.494775997290626*^-6*I	0.004329183769341544-2.4919999402883912*^-6*I	0.004209632677734151-2.8762614604201566*^-6*I	0.0020877751826614763-1.563612904290566*^-6*I	0.0021000879322210083-1.7719991991149804*^-6*I	0.0010238340246528472-9.172882020897051*^-7*I	0.0009941660429256779-9.623298107319483*^-7*I	0.0004263445596077669-4.245802104114984*^-7*I	0.00029434197516965547-3.05055397044737*^-7*I	0.00046322230998109543-4.864634349100157*^-7*I	0.0011056188019014858-1.1479888243877145*^-6*I	0.0015544121588899461-1.529685162046993*^-6*I	0.0025979941809174565-2.4551590339227333*^-6*I	0.0032353232756943237-2.7966932164182994*^-6*I	0.0050797838903189445-4.1052433663711335*^-6*I	0.006305486580566176-4.4811761366266225*^-6*I	0.009767165263627494-6.328068734992642*^-6*I	0.012593120086206975-6.842937357548437*^-6*I	0.019417919555112455-9.39162075992953*^-6*I	0.026713226559944195-0.000010188469201380446*I	0.04027776876622084-0.000013423225278278521*I	0.06019787482588598-0.000014544067771302247*I	0.08118227762425854-0.000017461217787878668*I	0.1290701920814465-0.000017899798277382442*I	0.08047363014907666-0.000016765878889288275*I	0.05889868688373549-0.00001332035404524515*I	0.03789350711493686-0.000011239918223178775*I	0.023606210718738987-7.560082368741297*^-6*I	0.014431881727589814-5.413869333243603*^-6*I	0.006326724823579856-2.4154416582161238*^-6*I
0.002241408586680068-9.28387035997825*^-7*I	0.0036777050639933023-1.346000797922591*^-6*I	0.00887343343435157-3.0033151879462534*^-6*I	0.011718845279941747-3.0582073330188563*^-6*I	0.02654352130273931-5.80523566740178*^-6*I	0.040411824885749285-5.642722356383886*^-6*I	0.09558999411651486-9.75159097686399*^-6*I	0.18585691674248012-8.78581079530989*^-6*I	0.09574053977134397-9.91749213998071*^-6*I	0.04062908604140265-5.87342080771153*^-6*I	0.027049587149095826-6.328509781051072*^-6*I	0.012236524105031921-3.5564416418667656*^-6*I	0.009931908055609591-3.9666425845524905*^-6*I	0.004718743591651987-2.194878575519066*^-6*I	0.004329183769341544-2.491999940288391*^-6*I	0.002111796498078-1.3525770226686695*^-6*I	0.0020531345860563-1.5175737097740315*^-6*I	0.0009917362372767182-7.851503979188365*^-7*I	0.0009441127379040933-8.18594298851907*^-7*I	0.000403647230282306-3.6139739676768107*^-7*I	0.00027579890477863125-2.586790472947774*^-7*I	0.0004298783581849296-4.1017339413880774*^-7*I	0.0010233890373718742-9.65034678762326*^-7*I	0.0014579350595360985-1.2924589478472421*^-6*I	0.002438702008079758-2.0684715810820215*^-6*I	0.0031014962920440886-2.372675547246*^-6*I	0.004881574509696283-3.4698372411154117*^-6*I	0.006253215394354085-3.8235818595230476*^-6*I	0.009687848387735327-5.362276312771256*^-6*I	0.013061165684959988-5.868906702757636*^-6*I	0.01985398895523441-7.924474482678587*^-6*I	0.028884253471888752-8.694463883187322*^-6*I	0.04039105693272849-0.00001095383052872207*I	0.06286318444793804-0.000011767687613685322*I	0.05385491672998054-0.000012364978250881815*I	0.06262546317396328-0.000011502571648142769*I	0.0398231560608371-0.000010327296820938882*I	0.028089749986485394-7.860689168273028*^-6*I	0.018526789553382755-6.583855887385027*^-6*I	0.011420937480005817-4.343832087653467*^-6*I	0.007116388223832583-3.1178571051323137*^-6*I	0.0030963298101356076-1.3767760002530556*^-6*I
0.0020851481565499117-1.0709678170912553*^-6*I	0.003270709148083522-1.5286725436821528*^-6*I	0.007799661769831124-3.427882939070972*^-6*I	0.009391201612647903-3.397329276386664*^-6*I	0.02058263656310954-6.491778814281021*^-6*I	0.026819320207517938-6.063914714696558*^-6*I	0.06047130917753411-0.00001084141083430124*I	0.09574053977134402-9.917492139980713*^-6*I	0.22887787805428672-0.00001558550838240551*I	0.09582026105809276-0.000010016186043218514*I	0.06071224462558571-0.00001113673310161441*I	0.027084227745701014-6.374548975567609*^-6*I	0.021142310575293984-7.125450922852845*^-6*I	0.009931908055609596-3.966642584552492*^-6*I	0.008874122806349923-4.4947759972906295*^-6*I	0.004294543172736369-2.445960745771858*^-6*I	0.0041049410951778005-2.738403768718527*^-6*I	0.001973413299307547-1.4188798065362342*^-6*I	0.0018591524841694456-1.4766769318018122*^-6*I	0.0007935670830749578-6.526931357351864*^-7*I	0.0005391836132975802-4.665153938617522*^-7*I	0.0008359656321694103-7.372502911470875*^-7*I	0.001987290324564426-1.7306571293024308*^-6*I	0.002851791624465781-2.322415396649263*^-6*I	0.004772305297889206-3.705899447862944*^-6*I	0.006138087828138018-4.2591893155531685*^-6*I	0.0096734192008312-6.200576795307436*^-6*I	0.012593120086206982-6.842937357548441*^-6*I	0.01951166561790877-9.519112699614738*^-6*I	0.026880625312372362-0.000010410456022453904*I	0.0405852473586506-0.000013822569196786713*I	0.060581406477114574-0.000015018345591071291*I	0.08179298148061162-0.000018185719692498975*I	0.12978863860816706-0.00001869223314828235*I	0.08157924895097815-0.000017913867713675993*I	0.06019787482588602-0.000014544067771302256*I	0.039880797439501285-0.000012970575352481208*I	0.025994780033223672-9.396034330480546*^-6*I	0.018098568223577544-7.971779956718836*^-6*I	0.010910400492827934-5.144945811722302*^-6*I	0.007075425019913741-3.7454177613847013*^-6*I	0.0030310719869327957-1.6308024829140149*^-6*I
0.0010293005614034534-6.002855076843271*^-7*I	0.0015941176729878245-8.543427138207578*^-7*I	0.0037884773263798504-1.9226866321225623*^-6*I	0.004452180145616663-1.900452744513784*^-6*I	0.009667000517426534-3.6560083236814414*^-6*I	0.012122492510224056-3.419604729786538*^-6*I	0.026969865862347082-6.229815877813278*^-6*I	0.04062908604140266-5.8734208077115315*^-6*I	0.09582026105809277-0.000010016186043218512*I	0.18597094833728803-8.922647707390125*^-6*I	0.09585490165469795-0.000010062225237735047*I	0.04067838833178458-5.937148187389171*^-6*I	0.027084227745701017-6.374548975567608*^-6*I	0.012236524105031921-3.556441641866768*^-6*I	0.009897267459004423-3.920603390035959*^-6*I	0.004669441301270021-2.1311511958414283*^-6*I	0.004214821885987616-2.3472668425340604*^-6*I	0.0019977649032701297-1.2157401105884385*^-6*I	0.001822867644478411-1.252978643419513*^-6*I	0.0007744750816233573-5.544519465911916*^-7*I	0.0005177681782963265-3.9401408844040877*^-7*I	0.0007903354273764324-6.17169588165883*^-7*I	0.0018708011361883577-1.4419378732988372*^-6*I	0.0027368711648256593-1.949074226470512*^-6*I	0.004577764145216494-3.0942533245841735*^-6*I	0.006070922248936006-3.5909661922661206*^-6*I	0.009555090231912347-5.186328686214337*^-6*I	0.013005776392785613-5.794776390733649*^-6*I	0.019853988955234433-7.924474482678592*^-6*I	0.028939642764063155-8.768594195211316*^-6*I	0.0405238150885515-0.00001112977815527899*I	0.06304547759335617-0.000012000303280942254*I	0.05415872709446035-0.00001274056216741306*I	0.06299008830118176-0.00001192617296891826*I	0.040391056932728514-0.00001095383052872207*I	0.02875734961864507-8.53597852795439*^-6*I	0.01955017859075463-7.548890566147355*^-6*I	0.012641151265567184-5.371175069958161*^-6*I	0.00898718936002095-4.559794978431155*^-6*I	0.005403322616776343-2.915676832584763*^-6*I	0.0035543751078446185-2.1292186458218478*^-6*I	0.0015166573792642975-9.217312441658213*^-7*I
