0.3023446074265016-0.000013602621476654181*I	0.10468918699431894-0.000012087746521853211*I	0.042056260859826874-9.39896776938628*^-6*I	0.01951345304074868-7.348673270678166*^-6*I	0.010259369118721964-5.900946017777114*^-6*I	0.00596279120615321-4.856317826451482*^-6*I	0.003744002425139668-4.071591464257552*^-6*I	0.002493417050193623-3.458395545127735*^-6*I	0.001736968879536174-2.9624981476798153*^-6*I	0.0012524761989040323-2.5495896045984556*^-6*I	0.0009271731057033731-2.1971153510694944*^-6*I	0.0006998417423013967-1.8896796962211528*^-6*I	0.0005353068213333125-1.6164020029961473*^-6*I	0.0004123526905604201-1.3693430164353927*^-6*I	0.00031762832107265417-1.1425334143642383*^-6*I	0.00024240030231559824-9.313524097408753*^-7*I	0.00018073760792311-7.321163168594314*^-7*I	0.00012845084040644588-5.417965026343161*^-7*I	0.00008244454629611807-3.578186557241771*^-7*I	0.000040301775650900773-1.7791355900319586*^-7*I
0.10468918699431902-0.000012087746521853215*I	0.3444008682863287-0.000023001589246040466*I	0.12420264003506774-0.000019436419792531386*I	0.052315629978548876-0.000015299913787163396*I	0.025476244246901893-0.00001220499109712965*I	0.014003371543861642-9.972537482034669*^-6*I	0.008456208256346834-8.314713371579214*^-6*I	0.0054809713046758465-7.034089611937368*^-6*I	0.003745893249097659-6.007985149726193*^-6*I	0.0026641419852395484-5.159613498749311*^-6*I	0.0019523179412054294-4.439269300819609*^-6*I	0.0014624799270366855-3.8135173540656426*^-6*I	0.001112194432861818-3.2590227126565474*^-6*I	0.000852935142405967-2.7589354173603854*^-6*I	0.0006547529928760188-2.3006954261762697*^-6*I	0.0004983659289957645-1.8746497312236704*^-6*I	0.00037085114272204415-1.4731489123751914*^-6*I	0.00026318215421922814-1.0899349725836088*^-6*I	0.00016875261605734667-7.197100616375123*^-7*I	0.00008244454629611808-3.578186557241773*^-7*I
0.04205626085982688-9.398967769386275*^-6*I	0.12420264003506766-0.00001943641979253138*I	0.3546602374050506-0.00002890253526381758*I	0.1301654312412209-0.000024292737618982875*I	0.0560596324036885-0.00001937150525142095*I	0.027969661297095508-0.00001566338664225739*I	0.015740340423397805-0.000012935035629714483*I	0.00970868445525087-0.000010864302976177678*I	0.0064081444103792195-9.23120496300687*^-6*I	0.004445734991399056-7.897664845947348*^-6*I	0.0031994488065728616-6.7760155017454595*^-6*I	0.0023646706317658503-5.8086123172550055*^-6*I	0.0017801082481093409-4.956050768429882*^-6*I	0.0013545947351774152-4.190375122397423*^-6*I	0.0010336727503290765-3.491051734219816*^-6*I	0.000783203833282464-2.842491928810585*^-6*I	0.000580810475291882-2.232468386947846*^-6*I	0.00041115291837294466-1.6510624713783869*^-6*I	0.0002631821542192281-1.0899349725836082*^-6*I	0.00012845084040644594-5.417965026343161*^-7*I
0.01951345304074869-7.348673270678166*^-6*I	0.05231562997854885-0.00001529991378716338*I	0.13016543124122093-0.000024292737618982875*I	0.3584042398301904-0.000032974126728075136*I	0.13265884829141447-0.000027751133164110607*I	0.05779660128322468-0.000022334003399100757*I	0.029222137495999542-0.00001821297624685584*I	0.01666751352910119-0.00001513215098078398*I	0.010408526197552271-0.000012753982672398834*I	0.006943451231712532-0.000010847606966003018*I	0.0048580876819594755-9.267007862382745*^-6*I	0.0035170771276455156-7.918548916109702*^-6*I	0.0026070709340814493-6.739964726995884*^-6*I	0.00196084585603245-5.688167085289313*^-6*I	0.0014830455755838604-4.732171625031736*^-6*I	0.0011161172966251945-3.848870389943992*^-6*I	0.0008235056089333643-3.0204054878137776*^-6*I	0.0005808104752918819-2.2324683869478444*^-6*I	0.00037085114272204393-1.4731489123751904*^-6*I	0.00018073760792310995-7.321163168594311*^-7*I
0.010259369118721969-5.900946017777114*^-6*I	0.02547624424690188-0.000012204991097129647*I	0.056059632403688525-0.000019371505251420957*I	0.1326588482914145-0.00002775113316411061*I	0.36014120870972643-0.00003593662487575493*I	0.1339113244903185-0.000030300722768709057*I	0.05872377438892807-0.000024531118750170253*I	0.029921979238300943-0.000020102655943076997*I	0.017202820350434505-0.000016748552983780135*I	0.010820878888112687-0.000014123325688834227*I	0.0072610795527851876-0.000011990140380367257*I	0.005100487984275074-0.000010198360272123621*I	0.003697814735568626-8.65066523296913*^-6*I	0.0027355217744878934-7.281761229630191*^-6*I	0.0020432904023285664-6.045985741013483*^-6*I	0.0015233473512347602-4.9100851840349285*^-6*I	0.0011161172966251927-3.848870389943988*^-6*I	0.000783203833282463-2.8424919288105803*^-6*I	0.0004983659289957634-1.874649731223667*^-6*I	0.00024240030231559789-9.313524097408739*^-7*I
0.005962791206153216-4.856317826451486*^-6*I	0.014003371543861646-9.972537482034672*^-6*I	0.027969661297095525-0.00001566338664225739*I	0.05779660128322473-0.000022334003399100774*I	0.13391132449031853-0.000030300722768709057*I	0.36106838181542994-0.000038133740226824446*I	0.13461116623262-0.00003219040246493021*I	0.05925908121026142-0.000026147520753166418*I	0.030334331928861393-0.00002147199895951241*I	0.017520448671507167-0.00001789108639814438*I	0.011063279190428297-0.000015054678098575118*I	0.007441817160708303-0.000012722256697226695*I	0.005228938824681523-0.00001074015677475794*I	0.003780259281864744-9.008483888693304*^-6*I	0.002775823550138794-7.4596747886333845*^-6*I	0.002043290402328566-6.0459857410134814*^-6*I	0.0014830455755838587-4.732171625031728*^-6*I	0.0010336727503290752-3.491051734219809*^-6*I	0.0006547529928760172-2.3006954261762637*^-6*I	0.00031762832107265374-1.142533414364236*^-6*I
0.003744002425139668-4.071591464257554*^-6*I	0.008456208256346832-8.314713371579221*^-6*I	0.015740340423397812-0.000012935035629714484*I	0.029222137495999546-0.000018212976246855844*I	0.058723774388928056-0.00002453111875017025*I	0.1346111662326199-0.00003219040246493021*I	0.36160368863676307-0.00003975014222982058*I	0.1350235189231804-0.0000335597454813656*I	0.059576709531334066-0.000027290054167530665*I	0.03057673223117699-0.000022403351369253282*I	0.017701186279430268-0.000018623202715003815*I	0.011191730030834738-0.000015596474601209425*I	0.007524261707004419-0.000013080075352950867*I	0.00526924060033242-0.00001091807033376112*I	0.0037802592818647397-9.008483888693292*^-6*I	0.0027355217744878912-7.28176122963018*^-6*I	0.001960845856032446-5.6881670852892964*^-6*I	0.001354594735177412-4.190375122397409*^-6*I	0.0008529351424059645-2.758935417360377*^-6*I	0.000412352690560419-1.3693430164353893*^-6*I
0.0024934170501936265-3.458395545127737*^-6*I	0.005480971304675848-7.034089611937373*^-6*I	0.009708684455250876-0.000010864302976177688*I	0.016667513529101206-0.000015132150980783994*I	0.029921979238300953-0.000020102655943077007*I	0.05925908121026142-0.000026147520753166424*I	0.1350235189231804-0.000033559745481365625*I	0.36192131695783575-0.00004089267564418485*I	0.135265919225496-0.00003449109789110652*I	0.05975744713925719-0.0000280221704843901*I	0.030705183071583424-0.000022945147871887605*I	0.017783630825726395-0.000018981021370727995*I	0.01123203180648564-0.000015774388160212616*I	0.007524261707004417-0.000013080075352950852*I	0.005228938824681516-0.000010740156774757913*I	0.00369781473556862-8.650665232969107*^-6*I	0.0026070709340814424-6.739964726995857*^-6*I	0.0017801082481093352-4.9560507684298624*^-6*I	0.0011121944328618136-3.259022712656534*^-6*I	0.0005353068213333108-1.616402002996141*^-6*I
0.001736968879536176-2.9624981476798187*^-6*I	0.003745893249097661-6.007985149726199*^-6*I	0.0064081444103792256-9.231204963006877*^-6*I	0.01040852619755228-0.000012753982672398844*I	0.017202820350434522-0.000016748552983780138*I	0.0303343319288614-0.000021471998959512406*I	0.059576709531334086-0.00002729005416753067*I	0.13526591922549602-0.00003449109789110651*I	0.362102054565759-0.000041624791961044304*I	0.1353943700659025-0.00003503289439374083*I	0.059839891685553294-0.00002837998914011429*I	0.030745484847234335-0.00002312306143089081*I	0.017783630825726406-0.000018981021370727995*I	0.011191730030834734-0.00001559647460120941*I	0.00744181716070829-0.000012722256697226666*I	0.005100487984275068-0.000010198360272123593*I	0.0035170771276455074-7.918548916109672*^-6*I	0.002364670631765844-5.808612317254981*^-6*I	0.001462479927036681-3.8135173540656273*^-6*I	0.0006998417423013947-1.8896796962211454*^-6*I
0.0012524761989040336-2.549589604598456*^-6*I	0.0026641419852395493-5.15961349874931*^-6*I	0.00444573499139906-7.897664845947348*^-6*I	0.006943451231712539-0.000010847606966003016*I	0.010820878888112694-0.000014123325688834231*I	0.017520448671507163-0.000017891086398144378*I	0.030576732231176972-0.000022403351369253285*I	0.05975744713925718-0.000028022170484390094*I	0.1353943700659025-0.00003503289439374082*I	0.3621844991120549-0.000041982610616768444*I	0.13543467184155333-0.00003521080795274401*I	0.05983989168555327-0.00002837998914011426*I	0.030705183071583424-0.00002294514787188758*I	0.017701186279430264-0.00001862320271500378*I	0.011063279190428274-0.00001505467809857507*I	0.0072610795527851745-0.00001199014038036722*I	0.0048580876819594625-9.267007862382703*^-6*I	0.0031994488065728503-6.776015501745427*^-6*I	0.001952317941205423-4.4392693008195866*^-6*I	0.0009271731057033698-2.197115351069484*^-6*I
