0.-0.8488270176690234*I	-0.4999582918382695+0.*I	0.+0.16960761374107067*I	0.00001548985574495436+0.*I	0.+0.023956087096485237*I	8.625735469512065*^-6+0.*I	0.+0.007631947065937058*I	4.925499012448299*^-6+0.*I	0.+0.002910688708049304*I	2.272517416279285*^-6+0.*I	0.+0.0008409844966131472*I
-0.49995829181971807+0.*I	0.-0.6792194039187215*I	-0.49994280201585983+0.*I	0.+0.19356370084503247*I	0.000024115633431520678+0.*I	0.+0.03158803415302701*I	0.000013551214273377354+0.*I	0.+0.010542635785255548*I	7.1980207785316*^-6+0.*I	0.+0.0037516732016323094*I	2.2724910886395833*^-6+0.*I
0.+0.169607613737623*I	-0.4999428019925406+0.*I	0.-0.6552633168216817*I	-0.4999341762606646+0.*I	0.+0.20119564790212302*I	0.000029041090917987818+0.*I	0.+0.03449872288522824*I	0.00001582374067048262+0.*I	0.+0.011383620259643918*I	7.198013351442382*^-6+0.*I	0.+0.0029106887113948734*I
0.000015489853293360056+0.*I	0.+0.19356370084547583*I	-0.4999341762644356+0.*I	0.-0.6476313697407649*I	-0.4999292507473605+0.*I	0.+0.20410633662612213*I	0.000031313584806014205+0.*I	0.+0.035339707363360014*I	0.00001582374582653756+0.*I	0.+0.010542635778152318*I	4.925491836615947*^-6+0.*I
0.+0.023956087134550774*I	0.000024115583894077286+0.*I	0.+0.20119564788545516*I	-0.49992925077463607+0.*I	0.-0.6447206810088196*I	-0.49992697824702326+0.*I	0.+0.20494732109675234*I	0.00003131358263127601+0.*I	0.+0.0344987229046775*I	0.000013551234844540102+0.*I	0.+0.007631947019641188*I
8.625736846568088*^-6+0.*I	0.+0.031588034156513255*I	0.000029041090989778695+0.*I	0.+0.2041063366233031*I	-0.49992697826614574+0.*I	0.-0.6438796965379734*I	-0.49992697825505417+0.*I	0.+0.20410633659898889*I	0.00002904108978896147+0.*I	0.+0.031588034165838365*I	8.625724561284187*^-6+0.*I
0.+0.007631947041834716*I	0.000013551218768463276+0.*I	0.+0.034498722900739284*I	0.00003131358350719122+0.*I	0.+0.20494732107955232*I	-0.4999269782595596+0.*I	0.-0.6447206809978755*I	-0.49992925077053785+0.*I	0.+0.20119564786731509*I	0.00002411559016329161+0.*I	0.+0.023956087120925056*I
4.925522716803243*^-6+0.*I	0.+0.010542635769538268*I	0.00001582371936592608+0.*I	0.+0.03533970737111618*I	0.00003131359676444845+0.*I	0.+0.20410633661241265*I	-0.4999292507690143+0.*I	0.-0.6476313697563824*I	-0.4999341762537597+0.*I	0.+0.19356370084386992*I	0.000015489844997773616+0.*I
0.+0.0029106887308216756*I	7.1980106914060205*^-6+0.*I	0.+0.011383620242668258*I	0.00001582375052514018+0.*I	0.+0.0344987229044591*I	0.000029041077177133223+0.*I	0.+0.20119564788808475*I	-0.4999341762493775+0.*I	0.-0.6552633168035982*I	-0.49994280199501345+0.*I	0.+0.16960761372911293*I
2.2724921109329443*^-6+0.*I	0.+0.003751673207881695*I	7.19801323612046*^-6+0.*I	0.+0.010542635773608477*I	0.000013551221854868345+0.*I	0.+0.031588034172085555*I	0.000024115606720442884+0.*I	0.+0.19356370084486185*I	-0.49994280199598506+0.*I	0.-0.6792194039152525*I	-0.49995829183444584+0.*I
0.+0.0008409845045207476*I	2.272516884574416*^-6+0.*I	0.+0.0029106886980798663*I	4.925507317676825*^-6+0.*I	0.+0.00763194708440551*I	8.625738139811379*^-6+0.*I	0.+0.02395608708798136*I	0.00001548986629729132+0.*I	0.+0.16960761374900812*I	-0.49995829183713436+0.*I	0.-0.8488270176542301*I
