0.-0.8487860548726099*I	-0.4999677082045727+0.*I	0.+0.16968647133971124*I	0.000033206430513241525+0.*I	0.+0.024159142859276644*I	-0.000010575553132405358+0.*I	0.+0.007892968094539913*I	0.00002349806161659496+0.*I	0.+0.0034396943263397105*I	-7.282295344127793*^-6+0.*I	0.+0.001613406348740859*I	7.3120617992505675*^-6+0.*I	0.+0.000673493809469386*I	-9.944295868437508*^-7+0.*I
-0.4999677082045707+0.*I	0.-0.6790995835328936*I	-0.49993450177406185+0.*I	0.+0.19384561419896235*I	0.000022630877372278442+0.*I	0.+0.03205211095380633*I	0.000012922508482476127+0.*I	0.+0.01133266242086618*I	0.000016215766274193776+0.*I	0.+0.005053100675099465*I	2.976645467685533*^-8+0.*I	0.+0.002286900158213794*I	6.317632204585599*^-6+0.*I	0.+0.000673493809454757*I
0.+0.1696864713396867*I	-0.49993450177407356+0.*I	0.-0.6549404406736272*I	-0.49994507732717675+0.*I	0.+0.2017385822934995*I	0.000046128938984188346+0.*I	0.+0.03549180528015337*I	5.640213142431474*^-6+0.*I	0.+0.012946068769614712*I	0.0000235278280716566+0.*I	0.+0.0057265944845508645*I	-9.646631433628078*^-7+0.*I	0.+0.0022869001581999537*I	7.312061819153345*^-6+0.*I
0.00003320643049971152+0.*I	0.+0.19384561419896307*I	-0.4999450773271926+0.*I	0.-0.6470474725790915*I	-0.4999215792655857+0.*I	0.+0.20517827661983182*I	0.00003884664363309177+0.*I	0.+0.037105211628899404*I	0.00001295227495907402+0.*I	0.+0.013619562579096451*I	0.000022533398470436954+0.*I	0.+0.005726594484557786*I	2.976645031347405*^-8+0.*I	0.+0.001613406348727961*I
0.+0.02415914285924741*I	0.000022630877374698835+0.*I	0.+0.2017385822935135*I	-0.4999215792655662+0.*I	0.-0.6436077782527733*I	-0.4999288615609462+0.*I	0.+0.20679168296859063*I	0.00004615870546032081+0.*I	0.+0.037778705438363334*I	0.000011957845333857142+0.*I	0.+0.013619562579089622*I	0.00002352782810083606+0.*I	0.+0.005053100675078148*I	-7.282295348643641*^-6+0.*I
-0.000010575553119178863+0.*I	0.+0.032052110953808714*I	0.0000461289389844294+0.*I	0.+0.20517827661984642*I	-0.4999288615609353+0.*I	0.-0.6419943719040241*I	-0.4999215494991137+0.*I	0.+0.20746517677806414*I	0.00004516427585009404+0.*I	0.+0.03777870543835083*I	0.000012952274946050828+0.*I	0.+0.012946068769628272*I	0.00001621576626564953+0.*I	0.+0.003439694326350751*I
0.+0.007892968094529048*I	0.00001292250848505656+0.*I	0.+0.03549180528014576*I	0.00003884664363623293+0.*I	0.+0.20679168296859218*I	-0.49992154949912615+0.*I	0.-0.6413208780945254*I	-0.4999225439286757+0.*I	0.+0.20746517677805465*I	0.00004615870541246438+0.*I	0.+0.03710521162888865*I	5.640213164299443*^-6+0.*I	0.+0.011332662420876063*I	0.000023498061596878522+0.*I
0.000023498061620585937+0.*I	0.+0.01133266242087841*I	5.640213120990665*^-6+0.*I	0.+0.03710521162888887*I	0.00004615870547169927+0.*I	0.+0.20746517677806545*I	-0.4999225439287095+0.*I	0.-0.6413208780945262*I	-0.4999215494991139+0.*I	0.+0.20679168296857703*I	0.000038846643627415484+0.*I	0.+0.03549180528014663*I	0.000012922508486069644+0.*I	0.+0.00789296809454666*I
0.+0.0034396943263478273*I	0.000016215766262219905+0.*I	0.+0.012946068769622308*I	0.00001295227493424164+0.*I	0.+0.03777870543836799*I	0.000045164275863304046+0.*I	0.+0.20746517677806126*I	-0.4999215494991261+0.*I	0.-0.6419943719040252*I	-0.4999288615609139+0.*I	0.+0.20517827661985766*I	0.000046128938965190136+0.*I	0.+0.032052110953803885*I	-0.000010575553103301979+0.*I
-7.282295352361003*^-6+0.*I	0.+0.0050531006750927495*I	0.00002352782806872358+0.*I	0.+0.013619562579090892*I	0.000011957845359160214+0.*I	0.+0.03777870543838014*I	0.000046158705463232686+0.*I	0.+0.2067916829685775*I	-0.49992886156093375+0.*I	0.-0.6436077782527375*I	-0.4999215792655818+0.*I	0.+0.20173858229348923*I	0.0000226308773869959+0.*I	0.+0.0241591428592654*I
0.+0.0016134063487356631*I	2.9766473575844283*^-8+0.*I	0.+0.005726594484561975*I	0.000022533398469481734+0.*I	0.+0.01361956257908678*I	0.000012952274946759181+0.*I	0.+0.03710521162888897*I	0.00003884664362747059+0.*I	0.+0.205178276619842*I	-0.4999215792655706+0.*I	0.-0.64704747257909*I	-0.4999450773272064+0.*I	0.+0.19384561419895463*I	0.000033206430507385634+0.*I
7.312061821362903*^-6+0.*I	0.+0.002286900158208965*I	-9.646631278781292*^-7+0.*I	0.+0.005726594484559896*I	0.00002352782808029419+0.*I	0.+0.01294606876962795*I	5.640213140645223*^-6+0.*I	0.+0.035491805280145526*I	0.00004612893899424986+0.*I	0.+0.20173858229350194*I	-0.49994507732719756+0.*I	0.-0.6549404406736339*I	-0.499934501774059+0.*I	0.+0.1696864713396868*I
0.+0.0006734938094791199*I	6.3176322056052365*^-6+0.*I	0.+0.002286900158209315*I	2.976645056059369*^-8+0.*I	0.+0.005053100675095901*I	0.00001621576627685941+0.*I	0.+0.011332662420877937*I	0.00001292250846542651+0.*I	0.+0.03205211095382121*I	0.000022630877389229187+0.*I	0.+0.1938456141989604*I	-0.4999345017740751+0.*I	0.-0.6790995835329129*I	-0.49996770820456377+0.*I
-9.944295833452799*^-7+0.*I	0.+0.000673493809464347*I	7.312061810260673*^-6+0.*I	0.+0.0016134063487539517*I	-7.282295342303513*^-6+0.*I	0.+0.0034396943263400744*I	0.00002349806161239254+0.*I	0.+0.007892968094531001*I	-0.000010575553117009306+0.*I	0.+0.024159142859265865*I	0.00003320643049109506+0.*I	0.+0.16968647133970385*I	-0.4999677082045621+0.*I	0.-0.8487860548726182*I
