0.302337010887401-0.000013545665026719155*I	0.10467380594737898-0.000011973456148167558*I	0.042032709893012055-9.226579247056144*^-6*I	0.019481129545084793-7.117016605877008*^-6*I	0.010217421542466257-5.6084157237796234*^-6*I	0.005910072467766486-4.500830943176972*^-6*I	0.003679004106289293-3.650531048821413*^-6*I	0.0024141778212724138-2.9685364282845663*^-6*I	0.001640947421785383-2.3999105045877228*^-6*I	0.0011363740661361266-1.90951417687695*^-6*I	0.0007866854987498799-1.4738017533982043*^-6*I	0.0005293023215035346-1.076175794918792*^-6*I	0.0003271734344482357-7.042773155632769*^-7*I	0.00015644881132514813-3.4832156370387685*^-7*I
0.104673805947379-0.000011973456148167565*I	0.3443697207804131-0.0000227722442737753*I	0.1241549354924638-0.000019090472754044572*I	0.052250131435478346-0.000014834994970835779*I	0.025391202012851288-0.000011617847549053978*I	0.01389642564875555-9.25894677260104*^-6*I	0.0083242502890389-7.469367371461536*^-6*I	0.005319951528074676-6.050441553409136*^-6*I	0.00355055188740854-4.878050605161516*^-6*I	0.0024276329205352633-3.873712257985927*^-6*I	0.001665676387639661-2.985689971795741*^-6*I	0.0011138589331981157-2.1780790689614813*^-6*I	0.0006857511328286831-1.4244973586226694*^-6*I	0.0003271734344482357-7.042773155632769*^-7*I
0.04203270989301203-9.226579247056143*^-6*I	0.12415493549246367-0.000019090472754044555*I	0.3545871423228791-0.000028380659997554905*I	0.13006500796023027-0.00002359130369722153*I	0.05592913554176758-0.00001848552601965718*I	0.027805379834123678-0.00001458638397733854*I	0.015537373070540919-0.000011658857277188757*I	0.009460624355175022-9.378881548338487*^-6*I	0.0061066370268245546-7.5242433068073385*^-6*I	0.004079854208912075-5.954226400080306*^-6*I	0.002754806354983498-4.5779895735492*^-6*I	0.0018221251989648083-3.334011535499618*^-6*I	0.0011138589331981161-2.1780790689614817*^-6*I	0.0005293023215035347-1.076175794918792*^-6*I
0.019481129545084793-7.117016605877006*^-6*I	0.05225013143547831-0.000014834994970835775*I	0.13006500796023024-0.000023591303697221537*I	0.3582661464291687-0.00003203119104637636*I	0.13247918578150267-0.000026559840125506107*I	0.05757008296355299-0.000020885436524244907*I	0.02894175390025982-0.00001649589815421549*I	0.016324058569290808-0.00001313265903058697*I	0.009989926676678562-0.000010455057343257276*I	0.006433810461272791-8.228520622370616*^-6*I	0.004236303020237222-6.302547963784183*^-6*I	0.0027548063549834995-4.577989573549204*^-6*I	0.001665676387639662-2.985689971795744*^-6*I	0.0007866854987498804-1.4738017533982053*^-6*I
0.010217421542466246-5.608415723779622*^-6*I	0.025391202012851253-0.000011617847549053972*I	0.055929135541767566-0.00001848552601965718*I	0.13247918578150267-0.00002655984012550611*I	0.35990709385095376-0.00003443110155096405*I	0.13361555984763873-0.000028469354302383037*I	0.058356768462302824-0.00002235923827764309*I	0.029471056221763336-0.000017572073949134282*I	0.01665123200373903-0.000013836936346150234*I	0.010146375488003703-0.000010803378906961149*I	0.006433810461272786-8.22852062237061*^-6*I	0.0040798542089120725-5.954226400080304*^-6*I	0.0024276329205352633-3.8737122579859275*^-6*I	0.0011363740661361262-1.90951417687695*^-6*I
0.005910072467766484-4.500830943176965*^-6*I	0.013896425648755536-9.258946772601033*^-6*I	0.027805379834123678-0.000014586383977338534*I	0.05757008296355296-0.0000208854365242449*I	0.1336155598476387-0.00002846935430238303*I	0.3606937793497038-0.00003590490330436224*I	0.1341448621691422-0.000029545530097301825*I	0.05868394189675106-0.000023063515593206366*I	0.02962750503308848-0.00001792039551283815*I	0.016651232003739032-0.000013836936346150232*I	0.009989926676678555-0.000010455057343257271*I	0.0061066370268245546-7.5242433068073385*^-6*I	0.0035505518874085406-4.878050605161517*^-6*I	0.0016409474217853831-2.3999105045877228*^-6*I
0.0036790041062892903-3.650531048821413*^-6*I	0.008324250289038895-7.4693673714615325*^-6*I	0.01553737307054092-0.000011658857277188759*I	0.028941753900259815-0.000016495898154215498*I	0.05835676846230283-0.00002235923827764311*I	0.13414486216914234-0.00002954553009730184*I	0.361020952784152-0.000036609180619925525*I	0.1343013109804675-0.00002989385166100572*I	0.05868394189675108-0.000023063515593206383*I	0.02947105622176334-0.00001757207394913428*I	0.0163240585692908-0.000013132659030586961*I	0.009460624355175024-9.378881548338487*^-6*I	0.005319951528074678-6.0504415534091415*^-6*I	0.0024141778212724146-2.9685364282845675*^-6*I
0.002414177821272413-2.968536428284566*^-6*I	0.005319951528074673-6.050441553409134*^-6*I	0.009460624355175024-9.378881548338485*^-6*I	0.01632405856929081-0.000013132659030586971*I	0.029471056221763343-0.00001757207394913428*I	0.05868394189675108-0.00002306351559320639*I	0.13430131098046746-0.00002989385166100572*I	0.3610209527841521-0.000036609180619925545*I	0.1341448621691423-0.000029545530097301845*I	0.05835676846230286-0.000022359238277643107*I	0.02894175390025981-0.00001649589815421549*I	0.015537373070540926-0.00001165885727718876*I	0.008324250289038904-7.469367371461541*^-6*I	0.003679004106289294-3.6505310488214166*^-6*I
0.0016409474217853816-2.3999105045877215*^-6*I	0.0035505518874085376-4.878050605161515*^-6*I	0.006106637026824551-7.524243306807339*^-6*I	0.009989926676678555-0.000010455057343257278*I	0.016651232003739032-0.000013836936346150236*I	0.02962750503308849-0.00001792039551283816*I	0.058683941896751086-0.00002306351559320639*I	0.13414486216914234-0.00002954553009730185*I	0.3606937793497038-0.000035904903304362266*I	0.1336155598476388-0.000028469354302383057*I	0.05757008296355298-0.000020885436524244907*I	0.027805379834123692-0.000014586383977338546*I	0.013896425648755553-9.258946772601045*^-6*I	0.005910072467766489-4.5008309431769734*^-6*I
0.0011363740661361253-1.9095141768769496*^-6*I	0.0024276329205352616-3.873712257985925*^-6*I	0.0040798542089120725-5.954226400080307*^-6*I	0.006433810461272793-8.228520622370618*^-6*I	0.010146375488003704-0.000010803378906961149*I	0.01665123200373904-0.000013836936346150234*I	0.029471056221763353-0.00001757207394913428*I	0.05835676846230289-0.000022359238277643117*I	0.1336155598476388-0.00002846935430238306*I	0.359907093850954-0.00003443110155096405*I	0.13247918578150264-0.000026559840125506097*I	0.055929135541767594-0.000018485526019657187*I	0.02539120201285129-0.000011617847549053988*I	0.010217421542466257-5.608415723779628*^-6*I
0.0007866854987498795-1.4738017533982036*^-6*I	0.0016656763876396594-2.98568997179574*^-6*I	0.002754806354983497-4.577989573549201*^-6*I	0.004236303020237222-6.3025479637841855*^-6*I	0.006433810461272788-8.228520622370613*^-6*I	0.00998992667667856-0.000010455057343257273*I	0.016324058569290804-0.00001313265903058696*I	0.02894175390025982-0.00001649589815421549*I	0.057570082963552975-0.000020885436524244907*I	0.13247918578150264-0.000026559840125506097*I	0.35826614642916843-0.00003203119104637633*I	0.13006500796023018-0.000023591303697221534*I	0.05225013143547832-0.000014834994970835775*I	0.01948112954508479-7.117016605877009*^-6*I
0.0005293023215035342-1.0761757949187917*^-6*I	0.0011138589331981155-2.178079068961479*^-6*I	0.0018221251989648088-3.3340115354996175*^-6*I	0.0027548063549834995-4.577989573549205*^-6*I	0.004079854208912074-5.954226400080306*^-6*I	0.006106637026824555-7.52424330680734*^-6*I	0.009460624355175029-9.37888154833849*^-6*I	0.015537373070540934-0.000011658857277188762*I	0.0278053798341237-0.000014586383977338546*I	0.0559291355417676-0.000018485526019657187*I	0.13006500796023024-0.000023591303697221537*I	0.35458714232287913-0.000028380659997554926*I	0.1241549354924638-0.00001909047275404458*I	0.04203270989301207-9.22657924705615*^-6*I
0.0003271734344482358-7.04277315563277*^-7*I	0.0006857511328286831-1.424497358622669*^-6*I	0.001113858933198117-2.178079068961482*^-6*I	0.001665676387639663-2.9856899717957453*^-6*I	0.0024276329205352655-3.873712257985929*^-6*I	0.003550551887408545-4.87805060516152*^-6*I	0.005319951528074683-6.050441553409143*^-6*I	0.008324250289038914-7.469367371461547*^-6*I	0.013896425648755564-9.258946772601048*^-6*I	0.025391202012851305-0.000011617847549053991*I	0.052250131435478346-0.000014834994970835784*I	0.12415493549246384-0.000019090472754044582*I	0.3443697207804132-0.000022772244273775325*I	0.10467380594737906-0.00001197345614816757*I
0.00015644881132514818-3.483215637038768*^-7*I	0.0003271734344482356-7.042773155632764*^-7*I	0.0005293023215035348-1.0761757949187921*^-6*I	0.0007866854987498808-1.4738017533982053*^-6*I	0.0011363740661361264-1.9095141768769504*^-6*I	0.001640947421785384-2.399910504587723*^-6*I	0.002414177821272415-2.9685364282845675*^-6*I	0.003679004106289296-3.6505310488214166*^-6*I	0.005910072467766489-4.5008309431769734*^-6*I	0.010217421542466257-5.608415723779628*^-6*I	0.019481129545084793-7.117016605877009*^-6*I	0.04203270989301206-9.226579247056148*^-6*I	0.10467380594737898-0.000011973456148167563*I	0.30233701088740084-0.000013545665026719147*I
