0.-0.8518632506409172*I	0.5026441176860609+0.*I	0.+0.17341567400772787*I	-0.00383278748205171+0.*I	0.+0.020580148770238484*I	0.0030496000043518825+0.*I	0.+0.010233706350406368*I	-0.0014925027250621598+0.*I	0.+0.0026620019979618458*I	0.000362422982499737+0.*I	0.+0.0018300665416639186*I	-0.000010539382214478006+0.*I	0.+0.000836809582926739*I	-7.975927413314626*^-6+0.*I	0.+0.0002508424142342817*I
0.5026441176521745+0.*I	0.-0.6784475766284188*I	0.4988113301750168+0.*I	0.+0.1939958227952503*I	-0.0007831874346508894+0.*I	0.+0.030813855118609894*I	0.0015570972882101852+0.*I	0.+0.0128957083551632*I	-0.0011300797207252078+0.*I	0.+0.0044920685351608845*I	0.00035188358802895614+0.*I	0.+0.002666876115886731*I	-0.000018515312915301507+0.*I	0.+0.0010876519964533485*I	-7.975929473769128*^-6+0.*I
0.+0.17341567400832472*I	0.4988113301914853+0.*I	0.-0.6578674278670136*I	0.5018609302023004+0.*I	0.+0.2042295291132241*I	-0.0022756901812973763+0.*I	0.+0.033475857117732245*I	0.0019195202739868394+0.*I	0.+0.014725774882855702*I	-0.0011406191079952437+0.*I	0.+0.005328878124663244*I	0.0003439076671098837+0.*I	0.+0.0029177185276965147*I	-0.000018515293943718078+0.*I	0.+0.0008368096002369096*I
-0.0038327874751487023+0.*I	0.+0.1939958227769975*I	0.5018609302049182+0.*I	0.-0.6476337215128921*I	0.5003684274650131+0.*I	0.+0.20689153112263983*I	-0.001913267190092327+0.*I	0.+0.035305923657934*I	0.0019089808957688525+0.*I	0.+0.015562584484918068*I	-0.0011485950361436181+0.*I	0.+0.005579720541501499*I	0.0003439076537139485+0.*I	0.+0.002666876128674012*I	-0.00001053937267236904+0.*I
0.+0.020580148773362783*I	-0.0007831874738427132+0.*I	0.+0.20422952912332742*I	0.5003684274957548+0.*I	0.-0.6449717195109005*I	0.5007308504638308+0.*I	0.+0.20872159766384135*I	-0.0019238065824057201+0.*I	0.+0.036142733239629965*I	0.0019010049757045727+0.*I	0.+0.015813426894560445*I	-0.0011485950389402062+0.*I	0.+0.00532887812526095*I	0.00035188359606386964+0.*I	0.+0.0018300665379668568*I
0.003049600018446341+0.*I	0.+0.03081385511353518*I	-0.0022756901694664933+0.*I	0.+0.20689153112757905*I	0.5007308504566819+0.*I	0.-0.6431416529791322*I	0.5007203110729366+0.*I	0.+0.2095584072576663*I	-0.0019317825112121767+0.*I	0.+0.03639357568094294*I	0.0019010049735994627+0.*I	0.+0.015562584469977816*I	-0.0011406191146861033+0.*I	0.+0.004492068550616093*I	0.00036242297657906875+0.*I
0.+0.010233706351717053*I	0.0015570973091265986+0.*I	0.+0.033475857133502096*I	-0.0019132672035276873+0.*I	0.+0.208721597667066*I	0.5007203110854882+0.*I	0.-0.6423048433768028*I	0.5007123351721583+0.*I	0.+0.20980924966814873*I	-0.001931782510028321+0.*I	0.+0.03614273325690154*I	0.001908980902024641+0.*I	0.+0.014725774879406961*I	-0.001130079746950062+0.*I	0.+0.0026620019938177197*I
-0.0014925027186762918+0.*I	0.+0.012895708363374917*I	0.001919520283820475+0.*I	0.+0.03530592366409588*I	-0.0019238065636564272+0.*I	0.+0.20955840725812888*I	0.5007123351422127+0.*I	0.-0.6420540009732485*I	0.5007123351567913+0.*I	0.+0.20955840727429534*I	-0.00192380658049629+0.*I	0.+0.03530592367172593*I	0.0019195202822004376+0.*I	0.+0.01289570833978172*I	-0.0014925027085439524+0.*I
0.+0.002662002033020583*I	-0.0011300797254802368+0.*I	0.+0.014725774886544807*I	0.0019089808904520938+0.*I	0.+0.036142733254457715*I	-0.0019317824998298966+0.*I	0.+0.20980924966677628*I	0.5007123351582884+0.*I	0.-0.6423048433762459*I	0.5007203110881168+0.*I	0.+0.20872159765663678*I	-0.0019132671975846203+0.*I	0.+0.03347585713200685*I	0.0015570972839563672+0.*I	0.+0.010233706322840819*I
0.0003624229743337537+0.*I	0.+0.004492068542594663*I	-0.0011406191069127658+0.*I	0.+0.015562584477782238*I	0.001901004964963704+0.*I	0.+0.0363935756492928*I	-0.001931782498459711+0.*I	0.+0.20955840725301303*I	0.5007203110726692+0.*I	0.-0.6431416529714762*I	0.5007308504620482+0.*I	0.+0.20689153113471034*I	-0.0022756901901814786+0.*I	0.+0.03081385511332091*I	0.003049600041691747+0.*I
0.+0.001830066529502905*I	0.00035188358806254857+0.*I	0.+0.00532887813636751*I	-0.0011485950339663108+0.*I	0.+0.015813426871867042*I	0.0019010049732657774+0.*I	0.+0.03614273325532513*I	-0.0019238066011852577+0.*I	0.+0.20872159767986342*I	0.5007308504754318+0.*I	0.-0.6449717195045819*I	0.5003684274884572+0.*I	0.+0.2042295291164118*I	-0.0007831874671938352+0.*I	0.+0.020580148797338493*I
-0.000010539372510720568+0.*I	0.+0.0026668761252974654*I	0.00034390766461456224+0.*I	0.+0.005579720544552677*I	-0.0011485950405472067+0.*I	0.+0.015562584471760073*I	0.0019089808967578392+0.*I	0.+0.035305923658735305*I	-0.0019132671873762774+0.*I	0.+0.20689153113497144*I	0.5003684274772695+0.*I	0.-0.6476337215068368*I	0.5018609301959032+0.*I	0.+0.19399582277688635*I	-0.0038327874810875073+0.*I
