0.-0.8487862753791517*I	-0.49995768712606603+0.*I	0.+0.1697355606816213*I	0.000014811583259383202+0.*I	0.+0.024196583360182034*I	0.000015072341724649455+0.*I	0.+0.008013805718734984*I	-4.448713607473757*^-6+0.*I	0.+0.003550928414560563*I	0.000022092537356023686+0.*I	0.+0.0018496451931966822*I	-0.000016810406434586948+0.*I	0.+0.0009679184759799377*I	0.000019215330682085598+0.*I	0.+0.000512292759339306*I	-8.695929479757647*^-6+0.*I	0.+0.00014136241170466593*I
-0.49995768713186073+0.*I	0.-0.6790507147331529*I	-0.4999428755564227+0.*I	0.+0.19393214403932998*I	0.000029883941486175125+0.*I	0.+0.032210389081983155*I	0.000010623629077222141+0.*I	0.+0.011564734157576605*I	0.00001764385562952331+0.*I	0.+0.0054005736139452285*I	5.282090943192763*^-6+0.*I	0.+0.0028175636575743816*I	2.4049253255498115*^-6+0.*I	0.+0.0014802112086531234*I	0.000010519383363383206+0.*I	0.+0.0006536551645312212*I	-8.695924527124532*^-6+0.*I
0.+0.1697355606804408*I	-0.49994287553421396+0.*I	0.-0.65485413134401*I	-0.49992780322468217+0.*I	0.+0.2019459497750864*I	0.000025435225177344283+0.*I	0.+0.03576131750130611*I	0.000032716178453021054+0.*I	0.+0.013414379331642788*I	8.334268898934977*^-7+0.*I	0.+0.006368492083206603*I	0.000024497463599986748+0.*I	0.+0.0033298564207757345*I	-6.2910242453204505*^-6+0.*I	0.+0.001621573639793688*I	0.000010519378868891852+0.*I	0.+0.0005122927577083901*I
0.000014811594563957087+0.*I	0.+0.19393214402834913*I	-0.4999278031990184+0.*I	0.-0.6468403256152233*I	-0.499932251908874+0.*I	0.+0.20549687818376064*I	0.00004752777295990995+0.*I	0.+0.037610962704214324*I	0.000015905755490708273+0.*I	0.+0.014382297798970782*I	0.00002004875330441358+0.*I	0.+0.0068807848360383115*I	0.00001580152323832351+0.*I	0.+0.003471218845625703*I	-6.291041665162922*^-6+0.*I	0.+0.0014802112148074574*I	0.000019215343370015958+0.*I
0.+0.024196583327426264*I	0.000029883927751866093+0.*I	0.+0.20194594979030273*I	-0.49993225192104246+0.*I	0.-0.6432893972028345*I	-0.49991015936873595+0.*I	0.+0.20734652340787946*I	0.000030717364571298535+0.*I	0.+0.038578881156164535*I	0.00003512109605203397+0.*I	0.+0.01489459057017893*I	0.000011352813080795233+0.*I	0.+0.007022147234218459*I	0.000015801510353808923+0.*I	0.+0.003329856426405767*I	2.404893515746128*^-6+0.*I	0.+0.0009679184444122409*I
0.000015072326948750714+0.*I	0.+0.03221038909053207*I	0.00002543522891684802+0.*I	0.+0.20549687818704607*I	-0.4999101593651809+0.*I	0.-0.6414397519926719*I	-0.499926969774819+0.*I	0.+0.20831444185361178*I	0.00004993268196695766+0.*I	0.+0.03909117392805457*I	0.00002642514975592647+0.*I	0.+0.015035952975011528*I	0.000011352818208631987+0.*I	0.+0.0068807848391075205*I	0.00002449745169696982+0.*I	0.+0.002817563657847235*I	-0.000016810415614187946+0.*I
0.+0.008013805712000829*I	0.000010623630364773905+0.*I	0.+0.03576131751376195*I	0.00004752776838413211+0.*I	0.+0.20734652339176354*I	-0.4999269697759974+0.*I	0.-0.640471833525123*I	-0.49990775445279617+0.*I	0.+0.20882673460339327*I	0.000041236732991861085+0.*I	0.+0.03923253633390381*I	0.000026425140591034168+0.*I	0.+0.01489459054213262*I	0.00002004875967678702+0.*I	0.+0.006368492083220798*I	5.282119348492711*^-6+0.*I	0.+0.001849645199396282*I
-4.44870178917256*^-6+0.*I	0.+0.011564734148468156*I	0.000032716165439872213+0.*I	0.+0.03761096270502577*I	0.00003071735578163981+0.*I	0.+0.20831444185683845*I	-0.49990775444989755+0.*I	0.-0.6399595407945228*I	-0.49991645037838417+0.*I	0.+0.208968097028455*I	0.00004123673086553481+0.*I	0.+0.039091173923662986*I	0.000035121103316271274+0.*I	0.+0.014382297809071746*I	8.334205903182124*^-7+0.*I	0.+0.005400573609939545*I	0.00002209255429619361+0.*I
0.+0.0035509284283952933*I	0.000017643843762001007+0.*I	0.+0.01341437933869635*I	0.000015905779750596354+0.*I	0.+0.038578881173542606*I	0.00004993268161212142+0.*I	0.+0.20882673461085108*I	-0.49991645040580457+0.*I	0.-0.6398181783693979*I	-0.49991645039620736+0.*I	0.+0.20882673459056195*I	0.00004993267244588176+0.*I	0.+0.03857888117135826*I	0.00001590576969641203+0.*I	0.+0.013414379342247734*I	0.000017643838482718167+0.*I	0.+0.0035509284244641046*I
0.00002209255248253328+0.*I	0.+0.005400573616705676*I	8.33422458157429*^-7+0.*I	0.+0.014382297811159014*I	0.000035121086678913116+0.*I	0.+0.039091173919325845*I	0.0000412367571733796+0.*I	0.+0.20896809701402194*I	-0.4999164504009119+0.*I	0.-0.6399595407740769*I	-0.4999077544457311+0.*I	0.+0.20831444183751854*I	0.000030717354885467785+0.*I	0.+0.037610962702096566*I	0.00003271620263056718+0.*I	0.+0.011564734150008665*I	-4.448718859961787*^-6+0.*I
0.+0.0018496452136679744*I	5.282138646031558*^-6+0.*I	0.+0.006368492067010151*I	0.000020048768973648238+0.*I	0.+0.014894590558372346*I	0.000026425152157819563+0.*I	0.+0.03923253634379957*I	0.000041236722719775474+0.*I	0.+0.20882673460577061*I	-0.4999077544522318+0.*I	0.-0.6404718335538403*I	-0.49992696978162365+0.*I	0.+0.20734652339399148*I	0.00004752777098604709+0.*I	0.+0.035761317504833384*I	0.000010623627014590873+0.*I	0.+0.008013805738561685*I
