0.3023423312126747-0.000013581194464738279*I	0.10468459093554323-0.000012044779225742198*I	0.04204925603349972-9.334231484106764*^-6*I	0.01950390180803218-7.261819456047053*^-6*I	0.010247079717587647-5.79149948533783*^-6*I	0.005947510009909082-4.723667250031012*^-6*I	0.0037254033450804702-3.914976833761039*^-6*I	0.002471087338867639-3.276892043256524*^-6*I	0.001710390289613281-2.7549957531845173*^-6*I	0.0012210000334054469-2.3147674988880127*^-6*I	0.0008899871010357084-1.933409907283753*^-6*I	0.0006559258685792038-1.5952444326781736*^-6*I	0.0004833738288701629-1.2890573452023592*^-6*I	0.0003507673620769793-1.0065129736837843*^-6*I	0.00024429655964953474-7.41165249521698*^-7*I	0.00015461482629462703-4.878139303453972*^-7*I	0.00007496018107968356-2.4206333715408384*^-7*I
0.10468459093554325-0.000012044779225742195*I	0.34439158724617447-0.000022915425948845043*I	0.12418849274357548-0.000019306598681789257*I	0.052296335751087386-0.000015125730969444599*I	0.025451411817941277-0.00001198548670607807*I	0.013972483062668127-9.706476319098874*^-6*I	0.008418597348776724-8.000559293287539*^-6*I	0.005435793634693754-6.669972586945559*^-6*I	0.003692087372273086-5.5916595421445396*^-6*I	0.0026003773906489902-4.688405660468274*^-6*I	0.0018769259019846504-3.910011931566188*^-6*I	0.0013733609299058725-3.2224672524861146*^-6*I	0.0010066932306561835-2.6017574063619593*^-6*I	0.0007276703885196977-2.0302225947240574*^-6*I	0.0005053821883716061-1.4943269040291818*^-6*I	0.0003192567407292184-9.832285866757825*^-7*I	0.0001546148262946271-4.878139303453975*^-7*I
0.042049256033499675-9.334231484106756*^-6*I	0.12418849274357535-0.000019306598681789244*I	0.35463866696376206-0.000028706925434182878*I	0.13013600275348444-0.00002403026593182026*I	0.05602173909616779-0.00001904070780320562*I	0.027922499156808885-0.000015262378749334586*I	0.015682873352281388-0.00001246147207228338*I	0.009639597382182166-0.000010315326792175545*I	0.006325780735729459-8.603382494229305*^-6*I	0.004348013240852289-7.186903974822709*^-6*I	0.003083751219519152-5.977463005670632*^-6*I	0.0022276932640616304-4.916524905249973*^-6*I	0.0016176574895554068-3.963632502007811*^-6*I	0.0011613080569508093-3.0895713367073536*^-6*I	0.0008026305695993806-2.272285931878139*^-6*I	0.0005053821883716059-1.494326904029181*^-6*I	0.0002442965596495347-7.41165249521698*^-7*I
0.019503901808032166-7.261819456047051*^-6*I	0.05229633575108734-0.000015125730969444592*I	0.1301360027534845-0.00002403026593182026*I	0.3583640703088425-0.00003262190226794393*I	0.13260709009235214-0.000027307157975076788*I	0.057732129385781115-0.00002179570355639015*I	0.029143499190214334-0.000017577146248222592*I	0.016572860453317108-0.00001439488197956714*I	0.010295523250761376-0.000011910571224853723*I	0.006809154564599626-9.892439839431674*^-6*I	0.0046987806029292695-8.193416948506499*^-6*I	0.00332804777916869-6.718628255192336*^-6*I	0.0023823080903562573-5.40433883559537*^-6*I	0.0016926176706350893-4.2056958391618935*^-6*I	0.0011613080569508089-3.089571336707353*^-6*I	0.000727670388519697-2.030222594724056*^-6*I	0.00035076736207697895-1.0065129736837838*^-6*I
0.010247079717587648-5.791499485337831*^-6*I	0.02545141181794126-0.000011985486706078065*I	0.05602173909616784-0.00001904070780320563*I	0.13260709009235214-0.000027307157975076788*I	0.3600744605984558-0.000035376898021128435*I	0.13382809012575764-0.000029621925473964818*I	0.05862211648681681-0.0000237291134636739*I	0.029799425058793547-0.00001917239068090078*I	0.017056234282187274-0.000015683939324769506*I	0.01064629061283836-0.000012917084198537516*I	0.007053451124249162-0.000010633605088953375*I	0.004853395429223899-8.681230878851902*^-6*I	0.003403007960248373-6.960691592346418*^-6*I	0.0023823080903562564-5.404338835595367*^-6*I	0.0016176574895554047-3.963632502007807*^-6*I	0.0010066932306561816-2.601757406361955*^-6*I	0.0004833738288701623-1.2890573452023577*^-6*I
0.005947510009909084-4.723667250031011*^-6*I	0.013972483062668118-9.70647631909887*^-6*I	0.0279224991568089-0.00001526237874933459*I	0.05773212938578111-0.000021795703556390153*I	0.1338280901257576-0.000029621925473964794*I	0.3609644476994916-0.0000373103079284122*I	0.1344840159943367-0.00003121716990664295*I	0.05910549031568696-0.00002501817080887626*I	0.03015019242087052-0.000020178903654584564*I	0.017300530841836814-0.000016425104574291212*I	0.010800905439132985-0.000013404898128882918*I	0.0071284113053288484-0.000010875668426107463*I	0.004853395429223898-8.681230878851895*^-6*I	0.0033280477791686864-6.718628255192327*^-6*I	0.002227693264061628-4.916524905249966*^-6*I	0.0013733609299058699-3.2224672524861074*^-6*I	0.0006559258685792027-1.5952444326781706*^-6*I
0.0037254033450804724-3.914976833761039*^-6*I	0.008418597348776728-8.000559293287535*^-6*I	0.015682873352281405-0.000012461472072283392*I	0.029143499190214365-0.00001757714624822261*I	0.05862211648681684-0.000023729113463673908*I	0.13448401599433688-0.00003121716990664298*I	0.36144782152836186-0.000038599365273614545*I	0.1348347833564138-0.00003222368288032677*I	0.059349786875336534-0.000025759336058397973*I	0.030304807247165173-0.00002066671758492998*I	0.017375491022916502-0.000016667167911445302*I	0.010800905439132995-0.000013404898128882923*I	0.007053451124249166-0.000010633605088953375*I	0.004698780602929269-8.193416948506495*^-6*I	0.00308375121951915-5.977463005670626*^-6*I	0.0018769259019846489-3.910011931566182*^-6*I	0.0008899871010357076-1.9334099072837506*^-6*I
0.0024710873388676387-3.276892043256523*^-6*I	0.005435793634693751-6.6699725869455555*^-6*I	0.00963959738218217-0.000010315326792175552*I	0.01657286045331711-0.000014394881979567142*I	0.02979942505879354-0.000019172390680900776*I	0.05910549031568698-0.000025018170808876256*I	0.13483478335641377-0.000032223682880326755*I	0.36169211808801127-0.00003934053052313625*I	0.1349893981827084-0.000032711496810672184*I	0.05942474705641622-0.000026001399395552073*I	0.030304807247165177-0.00002066671758492999*I	0.017300530841836827-0.000016425104574291226*I	0.010646290612838366-0.000012917084198537521*I	0.006809154564599625-9.89243983943167*^-6*I	0.004348013240852287-7.186903974822707*^-6*I	0.0026003773906489876-4.688405660468267*^-6*I	0.0012210000334054454-2.3147674988880106*^-6*I
0.0017103902896132798-2.7549957531845185*^-6*I	0.003692087372273084-5.591659542144537*^-6*I	0.006325780735729459-8.603382494229314*^-6*I	0.010295523250761376-0.000011910571224853727*I	0.017056234282187267-0.000015683939324769502*I	0.030150192420870525-0.00002017890365458456*I	0.059349786875336506-0.000025759336058397966*I	0.1349893981827084-0.00003271149681067218*I	0.3617670782690908-0.00003958259386029035*I	0.13498939818270844-0.000032711496810672184*I	0.059349786875336555-0.000025759336058398*I	0.030150192420870563-0.00002017890365458459*I	0.017056234282187294-0.000015683939324769516*I	0.010295523250761378-0.000011910571224853727*I	0.0063257807357294605-8.603382494229305*^-6*I	0.0036920873722730845-5.5916595421445345*^-6*I	0.0017103902896132802-2.754995753184517*^-6*I
0.0012210000334054469-2.314767498888013*^-6*I	0.0026003773906489902-4.688405660468272*^-6*I	0.0043480132408522925-7.186903974822715*^-6*I	0.006809154564599625-9.892439839431676*^-6*I	0.010646290612838357-0.000012917084198537516*I	0.017300530841836814-0.000016425104574291212*I	0.03030480724716517-0.000020666717584929982*I	0.059424747056416226-0.00002600139939555207*I	0.1349893981827085-0.000032711496810672184*I	0.36169211808801127-0.000039340530523136285*I	0.1348347833564138-0.000032223682880326796*I	0.05910549031568704-0.000025018170808876303*I	0.02979942505879358-0.000019172390680900803*I	0.016572860453317115-0.00001439488197956715*I	0.009639597382182171-0.00001031532679217555*I	0.005435793634693752-6.669972586945558*^-6*I	0.0024710873388676387-3.276892043256524*^-6*I
