0.30234460742650165-0.00001360262147665418*I	0.10468918699431894-0.000012087746521853203*I	0.04205626085982686-9.398967769386266*^-6*I	0.019513453040748665-7.348673270678149*^-6*I	0.010259369118721953-5.900946017777096*^-6*I	0.005962791206153202-4.856317826451464*^-6*I	0.003744002425139662-4.071591464257534*^-6*I	0.0024934170501936183-3.4583955451277195*^-6*I	0.0017369688795361696-2.9624981476798004*^-6*I	0.0012524761989040282-2.5495896045984407*^-6*I	0.0009271731057033697-2.1971153510694804*^-6*I	0.0006998417423013941-1.8896796962211412*^-6*I	0.0005353068213333106-1.616402002996138*^-6*I	0.00041235269056041874-1.3693430164353859*^-6*I	0.000317628321072653-1.1425334143642317*^-6*I	0.0002424003023155973-9.313524097408698*^-7*I	0.00018073760792310927-7.321163168594271*^-7*I	0.00012845084040644534-5.417965026343128*^-7*I	0.00008244454629611774-3.5781865572417484*^-7*I	0.0000403017756509006-1.7791355900319472*^-7*I
0.10468918699431894-0.0000120877465218532*I	0.3444008682863285-0.000023001589246040435*I	0.12420264003506765-0.00001943641979253135*I	0.052315629978548835-0.000015299913787163352*I	0.025476244246901876-0.000012204991097129608*I	0.01400337154386162-9.97253748203463*^-6*I	0.00845620825634682-8.314713371579184*^-6*I	0.005480971304675835-7.034089611937337*^-6*I	0.003745893249097649-6.0079851497261615*^-6*I	0.0026641419852395406-5.159613498749283*^-6*I	0.0019523179412054236-4.439269300819582*^-6*I	0.0014624799270366805-3.8135173540656197*^-6*I	0.001112194432861814-3.2590227126565287*^-6*I	0.0008529351424059643-2.75893541736037*^-6*I	0.0006547529928760162-2.300695426176256*^-6*I	0.0004983659289957624-1.8746497312236594*^-6*I	0.0003708511427220426-1.4731489123751828*^-6*I	0.00026318215421922695-1.0899349725836018*^-6*I	0.000168752616057346-7.197100616375077*^-7*I	0.00008244454629611776-3.57818655724175*^-7*I
0.04205626085982688-9.398967769386264*^-6*I	0.12420264003506767-0.000019436419792531362*I	0.35466023740505065-0.000028902535263817538*I	0.1301654312412209-0.000024292737618982828*I	0.056059632403688484-0.00001937150525142089*I	0.027969661297095487-0.000015663386642257333*I	0.015740340423397788-0.000012935035629714434*I	0.009708684455250853-0.00001086430297617763*I	0.006408144410379203-9.231204963006823*^-6*I	0.004445734991399043-7.897664845947304*^-6*I	0.003199448806572851-6.776015501745422*^-6*I	0.0023646706317658425-5.8086123172549724*^-6*I	0.0017801082481093346-4.956050768429856*^-6*I	0.0013545947351774111-4.190375122397398*^-6*I	0.0010336727503290732-3.491051734219797*^-6*I	0.0007832038332824615-2.842491928810568*^-6*I	0.0005808104752918798-2.232468386947833*^-6*I	0.00041115291837294315-1.651062471378377*^-6*I	0.00026318215421922706-1.089934972583602*^-6*I	0.0001284508404064454-5.41796502634313*^-7*I
0.019513453040748675-7.348673270678149*^-6*I	0.05231562997854881-0.000015299913787163352*I	0.13016543124122087-0.000024292737618982824*I	0.3584042398301902-0.00003297412672807506*I	0.13265884829141444-0.00002775113316411053*I	0.05779660128322464-0.000022334003399100683*I	0.029222137495999508-0.000018212976246855773*I	0.01666751352910116-0.000015132150980783919*I	0.01040852619755225-0.000012753982672398776*I	0.006943451231712514-0.00001084760696600296*I	0.004858087681959461-9.267007862382694*^-6*I	0.003517077127645503-7.918548916109657*^-6*I	0.0026070709340814406-6.7399647269958465*^-6*I	0.001960845856032444-5.688167085289283*^-6*I	0.0014830455755838552-4.73217162503171*^-6*I	0.0011161172966251897-3.848870389943969*^-6*I	0.0008235056089333611-3.02040548781376*^-6*I	0.0005808104752918794-2.2324683869478312*^-6*I	0.0003708511427220423-1.4731489123751806*^-6*I	0.0001807376079231092-7.321163168594265*^-7*I
0.010259369118721962-5.900946017777099*^-6*I	0.025476244246901866-0.000012204991097129615*I	0.056059632403688504-0.0000193715052514209*I	0.13265884829141444-0.00002775113316411053*I	0.3601412087097264-0.00003593662487575485*I	0.13391132449031845-0.000030300722768708962*I	0.05872377438892802-0.00002453111875017016*I	0.0299219792383009-0.000020102655943076915*I	0.017202820350434474-0.00001674855298378006*I	0.01082087888811266-0.000014123325688834156*I	0.007261079552785166-0.000011990140380367187*I	0.005100487984275058-0.000010198360272123564*I	0.0036978147355686145-8.650665232969088*^-6*I	0.0027355217744878847-7.281761229630153*^-6*I	0.00204329040232856-6.045985741013448*^-6*I	0.0015233473512347548-4.910085184034899*^-6*I	0.0011161172966251893-3.848870389943965*^-6*I	0.0007832038332824599-2.842491928810562*^-6*I	0.0004983659289957616-1.874649731223655*^-6*I	0.00024240030231559696-9.313524097408681*^-7*I
0.005962791206153203-4.856317826451465*^-6*I	0.014003371543861616-9.972537482034628*^-6*I	0.027969661297095477-0.000015663386642257323*I	0.057796601283224655-0.000022334003399100686*I	0.13391132449031842-0.00003030072276870896*I	0.36106838181542966-0.00003813374022682434*I	0.13461116623261987-0.000032190402464930105*I	0.05925908121026135-0.00002614752075316632*I	0.03033433192886134-0.000021471998959512317*I	0.01752044867150713-0.000017891086398144304*I	0.01106327919042827-0.000015054678098575041*I	0.0074418171607082825-0.000012722256697226629*I	0.005228938824681511-0.000010740156774757886*I	0.003780259281864734-9.00848388869326*^-6*I	0.002775823550138786-7.4596747886333455*^-6*I	0.0020432904023285595-6.045985741013448*^-6*I	0.0014830455755838541-4.732171625031703*^-6*I	0.0010336727503290712-3.4910517342197906*^-6*I	0.0006547529928760149-2.3006954261762514*^-6*I	0.00031762832107265265-1.1425334143642296*^-6*I
0.0037440024251396645-4.071591464257539*^-6*I	0.008456208256346822-8.314713371579192*^-6*I	0.0157403404233978-0.000012935035629714439*I	0.029222137495999532-0.000018212976246855783*I	0.058723774388928035-0.000024531118750170175*I	0.1346111662326199-0.00003219040246493013*I	0.3616036886367631-0.00003975014222982051*I	0.13502351892318037-0.00003355974548136553*I	0.05957670953133404-0.000027290054167530576*I	0.030576732231176962-0.000022403351369253204*I	0.01770118627943025-0.000018623202715003744*I	0.011191730030834719-0.000015596474601209367*I	0.007524261707004406-0.000013080075352950815*I	0.005269240600332411-0.00001091807033376108*I	0.0037802592818647327-9.008483888693259*^-6*I	0.0027355217744878847-7.2817612296301495*^-6*I	0.0019608458560324417-5.6881670852892736*^-6*I	0.0013545947351774087-4.1903751223973905*^-6*I	0.0008529351424059624-2.7589354173603647*^-6*I	0.00041235269056041804-1.369343016435383*^-6*I
0.0024934170501936205-3.4583955451277216*^-6*I	0.005480971304675836-7.034089611937342*^-6*I	0.009708684455250858-0.000010864302976177639*I	0.01666751352910118-0.000015132150980783934*I	0.029921979238300925-0.000020102655943076936*I	0.05925908121026137-0.000026147520753166343*I	0.13502351892318037-0.00003355974548136554*I	0.36192131695783575-0.00004089267564418477*I	0.13526591922549594-0.00003449109789110644*I	0.05975744713925713-0.000028022170484390013*I	0.03070518307158339-0.00002294514787188752*I	0.017783630825726374-0.000018981021370727924*I	0.011232031806485627-0.00001577438816021257*I	0.007524261707004407-0.00001308007535295081*I	0.005228938824681508-0.000010740156774757878*I	0.003697814735568613-8.650665232969074*^-6*I	0.002607070934081437-6.73996472699583*^-6*I	0.0017801082481093316-4.956050768429843*^-6*I	0.0011121944328618114-3.2590227126565215*^-6*I	0.0005353068213333097-1.6164020029961346*^-6*I
0.00173696887953617-2.962498147679803*^-6*I	0.0037458932490976493-6.007985149726168*^-6*I	0.006408144410379208-9.231204963006833*^-6*I	0.010408526197552252-0.000012753982672398785*I	0.01720282035043449-0.000016748552983780067*I	0.03033433192886135-0.000021471998959512328*I	0.059576709531334024-0.00002729005416753058*I	0.13526591922549597-0.000034491097891106434*I	0.362102054565759-0.00004162479196104421*I	0.13539437006590246-0.00003503289439374074*I	0.05983989168555327-0.000028379989140114197*I	0.030745484847234307-0.00002312306143089073*I	0.01778363082572638-0.000018981021370727934*I	0.011191730030834722-0.000015596474601209357*I	0.0074418171607082825-0.000012722256697226622*I	0.00510048798427506-0.000010198360272123559*I	0.003517077127645501-7.918548916109643*^-6*I	0.002364670631765839-5.80861231725496*^-6*I	0.0014624799270366784-3.813517354065612*^-6*I	0.0006998417423013932-1.8896796962211378*^-6*I
0.001252476198904029-2.549589604598442*^-6*I	0.0026641419852395393-5.159613498749282*^-6*I	0.004445734991399045-7.897664845947304*^-6*I	0.006943451231712518-0.000010847606966002957*I	0.010820878888112673-0.000014123325688834163*I	0.017520448671507132-0.000017891086398144293*I	0.03057673223117694-0.000022403351369253194*I	0.05975744713925715-0.000028022170484390006*I	0.13539437006590238-0.00003503289439374072*I	0.36218449911205486-0.00004198261061676835*I	0.1354346718415533-0.00003521080795274392*I	0.059839891685553245-0.000028379989140114197*I	0.030705183071583406-0.000022945147871887523*I	0.017701186279430257-0.000018623202715003737*I	0.011063279190428267-0.000015054678098575028*I	0.007261079552785165-0.000011990140380367182*I	0.0048580876819594564-9.267007862382674*^-6*I	0.003199448806572845-6.776015501745405*^-6*I	0.0019523179412054194-4.439269300819572*^-6*I	0.0009271731057033683-2.1971153510694766*^-6*I
0.0009271731057033703-2.197115351069482*^-6*I	0.0019523179412054236-4.439269300819586*^-6*I	0.0031994488065728516-6.776015501745422*^-6*I	0.004858087681959465-9.267007862382689*^-6*I	0.00726107955278517-0.000011990140380367194*I	0.011063279190428274-0.000015054678098575038*I	0.01770118627943025-0.00001862320271500374*I	0.030705183071583396-0.00002294514787188753*I	0.05983989168555323-0.000028379989140114194*I	0.13543467184155322-0.00003521080795274392*I	0.36218449911205497-0.00004198261061676837*I	0.13539437006590235-0.00003503289439374074*I	0.05975744713925715-0.00002802217048439003*I	0.030576732231176955-0.000022403351369253204*I	0.017520448671507132-0.000017891086398144293*I	0.010820878888112666-0.00001412332568883415*I	0.00694345123171251-0.000010847606966002945*I	0.004445734991399036-7.89766484594729*^-6*I	0.002664141985239536-5.159613498749272*^-6*I	0.0012524761989040271-2.5495896045984357*^-6*I
0.0006998417423013944-1.8896796962211424*^-6*I	0.0014624799270366805-3.813517354065622*^-6*I	0.0023646706317658425-5.808612317254973*^-6*I	0.0035170771276455052-7.918548916109658*^-6*I	0.005100487984275061-0.00001019836027212356*I	0.0074418171607082825-0.000012722256697226632*I	0.01119173003083472-0.00001559647460120936*I	0.017783630825726378-0.000018981021370727918*I	0.030745484847234297-0.000023123061430890714*I	0.05983989168555325-0.000028379989140114187*I	0.13539437006590235-0.00003503289439374073*I	0.36210205456575884-0.00004162479196104419*I	0.13526591922549594-0.00003449109789110643*I	0.059576709531334024-0.00002729005416753057*I	0.030334331928861338-0.00002147199895951231*I	0.017202820350434474-0.00001674855298378005*I	0.01040852619755224-0.000012753982672398756*I	0.006408144410379195-9.231204963006801*^-6*I	0.0037458932490976415-6.007985149726148*^-6*I	0.0017369688795361667-2.9624981476797932*^-6*I
0.0005353068213333111-1.616402002996139*^-6*I	0.001112194432861814-3.259022712656531*^-6*I	0.0017801082481093357-4.95605076842986*^-6*I	0.002607070934081443-6.739964726995847*^-6*I	0.0036978147355686184-8.65066523296909*^-6*I	0.005228938824681511-0.000010740156774757891*I	0.007524261707004407-0.000013080075352950816*I	0.011232031806485632-0.00001577438816021257*I	0.017783630825726385-0.00001898102137072793*I	0.03070518307158341-0.00002294514787188753*I	0.05975744713925716-0.000028022170484390027*I	0.13526591922549597-0.000034491097891106434*I	0.36192131695783586-0.00004089267564418479*I	0.1350235189231804-0.00003355974548136555*I	0.05925908121026138-0.000026147520753166333*I	0.029921979238300925-0.00002010265594307692*I	0.016667513529101157-0.000015132150980783907*I	0.009708684455250844-0.000010864302976177615*I	0.005480971304675828-7.034089611937327*^-6*I	0.0024934170501936157-3.4583955451277144*^-6*I
0.00041235269056041874-1.3693430164353859*^-6*I	0.0008529351424059636-2.7589354173603685*^-6*I	0.001354594735177411-4.190375122397399*^-6*I	0.0019608458560324434-5.688167085289279*^-6*I	0.0027355217744878847-7.281761229630152*^-6*I	0.0037802592818647323-9.008483888693259*^-6*I	0.0052692406003324085-0.000010918070333761074*I	0.007524261707004404-0.000013080075352950805*I	0.011191730030834722-0.000015596474601209347*I	0.017701186279430244-0.000018623202715003733*I	0.030576732231176944-0.00002240335136925319*I	0.05957670953133401-0.000027290054167530563*I	0.13502351892318032-0.000033559745481365524*I	0.36160368863676295-0.000039750142229820495*I	0.13461116623261984-0.00003219040246493011*I	0.05872377438892799-0.000024531118750170155*I	0.02922213749599949-0.00001821297624685575*I	0.01574034042339777-0.00001293503562971441*I	0.00845620825634681-8.314713371579169*^-6*I	0.0037440024251396567-4.071591464257528*^-6*I
0.00031762832107265287-1.1425334143642317*^-6*I	0.0006547529928760154-2.3006954261762544*^-6*I	0.0010336727503290728-3.4910517342197953*^-6*I	0.0014830455755838552-4.732171625031709*^-6*I	0.0020432904023285586-6.045985741013448*^-6*I	0.0027758235501387837-7.459674788633343*^-6*I	0.0037802592818647297-9.00848388869325*^-6*I	0.005228938824681504-0.000010740156774757871*I	0.007441817160708276-0.000012722256697226617*I	0.011063279190428262-0.00001505467809857502*I	0.01752044867150713-0.00001789108639814428*I	0.03033433192886133-0.0000214719989595123*I	0.05925908121026135-0.00002614752075316632*I	0.13461116623261984-0.000032190402464930105*I	0.3610683818154295-0.00003813374022682432*I	0.1339113244903184-0.000030300722768708935*I	0.057796601283224586-0.000022334003399100652*I	0.02796966129709544-0.000015663386642257296*I	0.014003371543861599-9.972537482034608*^-6*I	0.005962791206153192-4.856317826451454*^-6*I
