0.-0.8487808024716994*I	-0.4999577759307877+0.*I	0.+0.16975179071517493*I	0.00001653884503324505+0.*I	0.+0.024229114326598925*I	0.000010247711546255753+0.*I	0.+0.00805044198667039*I	7.2308398126880706*^-6+0.*I	0.+0.003628976760101585*I	5.5044458600890495*^-6+0.*I	0.+0.0019195620099910493*I	2.429869783774816*^-6+0.*I	0.+0.0011074462224087422*I	7.902181777291109*^-6+0.*I	0.+0.0006787803866176306*I	-7.592478700711979*^-6+0.*I	0.+0.000382887646828603*I	0.00001355492009347321+0.*I	0.+0.00024156790164304998*I	-8.165982182500111*^-6+0.*I	0.+0.0000337334644086168*I
-0.4999577759357364+0.*I	0.-0.6790290117539215*I	-0.49994123709207+0.*I	0.+0.19398090503974844*I	0.00002678655920028617+0.*I	0.+0.03227955629817717*I	0.00001747855756490456+0.*I	0.+0.011679418734634149*I	0.000012735285181877519+0.*I	0.+0.005548538778449803*I	7.934313077242888*^-6+0.*I	0.+0.0030270082372194*I	0.000010332055234431+0.*I	0.+0.0017862266100812218*I	3.097071159372812*^-7+0.*I	0.+0.0010616680317669643*I	5.9624346226630086*^-6+0.*I	0.+0.000624455551631163*I	5.3889321674374354*^-6+0.*I	0.+0.00027530136762894106*I	-8.165980570198905*^-6+0.*I
0.+0.16975179070949464*I	-0.4999412370918538+0.*I	0.-0.6547998974261786*I	-0.4999309893750416+0.*I	0.+0.20203134701408143*I	0.00003401739496954093+0.*I	0.+0.035908533071086504*I	0.000022983006503987947+0.*I	0.+0.01359898075780444*I	0.000015165157516025845+0.*I	0.+0.006655984979122051*I	0.00001583649813048708+0.*I	0.+0.003705788621507486*I	2.7395760369219537*^-6+0.*I	0.+0.002169114264187824*I	0.000013864622282699248+0.*I	0.+0.0013032359320454823*I	-2.2035329683112443*^-6+0.*I	0.+0.0006581890156195092*I	5.388935269343493*^-6+0.*I	0.+0.0002415679036264634*I
0.000016538840165005773+0.*I	0.+0.1939809050385727*I	-0.49993098938012526+0.*I	0.-0.6467494554541379*I	-0.4999237585286853+0.*I	0.+0.2056603237756214*I	0.00003952184682050227+0.*I	0.+0.0378280950805475*I	0.0000254128719202664+0.*I	0.+0.014706426971452191*I	0.000023067332383324628+0.*I	0.+0.00733476537579803*I	8.244030846444462*^-6+0.*I	0.+0.004088676271750845*I	0.00001629449377974236+0.*I	0.+0.002410682159957957*I	5.69863516524922*^-6+0.*I	0.+0.0013369694028408621*I	-2.2035447327668073*^-6+0.*I	0.+0.0006244555603709082*I	0.000013554913521118817+0.*I
0.+0.024229114317689607*I	0.00002678655653434774+0.*I	0.+0.20203134701529218*I	-0.4999237585364171+0.*I	0.-0.6431204787037*I	-0.49991825408311313+0.*I	0.+0.20757988579927245*I	0.000041951718346381136+0.*I	0.+0.03893554128774117*I	0.000033315054989635325+0.*I	0.+0.015385207365870901*I	0.00001547485555105209+0.*I	0.+0.007717653018550014*I	0.000021798941932401408+0.*I	0.+0.004330244185451901*I	8.128508623798966*^-6+0.*I	0.+0.0024444156065310946*I	5.698643356344814*^-6+0.*I	0.+0.001303235944099812*I	5.962442049077611*^-6+0.*I	0.+0.000382887645028418*I
0.000010247710953891013+0.*I	0.+0.03227955630540139*I	0.000034017403220209524+0.*I	0.+0.2056603237683362*I	-0.49991825408567003+0.*I	0.-0.6412009166692946*I	-0.4999158242159067+0.*I	0.+0.20868733200900583*I	0.000049853901949265965+0.*I	0.+0.03961432167907303*I	0.000025722579762983914+0.*I	0.+0.01576809501003383*I	0.000029029779653003063+0.*I	0.+0.007959220929404195*I	0.000013632954412097503+0.*I	0.+0.0043639776339634015*I	8.128510523212302*^-6+0.*I	0.+0.002410682154005463*I	0.000013864621948862357+0.*I	0.+0.001061668033507925*I	-7.592473962425572*^-6+0.*I
0.+0.008050441979462655*I	0.00001747854872852976+0.*I	0.+0.035908533054431355*I	0.000039521845334139734+0.*I	0.+0.20757988579649186*I	-0.4999158242117431+0.*I	0.-0.6400934704623482*I	-0.4999079220299473+0.*I	0.+0.20936611239560135*I	0.00004226141999591573+0.*I	0.+0.03999720933520837*I	0.00003927749292219124+0.*I	0.+0.01600966291039123*I	0.000020863799061967933+0.*I	0.+0.007992954393367682*I	0.0000136329523745915+0.*I	0.+0.004330244173659514*I	0.000016294492228785848+0.*I	0.+0.002169114255391083*I	3.097041056484517*^-7+0.*I	0.+0.0006787803805952675*I
7.230846023822461*^-6+0.*I	0.+0.011679418742002236*I	0.000022983001099818878+0.*I	0.+0.03782809507900445*I	0.00004195171884209909+0.*I	0.+0.20868733201321896*I	-0.4999079220403593+0.*I	0.-0.6394146900777605*I	-0.49991551450363364+0.*I	0.+0.20974900005319164*I	0.0000558163389409882+0.*I	0.+0.040238777230760796*I	0.00003111150968843694+0.*I	0.+0.016043396368209326*I	0.000020863793770356092+0.*I	0.+0.007959220928430565*I	0.00002179894636089656+0.*I	0.+0.004088676265144004*I	2.739578736676287*^-6+0.*I	0.+0.0017862266037280167*I	7.902186593966576*^-6+0.*I
0.+0.0036289767598991496*I	0.000012735285955160119+0.*I	0.+0.013598980760886378*I	0.000025412873105750693+0.*I	0.+0.03893554129622012*I	0.00004985389951128033+0.*I	0.+0.209366112389301*I	-0.49991551451018956+0.*I	0.-0.6390318024208266*I	-0.49990195958896677+0.*I	0.+0.20999056794594606*I	0.000047650358489338474+0.*I	0.+0.040272510693495675*I	0.00003111150741632965+0.*I	0.+0.016009662913164358*I	0.00002902978160625758+0.*I	0.+0.007717653033773447*I	8.244024894613766*^-6+0.*I	0.+0.003705788618990541*I	0.000010332052462461315+0.*I	0.+0.0011074462145864578*I
5.50445308537865*^-6+0.*I	0.+0.005548538771350808*I	0.00001516515648909754+0.*I	0.+0.014706426978476026*I	0.00003331504924290484+0.*I	0.+0.03961432168517443*I	0.000042261420135184015+0.*I	0.+0.20974900004790015*I	-0.4999019595976829+0.*I	0.-0.6387902345197817*I	-0.49991012557294734+0.*I	0.+0.21002430140687728*I	0.000047650350684845644+0.*I	0.+0.04023877723249132*I	0.00003927749879503551+0.*I	0.+0.015768095005742763*I	0.000015474863341090304+0.*I	0.+0.007334765376797961*I	0.000015836500442223217+0.*I	0.+0.0030270082302081875*I	2.429869250308858*^-6+0.*I
0.+0.0019195620209884745*I	7.934326222422941*^-6+0.*I	0.+0.006655984988770555*I	0.000023067341876875396+0.*I	0.+0.015385207356395647*I	0.000025722580418068624+0.*I	0.+0.03999720932701885*I	0.000055816329358702463+0.*I	0.+0.20999056795884036*I	-0.4999101255818051+0.*I	0.-0.6387565010683889*I	-0.49991012557349884+0.*I	0.+0.2099905679438212*I	0.00005581633484380318+0.*I	0.+0.03999720933417859*I	0.000025722583020410784+0.*I	0.+0.015385207367807005*I	0.00002306733433404022+0.*I	0.+0.006655984983068269*I	7.93432084677623*^-6+0.*I	0.+0.0019195620209994102*I
2.4298712975101474*^-6+0.*I	0.+0.00302700823170313*I	0.00001583649980933163+0.*I	0.+0.007334765380012045*I	0.000015474857660729662+0.*I	0.+0.015768095005762265*I	0.000039277501481377966+0.*I	0.+0.04023877723777201*I	0.0000476503485534045+0.*I	0.+0.2100243014104512*I	-0.4999101255762248+0.*I	0.-0.6387902345192094*I	-0.49990195958862854+0.*I	0.+0.20974900004604635*I	0.00004226141459559517+0.*I	0.+0.03961432167576075*I	0.00003331505756867281+0.*I	0.+0.01470642697567261*I	0.000015165155168953446+0.*I	0.+0.005548538769981839*I	5.504457198268753*^-6+0.*I
0.+0.0011074462115990696*I	0.000010332056269487718+0.*I	0.+0.003705788623818998*I	8.244025031145021*^-6+0.*I	0.+0.007717653016073633*I	0.000029029783263790384+0.*I	0.+0.016009662926237636*I	0.000031111517955317106+0.*I	0.+0.040272510690604155*I	0.0000476503463610384+0.*I	0.+0.20999056795105567*I	-0.49990195959481304+0.*I	0.-0.6390318024345852*I	-0.4999155145109615+0.*I	0.+0.20936611240103178*I	0.00004985389282541757+0.*I	0.+0.03893554129528279*I	0.000025412876738114983+0.*I	0.+0.01359898075779388*I	0.000012735291661887102+0.*I	0.+0.0036289767534821715*I
7.90218240097256*^-6+0.*I	0.+0.0017862266029653791*I	2.73957810128844*^-6+0.*I	0.+0.00408867626346173*I	0.00002179893578355964+0.*I	0.+0.007959220929276851*I	0.00002086379941037744+0.*I	0.+0.016043396372049285*I	0.00003111150785441365+0.*I	0.+0.040238777233578084*I	0.00005581634617464126+0.*I	0.+0.20974900004566108*I	-0.4999155145147171+0.*I	0.-0.6394146900745047*I	-0.499907922034272+0.*I	0.+0.20868733200723064*I	0.00004195171425381963+0.*I	0.+0.037828095077452384*I	0.000022983009784623395+0.*I	0.+0.011679418741762466*I	7.230839078276041*^-6+0.*I
0.+0.0006787803904430428*I	3.0970281079344414*^-7+0.*I	0.+0.0021691142488456105*I	0.000016294490731376328+0.*I	0.+0.004330244175320103*I	0.000013632958835571309+0.*I	0.+0.007992954391218027*I	0.00002086380084229767+0.*I	0.+0.016009662909704805*I	0.00003927749648407665+0.*I	0.+0.03999720932757793*I	0.000042261423013441076+0.*I	0.+0.2093661123996008*I	-0.49990792203597634+0.*I	0.-0.6400934704596235*I	-0.49991582420915587+0.*I	0.+0.20757988578948094*I	0.0000395218481225025+0.*I	0.+0.035908533064648196*I	0.00001747855202670935+0.*I	0.+0.008050441983467965*I
