0.-0.84880252716247*I	-0.4999455424234773+0.*I	0.+0.1697763139429344*I	-1.9292757038178907*^-6+0.*I	0.+0.024212983918204724*I	0.000027489185854518537+0.*I	0.+0.008070644435185481*I	-3.953948484468505*^-6+0.*I	0.+0.0036289317284844795*I	0.000010565613142531313+0.*I	0.+0.0019325561379762858*I	2.5831301692233807*^-6+0.*I	0.+0.001123948396293816*I	3.2796623281929895*^-6+0.*I	0.+0.0006890188110773522*I	2.295656004322008*^-6+0.*I	0.+0.0004256185853089408*I	1.5461194878093378*^-6+0.*I	0.+0.00024857073487951405*I	9.053933262297327*^-7+0.*I	0.+0.00011506581006267816*I	2.9866182001109633*^-7+0.*I
-0.49994554242348216+0.*I	0.-0.6790262132195618*I	-0.49994747169917486+0.*I	0.+0.19398929786115324*I	0.00002555991016542624+0.*I	0.+0.032283628353395925*I	0.00002353523736919064+0.*I	0.+0.011699576163646745*I	6.611664644393119*^-6+0.*I	0.+0.005561487866490999*I	0.000013148743319377673+0.*I	0.+0.0030565045342633187*I	5.862792494376781*^-6+0.*I	0.+0.001812967207358068*I	5.575318346652594*^-6+0.*I	0.+0.001114637396405535*I	3.841775491102257*^-6+0.*I	0.+0.0006741893201889394*I	2.4515128336229953*^-6+0.*I	0.+0.00036363654494269836*I	1.204055148106501*^-6+0.*I	0.+0.00011506581005615946*I
0.+0.16977631394293136*I	-0.49994747169916365+0.*I	0.-0.654813229301341*I	-0.4999199825133222+0.*I	0.+0.20205994229631635*I	0.00002160596168256234+0.*I	0.+0.03591256008188116*I	0.00003410085051631257+0.*I	0.+0.013632132301642867*I	9.1947948333737*^-6+0.*I	0.+0.006685436262759631*I	0.00001642840563758617+0.*I	0.+0.0037455233453476556*I	8.158448504293518*^-6+0.*I	0.+0.0022385857926643885*I	7.121437828889478*^-6+0.*I	0.+0.001363208131268196*I	4.74716882056804*^-6+0.*I	0.+0.0007892551302458125*I	2.7501746530063983*^-6+0.*I	0.+0.0003636365449218249*I	9.053933240051667*^-7+0.*I
-1.929275705863848*^-6+0.*I	0.+0.19398929786117425*I	-0.49991998251333697+0.*I	0.-0.6467425848661901*I	-0.4999239364618068+0.*I	0.+0.20568887402482022*I	0.00003217157483735079+0.*I	0.+0.037845116219862245*I	0.00003668398067445288+0.*I	0.+0.014756080697920696*I	0.000012474457161869903+0.*I	0.+0.007374455073847318*I	0.000018724061643801208+0.*I	0.+0.004171141930645743*I	9.704568002995855*^-6+0.*I	0.+0.0024871565275610217*I	8.026831148984883*^-6+0.*I	0.+0.001478273941323787*I	5.045830654030424*^-6+0.*I	0.+0.0007892551302475974*I	2.451512818649578*^-6+0.*I	0.+0.00024857073487577654*I
0.+0.024212983918186246*I	0.00002555991016045803+0.*I	0.+0.20205994229633006*I	-0.49992393646179895+0.*I	0.-0.6431136531376982*I	-0.4999133708486572+0.*I	0.+0.20762143016279275*I	0.00003475470498095312+0.*I	0.+0.03896906461615389*I	0.00003996364303137162+0.*I	0.+0.015445099509011642*I	0.000014770113165568519+0.*I	0.+0.007800073659136166*I	0.000020270181149583717+0.*I	0.+0.00441971266551554*I	0.000010609961312853125+0.*I	0.+0.002602222337622568*I	8.325492985711334*^-6+0.*I	0.+0.001478273941311605*I	4.747168803548492*^-6+0.*I	0.+0.0006741893201778109*I	1.546119515035511*^-6+0.*I
0.00002748918585332407+0.*I	0.+0.03228362835338968*I	0.000021605961680912916+0.*I	0.+0.20568887402480635*I	-0.4999133708486552+0.*I	0.-0.641181096999695*I	-0.49991078771852515+0.*I	0.+0.20874537855908926*I	0.00003803436733482686+0.*I	0.+0.03965808342722187*I	0.00004225929900755275+0.*I	0.+0.015870718094309805*I	0.000016316232674678028+0.*I	0.+0.008048644394021517*I	0.00002117557445492751+0.*I	0.+0.004534778475599308*I	0.000010908623145546927+0.*I	0.+0.0026022223376042965*I	8.026831168531773*^-6+0.*I	0.+0.001363208131264987*I	3.841775512972705*^-6+0.*I	0.+0.0004256185853174608*I
0.+0.008070644435182173*I	0.000023535237367518505+0.*I	0.+0.0359125600818582*I	0.00003217157481984781+0.*I	0.+0.20762143016280551*I	-0.4999107877185029+0.*I	0.-0.6400571486034276*I	-0.499907508056155+0.*I	0.+0.2094343973701807*I	0.00004033002332719718+0.*I	0.+0.040083702012509305*I	0.00004380541853109172+0.*I	0.+0.016119288829193956*I	0.000017221625981621888+0.*I	0.+0.008163710204062417*I	0.0000214742362991436+0.*I	0.+0.004534778475587319*I	0.000010609961317103726+0.*I	0.+0.002487156527542387*I	7.121437832569586*^-6+0.*I	0.+0.0011146373963862955*I	2.2956560016045772*^-6+0.*I
-3.953948500056947*^-6+0.*I	0.+0.011699576163653622*I	0.00003410085053761556+0.*I	0.+0.037845116219867594*I	0.000034754704974815896+0.*I	0.+0.20874537855908437*I	-0.4999075080561699+0.*I	0.-0.6393681297923464*I	-0.49990521240016067+0.*I	0.+0.209860015955469*I	0.000041876142825770826+0.*I	0.+0.04033227274738352*I	0.00004471081182561879+0.*I	0.+0.01623435463928008*I	0.000017520287815674913+0.*I	0.+0.008163710204065212*I	0.000021175574457860752+0.*I	0.+0.004419712665545941*I	9.704567995635588*^-6+0.*I	0.+0.002238585792652293*I	5.575318336700374*^-6+0.*I	0.+0.0006890188111015882*I
0.+0.003628931728473736*I	6.6116646767557126*^-6+0.*I	0.+0.013632132301640166*I	0.00003668398067949001+0.*I	0.+0.03896906461613833*I	0.000038034367315386395+0.*I	0.+0.2094343973701545*I	-0.49990521240015623+0.*I	0.-0.6389425112070429*I	-0.49990366628066285+0.*I	0.+0.2101085866903452*I	0.000042781536141543904+0.*I	0.+0.04044733855746164*I	0.000045009473655999685+0.*I	0.+0.016234354639254718*I	0.000017221625993504933+0.*I	0.+0.008048644394020121*I	0.000020270181135552582+0.*I	0.+0.004171141930644997*I	8.15844852747292*^-6+0.*I	0.+0.001812967207359165*I	3.2796623134689277*^-6+0.*I
0.000010565613173281916+0.*I	0.+0.005561487866497772*I	9.194794816166368*^-6+0.*I	0.+0.014756080697929289*I	0.00003996364302489939+0.*I	0.+0.03965808342722714*I	0.000040330023312872874+0.*I	0.+0.20986001595547657*I	-0.4999036662806518+0.*I	0.-0.6386939404721619*I	-0.4999027608873606+0.*I	0.+0.21022365250039823*I	0.00004308019796557283+0.*I	0.+0.04044733855747575*I	0.00004471081183413069+0.*I	0.+0.016119288829171134*I	0.000016316232688909005+0.*I	0.+0.007800073659158707*I	0.000018724061625323153+0.*I	0.+0.003745523345321344*I	5.862792481449412*^-6+0.*I	0.+0.0011239483963076155*I
0.+0.0019325561379994129*I	0.000013148743316389284+0.*I	0.+0.0066854362627469886*I	0.000012474457159863137+0.*I	0.+0.015445099509022828*I	0.000042259299020956504+0.*I	0.+0.04008370201252706*I	0.0000418761428203398+0.*I	0.+0.21010858669033416*I	-0.49990276088734564+0.*I	0.-0.6385788746621006*I	-0.49990246222552054+0.*I	0.+0.2102236525004122*I	0.0000427815361281142+0.*I	0.+0.04033227274741259*I	0.00004380541853049793+0.*I	0.+0.01587071809431952*I	0.000014770113159777307+0.*I	0.+0.007374455073824444*I	0.000016428405641949825+0.*I	0.+0.0030565045342815424*I	2.583130168763503*^-6+0.*I
