0.3023461386985246-0.000013623251048215109*I	0.10469227017684656-0.00001212908198581906*I	0.04206093778476746-9.461162792302194*^-6*I	0.01951978786799742-7.4319609419383234*^-6*I	0.010267450101314869-6.005642035142523*^-6*I	0.005972733166744495-4.982824877168038*^-6*I	0.0037559500598399326-4.2204049241204785*^-6*I	0.0025075492193393305-3.630110658651144*^-6*I	0.0017535041002080655-3.1578189011705237*^-6*I	0.001271679625690859-2.7693395631034637*^-6*I	0.000949365380834611-2.442250803365931*^-6*I	0.0007254102230080821-2.1613055438590996*^-6*I	0.0005647198642034274-1.9157909460555433*^-6*I	0.0004461779086148133-1.6979587384678605*^-6*I	0.0003565560569427183-1.5020586633963757*^-6*I	0.0002872740212629398-1.3237231270631085*^-6*I	0.00023259356917461953-1.1595633028216513*^-6*I	0.00018857034847580197-1.0068965603119136*^-6*I	0.00015242346140209185-8.635577643344556*^-7*I	0.0001221440036395297-7.277654651575869*^-7*I	0.00009624475549737822-5.980247734076827*^-7*I	0.0000735955680221346-4.730551676461564*^-7*I	0.00005331195005201866-3.517354461288698*^-7*I	0.00003467720132201924-2.3306051698117217*^-7*I	0.000017085795475831964-1.1610629777909515*^-7*I
0.10469227017684654-0.000012129081985819054*I	0.3444070764832921-0.000023084413840517293*I	0.124212058044844-0.000019561042927757382*I	0.052328387886082336-0.000015466804827444717*I	0.02549252103474189-0.000012414785819106353*I	0.014023400161154805-0.000010226046959263003*I	0.008480282386083825-8.612935535819179*^-6*I	0.005509454160047996-7.378223825291004*^-6*I	0.0037792288450301907-6.399450221754607*^-6*I	0.002702869481042676-5.600069704536455*^-6*I	0.0019970898486989424-4.930645106962563*^-6*I	0.0015140852450380381-4.358041749421475*^-6*I	0.0011715881316228956-3.859264282326961*^-6*I	0.0009212759211461458-3.417849609451918*^-6*I	0.0007334519298777528-3.021681865530969*^-6*I	0.0005891496261173378-2.6616219662180266*^-6*I	0.00047584436973874164-2.330619687375022*^-6*I	0.0003850170305767115-2.0231210671561057*^-6*I	0.0003107143521153317-1.7346620254695003*^-6*I	0.0002486682168994701-1.4615825377421376*^-6*I	0.00019573957166166422-1.200820632803743*^-6*I	0.0001495567055493968-9.497602195365523*^-7*I	0.00010827276934415378-7.061156846273284*^-7*I	0.00007039774552785062-4.67841743907965*^-7*I	0.000034677201322019236-2.3306051698117214*^-7*I
0.042060937784767445-9.461162792302189*^-6*I	0.12421205804484395-0.000019561042927757382*I	0.3546745265846071-0.000029090055875659826*I	0.13018479121158846-0.00002454386780492544*I	0.056084337945922276-0.000019687209751565204*I	0.028000070254081216-0.000016044896477757494*I	0.015776904261362867-0.000013383865860433523*I	0.009751962011774685-0.000011382275098922646*I	0.0064588195408826115-9.820474628656936*^-6*I	0.0045046390680382725-8.560755765613707*^-6*I	0.003267589345246106-7.515860650591999*^-6*I	0.0024432677573137567-6.628603845430429*^-6*I	0.0018706413019807585-5.860100412817855*^-6*I	0.001458862152885836-5.1829874093900686*^-6*I	0.0011538694903207652-4.577412912273568*^-6*I	0.0009220222783535551-4.028578425842883*^-6*I	0.0007415730875194301-3.525179730552483*^-6*I	0.0005979883733782717-3.058385152532609*^-6*I	0.0004812617860740898-2.62114584056379*^-6*I	0.0003843099201374664-2.2077171931156573*^-6*I	0.00030198016695148896-1.813317983871008*^-6*I	0.0002304167729836835-1.433881149784915*^-6*I	0.00016664250102522884-1.0658665173156475*^-6*I	0.00010827276934415382-7.061156846273286*^-7*I	0.00005331195005201867-3.5173544612886997*^-7*I
0.0195197878679974-7.4319609419383175*^-6*I	0.05232838788608233-0.000015466804827444707*I	0.1301847912115885-0.000024543867804925415*I	0.35843047664444716-0.00003331046079978031*I	0.1326923404309279-0.00002817397846357656*I	0.05783784204613032-0.000022845028652735704*I	0.02927174987977208-0.00001881423604086095*I	0.016726269642197485-0.00001582611666379946*I	0.010477372234782777-0.000013543580642781752*I	0.0070235394050860425-0.000011736265574712482*I	0.00495081697665309-0.000010258714504081574*I	0.003624145402188827-9.017919313988382*^-6*I	0.0027305417785766974-7.952326972493542*^-6*I	0.0021032348711553773-7.0196637156395045*^-6*I	0.0016474325013616368-6.189883969701981*^-6*I	0.0013062929517228567-5.4409706766080214*^-6*I	0.001044166281993084-4.756343891000469*^-6*I	0.0008378178430168081-4.123204503960164*^-6*I	0.0006715839414004059-3.5314403201787662*^-6*I	0.0005345737361261083-2.9728812866926587*^-6*I	0.0004189871214594853-2.4407777100968284*^-6*I	0.00031906596242732056-1.9294242816501016*^-6*I	0.00023041677298368338-1.4338811497849146*^-6*I	0.00014955670554939684-9.497602195365522*^-7*I	0.00007359556802213455-4.730551676461563*^-7*I
0.010267450101314862-6.00564203514252*^-6*I	0.02549252103474188-0.000012414785819106356*I	0.05608433794592227-0.000019687209751565193*I	0.1326923404309278-0.000028173978463576553*I	0.36018398074465485-0.00003646827970095081*I	0.13396402005661864-0.00003094331802668*I	0.05878720742696491-0.000025287279456101625*I	0.029997160102780165-0.000020975541584720055*I	0.01729098950640091-0.000017741907609855004*I	0.010923550143397586-0.000015241539381249619*I	0.0073800954620287604-0.000013238324238108867*I	0.005238090997916033-0.00001158243763114469*I	0.0038567389713634447-0.00001017748261681003*I	0.0029191121270524985-8.959223532805452*^-6*I	0.0022556583325574666-7.883221479973956*^-6*I	0.0017695765050011654-6.917649434859566*^-6*I	0.0014025377072202341-6.038995450015701*^-6*I	0.001117761850015218-5.22939905864662*^-6*I	0.000891129793068826-4.474939950089032*^-6*I	0.0007062611427224247-3.764500837159936*^-6*I	0.0005516595316019398-3.088987584471752*^-6*I	0.00041898712145948505-2.4407777100968263*^-6*I	0.0003019801669514884-1.8133179838710059*^-6*I	0.00019573957166166403-1.2008206328037418*^-6*I	0.00009624475549737814-5.98024773407682*^-7*I
0.005972733166744492-4.9828248771680356*^-6*I	0.014023400161154794-0.000010226046959262998*I	0.02800007025408122-0.0000160448964777575*I	0.057837842046130336-0.000022845028652735718*I	0.13396402005661862-0.000030943318026680015*I	0.36113334612548964-0.00003891053050431674*I	0.13468943027962674-0.00003310462357053911*I	0.05935192729116838-0.000027203070402157198*I	0.030443338011395-0.00002267350032318794*I	0.017647545563343636-0.000019243966273251397*I	0.011210824164660535-0.000016565262508312737*I	0.007612689031203385-0.000014397887540930527*I	0.005426661346391833-0.000012589334191456602*I	0.0040091624327655345-0.000011041040381144483*I	0.0030412561306920253-9.686988997963029*^-6*I	0.0023519030880548453-8.481246253381633*^-6*I	0.0018431720730232998-7.39070460250572*^-6*I	0.001455849657272253-6.390730896144572*^-6*I	0.0011524390513372375-5.462459575627794*^-6*I	0.000908215588544658-4.591046247868126*^-6*I	0.0007062611427224244-3.764500837159933*^-6*I	0.0005345737361261077-2.972881286692655*^-6*I	0.0003843099201374657-2.2077171931156535*^-6*I	0.00024866821689946986-1.461582537742136*^-6*I	0.00012214400363952957-7.277654651575857*^-7*I
0.0037559500598399287-4.220404924120476*^-6*I	0.008480282386083818-8.612935535819177*^-6*I	0.01577690426136286-0.000013383865860433523*I	0.029271749879772088-0.000018814236040860963*I	0.0587872074269649-0.000025287279456101638*I	0.13468943027962665-0.00003310462357053913*I	0.36169806598969295-0.000040826321450372293*I	0.13513560818824155-0.000034802582309007006*I	0.05970848334811113-0.00002870512906555361*I	0.030730612032657947-0.000023997223450251074*I	0.01788013913251826-0.00002040352957607308*I	0.011399394513136336-0.00001757215906862466*I	0.0077651124926054775-0.00001526144530526498*I	0.005548805350031362-0.000013317099656614187*I	0.004105407188262914-0.000011639065154552164*I	0.0031148516987141604-0.000010160044165609186*I	0.0024052150381068628-8.832981699510502*^-6*I	0.0018778492743453186-7.623765119486893*^-6*I	0.0014729354527480846-6.506837193923668*^-6*I	0.001152439051337237-5.462459575627794*^-6*I	0.0008911297930688255-4.47493995008903*^-6*I	0.0006715839414004052-3.531440320178761*^-6*I	0.000481261786074089-2.621145840563786*^-6*I	0.00031071435211533127-1.7346620254694982*^-6*I	0.00015242346140209172-8.635577643344541*^-7*I
0.002507549219339328-3.630110658651142*^-6*I	0.005509454160047994-7.3782238252910035*^-6*I	0.009751962011774681-0.00001138227509892265*I	0.01672626964219748-0.00001582611666379947*I	0.029997160102780175-0.000020975541584720082*I	0.0593519272911684-0.00002720307040215721*I	0.13513560818824158-0.00003480258230900702*I	0.362054622046636-0.00004232838011376874*I	0.13542288220950463-0.00003612630543607018*I	0.059941076917285785-0.0000298646923683753*I	0.030919182381133767-0.000025004120010563017*I	0.01803256259392036-0.000021267087340407542*I	0.011521538516775877-0.000018299924533782257*I	0.007861357248102855-0.00001585947007867267*I	0.0056224009180534966-0.000013790154824260346*I	0.004158719138314934-0.000011990800600681042*I	0.0031495289000361797-0.000010393104682590364*I	0.002422300833582697-8.949087997289602*^-6*I	0.0018778492743453197-7.623765119486894*^-6*I	0.0014558496572722533-6.390730896144572*^-6*I	0.001117761850015218-5.229399058646621*^-6*I	0.0008378178430168071-4.123204503960161*^-6*I	0.0005979883733782708-3.0583851525326064*^-6*I	0.0003850170305767111-2.023121067156105*^-6*I	0.0001885703484758018-1.006896560311913*^-6*I
0.0017535041002080648-3.1578189011705216*^-6*I	0.0037792288450301907-6.399450221754607*^-6*I	0.006458819540882614-9.820474628656946*^-6*I	0.010477372234782774-0.000013543580642781759*I	0.017290989506400914-0.000017741907609855017*I	0.030443338011395007-0.000022673500323187954*I	0.059708483348111144-0.000028705129065553618*I	0.13542288220950452-0.00003612630543607018*I	0.3622872156158106-0.00004348794341659043*I	0.13561145255798038-0.00003713320199638211*I	0.06009350037868788-0.00003072825013270979*I	0.031041326384773325-0.000025731885475720638*I	0.018128807349417755-0.000021865112113815246*I	0.011595134084798014-0.00001877297970142843*I	0.007914669198154875-0.000016211205524801545*I	0.0056570781193755176-0.000014023215341241527*I	0.0041758049337907634-0.000012106906898460137*I	0.0031495289000361805-0.000010393104682590367*I	0.0024052150381068645-8.83298169951051*^-6*I	0.0018431720730233006-7.3907046025057225*^-6*I	0.0014025377072202341-6.038995450015703*^-6*I	0.0010441662819930836-4.756343891000466*^-6*I	0.0007415730875194292-3.5251797305524795*^-6*I	0.00047584436973874137-2.3306196873750206*^-6*I	0.0002325935691746194-1.1595633028216503*^-6*I
0.0012716796256908589-2.7693395631034625*^-6*I	0.0027028694810426754-5.6000697045364516*^-6*I	0.004504639068038274-8.560755765613707*^-6*I	0.007023539405086042-0.000011736265574712489*I	0.010923550143397584-0.00001524153938124962*I	0.01764754556334363-0.000019243966273251403*I	0.030730612032657943-0.000023997223450251074*I	0.059941076917285764-0.0000298646923683753*I	0.13561145255798038-0.000037133201996382117*I	0.36243963907721266-0.00004435150118092491*I	0.1357335965616199-0.000037860967461539713*I	0.060189745134185284-0.00003132627490611747*I	0.03111492195279545-0.000026204940643366775*I	0.018182119299469755-0.000022216847559944102*I	0.011629811286120022-0.00001900604021840958*I	0.007931754993630701-0.00001632731182258063*I	0.005657078119375512-0.000014023215341241511*I	0.004158719138314931-0.000011990800600681032*I	0.003114851698714159-0.000010160044165609183*I	0.002351903088054844-8.48124625338163*^-6*I	0.0017695765050011643-6.917649434859559*^-6*I	0.0013062929517228547-5.440970676608016*^-6*I	0.0009220222783535535-4.028578425842876*^-6*I	0.000589149626117337-2.661621966218023*^-6*I	0.00028727402126293923-1.3237231270631063*^-6*I
