0.-0.8487778337483429*I	-0.49995768340366237+0.*I	0.+0.16976083445500814*I	0.00001672894632488512+0.*I	0.+0.024244674429628597*I	0.00001054421630627366+0.*I	0.+0.008073292705267233*I	7.54953636558635*^-6+0.*I	0.+0.003660321818965191*I	5.605900793186202*^-6+0.*I	0.+0.001961167525567123*I	6.088038685304255*^-6+0.*I	0.+0.0011617885123341861*I	-1.487895227650807*^-6+0.*I	0.+0.0007488160915794258*I	0.000014143119098930388+0.*I	0.+0.0004780769297870808*I	-0.000015017613299854731+0.*I	0.+0.00035499436218780934*I	0.000021857279966515754+0.*I	0.+0.00021033719055418468*I	-0.000015987534677235952+0.*I	0.+0.00016771778390420043*I	0.000012149715643949938+0.*I	0.+0.00008619970986671452*I	-4.552169596134316*^-6+0.*I	0.+0.00004786314370402298*I	1.8909442859384477*^-6+0.*I
-0.4999576834036498+0.*I	0.-0.6790169992933565*I	-0.49994095445731995+0.*I	0.+0.19400550888466392*I	0.000027273162650922595+0.*I	0.+0.03231796713494512*I	0.000018093752679494565+0.*I	0.+0.011733614524239528*I	0.000013155437138418081+0.*I	0.+0.005621489344535833*I	0.000011693939500637096+0.*I	0.+0.0031229560379053053*I	4.600143464214882*^-6+0.*I	0.+0.0019106046039161055*I	0.000012655223878821303+0.*I	0.+0.0012268930213369218*I	-8.744942031876755*^-7+0.*I	0.+0.0008330712919929966*I	6.839666680263165*^-6+0.*I	0.+0.0005653315527244849*I	5.869745271677345*^-6+0.*I	0.+0.0003780549744605147*I	-3.8378190442956306*^-6+0.*I	0.+0.00025391749375265366*I	7.59754603606007*^-6+0.*I	0.+0.0001340628535771627*I	-2.6612252987122417*^-6+0.*I	0.+0.000047863143694015975*I
0.+0.16976083445501364*I	-0.4999409544573398+0.*I	0.-0.6547723248637*I	-0.49993041024099655+0.*I	0.+0.20207880158994654*I	0.00003482269901058231+0.*I	0.+0.035978288953868266*I	0.000023699653444508102+0.*I	0.+0.013694782049832606*I	0.000019243475867099515+0.*I	0.+0.006783277856842564*I	0.000010206044245875725+0.*I	0.+0.0038717721294793173*I	0.000018743262580288167+0.*I	0.+0.002388681533685464*I	-2.3623894202527468*^-6+0.*I	0.+0.0015818873835321584*I	0.000020982785783042485+0.*I	0.+0.0010434084825292726*I	-9.147868035289426*^-6+0.*I	0.+0.0007330493366420679*I	0.000018019460945539704+0.*I	0.+0.00046425468432552397*I	-8.389988653921009*^-6+0.*I	0.+0.00030178063745981223*I	9.488490349937712*^-6+0.*I	0.+0.0001340628535851104*I	-4.552169606172836*^-6+0.*I
0.000016728946310471762+0.*I	0.+0.1940055088846386*I	-0.49993041024098267+0.*I	0.-0.6466990321584014*I	-0.4999228607046446+0.*I	0.+0.2057391234088851*I	0.00004042859976701834+0.*I	0.+0.03793945647945551*I	0.00002978769215836888+0.*I	0.+0.014856570562142414*I	0.000017755580618384116+0.*I	0.+0.007532093948431801*I	0.0000243491633804212+0.*I	0.+0.004349849059254968*I	3.7256492759048053*^-6+0.*I	0.+0.0027436758958765016*I	0.00001949489055889299+0.*I	0.+0.0017922245740718263*I	4.995251079843056*^-6+0.*I	0.+0.0012111262664219922*I	3.001847639546937*^-6+0.*I	0.+0.0008192490465131823*I	0.000013467291310360357+0.*I	0.+0.0005121178280210929*I	-6.4990443698909375*^-6+0.*I	0.+0.0003017806374823396*I	7.5975460502964154*^-6+0.*I	0.+0.00008619970985261391*I
0.+0.02424467442964854*I	0.000027273162628875957+0.*I	0.+0.202078801589943*I	-0.4999228607046476+0.*I	0.-0.6430387103394583*I	-0.4999172548038681+0.*I	0.+0.20770029093448275*I	0.00004651663848234482+0.*I	0.+0.039101244991794466*I	0.000028299796952581708+0.*I	0.+0.015605386653693943*I	0.00003189869971305815+0.*I	0.+0.008010170878190124*I	9.331550068858134*^-6+0.*I	0.+0.004704843421452447*I	0.000025582929267704954+0.*I	0.+0.002954013086394112*I	3.5073558490890248*^-6+0.*I	0.+0.001959942357993977*I	0.00001714496674177616+0.*I	0.+0.0012973259762911016*I	-1.550321972805795*^-6+0.*I	0.+0.0008671121902280454*I	0.00001535823562581546+0.*I	0.+0.0005121178280156183*I	-8.389988644334981*^-6+0.*I	0.+0.0002539174937761807*I	0.000012149715656929763+0.*I
0.000010544216326414626+0.*I	0.+0.0323179671349391*I	0.000034822698994506116+0.*I	0.+0.205739123408891*I	-0.49991725480387006+0.*I	0.-0.6410775428139158*I	-0.4999111667651731+0.*I	0.+0.20886207944680357*I	0.00004502874327836294+0.*I	0.+0.03985006108334063*I	0.00004244291603671784+0.*I	0.+0.016083463583489648*I	0.00001688108643366697+0.*I	0.+0.008365165240375923*I	0.000031188830052096223+0.*I	0.+0.004915180612000109*I	9.595394554257506*^-6+0.*I	0.+0.0031217308703149265*I	0.000015657071505147526+0.*I	0.+0.002046142067874601*I	0.000012592797162546122+0.*I	0.+0.0013451891199900586*I	3.406223042497789*^-7+0.*I	0.+0.0008671121902197528*I	0.000013467291331099576+0.*I	0.+0.00046425468431286206*I	-3.837819055632495*^-6+0.*I	0.+0.00016771778390458334*I
0.+0.008073292705303565*I	0.000018093752667253882+0.*I	0.+0.03597828895387185*I	0.00004042859977511197+0.*I	0.+0.2077002909344745*I	-0.4999111667651627+0.*I	0.-0.639915754301552*I	-0.4999126546603705+0.*I	0.+0.20961089553835488*I	0.000059171862370531816+0.*I	0.+0.040328138013132904*I	0.00002742530273250568+0.*I	0.+0.016438457945687684*I	0.00003873836638447672+0.*I	0.+0.008575502430942303*I	0.000015201295372014545+0.*I	0.+0.005082898395902135*I	0.0000217451102061092+0.*I	0.+0.003207930580173523*I	0.000011104901900156616+0.*I	0.+0.0020940052115693613*I	0.00001448374144023213+0.*I	0.+0.0013451891199941948*I	-1.5503219899353626*^-6+0.*I	0.+0.0008192490465049042*I	0.000018019460939464987+0.*I	0.+0.00037805497443682047*I	-0.00001598753469703328+0.*I
7.549536358212366*^-6+0.*I	0.+0.011733614524237617*I	0.000023699653451292294+0.*I	0.+0.03793945647946731*I	0.00004651663847899541+0.*I	0.+0.2088620794467814*I	-0.4999126546603685+0.*I	0.-0.6391669382099849*I	-0.49989851154125736+0.*I	0.+0.21008897246812533*I	0.000044154249062901424+0.*I	0.+0.04068313237532503*I	0.00004928258272502368+0.*I	0.+0.016648795136227714*I	0.000022750831697367664+0.*I	0.+0.008743220214848064*I	0.00002735101099688023+0.*I	0.+0.005169098105774979*I	0.000017192940605495067+0.*I	0.+0.003255793723899544*I	0.000012995846221724263+0.*I	0.+0.002094005211557833*I	0.000012592797139322379+0.*I	0.+0.001297325976294587*I	3.0018476311668095*^-6+0.*I	0.+0.0007330493366464047*I	5.8697452826311484*^-6+0.*I	0.+0.00021033719053392588*I
0.+0.0036603218189654686*I	0.000013155437132682913+0.*I	0.+0.013694782049801988*I	0.000029787692171371138+0.*I	0.+0.03910124499182065*I	0.000045028743271354515+0.*I	0.+0.20961089553834605*I	-0.49989851154126097+0.*I	0.-0.6386888612801892*I	-0.49991352915458653+0.*I	0.+0.21044396683032196*I	0.00006601152904625918+0.*I	0.+0.040893469565901036*I	0.00003329504800068189+0.*I	0.+0.016816512920107315*I	0.00003490054736895646+0.*I	0.+0.008829419924728766*I	0.000022798841391301352+0.*I	0.+0.005216961249442743*I	0.000019083884911888808+0.*I	0.+0.0032557937239032966*I	0.000011104901897266486+0.*I	0.+0.002046142067843069*I	0.000017144966765655605+0.*I	0.+0.0012111262664262653*I	-9.14786803839351*^-6+0.*I	0.+0.0005653315527249594*I	0.000021857279998875056+0.*I
5.605900776157357*^-6+0.*I	0.+0.005621489344533785*I	0.000019243475851576938+0.*I	0.+0.01485657056214636*I	0.000028299796919510953+0.*I	0.+0.039850061083354635*I	0.0000591718623725015+0.*I	0.+0.210088972468144*I	-0.4999135291545593+0.*I	0.-0.6383338669180313*I	-0.4998916718745887+0.*I	0.+0.21065430402088342*I	0.000050023994330079596+0.*I	0.+0.041061187349802*I	0.000045444763681931956+0.*I	0.+0.01690271262999652*I	0.000030348377771704585+0.*I	0.+0.008877283068427*I	0.000024689785694445594+0.*I	0.+0.005216961249450078*I	0.00001719294059341172+0.*I	0.+0.003207930580187411*I	0.000015657071513334723+0.*I	0.+0.0019599423579824134*I	4.995251070167208*^-6+0.*I	0.+0.0010434084825449482*I	6.839666672742475*^-6+0.*I	0.+0.00035499436218695753*I
0.+0.0019611675255456016*I	0.000011693939481492914+0.*I	0.+0.006783277856872806*I	0.00001775558060785985+0.*I	0.+0.015605386653682963*I	0.00004244291604475386+0.*I	0.+0.040328138013151216*I	0.000044154249081308196+0.*I	0.+0.21044396683032737*I	-0.49989167187459527+0.*I	0.-0.6381235297274329*I	-0.49990765940930393+0.*I	0.+0.21082202180478643*I	0.00006217371001407377+0.*I	0.+0.041147387059646975*I	0.00004089259406593046+0.*I	0.+0.016950575773687845*I	0.00003223932204252656+0.*I	0.+0.00887728306842385*I	0.0000227988414212605+0.*I	0.+0.005169098105756356*I	0.000021745110190252094+0.*I	0.+0.0031217308703153585*I	3.507355874537066*^-6+0.*I	0.+0.00179222457410202*I	0.000020982785780345194+0.*I	0.+0.0008330712919728864*I	-0.000015017613271796188+0.*I
