0.3023465397610284-0.00001363084673940383*I	0.10469307610447944-0.00001214429338224763*I	0.04206215625388432-9.484030111289456*^-6*I	0.019521430573062735-7.462544986031705*^-6*I	0.010269532977007287-6.044024773985824*^-6*I	0.005975276694706064-5.029110240293731*^-6*I	0.003758979669788562-4.274719819880794*^-6*I	0.0025110957975174116-3.692606239179158*^-6*I	0.0017576046220236761-3.228672098580004*^-6*I	0.0012763779341303388-2.8487549282858585*^-6*I	0.0009547131380572377-2.5304626859574177*^-6*I	0.0007314680698260449-2.258580660516993*^-6*I	0.0005715588313645145-2.022431394460404*^-6*I	0.00045388113555385005-1.8143055269082456*^-6*I	0.00036522088877182933-1.628495840974115*^-6*I	0.00029701457434007703-1.4606826182194015*^-6*I	0.00024354388113756903-1.3075305729869995*^-6*I	0.00020088826223506217-1.1664172682767207*^-6*I	0.00016629543713488908-1.0352455930650205*^-6*I	0.00013779111235400935-9.123113684196199*^-7*I	0.00011393018793926513-7.962079336089115*^-7*I	0.00009363410170272054-6.857560346758922*^-7*I	0.00007608196669697696-5.79951322953654*^-7*I	0.00006063605413685683-4.779242826055506*^-7*I	0.00004678961544504873-3.789090219253253*^-7*I	0.00003412944051794352-2.822184204991423*^-7*I	0.00002230821076493417-1.8722382539753407*^-7*I	0.000011023339338392788-9.333795749787764*^-8*I
0.10469307610447949-0.00001214429338224763*I	0.3444086960149126-0.000023114876850693294*I	0.12421450667754223-0.000019606838368279335*I	0.05233168923089162-0.000015528054885275284*I	0.025496707267768797-0.000012491655226325433*I	0.014028512646795856-0.00001031874459386662*I	0.008486372492223478-8.721716479472885*^-6*I	0.005516584291812241-7.503391918460799*^-6*I	0.003787473731647753-6.5413611674650186*^-6*I	0.002712317760080915-5.759134784537423*^-6*I	0.0020078460039563845-5.107335588802852*^-6*I	0.0015262719694217526-4.552894080417827*^-6*I	0.0011853492053798959-4.072886187425242*^-6*I	0.0009367797201363438-3.650927235434521*^-6*I	0.0007508957098939272-3.274988145127648*^-6*I	0.0006087647699093983-2.9360264139611155*^-6*I	0.0004979028365751392-2.6270998864961216*^-6*I	0.0004098393182724581-2.342776166052019*^-6*I	0.00033867937458907145-2.078728636696341*^-6*I	0.00028022562507415416-1.8314535266739326*^-6*I	0.00023142521405672983-1.5980674030955123*^-6*I	0.00019001215463624205-1.3761592565625665*^-6*I	0.00015427015583957724-1.1636803172814422*^-6*I	0.00012287158214202562-9.588603448789794*^-7*I	0.00009476549465480031-7.60142703104693*^-7*I	0.00006909782620998287-5.661328473228591*^-7*I	0.0000451527798563363-3.755563779970199*^-7*I	0.000022308210764934162-1.8722382539753404*^-7*I
0.04206215625388433-9.484030111289451*^-6*I	0.12421450667754222-0.000019606838368279335*I	0.35467822899192003-0.000029158901624679127*I	0.13018978337224832-0.00002463594860857306*I	0.056090668900680166-0.000019802774705156076*I	0.02800780306528621-0.000016184261465504588*I	0.01578611726881953-0.000013547416692446616*I	0.009762750426353824-0.000011570471407758746*I	0.006471297429869485-0.00001003385460441822*I	0.004518941801473797-8.799941827982013*^-6*I	0.003283876591445429-7.781566178997827*^-6*I	0.0024617271395102358-6.9216411157111*^-6*I	0.001891492858193583-6.1813899213919425*^-6*I	0.001482363779719973-5.533568805644642*^-6*I	0.0011803236012739124-4.958457808421518*^-6*I	0.000951783972128989-4.441405413404367*^-6*I	0.0007750602070442871-3.971272007026134*^-6*I	0.0006356939489291483-3.53941125491574*^-6*I	0.0005237695062117229-3.138984099660931*^-6*I	0.0004323134762917921-2.7644846713722332*^-6*I	0.00035630759177113116-2.4114048496275862*^-6*I	0.00029206126819358673-2.0759916857010633*^-6*I	0.00023680177008129075-1.7550682784878906*^-6*I	0.0001883995963575208-1.4458987377805849*^-6*I	0.00014517979290695987-1.1460841702765132*^-6*I	0.0001057888339931931-8.534806606025705*^-7*I	0.00006909782620998288-5.661328473228591*^-7*I	0.00003412944051794351-2.822184204991423*^-7*I
0.019521430573062725-7.462544986031694*^-6*I	0.052331689230891584-0.000015528054885275274*I	0.1301897833722482-0.000024635948608573058*I	0.3584372086617084-0.00003343362144455991*I	0.13270087916976572-0.0000283285548477522*I	0.05784827352270383-0.000023031446803736066*I	0.029284180999416546-0.000019033016393790438*I	0.016740830406876777-0.00001607787937840404*I	0.010494218496179862-0.000013829052068275744*I	0.007042856261233993-0.000012056285998878623*I	0.004972822937027647-0.00001061424735489026*I	0.0036490974802172583-9.410062019971949*^-6*I	0.0027587417138503125-8.382323733930502*^-6*I	0.002135036739331151-7.488920494378938*^-6*I	0.0016832520419550342-6.699986073921356*^-6*I	0.0013466190384088007-5.993703401486532*^-6*I	0.0010895750844829972-5.353716781823978*^-6*I	0.0008889903949835514-4.767479940635039*^-6*I	0.0007293280506318686-4.225167289591631*^-6*I	0.0005998514729086998-3.7189354226145834*^-6*I	0.0004929495304286488-3.2424089539777825*^-6*I	0.00040309720721617965-2.7903138715529107*^-6*I	0.00032619070871152997-2.3582101062002028*^-6*I	0.0002591099808462248-1.9422921038854237*^-6*I	0.00019942293569591354-1.539236695278461*^-6*I	0.00014517979290695976-1.146084170276512*^-6*I	0.00009476549465480027-7.601427031046923*^-7*I	0.000046789615445048706-3.7890902192532494*^-7*I
0.010269532977007279-6.04402477398582*^-6*I	0.025496707267768783-0.000012491655226325433*I	0.05609066890068013-0.000019802774705156062*I	0.13270087916976558-0.0000283285548477522*I	0.36019481328373204-0.000036662293543139885*I	0.13397725710389607-0.00003117730977603805*I	0.05880298666076106-0.000025561909489693472*I	0.030015649069242596-0.000021291597054307432*I	0.01731238923824128-0.000018100310772864446*I	0.010948099631733708-0.000015643357595183986*I	0.007408077150005817-0.000013684781839852737*I	0.00526983751136772-0.000012074929973109657*I	0.003892641361354826-0.000010717592592958945*I	0.0029596299760853728-9.548741002207218*^-6*I	0.0023013321764660368-8.524166087443949*^-6*I	0.0018210431543090404-7.612297442340967*^-6*I	0.0014605492263480631-6.789911335095435*^-6*I	0.0011832091861857157-6.0394728164998655*^-6*I	0.0009650723616805275-5.347431263588691*^-6*I	0.0007899641047687245-4.7030915721971785*^-6*I	0.0006466410883537478-4.097844444539906*^-6*I	0.0005270789709465915-3.524627374476922*^-6*I	0.0004254054179811133-2.9775376969504402*^-6*I	0.00033721404804992235-2.4515480636980785*^-6*I	0.0002591099808462246-1.942292103885421*^-6*I	0.00018839959635752048-1.4458987377805828*^-6*I	0.00012287158214202546-9.588603448789775*^-7*I	0.000060636054136856693-4.779242826055498*^-7*I
0.005975276694706061-5.02911024029373*^-6*I	0.014028512646795836-0.000010318744593866612*I	0.0280078030652862-0.00001618426146550458*I	0.05784827352270381-0.000023031446803736072*I	0.13397725710389602-0.00003117730977603805*I	0.3611495264217894-0.00003919275622909731*I	0.13470872517372204-0.00003343589043655505*I	0.059374545492125584-0.0000275843408841539*I	0.03046953020479643-0.00002310590258121568*I	0.017677610127013098-0.000019728806613838556*I	0.011245114206073784-0.000017104040213403392*I	0.007651621031143387-0.000014992312412839735*I	0.005470725773602783-0.000013241347241386377*I	0.004058936798489714-0.000011752838186023956*I	0.0030974210884393803-0.000010461052370626824*I	0.002415262364405299-9.320374021052848*^-6*I	0.0019146772560117594-8.29805347701685*^-6*I	0.001536631193045039-7.369862658049081*^-6*I	0.001243845240322572-6.517397099105413*^-6*I	0.0010118619771255755-5.726340285514012*^-6*I	0.0008240935452866676-4.985309992696319*^-6*I	0.0006689492991186818-4.2850682699374375*^-6*I	0.0005381023102849841-3.6179653319747965*^-6*I	0.00042540541798111316-2.9775376969504394*^-6*I	0.0003261907087115294-2.3582101062001994*^-6*I	0.0002368017700812902-1.7550682784878872*^-6*I	0.0001542701558395769-1.1636803172814399*^-6*I	0.00007608196669697676-5.799513229536527*^-7*I
0.0037589796697885605-4.274719819880792*^-6*I	0.008486372492223473-8.72171647947288*^-6*I	0.01578611726881952-0.000013547416692446616*I	0.029284180999416536-0.000019033016393790428*I	0.05880298666076103-0.000025561909489693482*I	0.13470872517372204-0.00003343589043655505*I	0.36172108525315394-0.000041215187623557727*I	0.13516260630927598-0.00003525019596346333*I	0.059739766380897424-0.000029212836725128024*I	0.030766544779136526-0.000024566585199435102*I	0.017921154008150687-0.000021036337186825576*I	0.011446002468308855-0.00001827045748168013*I	0.007817916468278282-0.00001602755800590477*I	0.005608516885956793-0.000014153658609805986*I	0.004172866986428975-0.000012549046119632852*I	0.0031910551901420973-0.000011146808405302704*I	0.0024913443311022744-9.900325344006493*^-6*I	0.0019753133101486145-8.775977759622394*^-6*I	0.0015834208084900875-7.748771679974406*^-6*I	0.0012779746808405151-6.799615519604554*^-6*I	0.0010341701878905092-5.913564110911546*^-6*I	0.00083511688462506-5.078647950194194*^-6*I	0.0006689492991186812-4.285068269937437*^-6*I	0.0005270789709465911-3.524627374476918*^-6*I	0.00040309720721617883-2.7903138715529044*^-6*I	0.00029206126819358576-2.0759916857010577*^-6*I	0.00019001215463624154-1.3761592565625619*^-6*I	0.00009363410170272024-6.857560346758901*^-7*I
0.00251109579751741-3.6926062391791567*^-6*I	0.005516584291812238-7.503391918460795*^-6*I	0.009762750426353812-0.000011570471407758743*I	0.016740830406876767-0.00001607787937840404*I	0.030015649069242596-0.00002129159705430744*I	0.05937454549212559-0.000027584340884153904*I	0.13516260630927596-0.00003525019596346332*I	0.3620863061419259-0.000042843683464531894*I	0.13545962088361613-0.000036710878581682754*I	0.05998331026203504-0.00003052036729811506*I	0.030967433041371603-0.000025733002467711835*I	0.018087449445285588-0.000022071582779890612*I	0.011583793580662874-0.000019182768850099753*I	0.007931846656217548-0.000016823765939513682*I	0.005702150987659515-0.000014839414644481878*I	0.004248948953125951-0.0000131289974425865*I	0.0032516912442789535-0.00001162473268790825*I	0.0025381339465473237-0.000010279234365931816*I	0.0020094427506665586-9.058196180121536*^-6*I	0.001605729019255022-7.935995505371942*^-6*I	0.0012889980201789089-6.892953477102432*^-6*I	0.0010341701878905096-5.913564110911547*^-6*I	0.0008240935452866671-4.985309992696319*^-6*I	0.0006466410883537473-4.097844444539903*^-6*I	0.0004929495304286477-3.242408953977776*^-6*I	0.0003563075917711302-2.4114048496275807*^-6*I	0.00023142521405672918-1.598067403095508*^-6*I	0.00011393018793926479-7.962079336089095*^-7*I
0.001757604622023674-3.22867209858*^-6*I	0.0037874737316477493-6.541361167465013*^-6*I	0.0064712974298694725-0.000010033854604418218*I	0.010494218496179859-0.000013829052068275738*I	0.017312389238241275-0.000018100310772864453*I	0.03046953020479643-0.00002310590258121569*I	0.05973976638089741-0.000029212836725128024*I	0.135459620883616-0.00003671087858168274*I	0.36232985002306334-0.00004415121403751887*I	0.1356605091458511-0.000037877295849959457*I	0.06014960569916987-0.00003155561289118006*I	0.031105224153725592-0.000026645313836131453*I	0.01820137963322484-0.000022867790713499512*I	0.011677427682365587-0.000019868524884775618*I	0.008007928622914516-0.000017403717262467298*I	0.0057627870417963625-0.000015317338927087397*I	0.004295738568570996-0.0000135079064645118*I	0.003285820684796893-0.000011906951108407375*I	0.0025604421573122557-0.00001046645819132934*I	0.0020204660900049504-9.15153413761941*^-6*I	0.0016057290192550205-7.935995505371935*^-6*I	0.001277974680840515-6.799615519604548*^-6*I	0.0010118619771255746-5.726340285514007*^-6*I	0.0007899641047687231-4.70309157219717*^-6*I	0.0005998514729086982-3.718935422614574*^-6*I	0.0004323134762917906-2.764484671372224*^-6*I	0.0002802256250741533-1.831453526673926*^-6*I	0.0001377911123540089-9.12311368419617*^-7*I
0.0012763779341303375-2.8487549282858555*^-6*I	0.0027123177600809102-5.7591347845374174*^-6*I	0.004518941801473794-8.799941827982006*^-6*I	0.007042856261233987-0.000012056285998878613*I	0.010948099631733713-0.00001564335759518398*I	0.017677610127013108-0.000019728806613838553*I	0.030766544779136533-0.000024566585199435095*I	0.059983310262034996-0.000030520367298115045*I	0.13566050914585107-0.00003787729584995945*I	0.36249614546019826-0.00004518645963058388*I	0.13579830025820508-0.000038789607218379105*I	0.06026353588710915-0.00003235182082478897*I	0.03119885825542833-0.000027331069870807348*I	0.018277461599921812-0.000023447742036453138*I	0.011738063736502428-0.000020346449167381137*I	0.008054718238359557-0.000017782626284392602*I	0.005796916482314298-0.000015599557347586514*I	0.004318046779335924-0.00001369513028990932*I	0.0032968440241352838-0.000012000289065905248*I	0.0025604421573122535-0.000010466458191329332*I	0.002009442750666557-9.05819618012152*^-6*I	0.001583420808490086-7.748771679974393*^-6*I	0.0012438452403225708-6.517397099105401*^-6*I	0.0009650723616805256-5.347431263588676*^-6*I	0.0007293280506318663-4.225167289591617*^-6*I	0.0005237695062117213-3.13898409966092*^-6*I	0.0003386793745890703-2.0787286366963333*^-6*I	0.00016629543713488846-1.0352455930650167*^-6*I
