0.-0.848777648179403*I	-0.49995767520453205+0.*I	0.+0.16976139738752374*I	0.000016742578584544218+0.*I	0.+0.0242456362518787*I	0.000010562098443060207+0.*I	0.+0.008074706631892518*I	7.614697278635478*^-6+0.*I	0.+0.0036622001468007426*I	5.845266464168068*^-6+0.*I	0.+0.00196292545388356*I	4.5940352421189735*^-6+0.*I	0.+0.001167816662114074*I	3.5365954988895537*^-6+0.*I	0.+0.0007453075334022674*I	4.531030258333702*^-6+0.*I	0.+0.00049432285025304*I	-2.718029041125282*^-6+0.*I	0.+0.00034951910748397264*I	0.000013127558829396045+0.*I	0.+0.00022250581482347043*I	-0.00001588335045306931+0.*I	0.+0.0001817385418157874*I	0.000021137641687568784+0.*I	0.+0.00008649339041624793*I	-0.000016463848790706064+0.*I	0.+0.00007492605280291775*I	0.000010033006783791408+0.*I	0.+8.406697671964336*^-6*I
-0.49995767520453865+0.*I	0.-0.6790162507803811*I	-0.4999409326201134+0.*I	0.+0.19400703364442431*I	0.000027304684636524022+0.*I	0.+0.032320342884862324*I	0.000018176796796227146+0.*I	0.+0.01173690678369654*I	0.000013459958402897295+0.*I	0.+0.0056251256015011275*I	0.000010439293780792234+0.*I	0.+0.003130742116734632*I	8.130640188685104*^-6+0.*I	0.+0.0019131241858905824*I	8.067626520786171*^-6+0.*I	0.+0.0012396303813409766*I	1.813003927754558*^-6+0.*I	0.+0.0008438419637975947*I	0.000010409531586052612+0.*I	0.+0.0005720249270734371*I	-2.7557989214002457*^-6+0.*I	0.+0.00040424435957473457*I	5.254291067715982*^-6+0.*I	0.+0.0002682319256700863*I	4.6738042406075574*^-6+0.*I	0.+0.0001614194404735588*I	-6.430849264644501*^-6+0.*I	0.+0.00008333273903373378*I	0.00001003301525991096+0.*I
0.+0.16976139737724133*I	-0.49994093263168615+0.*I	0.-0.6547706145394286*I	-0.4999303705214579+0.*I	0.+0.20208174026501569*I	0.00003491937548967002+0.*I	0.+0.03598254302576073*I	0.000024022061333742746+0.*I	0.+0.013699832244158147*I	0.000018054000014612552+0.*I	0.+0.006792942257032988*I	0.000013975904018180499+0.*I	0.+0.003876049650271496*I	0.000012661660148581856+0.*I	0.+0.002407447044470712*I	5.349601454880311*^-6+0.*I	0.+0.0015891494892499997*I	0.000014940566311781617+0.*I	0.+0.0010663477816557354*I	-5.473828427935016*^-6+0.*I	0.+0.0007537634630363221*I	0.000018381854087330786+0.*I	0.+0.0004907377577586941*I	-0.000011209572597300907+0.*I	0.+0.0003431579728267742*I	0.000014706798494590841+0.*I	0.+0.00016982614124202988*I	-6.4308367599672375*^-6+0.*I	0.+0.00007492603933459407*I
0.000016742584207616077+0.*I	0.+0.1940070336381806*I	-0.49993037051811795+0.*I	0.-0.6466959079027619*I	-0.4999227558362691+0.*I	0.+0.20574394041735997*I	0.00004076464111783726+0.*I	0.+0.037945468490226675*I	0.00002861609154083548+0.*I	0.+0.014867648905140824*I	0.00002159060870152527+0.*I	0.+0.007538249792805*I	0.00001850692351318739+0.*I	0.+0.004370372500144367*I	9.943649524771156*^-6+0.*I	0.+0.00275696614833566*I	0.000018477162622445986+0.*I	0.+0.0018116553180798625*I	-9.427963703781035*^-7+0.*I	0.+0.0012480863159584426*I	0.00001566382573510907+0.*I	0.+0.0008402568601853082*I	1.917996002773301*^-6+0.*I	0.+0.000565663793307174*I	-1.1765551290691391*^-6+0.*I	0.+0.00035156468016442094*I	0.000014706806345205543+0.*I	0.+0.0001614194383132251*I	-0.000016463847438669132+0.*I
0.+0.024245636261101752*I	0.00002730467322683778+0.*I	0.+0.20208174026465314*I	-0.49992275582954776+0.*I	0.-0.643033707760826*I	-0.4999169105645384+0.*I	0.+0.20770686586727308*I	0.00004535868009494314+0.*I	0.+0.039113285147521826*I	0.00003215270018634324+0.*I	0.+0.015612956429644984*I	0.000026121632954976493+0.*I	0.+0.00803257263912742*I	0.00001578890307017994+0.*I	0.+0.004719891606287781*I	0.000023071201034411005+0.*I	0.+0.0029794719724709068*I	2.593804757085712*^-6+0.*I	0.+0.001993393852820949*I	0.000020194851545080933+0.*I	0.+0.0013345797140150856*I	-8.000276080745408*^-7+0.*I	0.+0.0009151829003040957*I	0.000011951000331966416+0.*I	0.+0.0005740704875660252*I	-1.1765677566884296*^-6+0.*I	0.+0.0003431579782328109*I	4.6737998346236094*^-6+0.*I	0.+0.00008649339384392274*I
0.000010562102336347131+0.*I	0.+0.03232034288965133*I	0.00003491937131578511+0.*I	0.+0.20574394041283647*I	-0.49991691056251764+0.*I	0.-0.6410707822994995*I	-0.4999123165230609+0.*I	0.+0.20887468253225533*I	0.000048895271742079724+0.*I	0.+0.03985859268825877*I	0.00003668372669446314+0.*I	0.+0.016107279283345443*I	0.0000234036058588438+0.*I	0.+0.00838209174985925*I	0.000028916469479198226+0.*I	0.+0.0049423974249531814*I	7.187837141080277*^-6+0.*I	0.+0.0031612105133780304*I	0.000023731459695073565+0.*I	0.+0.0020798872356002232*I	3.7309983540376304*^-6+0.*I	0.+0.0014095057573581648*I	9.232975953786208*^-6+0.*I	0.+0.0009235896016045402*I	0.000011950994431973276+0.*I	0.+0.0005656637988405984*I	-0.000011209561768704316+0.*I	0.+0.000268231935428937*I	0.00002113764891104042+0.*I
0.+0.008074706642812964*I	0.000018176799932057795+0.*I	0.+0.03598254302716339*I	0.00004076463204430702+0.*I	0.+0.2077068658795641*I	-0.4999123165244985+0.*I	0.-0.6399029656451809*I	-0.49990877991981825+0.*I	0.+0.20961999006856707*I	0.000053426307807012314+0.*I	0.+0.04035291552474751*I	0.00003396570376271521+0.*I	0.+0.016456798389568317*I	0.00003653115912366038+0.*I	0.+0.00860459757032514*I	0.000013033114466593012+0.*I	0.+0.005124135979146953*I	0.00002832549352418825+0.*I	0.+0.0032477038936183783*I	7.2675987073209875*^-6+0.*I	0.+0.0021548132910993167*I	0.000013764004057527574+0.*I	0.+0.0014179124403974758*I	9.23297602284591*^-6+0.*I	0.+0.0009151829055027011*I	1.9179890514914963*^-6+0.*I	0.+0.0004907377459514167*I	5.254283318974868*^-6+0.*I	0.+0.00018173854015404722*I
7.614699348110142*^-6+0.*I	0.+0.01173690676922663*I	0.000024022056392798012+0.*I	0.+0.037945468490119094*I	0.0000453586799560404+0.*I	0.+0.20887468253012173*I	-0.4999087799202579+0.*I	0.-0.6391576581083201*I	-0.499904248893477+0.*I	0.+0.21011431291137944*I	0.00005070827187340499+0.*I	0.+0.040702434643144166*I	0.00004709327359866947+0.*I	0.+0.01667930420894717*I	0.00002064779751096562+0.*I	0.+0.008786336118558018*I	0.0000341707533948732+0.*I	0.+0.0052106293605205176*I	0.000011861642816587212+0.*I	0.+0.0033226299487850506*I	0.00001730060812959842+0.*I	0.+0.0021632199808802946*I	0.000013764002900014483+0.*I	0.+0.0014095057516954263*I	-8.000244362286846*^-7+0.*I	0.+0.0008402568583452055*I	0.000018381839850346568+0.*I	0.+0.0004042443540456239*I	-0.00001588337130092876+0.*I
0.+0.0036622001389992748*I	0.000013459974846451732+0.*I	0.+0.013699832241048343*I	0.000028616096730953636+0.*I	0.+0.039113285155726873*I	0.00004889527964878645+0.*I	0.+0.20961999006994517*I	-0.4999042489019615+0.*I	0.-0.638663335254413*I	-0.4999069669118602+0.*I	0.+0.21046383202525415*I	0.00006383584257060491+0.*I	0.+0.040924940460590226*I	0.00003120990298361764+0.*I	0.+0.016861042743575985*I	0.000041785463479729924+0.*I	0.+0.00887282950585594*I	0.000017706897440966436+0.*I	0.+0.005285555411050538*I	0.000021894644017594283+0.*I	0.+0.0033310366449779832*I	0.000017300606344349987+0.*I	0.+0.0021548132910913648*I	3.7310045567752303*^-6+0.*I	0.+0.0013345797064083093*I	0.000015663819400689115+0.*I	0.+0.0007537634660035042*I	-2.755803771067724*^-6+0.*I	0.+0.00022250581314840756*I
5.845268278664904*^-6+0.*I	0.+0.005625125600120816*I	0.000018053999892804335+0.*I	0.+0.01486764889672081*I	0.00003215269207569468+0.*I	0.+0.03985859268087196*I	0.00005342630612682742+0.*I	0.+0.21011431292035335*I	-0.4999069669145166+0.*I	0.-0.6383138161497086*I	-0.4998938393588786+0.*I	0.+0.2106863378350198*I	0.00004795248013552551+0.*I	0.+0.04110667900280325*I	0.000052347554324932465+0.*I	0.+0.016947536143264566*I	0.00002532159204146106+0.*I	0.+0.008947755551166933*I	0.000027739913584038237+0.*I	0.+0.005293962110265815*I	0.00002189464400505341+0.*I	0.+0.0033226299426947553*I	7.267599223890817*^-6+0.*I	0.+0.0020798872432303064*I	0.00002019485441966494+0.*I	0.+0.0012480863171845404*I	-5.4738302256614055*^-6+0.*I	0.+0.0005720249249004436*I	0.000013127553499026057+0.*I
0.+0.001962925463067519*I	0.000010439302243117869+0.*I	0.+0.006792942265763879*I	0.00002159060378429459+0.*I	0.+0.015612956438553448*I	0.00003668373185776248+0.*I	0.+0.0403529155261063*I	0.000050708274908283776+0.*I	0.+0.21046383203225985*I	-0.4998938393531982+0.*I	0.-0.6380913103343829*I	-0.49990972272431994+0.*I	0.+0.2108680763868152*I	0.0000690901326036305+0.*I	0.+0.041193172390218455*I	0.00003588370401101747+0.*I	0.+0.01702246218341147*I	0.000035354601689600196+0.*I	0.+0.008956162249245822*I	0.00002773990758455959+0.*I	0.+0.005285555413100974*I	0.000011861640983051471+0.*I	0.+0.003247703904346144*I	0.000023731449688626302+0.*I	0.+0.0019933938502687543*I	-9.428058549841142*^-7+0.*I	0.+0.0010663477753830586*I	0.000010409539569562478+0.*I	0.+0.00034951911686456616*I
