0.30234677795133436-0.000013636408037578619*I	0.10469355431556165-0.000012155427872972406*I	0.042062878174386795-9.50076167447576*^-6*I	0.019522401805896084-7.484909670826204*^-6*I	0.010270761125223815-6.07207107779376*^-6*I	0.005976771479313549-5.062899487393425*^-6*I	0.0037607530824989577-4.3143266454820595*^-6*I	0.0025131622923820944-3.7381191865129396*^-6*I	0.0017599813510136846-3.280194338537008*^-6*I	0.0012790850330271317-2.9064051133025373*^-6*I	0.0009577740705845034-2.5943759523434398*^-6*I	0.0007349100398495839-2.3289097963062755*^-6*I	0.0005754132753075944-2.099348193241832*^-6*I	0.0004581843100385287-1.8980023520665759*^-6*I	0.0003700145720553283-1.7191874294877896*^-6*I	0.00030234690456834064-1.558608158795115*^-6*I	0.00024947036004572816-1.4129561000805434*^-6*I	0.0002074729600295017-1.2796384217316054*^-6*I	0.0001736124433486577-1.1565908030442577*^-6*I	0.00014592628908367182-1.0421455374568024*^-6*I	0.00012298329686365991-9.349367025327655*^-7*I	0.00010372139575879332-8.338307376032036*^-7*I	0.00008733936275504146-7.378747594531862*^-7*I	0.00007322303655490713-6.462574637569286*^-7*I	0.00006089406487136198-5.58279082971534*^-7*I	0.00004997364178674994-4.733279382916895*^-7*I	0.000040156373888545016-3.9086183675947974*^-7*I	0.00003119107656654214-3.1039304888443126*^-7*I	0.00002286635140302788-2.3147593471537488*^-7*I	0.00001499946775922772-1.5369651648680635*^-7*I	7.427505985353749*^-6-7.66634554616412*^-8*I
0.10469355431556168-0.000012155427872972406*I	0.3444096561257212-0.00002313716971205438*I	0.12421595612145774-0.00001964033754379861*I	0.05233363929961062-0.00001557283275226953*I	0.025499173285209627-0.00001254780915821963*I	0.014031514207722778-0.000010386397723275817*I	0.008489933771695643-8.801018673906364*^-6*I	0.005520734433512647-7.594520984019068*^-6*I	0.003792247325409227-6.644524299815479*^-6*I	0.0027177554215981918-5.8745702908804485*^-6*I	0.002013995072876717-5.235314909608814*^-6*I	0.0015331873458920996-4.69372414558527*^-6*I	0.001193094349888113-4.226912148372852*^-6*I	0.0009454278473629225-3.818535622729618*^-6*I	0.0007605312146068694-3.456610510861689*^-6*I	0.0006194849321010561-3.132143529568332*^-6*I	0.0005098198645978424-2.83824658052672*^-6*I	0.000423082803394386-2.5695469031248007*^-6*I	0.0003533992491131736-2.3217839591884075*^-6*I	0.00029659574021231774-2.0915275055770238*^-6*I	0.00024964768484246516-1.875976275060006*^-6*I	0.0002103226596187014-1.6728114619859523*^-6*I	0.0001769444323137004-1.4800882013601318*^-6*I	0.00014823342762640342-1.2961538424247208*^-6*I	0.00012319667834165705-1.1195854020486182*^-6*I	0.00010105043875990699-9.49140919731014*^-7*I	0.00008116471835329205-7.837209871761209*^-7*I	0.00006302272529157289-6.223377714748549*^-7*I	0.00004619054432576983-4.6408956537123763*^-7*I	0.00003029385738838162-3.081393901770162*^-7*I	0.000014999467759227724-1.536965164868064*^-7*I
0.04206287817438679-9.500761674475762*^-6*I	0.12421595612145776-0.00001964033754379862*I	0.3546804172509453-0.00002920924078984816*I	0.13019272760077136-0.000024703237031192048*I	0.05609439238210961-0.00001988715939775158*I	0.02801233557759174-0.00001628592834473257*I	0.015791495558736466-0.000013666592061812828*I	0.009769018804722782-0.000011707423787208903*I	0.006478508504097152-0.000010188896936362508*I	0.004527157365258812-8.973434096121759*^-6*I	0.0032931686969057865-7.973918484122283*^-6*I	0.0024721793829152465-7.133317261675397*^-6*I	0.0019032019179474268-6.412911575073065*^-6*I	0.0014954412544564524-5.785520307167964*^-6*I	0.0011948982074086506-5.231491722810158*^-6*I	0.0009680041746363702-4.7362489325932895*^-6*I	0.0007930973754497138-4.288734332612587*^-6*I	0.0006557461536815141-3.8803921179835215*^-6*I	0.0005460661002580457-3.5044836056575654*^-6*I	0.0004571206448719668-3.1556146967916114*^-6*I	0.00038393510296735905-2.82940226503021*^-6*I	0.00032287072139737234-2.522233738816935*^-6*I	0.0002712167244900632-2.231090544957486*^-6*I	0.00022691807410045036-1.9534161396518215*^-6*I	0.00018838980151494853-1.6870156791842004*^-6*I	0.00015438775490819918-1.4299784509330498*^-6*I	0.00012391679016293482-1.1806168544463886*^-6*I	0.0000961641861125198-9.374175036629269*^-7*I	0.00007045023127692664-6.990012269364955*^-7*I	0.00004619054432576984-4.640895653712375*^-7*I	0.000022866351403027873-2.3147593471537486*^-7*I
0.01952240180589608-7.484909670826202*^-6*I	0.052333639299610615-0.00001557283275226952*I	0.1301927276007712-0.000024703237031192038*I	0.3584411703334441-0.00003352356743533023*I	0.1327058898931534-0.000028441356217704982*I	0.057854373733123264-0.000023167353736288593*I	0.029291420610618856-0.0000191923334580351*I	0.016749269629320978-0.00001626096801415627*I	0.010503928844572368-0.000014036333583515188*I	0.00705392177940475-0.000012288245129604345*I	0.004985341675297342-0.000010871436448188338*I	0.003663183268961114-9.693105913610076*^-6*I	0.0027745262874835867-8.691925420470507*^-6*I	0.002152672277993153-7.825867675153601*^-6*I	0.0017029142144859518-7.065158728899562*^-6*I	0.0013685106507573055-6.388082525854406*^-6*I	0.0011139304637200408-5.778394470050086*^-6*I	0.0009160806723133728-5.2236710351453455*^-6*I	0.0007594675494403067-4.714222855586721*^-6*I	0.0006334054630130866-4.2423583651107494*^-6*I	0.0005303436814268737-3.8018721605485375*^-6*I	0.0004448291678387209-3.3876813480017405*^-6*I	0.000372844363184122-2.9955616771086218*^-6*I	0.0003113730983786082-2.621952381716964*^-6*I	0.0002581091506669924-2.2638091885362524*^-6*I	0.00021125615291797613-1.9184916138995743*^-6*I	0.00016938722266742674-1.5836749674198544*^-6*I	0.00013134429614828854-1.257280309908029*^-6*I	0.00009616418611251973-9.374175036629264*^-7*I	0.00006302272529157283-6.223377714748541*^-7*I	0.00003119107656654211-3.10393048884431*^-7*I
0.010270761125223826-6.072071077793763*^-6*I	0.025499173285209637-0.000012547809158219632*I	0.056094392382109594-0.00001988715939775159*I	0.13270588989315338-0.000028441356217705002*I	0.3602011516844578-0.00003680376177386721*I	0.1339849749261805-0.00003134776133100751*I	0.05881214780370775-0.000025761729688632*I	0.030026330650468436-0.000021521243254341376*I	0.01732468290462857-0.000018360316207398106*I	0.0109621131546109-0.000015934335935581758*I	0.007423936351460075-0.000014007432559092133*I	0.005287688579865684-0.000012430044606983449*I	0.003912653629006839-0.000011106062013690608*I	0.0029819992475130816-9.9715638422021*^-6*I	0.002326284721341809-8.982458478197844*^-6*I	0.0018488405035696218-8.10730426635635*^-6*I	0.001491493947620964-7.323019228387164*^-6*I	0.0012176518594788337-6.612225207653282*^-6*I	0.0010034200350684133-5.961545794598528*^-6*I	0.0008326905859952134-5.360480319343644*^-6*I	0.0006942995278844481-4.800637448082279*^-6*I	0.0005803173232136233-4.275200098840222*^-6*I	0.00048498554172726527-3.7785431847612174*^-6*I	0.0004040354397506639-3.305954725993051*^-6*I	0.0003342394497816359-2.853428316432337*^-6*I	0.00027310861842621984-2.4175057050230566*^-6*I	0.00021868365890332977-1.9951550693612125*^-6*I	0.0001693872226674267-1.583674967419853*^-6*I	0.00012391679016293466-1.1806168544463863*^-6*I	0.00008116471835329191-7.837209871761191*^-7*I	0.000040156373888544934-3.9086183675947895*^-7*I
0.0059767714793135494-5.062899487393426*^-6*I	0.014031514207722773-0.000010386397723275819*I	0.028012335577591724-0.000016285928344732573*I	0.05785437373312332-0.000023167353736288603*I	0.1339849749261806-0.00003134776133100754*I	0.36115892575504227-0.00003939813772621064*I	0.1347198849660301-0.00003367667112731378*I	0.059387561079015355-0.000027861077881873866*I	0.03048451496050698-0.00002341924560640797*I	0.017694697476683906-0.0000200795036368859*I	0.01126446005917924-0.00001749294409437689*I	0.007673406711505804-0.00001542038865917268*I	0.005495161539895182-0.000013709683028715042*I	0.004086266072355493-0.000012262652816734847*I	0.0031279255365967516-0.000011013709379658878*I	0.0024492680182054646-9.917395180730589*^-6*I	0.001952561899328414-8.941135003959546*^-6*I	0.001578833310376005-8.060893987840339*^-6*I	0.0012908748960337398-7.258482671410205*^-6*I	0.0010643140999397752-6.5198248775700576*^-6*I	0.0008826642277819626-5.8338082576353295*^-6*I	0.0007344559017729929-5.191499284841756*^-6*I	0.000611508399780165-4.585593147724651*^-6*I	0.0005078518931302932-4.010019119476592*^-6*I	0.0004190349075098915-3.4596512424798556*^-6*I	0.00034166695576698933-2.930091771893977*^-6*I	0.0002731086184262196-2.417505705023054*^-6*I	0.00021125615291797586-1.918491613899571*^-6*I	0.00015438775490819878-1.4299784509330458*^-6*I	0.00010105043875990669-9.491409197310111*^-7*I	0.00004997364178674982-4.733279382916883*^-7*I
0.003760753082498958-4.314326645482059*^-6*I	0.008489933771695641-8.801018673906362*^-6*I	0.01579149555873646-0.000013666592061812824*I	0.02929142061061885-0.000019192333458035105*I	0.058812147803707755-0.00002576172968863202*I	0.13471988496603007-0.000033676671127313785*I	0.3617343390303497-0.00004149748591945247*I	0.13517806927606868-0.00003557467347938037*I	0.05975757565107071-0.000029580265311361667*I	0.030786861865075336-0.000024977853765203095*I	0.017944167836729637-0.00002149245973696646*I	0.011471933019208739-0.000018772582516108486*I	0.007847019154854463-0.00001657697946221692*I	0.0056410878289788495-0.000014751828566171821*I	0.004209249369219148-0.000013197589519267586*I	0.0032316469323555395-0.00001184754011726206*I	0.0025366073809605025-0.000010655269940183759*I	0.002025784935883318-9.587392467716458*^-6*I	0.0016397273752473648-8.61917307081187*^-6*I	0.0013408485378204878-7.731810609701893*^-6*I	0.0011044704738283186-6.9106867143295336*^-6*I	0.0009138553043485042-6.144201306519759*^-6*I	0.00075732225317602-5.422975219557126*^-6*I	0.0006265078675393926-4.7392896642114544*^-6*I	0.0005152793991156467-4.0866825749382295*^-6*I	0.00041903490750989106-3.4596512424798527*^-6*I	0.00033423944978163534-2.853428316432332*^-6*I	0.0002581091506669918-2.263809188536246*^-6*I	0.0001883898015149479-1.687015679184194*^-6*I	0.00012319667834165664-1.1195854020486142*^-6*I	0.00006089406487136177-5.582790829715321*^-7*I
0.002513162292382094-3.738119186512939*^-6*I	0.0055207344335126435-7.59452098401907*^-6*I	0.00976901880472278-0.000011707423787208913*I	0.016749269629320978-0.000016260968014156284*I	0.03002633065046846-0.000021521243254341396*I	0.05938756107901537-0.000027861077881873876*I	0.1351780692760686-0.000035574673479380387*I	0.3621043536024052-0.00004321667334894031*I	0.13548041618063708-0.00003713328163817552*I	0.06000704601111647-0.00003099322141144222*I	0.030994334825104847-0.00002625749218693471*I	0.018117780280078304-0.000022649050540010707*I	0.011617859308292415-0.000019814728053565274*I	0.007970002451718113-0.000017511916164749658*I	0.005744809224737635-0.000015585659303774997*I	0.004296588731974184-0.000013935464278720744*I	0.0033048699689104443-0.000012493797581018971*I	0.0025975014458318635-0.000011213549023155285*I	0.002075758577670066-0.00001006072040600814*I	0.0016798837491359094-9.010034907571346*^-6*I	0.0013720396143870304-8.042203658586315*^-6*I	0.0011273368252313464-7.142162649044907*^-6*I	0.0009288547721077314-6.297897823006562*^-6*I	0.0007647497591613735-5.49963867501877*^-6*I	0.0006265078675393921-4.739289664211457*^-6*I	0.0005078518931302923-4.0100191194765875*^-6*I	0.00040403543975066304-3.3059547259930455*^-6*I	0.00031137309837860733-2.6219523817169583*^-6*I	0.00022691807410044957-1.9534161396518147*^-6*I	0.0001482334276264029-1.296153842424716*^-6*I	0.00007322303655490686-6.462574637569262*^-7*I
0.001759981351013686-3.280194338537006*^-6*I	0.0037922473254092277-6.644524299815484*^-6*I	0.006478508504097153-0.000010188896936362515*I	0.010503928844572368-0.000014036333583515197*I	0.01732468290462857-0.000018360316207398106*I	0.030484514960507-0.000023419245606407977*I	0.05975757565107072-0.000029580265311361667*I	0.13548041618063705-0.00003713328163817552*I	0.36235382396245097-0.000044629629449020856*I	0.13568788914066657-0.00003841292005990714*I	0.06018065845446513-0.00003214981221448649*I	0.031140261114188522-0.0000272996377243915*I	0.01824076357694195-0.000023583987242543433*I	0.011721580704051196-0.000020648558791168416*I	0.008057341814473143-0.000018249790924202794*I	0.005818032261292534-0.000016231916767531885*I	0.004357482796845542-0.000014493743361692253*I	0.0033548436106971913-0.000012967125519310642*I	0.002637657819720406-0.00001160441085991475*I	0.002106949654236608-0.000010371113454892563*I	0.0017027501005389366-9.241510842286708*^-6*I	0.001387039082146257-8.195900175073117*^-6*I	0.0011347643312166992-7.21882610450654*^-6*I	0.0009288547721077312-6.297897823006558*^-6*I	0.0007573222531760197-5.422975219557122*^-6*I	0.000611508399780164-4.585593147724642*^-6*I	0.0004849855417272644-3.778543184761208*^-6*I	0.00037284436318412085-2.995561677108611*^-6*I	0.00027121672449006225-2.2310905449574756*^-6*I	0.00017694443231369963-1.4800882013601246*^-6*I	0.00008733936275504108-7.378747594531827*^-7*I
0.0012790850330271313-2.9064051133025365*^-6*I	0.0027177554215981896-5.874570290880448*^-6*I	0.0045271573652588114-8.973434096121757*^-6*I	0.007053921779404748-0.000012288245129604335*I	0.010962113154610893-0.00001593433593558176*I	0.017694697476683903-0.0000200795036368859*I	0.030786861865075316-0.000024977853765203078*I	0.06000704601111647-0.00003099322141144221*I	0.13568788914066657-0.000038412920059907124*I	0.36252743640579965-0.000045786220252065106*I	0.13583381542975015-0.000039455065597363906*I	0.06030364175132876-0.000033084748917019204*I	0.031243982509947286-0.000028133468461994633*I	0.018328102939696965-0.000024321862001996542*I	0.011794803740606076-0.00002129481625492528*I	0.00811823587934449-0.000018808070007174276*I	0.005868005903079277-0.000016705244705823537*I	0.004397639170734081-0.000014884605198451703*I	0.003386034687263728-0.000013277518568195048*I	0.0026605241711234306-0.000011835886794630105*I	0.0021219491219958333-0.000010524809971379353*I	0.001710177606524288-9.31817429774834*^-6*I	0.001387039082146255-8.195900175073103*^-6*I	0.0011273368252313447-7.1421626490448905*^-6*I	0.0009138553043485025-6.144201306519743*^-6*I	0.0007344559017729908-5.191499284841738*^-6*I	0.0005803173232136211-4.275200098840205*^-6*I	0.0004448291678387189-3.3876813480017244*^-6*I	0.0003228707213973705-2.5222337388169188*^-6*I	0.00021032265961870017-1.6728114619859413*^-6*I	0.00010372139575879273-8.33830737603198*^-7*I
