0.3023468350984392-0.000013637933480924773*I	0.10469366899281117-0.000012158481614663182*I	0.04206305115289911-9.505349443592875*^-6*I	0.019522634255055897-7.491040108954898*^-6*I	0.010271054628236095-6.0797557972850514*^-6*I	0.005977128054462187-5.0721531502418355*^-6*I	0.0037611752105764294-4.325167063875777*^-6*I	0.0025136529509012366-3.75056744642022*^-6*I	0.0017605440559772078-3.294274948029514*^-6*I	0.001279723889221025-2.9221461776919324*^-6*I	0.0009584938315856627-2.611809378630765*^-6*I	0.0007357161792041929-2.348071529926091*^-6*I	0.000576312070656179-2.12027849063752*^-6*I	0.0004591829423496636-1.9207460932757087*^-6*I	0.00037112124259999155-1.7437944756658769*^-6*I	0.00030357097284259025-1.585133760485846*^-6*I	0.0002508225065585383-1.441461363079019*^-6*I	0.00020896537875088924-1.3101908386191995*^-6*I	0.00017525906970668613-1.1892648599428644*^-6*I	0.0001477430707672871-1.077023407310337*^-6*I	0.00012498851640959356-9.721090383421786*^-7*I	0.00010593605607741258-8.733975816028414*^-7*I	0.00008978764951737501-7.799465873280667*^-7*I	0.0000759328749010626-6.909563867985577*^-7*I	0.00006389779244997446-6.057402357280197*^-7*I	0.0000533088260203463-5.237010850094477*^-7*I	0.00004386680902094316-4.443132370273957*^-7*I	0.00003532800608729712-3.6710763175225355*^-7*I	0.000027489974689380517-2.916598416576437*^-7*I	0.000020180807379319325-2.175800875692031*^-7*I	0.000013250735680623456-1.4450475079759455*^-7*I	6.565365190099095*^-6-7.208897121091677*^-8*I
0.1046936689928112-0.00001215848161466318*I	0.3444098862513386-0.000023143282924517654*I	0.12421630324786712-0.000019649521723618085*I	0.052334105781135294-0.000015585105240877926*I	0.025499762309518097-0.000012563193259196733*I	0.014032229838812528-0.000010404922861160835*I	0.00849078100536343-8.822720596662057*^-6*I	0.0055217192665536425-7.6194420119053015*^-6*I	0.0037933768401222636-6.672713624112157*^-6*I	0.0027190378875628727-5.906084326660281*^-6*I	0.0020154400684252193-5.270217707618024*^-6*I	0.0015348059022418428-4.732087869268287*^-6*I	0.0011948991215538578-4.268817623201801*^-6*I	0.0009474333132561711-3.864072966303399*^-6*I	0.000762753915192254-3.505879853761555*^-6*I	0.0006219437491585298-3.185255838744896*^-6*I	0.0005125363515934792-2.8953245991050452*^-6*I	0.0004260815762652245-2.6307262230218852*^-6*I	0.0003567084495181764-2.3872142459295366*^-6*I	0.00030024758611627966-2.1613738982850437*^-6*I	0.0002536791268446999-1.9504209889131793*^-6*I	0.00021477616592696864-1.7520556256702457*^-6*I	0.00018186893097847526-1.5643539684013993*^-6*I	0.00015368544196734952-1.3856868230560874*^-6*I	0.00012924170092140896-1.2146574718080057*^-6*I	0.00010776460147091765-1.0500534727554159*^-6*I	0.00008863683210764345-8.908087167617013*^-7*I	0.0000713567837103237-7.359730786850398*^-7*I	0.000055508813466616466-5.846877193214566*^-7*I	0.00004074071037000399-4.3616459245523854*^-7*I	0.000026746172569418446-2.8966905878012015*^-7*I	0.000013250735680623466-1.4450475079759463*^-7*I
0.04206305115289915-9.505349443592877*^-6*I	0.12421630324786714-0.000019649521723618085*I	0.3546809408795748-0.000029223038721802723*I	0.13019343130232938-0.000024721674873859924*I	0.05609528099171171-0.000019910272304753708*I	0.028013415260419332-0.000016313760705616958*I	0.015792773894789745-0.000013699197809190347*I	0.009770504894584463-0.000011744866774353995*I	0.006480213098139307-0.000010231251390536068*I	0.004529093019326456-9.02078515403825*^-6*I	0.003295349958219051-8.026362817297804*^-6*I	0.002474623010774883-7.190963800893734*^-6*I	0.0019059271448418351-6.47588234493416*^-6*I	0.0014984700943964475-5.853951383687646*^-6*I	0.0011982558198147092-5.305534329382413*^-6*I	0.0009717192939431432-4.81607069238075*^-6*I	0.0007972028188652158-4.374520698687759*^-6*I	0.000660279422360767-3.972348006415381*^-6*I	0.0005510700926748178-3.602835261364063*^-6*I	0.00046264450559558895-3.260611827532377*^-6*I	0.0003900352356336547-2.9413204856131098*^-6*I	0.00032961200174576235-2.641377375711735*^-6*I	0.000278673958376943-2.357795861398265*^-6*I	0.00023517775699882153-2.0880550534108464*^-6*I	0.00019755225098829269-1.830000060083482*^-6*I	0.000164569707008706-1.5817651035602587*^-6*I	0.00013525457616029814-1.3417133144130592*^-6*I	0.00010881763948696273-1.108388804330904*^-6*I	0.0000846075193909471-8.804778294826338*^-7*I	0.00006207417865671554-6.567766905323733*^-7*I	0.000040740710370004003-4.361645924552385*^-7*I	0.00002018080737931934-2.1758008756920317*^-7*I
0.019522634255055894-7.4910401089548934*^-6*I	0.052334105781135225-0.000015585105240877923*I	0.13019343130232913-0.000024721674873859903*I	0.35844211609015114-0.00003354820578567848*I	0.13270708425323052-0.000028472242320280135*I	0.057855825047688894-0.00002320454725278321*I	0.029293139149640348-0.00001923590688330888*I	0.01675126772637542-0.000016311007187821132*I	0.010506221073788654-0.000014092938304280092*I	0.0070565251687954855-0.00001235152988117359*I	0.004988275961676122-0.000010941531247313961*I	0.0036664712008190425-9.77015729296368*^-6*I	0.0027781939836174735-8.776097561379584*^-6*I	0.0021567496514003706-7.91734370801318*^-6*I	0.0017074354731473353-7.16414222230684*^-6*I	0.0013735148895213942-6.494799189325275*^-6*I	0.0011194623647104297-5.8930940996910834*^-6*I	0.000922191335274809-5.346629737029937*^-6*I	0.0007662154784381788-4.845745588018221*^-6*I	0.0006408577421921925-4.382781848692125*^-6*I	0.0005385773804966512-3.951568214330933*^-6*I	0.00045393302808362874-3.547060721341126*^-6*I	0.0003829208277661084-3.165078460721181*^-6*I	0.000322540767397886-2.802109098425659*^-6*I	0.00027050576308611853-2.455162685163098*^-6*I	0.00022504222567767311-2.1216599017411234*^-6*I	0.00018475051438802522-1.7993451911294603*^-6*I	0.00014850531184092152-1.4862180652106519*^-6*I	0.00011538300467706176-1.1804777755418196*^-6*I	0.00008460751939094707-8.804778294826331*^-7*I	0.00005550881346661646-5.846877193214564*^-7*I	0.000027489974689380527-2.916598416576438*^-7*I
0.010271054628236086-6.079755797285045*^-6*I	0.02549976230951807-0.000012563193259196723*I	0.056095280991711634-0.00001991027230475368*I	0.13270708425323047-0.000028472242320280115*I	0.36020266014612823-0.000036842480733707966*I	0.13398680814245142-0.000031394388497972065*I	0.05881431887927451-0.000025816356631413974*I	0.03002885532884455-0.000021583978413234993*I	0.017327579797031572-0.000018431285678458656*I	0.01096540401613832-0.000016013684397555807*I	0.007427646411395477-0.000014095324356839476*I	0.005291846934518711-0.000012526665007799807*I	0.003917293707377579-0.000011211618656042695*I	0.002987159362368359-0.00001008628839999877*I	0.0023320087211070543-9.106608567956037*^-6*I	0.00185517854391462-8.241165629617172*^-6*I	0.0014985034059309856-7.466908227667446*^-6*I	0.0012253984207878411-6.766491681293921*^-6*I	0.0010119789847921829-6.126576324357997*^-6*I	0.0008421483533392403-5.5367019748167715*^-6*I	0.0007047555346421661-4.988522084420139*^-6*I	0.0005918862065169963-4.475269299340373*^-6*I	0.0004977998371045713-3.991373958368517*^-6*I	0.00041824883385340497-3.5321860924734306*^-6*I	0.00035003074208726613-3.0937689400832997*^-6*I	0.0002906865704654375-2.672742772732299*^-6*I	0.00023829296135829628-2.2661646525387164*^-6*I	0.00019131587957812413-1.8714341623403756*^-6*I	0.00014850531184092136-1.4862180652106508*^-6*I	0.00010881763948696255-1.1083888043309024*^-6*I	0.00007135678371032362-7.359730786850385*^-7*I	0.000035328006087297094-3.67107631752253*^-7*I
0.005977128054462185-5.072153150241834*^-6*I	0.014032229838812513-0.000010404922861160826*I	0.028013415260419304-0.00001631376070561694*I	0.05785582504768888-0.00002320454725278321*I	0.13398680814245154-0.000031394388497972045*I	0.3611611539777141-0.00003945429011233876*I	0.13472252432165577-0.00003374246002789817*I	0.059390630949930766-0.000027936635122051544*I	0.03048803827119424-0.000023504724506510725*I	0.017698701039631597-0.000020175080154124548*I	0.01126897498898092-0.000017598818158041668*I	0.0076784689179540235-0.000015536785719918505*I	0.005500812313269602-0.000013836855846419016*I	0.004092552777084267-0.000012400883515985562*I	0.0031349024331356477-0.000011163311807309108*I	0.002456997237516649-0.00001007871760629821*I	0.0019611145999920334-9.11456321122001*^-6*I	0.0015882910554483602-8.24685481499551*^-6*I	0.0013013312956889037-7.457448068092475*^-6*I	0.0010758767772421568-6.7323165600860135*^-6*I	0.0008954571793595866-6.060403059826215*^-6*I	0.0007486223436631093-5.432835321447533*^-6*I	0.0006272142126042938-4.842376931092627*^-6*I	0.0005252898117939519-4.2830338000261624*^-6*I	0.0004384296412327246-3.7497661800426344*^-6*I	0.0003632814777678897-3.2382736908808953*^-6*I	0.0002972519356555365-2.7448317439432165*^-6*I	0.0002382929613582963-2.2661646525387173*^-6*I	0.00018475051438802503-1.799345191129459*^-6*I	0.00013525457616029793-1.3417133144130571*^-6*I	0.00008863683210764334-8.908087167617001*^-7*I	0.000043866809020943116-4.4431323702739524*^-7*I
0.0037611752105764255-4.325167063875777*^-6*I	0.008490781005363419-8.822720596662045*^-6*I	0.01579277389478972-0.000013699197809190337*I	0.029293139149640317-0.000019235906883308874*I	0.05881431887927452-0.00002581635663141397*I	0.13472252432165566-0.00003374246002789817*I	0.3617374660483702-0.00004157456860297633*I	0.1351817072640054-0.00003566320612117393*I	0.05976175219253076-0.000029680429597717457*I	0.030791609244036833-0.000025089858266996593*I	0.01794952354619014-0.000021616541517203577*I	0.011477940367731811-0.00001890900899666088*I	0.007853727987660711-0.000016726050579861373*I	0.005648555384036894-0.000014913879253729343*I	0.004217541293493859-0.000013372992554327738*I	0.003240838489213057-0.000012036709388911938*I	0.0025467848870340216-0.000010858664193626273*I	0.0020370474748930938-9.805519598018559*^-6*I	0.0016521888478983344-8.852595050723523*^-6*I	0.0013546401217092486-7.981149153101918*^-6*I	0.0011197435862630998-7.176629797113404*^-6*I	0.0009307851854468834-6.427510691578465*^-6*I	0.0007761123183524897-5.724495163105177*^-6*I	0.000647395019983613-5.05995701866183*^-6*I	0.0005385405474745753-4.427538550823757*^-6*I	0.0004449950064228233-3.821855151253551*^-6*I	0.0003632814777678895-3.238273690880894*^-6*I	0.0002906865704654374-2.672742772732298*^-6*I	0.00022504222567767276-2.1216599017411213*^-6*I	0.00016456970700870567-1.5817651035602553*^-6*I	0.00010776460147091747-1.0500534727554137*^-6*I	0.00005330882602034621-5.237010850094469*^-7*I
0.002513652950901235-3.75056744642022*^-6*I	0.005521719266553639-7.619442011905299*^-6*I	0.009770504894584458-0.000011744866774354*I	0.0167512677263754-0.000016311007187821132*I	0.030028855328844552-0.000021583978413235007*I	0.05939063094993078-0.000027936635122051554*I	0.13518170726400552-0.00003566320612117394*I	0.3621085872909706-0.000043318363078642293*I	0.13548527823684822-0.000037248339881659824*I	0.060012574699089376-0.00003112189096079652*I	0.03100057462278776-0.00002640004910561584*I	0.01812478261589684-0.000022805806377146472*I	0.011625683438499108-0.000019986032403971225*I	0.007978716504070312-0.000017698159618203555*I	0.005754491440114305-0.000015787276835332185*I	0.004307328943011234-0.000014152939141655803*I	0.0033167713641141204-0.000012727665775710492*I	0.0026106826794839977-0.000011464404429354285*I	0.002090356300913442-0.000010329220683028006*I	0.0016960556569192776-9.296908287750917*^-6*I	0.0013899681277965465-8.348256784854167*^-6*I	0.0011472335609524803-7.468289638771047*^-6*I	0.0009509659928262029-6.645090779147672*^-6*I	0.0007893630540331132-5.868999913902772*^-6*I	0.0006539603851737121-5.132045989872747*^-6*I	0.0005385405474745752-4.427538550823756*^-6*I	0.0004384296412327242-3.7497661800426335*^-6*I	0.00035003074208726613-3.0937689400832992*^-6*I	0.000270505763086118-2.4551626851630956*^-6*I	0.00019755225098829217-1.8300000600834783*^-6*I	0.0001292417009214087-1.2146574718080031*^-6*I	0.00006389779244997439-6.057402357280187*^-7*I
0.0017605440559772052-3.294274948029511*^-6*I	0.0037933768401222597-6.672713624112148*^-6*I	0.0064802130981392965-0.000010231251390536059*I	0.010506221073788643-0.000014092938304280082*I	0.01732757979703158-0.000018431285678458645*I	0.030488038271194215-0.00002350472450651071*I	0.05976175219253072-0.000029680429597717446*I	0.135485278236848-0.00003724833988165981*I	0.3623594097975288-0.000044759824441721275*I	0.135694243615599-0.000038558530720279016*I	0.06018783376879603-0.000032311155820739364*I	0.031148317693555014-0.000027477072512926143*I	0.018249771132306424-0.000023777915415488627*I	0.011731619494576507-0.00002085942998557405*I	0.008068504153587678-0.000018478106205531587*I	0.00583042431501536-0.000016478233222130712*I	0.004371226735461206-0.000014758679377383796*I	0.003370080190134463-0.000013251366860719924*I	0.002654549488504937-0.000011908717666381667*I	0.0021256843070007352-0.000010696328314780235*I	0.0017235456316086557-9.588568129408543*^-6*I	0.0014101489351758627-8.565836872423353*^-6*I	0.001160484296633102-7.612794389568627*^-6*I	0.0009575313580163006-6.717179750358575*^-6*I	0.000789363054033112-5.868999913902762*^-6*I	0.0006473950199836119-5.05995701866182*^-6*I	0.0005252898117939509-4.283033800026153*^-6*I	0.00041824883385340437-3.5321860924734234*^-6*I	0.000322540767397885-2.8021090984256506*^-6*I	0.00023517775699882063-2.088055053410839*^-6*I	0.00015368544196734903-1.3856868230560821*^-6*I	0.00007593287490106237-6.909563867985551*^-7*I
0.001279723889221023-2.9221461776919294*^-6*I	0.00271903788756287-5.906084326660274*^-6*I	0.004529093019326454-9.020785154038241*^-6*I	0.007056525168795485-0.000012351529881173584*I	0.010965404016138316-0.000016013684397555803*I	0.017698701039631583-0.00002017508015412454*I	0.030791609244036823-0.000025089858266996596*I	0.06001257469908935-0.00003112189096079651*I	0.135694243615599-0.00003855853072027901*I	0.36253466886723557-0.00004594908930166415*I	0.13584198668636627-0.00003963555412758935*I	0.06031282228520562-0.000033283264859081525*I	0.03125425374963242-0.000028350470094528972*I	0.01833955878182379-0.00002455786200281667*I	0.011807552369477564-0.000021550386372372565*I	0.008132401946037638-0.000019083846441259582*I	0.0058837331410357-0.000017001934307140137*I	0.0044150935444821435-0.000015202992614411162*I	0.0034054081962217567-0.000013618474492472153*I	0.0026820394631943134-0.00001220037750803929*I	0.0021458651143800517-0.000010913908402349426*I	0.0017367963672892763-9.733072880206125*^-6*I	0.0014167143003659605-8.637925843634262*^-6*I	0.001160484296633101-7.612794389568621*^-6*I	0.0009509659928262005-6.645090779147652*^-6*I	0.0007761123183524877-5.72449516310516*^-6*I	0.0006272142126042919-4.842376931092613*^-6*I	0.0004977998371045697-3.991373958368505*^-6*I	0.0003829208277661068-3.165078460721167*^-6*I	0.0002786739583769417-2.3577958613982535*^-6*I	0.0001818689309784745-1.5643539684013923*^-6*I	0.00008978764951737468-7.799465873280632*^-7*I
