0.-0.8487771460705291*I	-0.49995764206060966+0.*I	0.+0.1697629015476384*I	0.00001676521770652141+0.*I	0.+0.0242482168900433*I	0.000010451349456055522+0.*I	0.+0.0080790733689107*I	9.233185004215667*^-6+0.*I	0.+0.0036641982801961445*I	8.203422753184621*^-7+0.*I	0.+0.0019772973480012834*I	0.000015985551873670952+0.*I	0.+0.0011613400646218672*I	-0.000013447473313622815+0.*I	0.+0.0007738905997552031*I	0.000023263025379633037+0.*I	0.+0.0004901259502365848*I	-0.000014671554625414933+0.*I	0.+0.0003709062909037636*I	0.000013424701940639707+0.*I	0.+0.0002472365240778901*I	-3.322444205699052*^-6+0.*I	0.+0.0001877780972054724*I	2.983042732389921*^-6+0.*I	0.+0.00013282920261770137*I	9.530990157788855*^-7+0.*I	0.+0.00009424929278790961*I	8.092482927322457*^-7+0.*I	0.+0.00006272949597345423*I	5.579839068821427*^-7+0.*I	0.+0.00003591870853419943*I	2.7593576665341785*^-7+0.*I	0.+0.0000116977996139217*I
-0.49995764205749565+0.*I	0.-0.6790142445156025*I	-0.499940876838755+0.*I	0.+0.1940111184443345*I	0.000027216578855916032+0.*I	0.+0.032327290273977155*I	0.00001968453322412073+0.*I	0.+0.011743271646436558*I	0.00001005352841864077+0.*I	0.+0.005641495621634371*I	0.000016805896173201965+0.*I	0.+0.0031386374147758535*I	2.5380782455989498*^-6+0.*I	0.+0.0019352306760002352*I	9.81555812135873*^-6+0.*I	0.+0.0012640165601355202*I	8.591474098594038*^-6+0.*I	0.+0.000861032222859118*I	-1.2468562178781391*^-6+0.*I	0.+0.0006181428087401472*I	0.00001010226061884466+0.*I	0.+0.00043501461754792833*I	-3.3940420598954665*^-7+0.*I	0.+0.00032060731449388345*I	3.936141395518636*^-6+0.*I	0.+0.00022707847948354564*I	1.7623418154272076*^-6+0.*I	0.+0.000156978774493709*I	1.3672273017777*^-6+0.*I	0.+0.00009864820510305636*I	8.339108193075282*^-7+0.*I	0.+0.000047616501110937474*I	2.7593643419504543*^-7+0.*I
0.+0.16976290153560708*I	-0.4999408768349447+0.*I	0.-0.654766027612217*I	-0.4999304254926549+0.*I	0.+0.2020901918049538*I	0.00003644975910369164+0.*I	0.+0.03599148854453814*I	0.00002050486784102404+0.*I	0.+0.01372056898728833*I	0.000026039087276088035+0.*I	0.+0.006802835699979103*I	3.3584230703864807*^-6+0.*I	0.+0.00391252801046052*I	0.000025801104746284447+0.*I	0.+0.0024253566169439647*I	-4.855998663291799*^-6+0.*I	0.+0.001634922829259644*I	0.000022016170091404544+0.*I	0.+0.001108268770499403*I	-4.569299143087678*^-6+0.*I	0.+0.0008059209094875286*I	0.000013085297559563538+0.*I	0.+0.0005678438319613663*I	6.136997031305041*^-7+0.*I	0.+0.00041485658339208975*I	4.745388324216857*^-6+0.*I	0.+0.00028980799477366925*I	2.320325519632054*^-6+0.*I	0.+0.00019289748927858036*I	1.643172428889622*^-6+0.*I	0.+0.00011034599896390246*I	8.339155607774927*^-7+0.*I	0.+0.00003591871027535526*I
0.000016765221477427957+0.*I	0.+0.19401111844854335*I	-0.4999304254824142+0.*I	0.-0.6466869542471944*I	-0.4999211923073596+0.*I	0.+0.20575439008903493*I	0.000037270098330730826+0.*I	0.+0.03796878588828419*I	0.00003649042727831423+0.*I	0.+0.014881909055247916*I	0.00001259161720664562+0.*I	0.+0.007576726290756534*I	0.00002662144780626235+0.*I	0.+0.0044026539662693565*I	0.000011129567852017054+0.*I	0.+0.0027962629032416424*I	8.568699170218774*^-6+0.*I	0.+0.0018821593645189584*I	0.000018693730417692833+0.*I	0.+0.0012960468662837562*I	-1.5862589366634772*^-6+0.*I	0.+0.0009387501050537237*I	0.000014038394800703221+0.*I	0.+0.0006620931137782257*I	1.4229400422875327*^-6+0.*I	0.+0.00047758608567069835*I	5.303365911121*^-6+0.*I	0.+0.0003257266873570792*I	2.5962591793302025*^-6+0.*I	0.+0.00020459527915759145*I	1.6431616469603395*^-6+0.*I	0.+0.00009864820567218877*I	5.579801286154096*^-7+0.*I
0.+0.024248216897263863*I	0.000027216565845560157+0.*I	0.+0.2020901918139605*I	-0.49992119230111676+0.*I	0.-0.6430227559687266*I	-0.4999203719597363+0.*I	0.+0.20773168742052958*I	0.00005325564219315788+0.*I	0.+0.03913012595414067*I	0.000023042965961864933+0.*I	0.+0.015655799666886225*I	0.00003585463725293801+0.*I	0.+0.008066852247285636*I	0.000011949895226128278+0.*I	0.+0.004773560247036436*I	0.000024554253999218802+0.*I	0.+0.003043499431154527*I	5.246257361864943*^-6+0.*I	0.+0.002069937464177496*I	0.000021676774971732736+0.*I	0.+0.0014288760644604395*I	-6.331605400575853*^-7+0.*I	0.+0.0010329994007444651*I	0.000014847651928611923+0.*I	0.+0.0007248226119086418*I	1.980917332254826*^-6+0.*I	0.+0.0005135047960009159*I	5.579302962093355*^-6+0.*I	0.+0.0003374244778207164*I	2.5962629701557187*^-6+0.*I	0.+0.00019289748681783347*I	1.3672294700506591*^-6+0.*I	0.+0.0000627295001814146*I
0.000010451355502526924+0.*I	0.+0.03232729026761507*I	0.000036449755229511+0.*I	0.+0.20575439009319088*I	-0.4999203719635618+0.*I	0.-0.6410454586366416*I	-0.4999043864122218+0.*I	0.+0.2088930275027605*I	0.000039808178835396215+0.*I	0.+0.03990401655038389*I	0.00004630597486145816+0.*I	0.+0.016145925601802946*I	0.00002118309100803212+0.*I	0.+0.008437758527628899*I	0.000025374595395187476+0.*I	0.+0.005020796773782446*I	0.00002123181546754151+0.*I	0.+0.003231277533780636*I	8.22929326325557*^-6+0.*I	0.+0.0022027666700736646*I	0.00002262986992415844+0.*I	0.+0.0015231253506622167*I	1.7609092082038866*^-7+0.*I	0.+0.001095728889798642*I	0.00001540562485554823+0.*I	0.+0.0007607413173791668*I	2.2568587399920017*^-6+0.*I	0.+0.0005252025851132536*I	5.579299857537514*^-6+0.*I	0.+0.00032572668787849514*I	2.320325691332571*^-6+0.*I	0.+0.0001569787851046637*I	8.09261935269534*^-7+0.*I
0.+0.008079073374765933*I	0.00001968453450640021+0.*I	0.+0.03599148854153839*I	0.000037270094415927923+0.*I	0.+0.20773168743749196*I	-0.4999043864102091+0.*I	0.-0.6398841185664736*I	-0.4999178338810292+0.*I	0.+0.20966691810330385*I	0.00006307121218314704+0.*I	0.+0.0403941425133551*I	0.00003163443082406311+0.*I	0.+0.01651683189503942*I	0.000034607782542870106+0.*I	0.+0.008684995051444572*I	0.00002205214520763423+0.*I	0.+0.005208574872052854*I	0.000024214856162485175+0.*I	0.+0.003364106739033368*I	9.182402635370148*^-6+0.*I	0.+0.002297015949689625*I	0.000023439122832944327+0.*I	0.+0.0015858548462851577*I	7.340668378014543*^-7+0.*I	0.+0.0011316476028640776*I	0.000015681557703979648+0.*I	0.+0.0007724391122205659*I	2.25686055731272*^-6+0.*I	0.+0.0005135047866434636*I	5.303377491748025*^-6+0.*I	0.+0.00028980797575587497*I	1.7623496780408169*^-6+0.*I	0.+0.0000942492885743218*I
9.233184304510467*^-6+0.*I	0.+0.011743271646956786*I	0.000020504873205572518+0.*I	0.+0.03796878588344185*I	0.000053255651054343565+0.*I	0.+0.20889302749455535*I	-0.49991783387994704+0.*I	0.-0.6391102279579632*I	-0.49989457086023836+0.*I	0.+0.21015704406161018*I	0.000048399653521185296+0.*I	0.+0.04076504878264394*I	0.00004505912703150166+0.*I	0.+0.016764068417713694*I	0.000031285332678046674+0.*I	0.+0.00887277315522778*I	0.00002503520429589292+0.*I	0.+0.005341404075078078*I	0.000025167947384217582+0.*I	0.+0.003458356017978884*I	9.991643263656186*^-6+0.*I	0.+0.002359745447962965*I	0.000023997102113834323+0.*I	0.+0.0016217735558884156*I	1.0100108738812315*^-6+0.*I	0.+0.001143345392113081*I	0.0000156815560940734+0.*I	0.+0.0007607413178918755*I	1.980920541963492*^-6+0.*I	0.+0.0004775860783945051*I	4.745396637086056*^-6+0.*I	0.+0.00022707849029257056*I	9.531110120863939*^-7+0.*I
0.+0.0036641982877586715*I	0.000010053532603782204+0.*I	0.+0.013720568988941306*I	0.000036490424111825335+0.*I	0.+0.03913012595810895*I	0.00003980817338766546+0.*I	0.+0.20966691810083726*I	-0.4998945708551273+0.*I	0.-0.6386201020024721*I	-0.49990924239652657+0.*I	0.+0.21052795033226113*I	0.00006182435312748917+0.*I	0.+0.04101228532180851*I	0.00004173668949403125+0.*I	0.+0.01695184652078939*I	0.00003426838640099733+0.*I	0.+0.00900560235419906*I	0.0000259882817580187+0.*I	0.+0.005435653361893493*I	0.00002597719379372297+0.*I	0.+0.0035210855215308395*I	0.000010549638608951317+0.*I	0.+0.002395664157903446*I	0.00002427303180495258+0.*I	0.+0.0016334713473208085*I	1.0100053938246984*^-6+0.*I	0.+0.0011316475904859236*I	0.000015405627580556888+0.*I	0.+0.0007248226176568215*I	1.422948273228662*^-6+0.*I	0.+0.00041485658282457843*I	3.936138798610605*^-6+0.*I	0.+0.00013282920463705827*I
8.203340917864173*^-7+0.*I	0.+0.00564149561943207*I	0.000026039083428230117+0.*I	0.+0.01488190904837842*I	0.000023042952910247895+0.*I	0.+0.03990401656048252*I	0.00006307121293436181+0.*I	0.+0.21015704406203412*I	-0.4999092424062304+0.*I	0.-0.6382491957248602*I	-0.499895817701283+0.*I	0.+0.21077518686092564*I	0.0000585019054491436+0.*I	0.+0.04120006341765774*I	0.00004471972682556385+0.*I	0.+0.017084675725399175*I	0.000035221479599195326+0.*I	0.+0.009099851647375002*I	0.000026797543135806893+0.*I	0.+0.005498382851962433*I	0.000026535179089767907+0.*I	0.+0.003557004223924428*I	0.000010825567717028494+0.*I	0.+0.0024073619477362517*I	0.000024273033143599366+0.*I	0.+0.0016217735500159718*I	7.340685161889045*^-7+0.*I	0.+0.0010957288917582588*I	0.000014847640204656319+0.*I	0.+0.0006620931165180692*I	6.137074151917759*^-7+0.*I	0.+0.00032060730387510654*I	2.983041401116715*^-6+0.*I
0.+0.001977297346720683*I	0.000016805892709764095+0.*I	0.+0.006802835683110971*I	0.000012591612562180762+0.*I	0.+0.015655799658283988*I	0.000046305985449209415+0.*I	0.+0.04039414251167912*I	0.000048399657502554296+0.*I	0.+0.21052795034312477*I	-0.4998958177023843+0.*I	0.-0.6380019591967255*I	-0.49989914015351633+0.*I	0.+0.2109629649639436*I	0.00006148495357939148+0.*I	0.+0.04133289261598605*I	0.00004567282095220839+0.*I	0.+0.01717892501748619*I	0.00003603072828184047+0.*I	0.+0.009162581135832105*I	0.000027355515620662993+0.*I	0.+0.00553430156874208*I	0.000026811112631715828+0.*I	0.+0.0035687020142858017*I	0.000010825567837527133+0.*I	0.+0.002395664159629371*I	0.000023997103279012215+0.*I	0.+0.00158585483647989*I	1.7609041924416738*^-7+0.*I	0.+0.0010329994020668032*I	0.000014038392518975024+0.*I	0.+0.0005678438345095363*I	-3.394134777489433*^-7+0.*I	0.+0.00018777809947111146*I
