0.-0.8487769205933283*I	-0.49995763789497366+0.*I	0.+0.16976359546208433*I	0.000016815833574442687+0.*I	0.+0.02424934449730417*I	0.000010712633191169936+0.*I	0.+0.008080056339842002*I	7.964315779635236*^-6+0.*I	0.+0.0036699820996786503*I	4.528577066972069*^-6+0.*I	0.+0.0019690942094443484*I	0.000010023642804402624+0.*I	0.+0.0011871864691574013*I	-7.174474018985626*^-6+0.*I	0.+0.0007442093282253675*I	0.000020725646327742427+0.*I	0.+0.000533768275633544*I	-0.000017191104675479214+0.*I	0.+0.00034308480164524184*I	0.000019751305918435367+0.*I	0.+0.0002768747324767278*I	-9.194265257325416*^-6+0.*I	0.+0.0001854484708388571*I	6.818466038775525*^-6+0.*I	0.+0.00014680849856591106*I	-1.4930026605759772*^-7+0.*I	0.+0.00010609821703065488*I	1.2768307447404338*^-6+0.*I	0.+0.00007788558278086807*I	8.595744739725694*^-7+0.*I	0.+0.000054477835041296676*I	5.754729421120143*^-7+0.*I	0.+0.0000345618172227753*I	3.4534647956251335*^-7+0.*I	0.+0.00001678220552357098*I	1.135515401450341*^-7+0.*I
-0.4999576378949068+0.*I	0.-0.6790133251312768*I	-0.4999408220614014+0.*I	0.+0.1940129399594123*I	0.00002752846679773473+0.*I	0.+0.032329400837143266*I	0.000018676948948549252+0.*I	0.+0.011750038439550118*I	0.000012492892818600726+0.*I	0.+0.005639076309144963*I	0.000014552219878422948+0.*I	0.+0.003156280678581952*I	2.849168783475009*^-6+0.*I	0.+0.001931395797402658*I	0.000013551172269517927+0.*I	0.+0.0012779776038351319*I	3.5345416754248208*^-6+0.*I	0.+0.0008768530772845123*I	2.5602012107873625*^-6+0.*I	0.+0.0006199595341519037*I	0.000010557040658894858+0.*I	0.+0.0004623232033101541*I	-2.375799216034562*^-6+0.*I	0.+0.0003322569693764648*I	6.669165772765126*^-6+0.*I	0.+0.0002529067155927812*I	1.1275304868095755*^-6+0.*I	0.+0.00018398379979488297*I	2.136405182596108*^-6+0.*I	0.+0.00013236341785473875*I	1.4350473847154027*^-6+0.*I	0.+0.00008903965229674769*I	9.208194732017215*^-7+0.*I	0.+0.00005134402270357286*I	4.588980143412976*^-7+0.*I	0.+0.000016782205495518245*I
0.+0.1697635954620994*I	-0.49994082206140217+0.*I	0.-0.6547639806339361*I	-0.4999301094282072+0.*I	0.+0.20209299629924904*I	0.00003549278255067543+0.*I	0.+0.03599938293681177*I	0.000023205526011707613+0.*I	0.+0.013719132648967142*I	0.00002251653568921335+0.*I	0.+0.006826262778283562*I	7.377745799566941*^-6+0.*I	0.+0.0039004900068168253*I	0.000023574815129026778+0.*I	0.+0.002465164072987878*I	-3.639932395696198*^-6+0.*I	0.+0.0016210624055108518*I	0.000023285847586704833+0.*I	0.+0.0011537278097588327*I	-6.6340640187469326*^-6+0.*I	0.+0.0008054080049789593*I	0.000017375506724209212+0.*I	0.+0.0006091317018495106*I	-2.525099521587891*^-6+0.*I	0.+0.00043835518642659863*I	7.945996537366779*^-6+0.*I	0.+0.00033079229837373577*I	1.9871049068227915*^-6+0.*I	0.+0.00023846163486869714*I	2.7118781764112098*^-6+0.*I	0.+0.0001669252350428196*I	1.7803938696978158*^-6+0.*I	0.+0.00010582185780550099*I	1.0343709739332036*^-6+0.*I	0.+0.00005134402272233116*I	3.453464605179059*^-7+0.*I
0.000016815833595791116+0.*I	0.+0.19401293995941865*I	-0.49993010942818+0.*I	0.-0.6466839242940824*I	-0.49992214511237654+0.*I	0.+0.20576297839894503*I	0.00004002135960555129+0.*I	0.+0.03796847714628126*I	0.000033229168831001076+0.*I	0.+0.014906319118138018*I	0.00001534206159427767+0.*I	0.+0.007570472106475433*I	0.0000281033921859977+0.*I	0.+0.004434258282454886*I	6.38371042530074*^-6+0.*I	0.+0.002808248874670846*I	0.00001611137353565177+0.*I	0.+0.0018979371379774141*I	0.000014091582296281935+0.*I	0.+0.0013391762806091692*I	1.8440202694439737*^-7+0.*I	0.+0.0009522165035392499*I	0.000017226206407801072+0.*I	0.+0.0007152299188829258*I	-1.2482687259561347*^-6+0.*I	0.+0.0005162407691859837*I	8.805570943945113*^-6+0.*I	0.+0.00038527013343245584*I	2.562577864407245*^-6+0.*I	0.+0.0002730234521034675*I	3.0572246437716418*^-6+0.*I	0.+0.00018370744057452946*I	1.893945407683834*^-6+0.*I	0.+0.00010582185779629481*I	9.208194356000428*^-7+0.*I	0.+0.000034561817197989416*I
0.+0.02424934449730077*I	0.00002752846679318512+0.*I	0.+0.20209299629924546*I	-0.4999221451124095+0.*I	0.-0.6430139421944175*I	-0.49991761653536215+0.*I	0.+0.20773207260835985*I	0.000050045002434385985+0.*I	0.+0.03915566361542711*I	0.000026054694785790253+0.*I	0.+0.015650528446361965*I	0.000036067707942958195+0.*I	0.+0.008104240382131641*I	0.00001091228748484613+0.*I	0.+0.004777343084080055*I	0.00002613501636477834+0.*I	0.+0.0030851236071393977*I	6.91710825523754*^-6+0.*I	0.+0.0020833856088250773*I	0.00002091004837310816+0.*I	0.+0.0014859847791353288*I	3.510173749342522*^-8+0.*I	0.+0.0010583147205531812*I	0.00001850303719627859+0.*I	0.+0.0007931155016729649*I	-3.886942976418097*^-7+0.*I	0.+0.0005707186042621747*I	9.381043921331413*^-6+0.*I	0.+0.00041983195064771014*I	2.907924356139528*^-6+0.*I	0.+0.0002898056576088509*I	3.170776180071291*^-6+0.*I	0.+0.00018370744059103641*I	1.7803938582999914*^-6+0.*I	0.+0.0000890396522768018*I	5.754729502806239*^-7+0.*I
0.000010712633156373727+0.*I	0.+0.03232940083715629*I	0.00003549278255442678+0.*I	0.+0.20576297839893284*I	-0.49991761653533945+0.*I	0.-0.6410448479849652*I	-0.4999075928925064+0.*I	0.+0.20891925907753398*I	0.00004287052837153865+0.*I	0.+0.03989987294363907*I	0.00004678034111701377+0.*I	0.+0.016184296721966758*I	0.00001887660326879454+0.*I	0.+0.008447325183795356*I	0.00003066359341608652+0.*I	0.+0.0050542178165845966*I	0.00001694075106799392+0.*I	0.+0.0032705720779748425*I	0.000013735574302795874+0.*I	0.+0.0022301941073548997*I	0.000020760748074735117+0.*I	0.+0.0015920829962041564*I	1.3119325164378134*^-6+0.*I	0.+0.0011362003033324704*I	0.000019362611599859087+0.*I	0.+0.0008475933367556896*I	1.867786606517419*^-7+0.*I	0.+0.0006052804214804895*I	9.72639039410008*^-6+0.*I	0.+0.0004366141561863658*I	3.0214758940381777*^-6+0.*I	0.+0.00028980565757337257*I	3.057224640166212*^-6+0.*I	0.+0.0001669252350918299*I	1.4350473977969912*^-6+0.*I	0.+0.000054477835044606704*I
0.+0.008080056339876986*I	0.000018676948975835974+0.*I	0.+0.035999382936779636*I	0.00004002135960268386+0.*I	0.+0.2077320726083759*I	-0.4999075928925002+0.*I	0.-0.6398576615158295*I	-0.4999147673665872+0.*I	0.+0.20966346840577088*I	0.00006359617471054737+0.*I	0.+0.04043364121928144*I	0.000029589236456113767+0.*I	0.+0.01652738152364899*I	0.000038627909188452086+0.*I	0.+0.00872419991626163*I	0.000021469328148444555+0.*I	0.+0.0052396662874018615*I	0.000023759217121472576+0.*I	0.+0.0034173805765244456*I	0.000013586274038286016+0.*I	0.+0.0023362923243810856*I	0.000022037578830157978+0.*I	0.+0.001669968578990545*I	2.171506964649829*^-6+0.*I	0.+0.0011906781384002163*I	0.000019938084572571004+0.*I	0.+0.000882155153969377*I	5.321251329585343*^-7+0.*I	0.+0.0006220626269901425*I	9.839941940636924*^-6+0.*I	0.+0.0004366141561625052*I	2.907924356208429*^-6+0.*I	0.+0.0002730234520982672*I	2.7118781771478574*^-6+0.*I	0.+0.0001323634178440948*I	8.595744322474147*^-7+0.*I
7.964315759196453*^-6+0.*I	0.+0.01175003843951813*I	0.000023205526006865783+0.*I	0.+0.03796847714625801*I	0.00005004500241861327+0.*I	0.+0.20891925907753553*I	-0.4999147673665783+0.*I	0.-0.6391134521876011*I	-0.49989404172022917+0.*I	0.+0.2101972366813932*I	0.00004640507001993945+0.*I	0.+0.04077672602093134*I	0.000049340542399327924+0.*I	0.+0.0168042562560999*I	0.00002943364391617204+0.*I	0.+0.008909648387125437*I	0.000028287794178007874+0.*I	0.+0.005386474785951915*I	0.00002360991685115484+0.*I	0.+0.0035234787935535883*I	0.00001486310478949756+0.*I	0.+0.002414177907175214*I	0.00002289715326653312+0.*I	0.+0.0017244464140505021*I	2.746979893466378*^-6+0.*I	0.+0.0012252399556163323*I	0.000020283431074499598+0.*I	0.+0.0008989373594875782*I	6.456766701694857*^-7+0.*I	0.+0.0006220626269837403*I	9.72639038382414*^-6+0.*I	0.+0.00041983195066219633*I	2.562577885482996*^-6+0.*I	0.+0.00023846163486920943*I	2.1364051988164542*^-6+0.*I	0.+0.00007788558280412145*I
0.+0.0036699820996883175*I	0.000012492892822750805+0.*I	0.+0.013719132648984006*I	0.0000332291688486148+0.*I	0.+0.039155663615429846*I	0.000042870528378035824+0.*I	0.+0.20966346840574226*I	-0.4998940417202362+0.*I	0.-0.6385796839119601*I	-0.4999112328249227+0.*I	0.+0.2105403214830332*I	0.00006615637597310247+0.*I	0.+0.0410536007534233*I	0.000040146277104880876+0.*I	0.+0.01698970472696269*I	0.00003625210998664015+0.*I	0.+0.0090564568856259*I	0.000028138493887700736+0.*I	0.+0.005492573003007393*I	0.000024886747625139726+0.*I	0.+0.003601364376354558*I	0.000015722679224401735+0.*I	0.+0.0024686557422494903*I	0.000023472626245504396+0.*I	0.+0.001759008231240659*I	3.0923263566158483*^-6+0.*I	0.+0.0012420221611526099*I	0.000020396982601169836+0.*I	0.+0.0008989373594752855*I	5.321251393710345*^-7+0.*I	0.+0.0006052804214674163*I	9.381043927728544*^-6+0.*I	0.+0.0003852701334225939*I	1.98710492988964*^-6+0.*I	0.+0.00018398379982805074*I	1.2768307898622041*^-6+0.*I
4.528577089095499*^-6+0.*I	0.+0.0056390763091174545*I	0.000022516535649482966+0.*I	0.+0.014906319118126359*I	0.000026054694810190914+0.*I	0.+0.03989987294363355*I	0.00006359617470803594+0.*I	0.+0.21019723668136192*I	-0.49991123282490185+0.*I	0.-0.638236599110292*I	-0.49989148151901625+0.*I	0.+0.21081719621551193*I	0.00005696211069941254+0.*I	0.+0.04123904922426281*I	0.000046964743141196515+0.*I	0.+0.0171365132255165*I	0.00003610280968143281+0.*I	0.+0.00916255510268342*I	0.0000294153246814183+0.*I	0.+0.00557045858576741*I	0.00002574632204514543+0.*I	0.+0.0036558422114055665*I	0.00001629815218339665+0.*I	0.+0.00250321755945616*I	0.00002381797272208546+0.*I	0.+0.001775790436766265*I	3.2058779357804326*^-6+0.*I	0.+0.0012420221611171153*I	0.000020283431027469042+0.*I	0.+0.0008821551539767486*I	1.8677866716590497*^-7+0.*I	0.+0.0005707186042744217*I	8.80557095582137*^-6+0.*I	0.+0.00033079229835912565*I	1.1275304781272252*^-6+0.*I	0.+0.00010609821705602276*I
0.+0.001969094209438065*I	0.000014552219875780049+0.*I	0.+0.006826262778289664*I	0.000015342061595658986+0.*I	0.+0.015650528446331562*I	0.00004678034112321195+0.*I	0.+0.040433641219282744*I	0.00004640507004224169+0.*I	0.+0.2105403214830406*I	-0.4998914815190002+0.*I	0.-0.6379597243778039*I	-0.499900675784259+0.*I	0.+0.21100264468632654*I	0.0000637805767406489+0.*I	0.+0.04138585772280845*I	0.000046815442868003214+0.*I	0.+0.017242611442508566*I	0.000037379640462609104+0.*I	0.+0.009240440685468664*I	0.000030274899099432887+0.*I	0.+0.005624936420847314*I	0.00002632179501439646+0.*I	0.+0.0036904040286146627*I	0.000016643498657526996+0.*I	0.+0.00251999976498173*I	0.00002393152425781599+0.*I	0.+0.0017757904367646502*I	3.09232637627448*^-6+0.*I	0.+0.0012252399556329835*I	0.00001993808458692435+0.*I	0.+0.0008475933367496764*I	-3.8869432709955564*^-7+0.*I	0.+0.0005162407691960953*I	7.945996550103864*^-6+0.*I	0.+0.0002529067155998098*I	-1.493002844536219*^-7+0.*I
