0.-0.8487768656296163*I	-0.49995763129367055+0.*I	0.+0.16976376508516883*I	0.000016831113079581765+0.*I	0.+0.024249651612475984*I	0.000010694921810371893+0.*I	0.+0.008080475667517809*I	7.791888053137883*^-6+0.*I	0.+0.003669886320379283*I	6.063458628748449*^-6+0.*I	0.+0.001972764971019565*I	4.8973066663701855*^-6+0.*I	0.+0.0011800683547527197*I	4.043341129220603*^-6+0.*I	0.+0.0007596961791989862*I	3.4265636213186407*^-6+0.*I	0.+0.0005156478893411018*I	3.057377461261901*^-6+0.*I	0.+0.0003644931141055935*I	9.162262688514975*^-7+0.*I	0.+0.0002611083227813532*I	7.201897726214249*^-6+0.*I	0.+0.00020339994829430413*I	-9.472358182118354*^-6+0.*I	0.+0.0001317447760190646*I	0.000018789996349288663+0.*I	0.+0.00012893710829987165*I	-0.000018865046685166058+0.*I	0.+0.00006199031554241646*I	0.00001827004959156384+0.*I	0.+0.00007308659964978814*I	-0.000010528648978536309+0.*I	0.+0.00003160057173064862*I	5.597448382330475*^-6+0.*I	0.+0.00002583971040963362*I	-1.326456742284924*^-6+0.*I	0.+6.8387398714231384*^-6*I
-0.4999576312955964+0.*I	0.-0.6790131005368829*I	-0.49994080018977705+0.*I	0.+0.19401341667886154*I	0.0000275260401717112+0.*I	0.+0.032330127281030206*I	0.000018486808335926344+0.*I	0.+0.011750361996672612*I	0.000013855344536405298+0.*I	0.+0.005642651289092005*I	0.00001096075180781986+0.*I	0.+0.003152833330156709*I	8.940670330164256*^-6+0.*I	0.+0.0019397645378897057*I	7.469917372585875*^-6+0.*I	0.+0.0012753440700346355*I	6.483943837730545*^-6+0.*I	0.+0.000880140987063514*I	3.973592707751468*^-6+0.*I	0.+0.0006256014395663223*I	8.118123066009415*^-6+0.*I	0.+0.00046450827313603953*I	-2.2704701114286777*^-6+0.*I	0.+0.0003351447191274304*I	9.317637185148354*^-6+0.*I	0.+0.0002606818757471673*I	-7.504991352605175*^-8+0.*I	0.+0.00019092743494573245*I	-5.949969025915824*^-7+0.*I	0.+0.00013507691094227312*I	7.741389247319899*^-6+0.*I	0.+0.00010468716547412024*I	-4.931201651433281*^-6+0.*I	0.+0.00005744028917910284*I	4.270991580116003*^-6+0.*I	0.+0.00003267845198932127*I	-1.3264568717516467*^-6+0.*I
0.+0.16976376508752697*I	-0.49994080018226655+0.*I	0.-0.6547634489398672*I	-0.4999301052557645+0.*I	0.+0.20209389236664876*I	0.00003531791374857892+0.*I	0.+0.03600001360160042*I	0.00002455026452537414+0.*I	0.+0.01372312695367435*I	0.000018752649891750508+0.*I	0.+0.006822719650235946*I	0.000015004112505577534+0.*I	0.+0.003912529505979943*I	0.000012367218480533089+0.*I	0.+0.002455412420053066*I	0.000010527289594757608+0.*I	0.+0.0016398371833345401*I	7.4001624363083585*^-6+0.*I	0.+0.0011412493288404657*I	0.000011175503870820482+0.*I	0.+0.0008290013766370369*I	-1.3542420383854558*^-6+0.*I	0.+0.000596253048688232*I	0.000016519538667873885+0.*I	0.+0.000464081838281262*I	-9.547410520469993*^-6+0.*I	0.+0.0003226721909563163*I	0.000018195002037048005+0.*I	0.+0.00026401402461827955*I	-0.000011123644121322465+0.*I	0.+0.00016667748107285218*I	0.000013338846841611375+0.*I	0.+0.00013052688658785755*I	-6.257663437760152*^-6+0.*I	0.+0.00006427901707078271*I	4.270991470112286*^-6+0.*I	0.+0.00002583972777306376*I
0.000016831108031599917+0.*I	0.+0.1940134166953781*I	-0.49993010525959386+0.*I	0.-0.646682973273981*I	-0.4999223133738176+0.*I	0.+0.2057637786875563*I	0.00004138137034554121+0.*I	0.+0.03797277856023238*I	0.00002944756684878498+0.*I	0.+0.014903195318972372*I	0.000022796004935200052+0.*I	0.+0.00758241583248371*I	0.00001843067572129451+0.*I	0.+0.004428177394383226*I	0.000015424601488327827+0.*I	0.+0.0028199055376339297*I	0.000011443523142857639+0.*I	0.+0.0019009454946783983*I	0.00001460206159041421+0.*I	0.+0.0013446492717796392*I	1.7031385784863517*^-6+0.*I	0.+0.0009607461538421663*I	0.000017435755569799037+0.*I	0.+0.000725190160683759*I	-2.345516725798643*^-6+0.*I	0.+0.0005260721463975317*I	8.72263908898627*^-6+0.*I	0.+0.00039575879265447213*I	7.666353804621189*^-6+0.*I	0.+0.00029561458965125933*I	-5.5261971481044095*^-6+0.*I	0.+0.00019251719435546403*I	0.000012012379907867778+0.*I	0.+0.0001373656311661492*I	-6.257660464020084*^-6+0.*I	0.+0.00005744028893099415*I	5.597445678101609*^-6+0.*I
0.+0.024249651609039413*I	0.00002752602886581407+0.*I	0.+0.20209389235595618*I	-0.4999223133753776+0.*I	0.-0.6430130869413648*I	-0.4999162499174875+0.*I	0.+0.20773654365624855*I	0.000046278680580130047+0.*I	0.+0.0391528469219722*I	0.000033490922253639776+0.*I	0.+0.01566289149221855*I	0.000026222565717746297+0.*I	0.+0.008098063714883225*I	0.00002148806833700429+0.*I	0.+0.004792670499117788*I	0.00001634081362635771+0.*I	0.+0.003081013871966465*I	0.00001864541115996726+0.*I	0.+0.0021043454424333544*I	5.129699938337309*^-6+0.*I	0.+0.0014763940397247224*I	0.000020493135493779498+0.*I	0.+0.0010896832590860939*I	-1.4292873755238251*^-6+0.*I	0.+0.000787180484728478*I	0.000015924539539467583+0.*I	0.+0.0005991587350353267*I	-1.8060070877198723*^-6+0.*I	0.+0.00042735936706102956*I	0.000013263794946147319+0.*I	0.+0.0003214543095918093*I	-6.8526526439643655*^-6+0.*I	0.+0.0001993559392647129*I	0.00001201238831027182+0.*I	0.+0.00013052688122414807*I	-4.931193437709197*^-6+0.*I	0.+0.00003160057930496479*I
0.000010694924352741786+0.*I	0.+0.03233012727460366*I	0.000035317919947664745+0.*I	0.+0.20576377868103723*I	-0.4999162499170544+0.*I	0.-0.641040321986151*I	-0.4999113526180906+0.*I	0.+0.20891661200093123*I	0.0000503220315285063+0.*I	0.+0.03991254311074876*I	0.000036917493109290514+0.*I	0.+0.01617853938085231*I	0.000029279938422306736+0.*I	0.+0.008462556833012993*I	0.000022404280241923164+0.*I	0.+0.005053778834184308*I	0.00002354272804641936+0.*I	0.+0.003284413804251321*I	9.173053010325352*^-6+0.*I	0.+0.0022360902132624624*I	0.000023919695151634206+0.*I	0.+0.001605331151324009*I	1.6280920543872235*^-6+0.*I	0.+0.0011516735909437162*I	0.000016840756094933897+0.*I	0.+0.0008602670792413992*I	5.395886645114572*^-6+0.*I	0.+0.000630759311569583*I	3.7914489539476417*^-6+0.*I	0.+0.00045319907206969943*I	0.000011937341790907948+0.*I	0.+0.000328293044368114*I	-6.8526583577795575*^-6+0.*I	0.+0.0001925172121589675*I	0.000013338844919098272+0.*I	0.+0.00010468717102305404*I	-0.000010528642938684163+0.*I
0.+0.008080475672935829*I	0.00001848679512289801+0.*I	0.+0.03600001360122252*I	0.000041381380664155426+0.*I	0.+0.2077365436514074*I	-0.49991135261252917+0.*I	0.-0.6398602536222316*I	-0.4999073092575672+0.*I	0.+0.20967630818991123*I	0.00005374859359546082+0.*I	0.+0.040428190991460534*I	0.00003997486970240503+0.*I	0.+0.016543032482859175*I	0.000030196165111672212+0.*I	0.+0.008723665160537596*I	0.000029606176967001702+0.*I	0.+0.00525717877428751*I	0.00001407035823594562+0.*I	0.+0.003416158582272552*I	0.000027963045704980558+0.*I	0.+0.002365027330660234*I	5.054655234805625*^-6+0.*I	0.+0.001667321471383612*I	0.000019898142630503916+0.*I	0.+0.00122476018204086*I	6.31211157472124*^-6+0.*I	0.+0.0008918676408915666*I	0.000010993338906338466+0.*I	0.+0.0006565990203824049*I	2.4649732400583263*^-6+0.*I	0.+0.00046003781396799365*I	0.000011937337864449045+0.*I	0.+0.00032145431481502007*I	-5.5261862026743715*^-6+0.*I	0.+0.00016667749184170327*I	7.741402743230166*^-6+0.*I	0.+0.00007308660031317415*I
7.791893122888099*^-6+0.*I	0.+0.011750361995660447*I	0.00002455025718782302+0.*I	0.+0.037972778554680744*I	0.000046278683414507893+0.*I	0.+0.20891661201481337*I	-0.4999073092620379+0.*I	0.-0.6391005574329455*I	-0.4999038826976124+0.*I	0.+0.21019195606773142*I	0.00005680597496617028+0.*I	0.+0.040792684099892236*I	0.00004089108868019443+0.*I	0.+0.016804140829696203*I	0.00003739806526867911+0.*I	0.+0.008927065102834373*I	0.000020133816070060152+0.*I	0.+0.005388923551320385*I	0.00003286035234661712+0.*I	0.+0.0035450956845203335*I	9.09800963320305*^-6+0.*I	0.+0.00242701764594392*I	0.000023324698977061603+0.*I	0.+0.0017404080686719255*I	9.369497703305121*^-6+0.*I	0.+0.0012563607522302956*I	0.00001190955440662749+0.*I	0.+0.0009177073649005935*I	9.666883487680333*^-6+0.*I	0.+0.0006634377595289151*I	2.4649755129395165*^-6+0.*I	0.+0.00045319908147618387*I	0.000013263807531878194+0.*I	0.+0.00029561459685584267*I	-0.00001112365087479812+0.*I	0.+0.00013507691598717338*I	0.000018270049440272107+0.*I
0.+0.0036698863302631543*I	0.00001385533765612178+0.*I	0.+0.013723126958378386*I	0.00002944756974636628+0.*I	0.+0.039152846930137056*I	0.00005032203589607223+0.*I	0.+0.20967630818364957*I	-0.4999038826914349+0.*I	0.-0.6385849095485631*I	-0.4999008253215966+0.*I	0.+0.21055644917807917*I	0.00005772219872943638+0.*I	0.+0.04105379242265994*I	0.000048092983539298846+0.*I	0.+0.017007540777607542*I	0.000027925702526031626+0.*I	0.+0.009058809875966946*I	0.0000389238088138226+0.*I	0.+0.005517860665287998*I	0.000013995316221679048+0.*I	0.+0.0036070860155419868*I	0.000027368054955529107+0.*I	0.+0.002500104239696259*I	0.000012796055652543857+0.*I	0.+0.001772008632812322*I	0.00001496693662319394+0.*I	0.+0.0012822004631342157*I	0.000010583093977981454+0.*I	0.+0.0009245460932428493*I	9.666881077315514*^-6+0.*I	0.+0.0006565990224279977*I	3.7914430424121017*^-6+0.*I	0.+0.0004273593686582172*I	7.666351259531977*^-6+0.*I	0.+0.0002640140192694401*I	-5.949921979146531*^-7+0.*I	0.+0.00006199031955526207*I
6.063455974282487*^-6+0.*I	0.+0.005642651295778744*I	0.00001875264695903593+0.*I	0.+0.014903195321844918*I	0.00003349091621479873+0.*I	0.+0.03991254310519538*I	0.000053748606766674287+0.*I	0.+0.2101919560878065*I	-0.49990082532439933+0.*I	0.-0.6382204164485495*I	-0.49989990910206406+0.*I	0.+0.21081755751575595*I	0.00006492409966316645+0.*I	0.+0.041257192379963746*I	0.000038620626366444666+0.*I	0.+0.017139285537157153*I	0.00004671569861806985+0.*I	0.+0.00918774698065796*I	0.000020058763060730813+0.*I	0.+0.005579850975448851*I	0.000032265365061787125+0.*I	0.+0.0036801726067717698*I	0.000016839411633299094+0.*I	0.+0.0025317048213832766*I	0.000018393507109809946+0.*I	0.+0.0017978483490420666*I	0.000013640476880087754+0.*I	0.+0.0012890392021444688*I	0.00001058310136562255+0.*I	0.+0.0009177073572428167*I	0.000010993346335032611+0.*I	0.+0.0006307593068042669*I	-1.806011556371907*^-6+0.*I	0.+0.00039575879377386273*I	0.000018195002179624578+0.*I	0.+0.00019092742865491129*I	-0.000018865040155302548+0.*I
0.+0.0019727649594403415*I	0.000010960771980203768+0.*I	0.+0.006822719656357147*I	0.000022795993027496483+0.*I	0.+0.015662891504891002*I	0.0000369174946398995+0.*I	0.+0.04042819098807633*I	0.00005680597145235207+0.*I	0.+0.21055644918705743*I	-0.49989990909700166+0.*I	0.-0.6379593081142572*I	-0.49989270719968704+0.*I	0.+0.21102095746436222*I	0.00005545174210767805+0.*I	0.+0.04138893714842806*I	0.00005741061952100442+0.*I	0.+0.017268222648878333*I	0.000027850646841352534+0.*I	0.+0.00924973730344801*I	0.0000383288210945237+0.*I	0.+0.005652937569490361*I	0.000021736714828886137+0.*I	0.+0.0037117731791179998*I	0.000022436853185972724+0.*I	0.+0.002557544525885129*I	0.00001706704540162259+0.*I	0.+0.0018046870907934762*I	0.000013640470014470352+0.*I	0.+0.0012822004691727534*I	0.000011909564190233033+0.*I	0.+0.000891867641515956*I	5.3958986086341485*^-6+0.*I	0.+0.0005991587332963011*I	8.722641060519095*^-6+0.*I	0.+0.0003226721933493812*I	-7.504477297909503*^-8+0.*I	0.+0.00012893710897152189*I
