0.-0.8487768065259044*I	-0.4999578237074456+0.*I	0.+0.16976454829463444*I	0.000018351137170597866+0.*I	0.+0.02424691024511383*I	5.555707737025245*^-6+0.*I	0.+0.00808878883868513*I	0.000019005407590096682+0.*I	0.+0.003655860145612464*I	-0.000011282837586026691+0.*I	0.+0.0019926821388470033*I	0.00002494390570106949+0.*I	0.+0.00116147446341777*I	-0.000013285472146462707+0.*I	0.+0.0007750922124722259*I	0.000014623849829777783+0.*I	0.+0.0005087573513669987*I	-2.244268350959659*^-6+0.*I	0.+0.00036809624100556077*I	3.985428009561207*^-6+0.*I	0.+0.00026493959514797144*I	1.9096178310643833*^-6+0.*I	0.+0.0001972003513572982*I	1.74488168923413*^-6+0.*I	0.+0.00014831954351648442*I	1.4900864272515192*^-6+0.*I	0.+0.00011205164435649533*I	1.2218950909628095*^-6+0.*I	0.+0.00008420794085775301*I	9.737547236315106*^-7+0.*I	0.+0.00006204178897249703*I	7.438904017399316*^-7+0.*I	0.+0.0000437003744516429*I	5.241635789704886*^-7+0.*I	0.+0.00002787483822046599*I	3.118461992421376*^-7+0.*I	0.+0.000013576339503515689*I	1.0348539202110075*^-7+0.*I
-0.4999578237073549+0.*I	0.-0.6790122582313152*I	-0.49993947257027027+0.*I	0.+0.19401145853972543*I	0.000023906844942765587+0.*I	0.+0.032335699083784884*I	0.000024561115288376184+0.*I	0.+0.011744648984223355*I	7.722570013976746*^-6+0.*I	0.+0.00564854228450208*I	0.000013661068099121248+0.*I	0.+0.003154156602301337*I	0.000011658433588625191+0.*I	0.+0.0019365666759163097*I	1.3383776811241727*^-6+0.*I	0.+0.0012838495638136048*I	0.00001237958150818578+0.*I	0.+0.0008768535923797354*I	1.7411596326583846*^-6+0.*I	0.+0.0006330358361296932*I	5.895045845966085*^-6+0.*I	0.+0.00046213994650055483*I	3.654499516629161*^-6+0.*I	0.+0.00034551989489929103*I	3.2349681248233198*^-6+0.*I	0.+0.0002603711878791621*I	2.7119815118161065*^-6+0.*I	0.+0.00019625958516708764*I	2.1956498189247464*^-6+0.*I	0.+0.00014624972985028726*I	1.717645067956209*^-6+0.*I	0.+0.00010574216337725575*I	1.2680540005307328*^-6+0.*I	0.+0.00007157521267541472*I	8.360098017448488*^-7+0.*I	0.+0.00004145117771184909*I	4.1533157554280407*^-7+0.*I	0.+0.00001357633950810271*I
0.+0.16976454829463652*I	-0.4999394725703008+0.*I	0.-0.6547653479862073*I	-0.4999339168625305+0.*I	0.+0.2021002473783808*I	0.00004291225248904565+0.*I	0.+0.03599155922938818*I	0.000013278277723751932+0.*I	0.+0.013737331123151838*I	0.0000326664757192572+0.*I	0.+0.006810016747903002*I	3.7559598515174214*^-7+0.*I	0.+0.003929248814757742*I	0.000026282283405588023+0.*I	0.+0.0024453240272398055*I	-9.058906679707652*^-7+0.*I	0.+0.0016519458048443202*I	0.000016365009481327287+0.*I	0.+0.0011417931874986348*I	3.650777513390199*^-6+0.*I	0.+0.0008302361875104953*I	7.639927521554772*^-6+0.*I	0.+0.0006104594900313451*I	5.14458594061908*^-6+0.*I	0.+0.000457571539226163*I	4.456863224032578*^-6+0.*I	0.+0.00034457912874967566*I	3.6857362130263767*^-6+0.*I	0.+0.0002583013741572709*I	2.9395402062958677*^-6+0.*I	0.+0.00018995010429053642*I	2.2418086971221336*^-6+0.*I	0.+0.00013361700164255091*I	1.5799001797043297*^-6+0.*I	0.+0.00008515155216187987*I	9.394951827594198*^-7+0.*I	0.+0.00004145117771106107*I	3.1184622488330215*^-7+0.*I
0.000018351137105616168+0.*I	0.+0.19401145853971338*I	-0.49993391686247113+0.*I	0.-0.6466765591475638*I	-0.49991491145496275+0.*I	0.+0.20575610752400303*I	0.00003162941493269387+0.*I	0.+0.037984241368213476*I	0.00003822218344531007+0.*I	0.+0.014898805586553978*I	0.000019381003589223336+0.*I	0.+0.0075851089603999255*I	0.000014999445774480925+0.*I	0.+0.004438006166124616*I	0.000024038015072405735+0.*I	0.+0.0028134202682729304*I	3.0795373408384367*^-6+0.*I	0.+0.0019168853999671708*I	0.000018274627329465337+0.*I	0.+0.0013389935388652175*I	5.3956591607259275*^-6+0.*I	0.+0.0009785557310287127*I	9.13001398993239*^-6+0.*I	0.+0.0007225111344013771*I	6.366481026204034*^-6+0.*I	0.+0.0005417794800747466*I	5.430617935539687*^-6+0.*I	0.+0.00040662091769853083*I	4.429626613078699*^-6+0.*I	0.+0.0003020017485964132*I	3.4637037852808613*^-6+0.*I	0.+0.00021782494251292508*I	2.5536548877281596*^-6+0.*I	0.+0.00014719334111070885*I	1.6833855760913428*^-6+0.*I	0.+0.00008515155216564955*I	8.360097947252334*^-7+0.*I	0.+0.000027874838234083664*I
0.+0.024246910245109273*I	0.000023906844889536932+0.*I	0.+0.2021002473783616*I	-0.4999149114549614+0.*I	0.-0.6430206990019581*I	-0.4999261942925184+0.*I	0.+0.20774878966282923*I	0.00005657332062096599+0.*I	0.+0.039145715831676954*I	0.00002493671130245668+0.*I	0.+0.015673897799066368*I	0.00003400485339522177+0.*I	0.+0.008093866311718984*I	0.000012755177507999262+0.*I	0.+0.004806102407141025*I	0.000028023443037868598+0.*I	0.+0.0030783598633891554*I	4.989155176911647*^-6+0.*I	0.+0.0021140857513355137*I	0.0000200195090079855+0.*I	0.+0.001487313082376509*I	6.88574563882465*^-6+0.*I	0.+0.0010906073753698601*I	0.000010351909052302587+0.*I	0.+0.0008067190752479523*I	7.340235757793761*^-6+0.*I	0.+0.0006038212690614385*I	6.174508313558575*^-6+0.*I	0.+0.0004503212921416304*I	4.953790208391131*^-6+0.*I	0.+0.00032987658685134497*I	3.775549964587282*^-6+0.*I	0.+0.00023140128201010475*I	2.6571403127155057*^-6+0.*I	0.+0.00014719334112086457*I	1.5799001816829987*^-6+0.*I	0.+0.00007157521266256637*I	5.241636112370636*^-7+0.*I
5.555707732103835*^-6+0.*I	0.+0.03233569908374985*I	0.00004291225250499192+0.*I	0.+0.20575610752397233*I	-0.4999261942924853+0.*I	0.-0.6410280168630866*I	-0.4999012503867982+0.*I	0.+0.20891026412628436*I	0.00004328784849430864+0.*I	0.+0.03992080804414575*I	0.00003956056111595764+0.*I	0.+0.01618265515037322*I	0.00003176058505689413+0.*I	0.+0.008461962552769788*I	0.000016740605467950447+0.*I	0.+0.005071042002257796*I	0.000029933060906381185+0.*I	0.+0.003275560214790799*I	6.734036854518336*^-6+0.*I	0.+0.0022624052948406973*I	0.000021509595451440075+0.*I	0.+0.0015993647267611695*I	8.107640703974518*^-6+0.*I	0.+0.0011748153162156713*I	0.000011325663769201036+0.*I	0.+0.0008687608642126901*I	8.084126143954065*^-6+0.*I	0.+0.0006475216435007517*I	6.698671918767375*^-6+0.*I	0.+0.0004781961303889867*I	5.265636425633018*^-6+0.*I	0.+0.00034345292630824105*I	3.879035377188369*^-6+0.*I	0.+0.0002314012820185981*I	2.553654872138084*^-6+0.*I	0.+0.00013361700159994911*I	1.2680539887240551*^-6+0.*I	0.+0.00004370037447265621*I
0.+0.008088788838598713*I	0.00002456111531650292+0.*I	0.+0.035991559229396106*I	0.000031629414912153264+0.*I	0.+0.20774878966282884*I	-0.4999012503867981+0.*I	0.-0.6398665423996471*I	-0.4999145358589531+0.*I	0.+0.20968535633872218*I	0.0000579116983026855+0.*I	0.+0.04042956539551884*I	0.00003731629277818709+0.*I	0.+0.016550751391380313*I	0.00003574601306819584+0.*I	0.+0.008726902147915818*I	0.000018650223320365502+0.*I	0.+0.00526824235361885*I	0.00003167794258282721+0.*I	0.+0.003423879758302649*I	8.2241232981955*^-6+0.*I	0.+0.0023744569391635807*I	0.00002273149054670117+0.*I	0.+0.001683572667605988*I	9.081395428817962*^-6+0.*I	0.+0.001236857105221497*I	0.000012069554136335202+0.*I	0.+0.0009124612386517851*I	8.608289766153762*^-6+0.*I	0.+0.0006753964817183681*I	7.010518110339695*^-6+0.*I	0.+0.0004917724698719965*I	5.369121800766788*^-6+0.*I	0.+0.0003434529263267281*I	3.7755499902895412*^-6+0.*I	0.+0.0002178249424914634*I	2.2418087065938322*^-6+0.*I	0.+0.00010574216344010895*I	7.438903578627846*^-7+0.*I
0.0000190054075990507+0.*I	0.+0.011744648984273225*I	0.00001327827773910956+0.*I	0.+0.037984241368235104*I	0.00005657332065320779+0.*I	0.+0.20891026412628658*I	-0.4999145358589503+0.*I	0.-0.6390914501871909*I	-0.4998999120091186+0.*I	0.+0.2101941136900912*I	0.00005566742994963672+0.*I	0.+0.04079766163651004*I	0.0000413017208123822+0.*I	0.+0.016815690986536833*I	0.00003765563088878891+0.*I	0.+0.008924102499232301*I	0.000020395104993836976+0.*I	0.+0.005416561897201145*I	0.000033168029029826406+0.*I	0.+0.0035359314026294133*I	9.446018390034235*^-6+0.*I	0.+0.002458664880079165*I	0.000023705245248552336+0.*I	0.+0.0017456144565306331*I	9.825285797628329*^-6+0.*I	0.+0.0012805574796898704*I	0.000012593717753210675+0.*I	0.+0.000940336076870602*I	8.920135937724516*^-6+0.*I	0.+0.000688972821242256*I	7.114003514013043*^-6+0.*I	0.+0.0004917724698424514*I	5.2656364153924995*^-6+0.*I	0.+0.000329876586853712*I	3.4637037645610387*^-6+0.*I	0.+0.00018995010424351254*I	1.7176450980122866*^-6+0.*I	0.+0.00006204178898049674*I
0.+0.0036558601455625593*I	7.722570004491678*^-6+0.*I	0.+0.013737331123154348*I	0.00003822218345902856+0.*I	0.+0.039145715831655666*I	0.00004328784849538264+0.*I	0.+0.20968535633876795*I	-0.4998999120091133+0.*I	0.-0.6385826928358573*I	-0.49990215627746704+0.*I	0.+0.2105622099311283*I	0.00005965285792990769+0.*I	0.+0.041062601231640884*I	0.00004321133864835448+0.*I	0.+0.017012891337906535*I	0.00003940051258426851+0.*I	0.+0.00907242204277844*I	0.00002188519142967693+0.*I	0.+0.005528613541495096*I	0.00003438992407233909+0.*I	0.+0.0036201393435010124*I	0.00001041977313285038+0.*I	0.+0.002520706669036731*I	0.000024449135605418383+0.*I	0.+0.001789314831005454*I	0.000010349449419278937+0.*I	0.+0.0013084323178786015*I	0.000012905563953132727+0.*I	0.+0.0009539124163497336*I	9.023621351139538*^-6+0.*I	0.+0.0006889728212420462*I	7.010518103005514*^-6+0.*I	0.+0.0004781961303401228*I	4.953790229190167*^-6+0.*I	0.+0.0003020017486324743*I	2.9395401749837566*^-6+0.*I	0.+0.000146249729827389*I	9.737547201579166*^-7+0.*I
-0.000011282837565055782+0.*I	0.+0.005648542284506837*I	0.000032666475696102045+0.*I	0.+0.014898805586558008*I	0.000024936711334313792+0.*I	0.+0.03992080804416084*I	0.00005791169830206711+0.*I	0.+0.2101941136900946*I	-0.49990215627744566+0.*I	0.-0.6382145965948325*I	-0.49989817084947785+0.*I	0.+0.2108271495262324*I	0.0000615624758059849+0.*I	0.+0.04125980158302186*I	0.00004495622031398585+0.*I	0.+0.01716121088141208*I	0.00004089059902272454+0.*I	0.+0.009184473687126138*I	0.000023107086531988607+0.*I	0.+0.005612821482358126*I	0.000035363678809374704+0.*I	0.+0.00368218113248316*I	0.000011163663489589702+0.*I	0.+0.00256440704348259*I	0.000024973299227404217+0.*I	0.+0.0018171896692321065*I	0.000010661295597839939+0.*I	0.+0.001322008657389684*I	0.000013009049353119444+0.*I	0.+0.0009539124163799457*I	8.92013593029744*^-6+0.*I	0.+0.0006753964817099174*I	6.698671929532124*^-6+0.*I	0.+0.0004503212921555659*I	4.4296266496340155*^-6+0.*I	0.+0.00025830137416087124*I	2.1956497804183017*^-6+0.*I	0.+0.00008420794084818652*I
0.+0.001992682138853044*I	0.000013661068154396662+0.*I	0.+0.006810016747933051*I	0.000019381003581646325+0.*I	0.+0.015673897799028513*I	0.00003956056113305357+0.*I	0.+0.04042956539548066*I	0.000055667429978594736+0.*I	0.+0.21056220993110633*I	-0.4998981708494813+0.*I	0.-0.6379496569996613*I	-0.49989626123163083+0.*I	0.+0.2110243498776174*I	0.00006330735749341719+0.*I	0.+0.04140812112652145*I	0.0000464463067338132+0.*I	0.+0.017273262525779827*I	0.000042112494122080064+0.*I	0.+0.0092686816279523*I	0.0000240808412164204+0.*I	0.+0.005674863271360276*I	0.00003610756922805923+0.*I	0.+0.0037258815068987694*I	0.000011687827070669667+0.*I	0.+0.0025922818816972505*I	0.000025285145453135267+0.*I	0.+0.0018307660087443212*I	0.000010764780985689579+0.*I	0.+0.0013220086573740904*I	0.000012905563954206277+0.*I	0.+0.0009403360768666751*I	8.608289750517317*^-6+0.*I	0.+0.0006475216435450407*I	6.174508322274083*^-6+0.*I	0.+0.00040662091771115116*I	3.6857361853923266*^-6+0.*I	0.+0.0001962595851852699*I	1.221895116266245*^-6+0.*I
