0.3023470476406044-0.000013644758523555944*I	0.10469409527208216-0.000012172142325339707*I	0.04206369357245262-9.525867132706252*^-6*I	0.01952349645313312-7.5184468916616325*^-6*I	0.0102721415190011-6.11409477485433*^-6*I	0.005978445883642563-5.1134786549964116*^-6*I	0.0037627316269245067-4.373544970494985*^-6*I	0.0025154570948261873-3.8060755531609918*^-6*I	0.0017626066670485337-3.357003432275478*^-6*I	0.0012820574346434966-2.992198131179069*^-6*I	0.0009611126582067432-2.689301428740942*^-6*I	0.0007386366921530303-2.4331345546095044*^-6*I	0.0005795529423468839-2.2130584358487026*^-6*I	0.0004627653563335436-2.021404903316394*^-6*I	0.00037506917764982737-1.8525111485591036*^-6*I	0.00030791153373179814-1.7021055425036222*^-6*I	0.00025558630930279765-1.566905098864074*^-6*I	0.0002141869996643492-1.444344496044393*^-6*I	0.00018097756955846782-1.33238925201807*^-6*I	0.0001540026076946221-1.22940413717158*^-6*I	0.00013183906416384828-1.1340586977586246*^-6*I	0.00011343424779248943-1.0452582386580621*^-6*I	0.00009799777168235435-9.620926051511334*^-7*I	0.00008492804183145262-8.837976226594964*^-7*I	0.00007376133859888981-8.097256787476056*^-7*I	0.00006413596236478496-7.393230015123089*^-7*I	0.00005576660104353692-6.721119056276812*^-7*I	0.000048425745273891305-6.07676766157682*^-7*I	0.000041930033945189175-5.456528186182145*^-7*I	0.000036130094634660075-4.857171212886096*^-7*I	0.000030902890980239-4.2758118463915584*^-7*I	0.00002614588715702998-3.7098489418563926*^-7*I	0.00002177254107180612-3.156914413091279*^-7*I	0.000017708775701694695-2.6148304122264637*^-7*I	0.000013890173287712868-2.0815726493748421*^-7*I	0.00001025970351622308-1.5552384736492129*^-7*I	6.765843334978106*^-6-1.0340185978772762*^-7*I	3.3609785737833168*^-6-5.161715409813466*^-8*I
0.10469409527208212-0.000012172142325339705*I	0.3444107412130568-0.00002317062565626218*I	0.12421759172521524-0.000019690589217001338*I	0.052335835091453724-0.00001563996190756058*I	0.025501942336775666-0.000012631925546658039*I	0.01403487314592561-0.000010487639745349308*I	0.008493902978468743-8.919554208157392*^-6*I	0.005525338293973041-7.73054840277046*^-6*I	0.003797514529469682-6.79827368434006*^-6*I	0.0027237193252552753-6.046304861016415*^-6*I	0.002020694126796527-5.425332685788572*^-6*I	0.0015406656005536273-4.902359864589644*^-6*I	0.0012014020484865738-4.454539457925899*^-6*I	0.0009546221199967109-4.0655695844078035*^-6*I	0.0007706768900653414-3.7235104458200157*^-6*I	0.0006306554869526246-3.4194162474231772*^-6*I	0.000522098533396147-3.1464500385480135*^-6*I	0.0004365638788612651-2.8992943508821424*^-6*I	0.00036818960735897105-2.67374863321597*^-6*I	0.0003128166337223159-2.4664479497766936*^-6*I	0.00026743685548711124-2.2746623758296412*^-6*I	0.00022983683584620245-2.0961513029097567*^-6*I	0.00019836228962394193-1.929055861317558*^-6*I	0.0001717591102812441-1.7718182838987387*^-6*I	0.00014906400419623748-1.6231206241718044*^-6*I	0.00012952793964242663-1.481837584375286*^-6*I	0.00011256170763867622-1.3469997676699904*^-6*I	0.00009769663498872604-1.2177647242458949*^-6*I	0.00008455583990855135-1.0933938874462916*^-6*I	0.00007283292492542814-9.732340032573697*^-7*I	0.00006227598179169004-8.567020154742482*^-7*I	0.0000526754320520451-7.432726259482833*^-7*I	0.00004385466285872466-6.32467935408285*^-7*I	0.000035662714359518965-5.238487062466117*^-7*I	0.00002796847921791777-4.170068885875674*^-7*I	0.000020656016622690963-3.115591247252117*^-7*I	0.000013620682090006389-2.0714100146305586*^-7*I	6.7658433349781015*^-6-1.0340185978772758*^-7*I
0.04206369357245261-9.525867132706252*^-6*I	0.12421759172521527-0.00001969058921700134*I	0.3546828827320581-0.00002928472043111652*I	0.1301960376088578-0.00002480406787199775*I	0.05609856671837821-0.000020013506878055563*I	0.02801739943160184-0.000016438001099819035*I	0.01579747981297415-0.00001384464317762479*I	0.009775960413112248-0.000011911752339336473*I	0.006486450952179785-0.000010419849831511406*I	0.004536151221622717-9.231408238949566*^-6*I	0.0033032722676021634-8.259363296865127*^-6*I	0.002483459483130072-7.446737589104973*^-6*I	0.0019157347782034551-6.754871013148751*^-6*I	0.0015093135822183718-6.156645000429521*^-6*I	0.001210208429299508-5.6324746832718785*^-6*I	0.0009848638897296893-5.1678549418644065*^-6*I	0.0008116330565110919-4.7518054994412446*^-6*I	0.0006761011410907689-4.37585417571959*^-6*I	0.0005684029430251135-4.033353048640767*^-6*I	0.0004816238551514606-3.7190068718740337*^-6*I	0.0004108144054046701-3.4285405549278274*^-6*I	0.00035236489731856383-3.1584599984891364*^-6*I	0.0003035981744450924-2.905876981657364*^-6*I	0.00026249825198872693-2.668378862829866*^-6*I	0.0002275257113247809-2.443930189526419*^-6*I	0.00019748974947012872-2.2307973903294864*^-6*I	0.00017145797358761574-2.0274904029935004*^-6*I	0.00014869180227333626-1.8327168889585992*^-6*I	0.00012859952596896502-1.6453459088850506*^-6*I	0.00011070172706558132-1.4643787816319301*^-6*I	0.00009460546599723428-1.2889254445664982*^-6*I	0.00007998475749338475-1.1181850566968957*^-6*I	0.00006656560533975799-9.514298908857678*^-7*I	0.00005411436637494772-7.879917827732066*^-7*I	0.00004242855769449706-6.272505660343395*^-7*I	0.000031329457791701084-4.6862404268570236*^-7*I	0.000020656016622690966-3.1155912472521184*^-7*I	0.000010259703516223077-1.5552384736492129*^-7*I
0.019523496453133095-7.518446891661629*^-6*I	0.05233583509145368-0.000015639961907560573*I	0.13019603760885778-0.00002480406787199775*I	0.35844561435898237-0.00003365826540161151*I	0.13271149470368399-0.00002861014342515873*I	0.05786117338542676-0.00002337051031033105*I	0.029299456866245344-0.0000194301992309981*I	0.01675859247118089-0.00001653394460636574*I	0.01051459710526529-0.000014344886893945991*I	0.007066003894526672-0.000012632908267360118*I	0.004998916577956263-0.00001125281314226597*I	0.0036783414452519906-0.000010111874445424231*I	0.0027913710168618717-9.148843131608595*^-6*I	0.0021713210875062535-8.321776112012818*^-6*I	0.0017235005818827197-7.600989496473908*^-6*I	0.0013911859988579745-6.964863935289943*^-6*I	0.0011388664974243104-6.397259079035979*^-6*I	0.0009434721206749397-5.885864197199868*^-6*I	0.0007895353888832576-5.42111241437765*^-6*I	0.0006664007147074675-4.995445653791899*^-6*I	0.0005665518969829128-4.6028044945335255*^-6*I	0.0004845757440035595-4.23826623367543*^-6*I	0.0004165008596833486-3.897783000001443*^-6*I	0.00035936477548862897-3.5779888872850417*^-6*I	0.00031092399726261803-3.2760556289875454*^-6*I	0.00026945574526996986-2.989583008144631*^-6*I	0.00023361984410478868-2.716514511618094*^-6*I	0.00020236086456785457-2.455071587632654*^-6*I	0.0001748376894303662-2.203701783144237*^-6*I	0.00015037206704077112-1.9610373501941778*^-6*I	0.000128410502767276-1.7258618228545763*^-6*I	0.00010849563928494713-1.497082709503982*^-6*I	0.00009024446100960779-1.273708904061816*^-6*I	0.00007333144867473603-1.0548317506734946*^-6*I	0.00005747534494873103-8.396089368713409*^-7*I	0.000042428557694497057-6.272505660343394*^-7*I	0.00002796847921791777-4.170068885875675*^-7*I	0.000013890173287712863-2.0815726493748421*^-7*I
0.010272141519001101-6.114094774854329*^-6*I	0.025501942336775663-0.00001263192554665804*I	0.05609856671837822-0.000020013506878055577*I	0.13271149470368407-0.00002861014342515876*I	0.36020822102603095-0.00003701526883388698*I	0.13399355213832742-0.000031602341556337805*I	0.058822286043633494-0.000026059811739071975*I	0.030038093558398406-0.000021863333785607617*I	0.01733814541352779-0.000018747003042214455*I	0.010977362461598836-0.000016366291797262377*I	0.007441073072176506-0.000014485419415919234*I	0.005306828111688064-0.0000129549186847696*I	0.00393392775455479-0.000011678779544288307*I	0.003005558016526219-0.000010593187627652981*I	0.0023522986570647195-9.654165364030879*^-6*I	0.00187750318957734-8.830393633645478*^-6*I	0.0015230250630218218-8.098922633048559*^-6*I	0.0012523007452168-7.442517317694033*^-6*I	0.0010414698923572926-6.84795680235099*^-6*I	0.0008744634307147099-6.30491003703714*^-6*I	0.0007401620533063569-5.805171332539497*^-6*I	0.0006306878593476975-5.342127496045829*^-6*I	0.0005403423450470961-4.910378139303109*^-6*I	0.00046492660495723963-4.505459766159122*^-6*I	0.0004012948094338179-4.123641705903251*^-6*I	0.0003470540918972778-3.7617727502761516*^-6*I	0.0003003586362502088-3.4171641927837835*^-6*I	0.0002597657312618183-3.087499405803729*^-6*I	0.00022413340563966067-2.7707630289417807*^-6*I	0.0001925464651320609-2.4651848243668814*^-6*I	0.00016426224032848393-2.1691946151316615*^-6*I	0.00013867020628349912-1.8813856702194976*^-6*I	0.00011526148261992519-1.6004845692917084*^-6*I	0.00009360543958339106-1.3253260581599496*^-6*I	0.00007333144867473602-1.0548317506734948*^-6*I	0.00005411436637494772-7.879917827732064*^-7*I	0.00003566271435951896-5.238487062466118*^-7*I	0.000017708775701694695-2.614830412226464*^-7*I
0.005978445883642564-5.1134786549964065*^-6*I	0.014034873145925612-0.000010487639745349315*I	0.028017399431601864-0.00001643800109981904*I	0.05786117338542678-0.00002337051031033105*I	0.13399355213832753-0.00003160234155633782*I	0.36116933368423776-0.00003970457026262794*I	0.13473218883048052-0.00003403547611094732*I	0.05940183898598041-0.00002827287017492073*I	0.03050085891473196-0.000023884738688924042*I	0.017713214591177626-0.000020599514190773575*I	0.011285273995330636-0.00001806839733976604*I	0.007696659381479306-0.00001605232451478332*I	0.005521015111352416-0.000014399263180813992*I	0.0041149053241132565-0.000013011168796306371*I	0.00315956062422084-0.000011822591764824542*I	0.0024841377212285643-0.00001078822406178949*I	0.0019909374373698286-9.875651872303527*^-6*I	0.001621022834704175-9.06101523819969*^-6*I	0.0013372287870482514-8.32631494035353*^-6*I	0.001115231230956182-7.657682481098595*^-6*I	0.0009385993930794943-7.0442330385494474*^-6*I	0.0007959286543498934-6.477283238167177*^-6*I	0.0006791136046215884-5.949804262203513*^-6*I	0.0005822723789922856-5.456030957921321*^-6*I	0.0005010566995918998-4.991176887447728*^-6*I	0.0004321977004140566-4.551222890542406*^-6*I	0.00037319997905430773-4.13275764446179*^-6*I	0.00032213117732201457-3.7328556340929107*^-6*I	0.00027747450696351305-3.3489824470263775*^-6*I	0.00023802357892737354-2.9789202938792657*^-6*I	0.0002028061686482839-2.6207086717318047*^-6*I	0.0001710280836634621-2.27259647491939*^-6*I	0.0001420311848572824-1.9330028243176323*^-6*I	0.0001152614826199252-1.6004845692917086*^-6*I	0.00009024446100960777-1.2737089040618153*^-6*I	0.00006656560533975794-9.514298908857675*^-7*I	0.00004385466285872465-6.324679354082853*^-7*I	0.000021772541071806108-3.1569144130912767*^-7*I
0.003762731626924507-4.373544970494984*^-6*I	0.008493902978468753-8.919554208157408*^-6*I	0.01579747981297415-0.000013844643177624802*I	0.029299456866245376-0.000019430199230998116*I	0.05882228604363353-0.000026059811739072002*I	0.13473218883048052-0.000034035476110947334*I	0.3617488866265847-0.000041917628698476667*I	0.13519495418681413-0.00003605688101426377*I	0.0597769081636303-0.00003012538132347986*I	0.03080877044846376-0.000025586844231427694*I	0.017968800900480426-0.000022166419289637675*I	0.011499460994994999-0.000019512741835810438*I	0.007877636951037775-0.000017384713766801375*I	0.005675017719047033-0.000015628667317985548*I	0.0042467443882771-0.000014145227494064977*I	0.0032729948720133253-0.000012867850003482594*I	0.002582135492910916-0.000011750316666940612*I	0.0020758654792012786-0.000010759449494963015*I	0.0016947841733030635-9.870740916947282*^-6*I	0.0014013647494130366-9.065637941865826*^-6*I	0.0011709978319997187-8.329794386726268*^-6*I	0.0009870251383533853-7.651909804707123*^-6*I	0.0008378586882950823-7.0229360567853855*^-6*I	0.0007152436992562483-6.435521383492115*^-6*I	0.0006131752699725235-5.883612142560468*^-6*I	0.000527202586748929-5.362161781633364*^-6*I	0.00045397024148586255-4.866914331851532*^-6*I	0.000390908754756002-4.394240685684433*^-6*I	0.00033602135060972733-3.941012899030395*^-6*I	0.00028773421047973596-3.504506294391298*^-6*I	0.00024478942226235163-3.082322153666993*^-6*I	0.00020616714722206727-2.67232582582994*^-6*I	0.00017102808366346208-2.2725964749193892*^-6*I	0.00013867020628349902-1.8813856702194965*^-6*I	0.00010849563928494707-1.4970827095039807*^-6*I	0.0000799847574933847-1.1181850566968944*^-6*I	0.00005267543205204509-7.432726259482831*^-7*I	0.00002614588715702996-3.709848941856388*^-7*I
0.002515457094826187-3.806075553160994*^-6*I	0.005525338293973044-7.730548402770466*^-6*I	0.009775960413112255-0.000011911752339336478*I	0.016758592471180896-0.000016533944606365752*I	0.030038093558398395-0.00002186333378560762*I	0.05940183898598043-0.00002827287017492071*I	0.1351949541868141-0.000036056881014263755*I	0.36212395580423457-0.0000437701398470358*I	0.1355028657205459-0.000037758986556767425*I	0.060032494472933094-0.00003169228642234394*I	0.031022957448128132-0.000027031188727472092*I	0.01814977847003891-0.000023498808541655758*I	0.011653463602689618-0.000020742145972982*I	0.00800947601520162-0.000018518772464559983*I	0.005788451966839519-0.000016673925556643593*I	0.0043447421599594515-0.000015107320099216084*I	0.0033579229138447756-0.000013751647626142072*I	0.002655896831509803-0.000012560042345688201*I	0.0021400014415660605-0.000011498772496475315*I	0.0017505507743465992-0.000010542852822574953*I	0.0014497904946869258-9.673314708023505*^-6*I	0.0012129278659449066-8.875447205344475*^-6*I	0.0010231552329880446-8.13762692599573*^-6*I	0.0008687615792753204-7.450517241424534*^-6*I	0.000741389586413277-6.8065062776777456*^-6*I	0.0006349478110443289-6.199303583869591*^-6*I	0.0005449113624506233-5.623644822856006*^-6*I	0.0004678604147735748-5.07507159678901*^-6*I	0.00040116845827222505-4.549764533049354*^-6*I	0.0003427871939447055-4.0444147588181205*^-6*I	0.0002910951890535195-3.5561234484894322*^-6*I	0.0002447894222623518-3.0823221536669926*^-6*I	0.00020280616864828396-2.620708671731803*^-6*I	0.00016426224032848393-2.1691946151316602*^-6*I	0.000128410502767276-1.7258618228545756*^-6*I	0.00009460546599723423-1.2889254445664974*^-6*I	0.00006227598179169-8.567020154742481*^-7*I	0.00003090289098023899-4.2758118463915563*^-7*I
0.0017626066670485348-3.3570034322754818*^-6*I	0.003797514529469687-6.79827368434007*^-6*I	0.006486450952179789-0.000010419849831511418*I	0.010514597105265295-0.000014344886893946001*I	0.017338145413527784-0.00001874700304221446*I	0.030500858914731963-0.00002388473868892405*I	0.05977690816363032-0.00003012538132347986*I	0.13550286572054604-0.00003775898655676745*I	0.36237954211353773-0.00004533704494589993*I	0.1357170527202104-0.00003920333105281185*I	0.06021347204249162-0.000033024675674362036*I	0.031176960055822767-0.00002826059286464368*I	0.01828161753420276-0.000024632867239414366*I	0.011766897850482096-0.000021787404211640033*I	0.008107473786883972-0.000019480865069711096*I	0.005873380008670964-0.000017557723179303067*I	0.004418503498558338-0.000015917045777963668*I	0.0034220588762095554-0.000014490970627654357*I	0.0027116634325533373-0.000013232154251315867*I	0.002188427186839951-0.000012106449262632976*I	0.0017924808082917865-0.000011088505641193154*I	0.001485920589321584-0.000010159031829312093*I	0.0012438307569251452-9.303028389983612*^-6*I	0.0010493011201450737-8.50861182018135*^-6*I	0.0008905341203471253-7.766208682733654*^-6*I	0.000759098362114971-7.067989318900385*^-6*I	0.0006488379843320417-6.407460848807071*^-6*I	0.0005551710659668458-5.779168670220922*^-6*I	0.0004746262581085529-5.178473456576738*^-6*I	0.0004045294368460082-4.601381687147485*^-6*I	0.0003427871939447055-4.0444147588181205*^-6*I	0.00028773421047973617-3.5045062943912977*^-6*I	0.0002380235789273735-2.9789202938792636*^-6*I	0.0001925464651320607-2.465184824366881*^-6*I	0.00015037206704077098-1.961037350194176*^-6*I	0.00011070172706558125-1.464378781631929*^-6*I	0.0000728329249254281-9.732340032573691*^-7*I	0.000036130094634660034-4.857171212886092*^-7*I
0.0012820574346434968-2.9921981311790696*^-6*I	0.002723719325255278-6.04630486101642*^-6*I	0.004536151221622717-9.231408238949575*^-6*I	0.007066003894526674-0.000012632908267360123*I	0.010977362461598833-0.000016366291797262394*I	0.01771321459117761-0.00002059951419077358*I	0.03080877044846377-0.00002558684423142768*I	0.06003249447293312-0.00003169228642234397*I	0.1357170527202103-0.00003920333105281183*I	0.3625605196830959-0.00004666943419791798*I	0.135871055327905-0.000040432735189983404*I	0.06034531110665543-0.000034158734372120644*I	0.031290394303615264-0.000029305851103301712*I	0.01837961530588509-0.000025594959844565448*I	0.011851825892313539-0.00002267120183429949*I	0.008181235125482847-0.000020290590748458646*I	0.00593751597103574-0.000018297046180815334*I	0.004474270099601866-0.00001658915768359132*I	0.0034704846214834418-0.00001509864739381202*I	0.0027535934664985238-0.000013777807069934055*I	0.002224557281474608-0.000012592166383921561*I	0.0018233836992720236-0.000011516086825832283*I	0.0015120664764786127-0.000010530016723497711*I	0.0012656032979969489-9.618719831292729*^-6*I	0.0010670098958467662-8.770094861403977*^-6*I	0.000904424293634837-7.97436594767112*^-6*I	0.0007693580656311932-7.223513166265295*^-6*I	0.0006556038276670184-6.510862708594785*^-6*I	0.0005585320445406285-5.83078582431905*^-6*I	0.00047462625810855235-5.178473456576732*^-6*I	0.0004011684582722245-4.549764533049347*^-6*I	0.0003360213506097271-3.9410128990303885*^-6*I	0.0002774745069635128-3.348982447026371*^-6*I	0.0002241334056396603-2.770763028941776*^-6*I	0.0001748376894303659-2.2037017831442336*^-6*I	0.00012859952596896477-1.6453459088850474*^-6*I	0.00008455583990855123-1.0933938874462897*^-6*I	0.00004193003394518909-5.456528186182135*^-7*I
