0.-0.8487992270493772*I	-0.49996983924127236+0.*I	0.+0.1697863584708242*I	0.00003535229011418636+0.*I	0.+0.024230161639198868*I	-6.458717140309388*^-6+0.*I	0.+0.008095650971771118*I	0.000019047056696017654+0.*I	0.+0.0036628344630498244*I	9.429464614717827*^-7+0.*I	0.+0.0019768664913267925*I	6.455960151795952*^-6+0.*I	0.+0.0011807994942928668*I	3.9135898721447696*^-6+0.*I	0.+0.0007613778141229641*I	3.426818929241935*^-6+0.*I	0.+0.0005176490319254295*I	2.944924127131045*^-6+0.*I	0.+0.0003661897447307244*I	2.5100045974991406*^-6+0.*I	0.+0.0002668477034060632*I	2.1406610594046344*^-6+0.*I	0.+0.0001986862696607694*I	1.820272799688085*^-6+0.*I	0.+0.00015006073401828413*I	1.5350612712752084*^-6+0.*I	0.+0.00011412580503666198*I	1.2761691582528307*^-6+0.*I	0.+0.00008666038386935526*I	1.037310648478526*^-6+0.*I	0.+0.00006494697166373187*I	8.136034810616152*^-7+0.*I	0.+0.00004716125892091638*I	6.011096418233793*^-7+0.*I	0.+0.00003202244780842883*I	3.965396096904652*^-7+0.*I	0.+0.000018582638505085236*I	1.970353577541018*^-7+0.*I	0.+6.092379032839046*^-6*I
-0.49996983924500926+0.*I	0.-0.6790128685769702*I	-0.499934486948158+0.*I	0.+0.19401652010723938*I	0.000028893567619343925+0.*I	0.+0.032325812607965104*I	0.000012588340840280311+0.*I	0.+0.011758485438670911*I	0.000019990003668677988+0.*I	0.+0.005639700957089681*I	7.398911110895962*^-6+0.*I	0.+0.0031576659891253303*I	0.00001036954633415138+0.*I	0.+0.0019421773067062977*I	7.3404062493711344*^-6+0.*I	0.+0.0012790268376221404*I	6.371742986044*^-6+0.*I	0.+0.0008838387716891806*I	5.454932494047978*^-6+0.*I	0.+0.0006330374540321375*I	4.650655151345809*^-6+0.*I	0.+0.00046553397450317473*I	3.96093695091477*^-6+0.*I	0.+0.000348747000121541*I	3.3553375392244347*^-6+0.*I	0.+0.0002641865404087083*I	2.8112273068019903*^-6+0.*I	0.+0.00020078618990438887*I	2.3134765507429053*^-6+0.*I	0.+0.00015160736060457753*I	1.8509159551077065*^-6+0.*I	0.+0.00011210823503721611*I	1.4147104221896423*^-6+0.*I	0.+0.00007918370583220299*I	9.976575726894412*^-7+0.*I	0.+0.00005060508500908119*I	5.935749594693672*^-7+0.*I	0.+0.00002467502103037989*I	1.970354598715418*^-7+0.*I
0.+0.16978635846856202*I	-0.49993448695652204+0.*I	0.-0.6547827069385732*I	-0.4999409456665352+0.*I	0.+0.2021121710799651*I	0.00004794062594735839+0.*I	0.+0.03598864707717978*I	0.000013531283836390606+0.*I	0.+0.013735351928949507*I	0.000026445963390665198+0.*I	0.+0.006820500451496771*I	0.00001131249404931449+0.*I	0.+0.003919043805266892*I	0.000013796368455529177+0.*I	0.+0.002459826329693028*I	0.000010285335473558438+0.*I	0.+0.0016452165952843892*I	8.881743313601729*^-6+0.*I	0.+0.0011506864731103614*I	7.595591459589229*^-6+0.*I	0.+0.0008317237216828727*I	6.4709389473499086*^-6+0.*I	0.+0.0006155947075293378*I	5.495994005431514*^-6+0.*I	0.+0.0004628728085722261*I	4.631507284848497*^-6+0.*I	0.+0.00035084691962324055*I	3.848532933791415*^-6+0.*I	0.+0.0002657331604340035*I	3.127081338236289*^-6+0.*I	0.+0.00019876861576206134*I	2.452023934297103*^-6+0.*I	0.+0.00014413067917552064*I	1.81125039382295*^-6+0.*I	0.+0.0000977663435182477*I	1.1946880782239478*^-6+0.*I	0.+0.000056697467896646425*I	5.935747315712022*^-7+0.*I	0.+0.000018582636546055076*I
0.00003535228182967041+0.*I	0.+0.19401652010450413*I	-0.4999409456684305+0.*I	0.-0.6466870559705099*I	-0.4999218986132908+0.*I	0.+0.2057750055465464*I	0.000048883569259424605+0.*I	0.+0.03796551357004285*I	0.00001998724551282617+0.*I	0.+0.014916151421876122*I	0.000030359552736416728+0.*I	0.+0.007581878269517535*I	0.000014739316086275371+0.*I	0.+0.00443669283111737*I	0.0000167412944748458+0.*I	0.+0.0028260160789134892*I	0.00001279533221805384+0.*I	0.+0.0019120642928300525*I	0.000011022414155956224+0.*I	0.+0.0013493727461326437*I	9.415856715100846*^-6+0.*I	0.+0.0009817844553617365*I	8.0059969264182*^-6+0.*I	0.+0.0007297205088299698*I	6.772166202111816*^-6+0.*I	0.+0.0005495331932378675*I	5.668813823656726*^-6+0.*I	0.+0.0004157938948995672*I	4.662134613198658*^-6+0.*I	0.+0.0003128944238737612*I	3.7281945733123576*^-6+0.*I	0.+0.00023079106231267202*I	2.848562111366837*^-6+0.*I	0.+0.00016271331976883902*I	2.0082851722368447*^-6+0.*I	0.+0.00010385872078999389*I	1.1946841005808851*^-6+0.*I	0.+0.000050605085352465954*I	3.965419419910132*^-7+0.*I
0.+0.024230161639727174*I	0.000028893567031818278+0.*I	0.+0.2021121710776943*I	-0.49992189861124076+0.*I	0.-0.6430242215050088*I	-0.4999209556644378+0.*I	0.+0.20775187204011752*I	0.000055339531207142625+0.*I	0.+0.03914631306413477*I	0.000023900830861212308+0.*I	0.+0.01567752923571243*I	0.00003378637138727013+0.*I	0.+0.00809952729263979*I	0.000017684240550437305+0.*I	0.+0.00480288257266441*I	0.00001925130076617425+0.*I	0.+0.0030928637889475336*I	0.00001493599593735495+0.*I	0.+0.0021107505593153386*I	0.000012842679976774814+0.*I	0.+0.0014994334810358584*I	0.000010950925238945994+0.*I	0.+0.001095910259930874*I	9.282166398825759*^-6+0.*I	0.+0.0008163808953526863*I	7.809475472417724*^-6+0.*I	0.+0.0006144801646107978*I	6.482410717974513*^-6+0.*I	0.+0.00046295515433923684*I	5.263252419274651*^-6+0.*I	0.+0.000344916866366958*I	4.124729755632984*^-6+0.*I	0.+0.000249373703106473*I	3.045594760347594*^-6+0.*I	0.+0.00016880569695373188*I	2.0082931918541856*^-6+0.*I	0.+0.00009776634786055893*I	9.97648728052069*^-7+0.*I	0.+0.00003202244635447382*I
-6.458723459823229*^-6+0.*I	0.+0.03232581260777584*I	0.00004794062668480814+0.*I	0.+0.20577500553799874*I	-0.49992095566595124+0.*I	0.-0.6410473550064355*I	-0.49991449970376883+0.*I	0.+0.20893267153406145*I	0.000059253116815137434+0.*I	0.+0.039907690876863265*I	0.000027327658607475446+0.*I	0.+0.01619517826418172*I	0.000036731294400258205+0.*I	0.+0.00846571704159462*I	0.000020194244253465378+0.*I	0.+0.005069730276597387*I	0.00002139195294284898+0.*I	0.+0.0032915500533380387*I	0.000016756275204768066+0.*I	0.+0.002260811294965151*I	0.000014377738300842586+0.*I	0.+0.0016135592859997105*I	0.00001222709603926941+0.*I	0.+0.0011825706417959258*I	0.000010319475647870372+0.*I	0.+0.0008813278686531196*I	8.623082126680965*^-6+0.*I	0.+0.0006616414251040035*I	7.0835193438421045*^-6+0.*I	0.+0.0004949776007416092*I	5.659792765457153*^-6+0.*I	0.+0.0003634995050332384*I	4.321763492567174*^-6+0.*I	0.+0.00025546608182702376*I	3.0455987779432968*^-6+0.*I	0.+0.0001627133171529574*I	1.811247931472248*^-6+0.*I	0.+0.00007918370420040166*I	6.01115349940784*^-7+0.*I
0.+0.008095650970342962*I	0.000012588341503069254+0.*I	0.+0.03598864707173787*I	0.00004888357210915768+0.*I	0.+0.20775187203562992*I	-0.49991449970293367+0.*I	0.-0.6398665555155204*I	-0.4999105861168956+0.*I	0.+0.20969404934836156*I	0.0000626799386587995+0.*I	0.+0.04042533990120223*I	0.000030272580520987148+0.*I	0.+0.01656136801283844*I	0.00003924129956828813+0.*I	0.+0.00873256474455119*I	0.000022334905979431728+0.*I	0.+0.0052684165483399895*I	0.000023212230731463646+0.*I	0.+0.0034416107908158966*I	0.000018291327384455677+0.*I	0.+0.0023749370971699255*I	0.000015653913280644253+0.*I	0.+0.0017002196660919067*I	0.000013264405175474637+0.*I	0.+0.0012475176153195142*I	0.0000111330753834256+0.*I	0.+0.0009284891259255523*I	9.224184423357846*^-6+0.*I	0.+0.000693663871059326*I	7.480065881851423*^-6+0.*I	0.+0.0005135602402480677*I	5.856827936815541*^-6+0.*I	0.+0.0003695918869090209*I	4.3217732173201035*^-6+0.*I	0.+0.0002493737018446629*I	2.8485607690107366*^-6+0.*I	0.+0.00014413068270772988*I	1.4147096971926484*^-6+0.*I	0.+0.0000471612619147993*I
0.000019047061514796494+0.*I	0.+0.011758485439525379*I	0.000013531278799308906+0.*I	0.+0.03796551357077657*I	0.000055339538837994386+0.*I	0.+0.20893267152726863*I	-0.49991058611932493+0.*I	0.-0.639105177698092*I	-0.49990715929574175+0.*I	0.+0.21021169837314702*I	0.00006562486542498707+0.*I	0.+0.040791529645534265*I	0.000032782585012271+0.*I	0.+0.016828215716870053*I	0.000041381950969407864+0.*I	0.+0.008931251014852358*I	0.00002415518145459028+0.*I	0.+0.005418477279932059*I	0.00002474728664427264+0.*I	0.+0.0035557365872471683*I	0.000019567507142345768+0.*I	0.+0.002461597483262511*I	0.000016691217900168334+0.*I	0.+0.0017651666459792537*I	0.000014078008254884386+0.*I	0.+0.001294678875554026*I	0.000011734184525184703+0.*I	0.+0.0009605115778659196*I	9.620737905883597*^-6+0.*I	0.+0.00071224651093013*I	7.677090390648059*^-6+0.*I	0.+0.0005196526231952351*I	5.85682988742565*^-6+0.*I	0.+0.0003634995069492014*I	4.124731697579069*^-6+0.*I	0.+0.0002307910634827012*I	2.4520186397179967*^-6+0.*I	0.+0.00011210823180738448*I	8.135967007605327*^-7+0.*I
0.+0.0036628344660639273*I	0.000019990003648511374+0.*I	0.+0.013735351931659527*I	0.000019987244458584116+0.*I	0.+0.039146313063921315*I	0.000059253119172388974+0.*I	0.+0.20969404934644406*I	-0.49990715929096907+0.*I	0.-0.6385875286737034*I	-0.49990421437363947+0.*I	0.+0.2105778881203093*I	0.0000681348675624648+0.*I	0.+0.04105837735758391*I	0.000034923243807552574+0.*I	0.+0.01702690198733163*I	0.00004320223141481242+0.*I	0.+0.009081311747414146*I	0.00002569023677918575+0.*I	0.+0.005532603084041715*I	0.00002602346287596626+0.*I	0.+0.003642396972533553*I	0.0000206048088277116+0.*I	0.+0.0025265444563892445*I	0.000017504824537364872+0.*I	0.+0.0018123278990871267*I	0.000014679112204990433+0.*I	0.+0.0013267013189997082*I	0.000012130726721377009+0.*I	0.+0.0009790942146236103*I	9.817762683371134*^-6+0.*I	0.+0.0007183388865940887*I	7.677104707068162*^-6+0.*I	0.+0.0005135602432736752*I	5.65979671363257*^-6+0.*I	0.+0.00034491686331460797*I	3.728192288563797*^-6+0.*I	0.+0.0001987686226555957*I	1.8509061973078633*^-6+0.*I	0.+0.00006494697038507413*I
9.429518997260404*^-7+0.*I	0.+0.005639700963187639*I	0.00002644596061331381+0.*I	0.+0.01491615142956772*I	0.000023900833030761347+0.*I	0.+0.03990769087603614*I	0.00006267993575519086+0.*I	0.+0.2102116983716532*I	-0.49990421436906746+0.*I	0.-0.6382213389239886*I	-0.4999017043706429+0.*I	0.+0.2108447358216815*I	0.00007027553686224138+0.*I	0.+0.041257063624616126*I	0.00003674351057799637+0.*I	0.+0.017176962721739537*I	0.00004473729511681392+0.*I	0.+0.00919543755021698*I	0.000026966404596177036+0.*I	0.+0.00561926346725101*I	0.00002706077549605885+0.*I	0.+0.0037073439502738675*I	0.000021418407093402598+0.*I	0.+0.0025737057176438267*I	0.000018105935054748654+0.*I	0.+0.0018443503465228705*I	0.00001507565447089602+0.*I	0.+0.001345283963298281*I	0.000012327771266005555+0.*I	0.+0.0009851865950046682*I	9.817757886720608*^-6+0.*I	0.+0.0007122465139909929*I	7.480063665336291*^-6+0.*I	0.+0.0004949775980881814*I	5.263247477441101*^-6+0.*I	0.+0.0003128944210607988*I	3.1270823812405036*^-6+0.*I	0.+0.00015160735537342898*I	1.0373041655076243*^-6+0.*I
0.+0.001976866486442415*I	7.3989078784503196*^-6+0.*I	0.+0.00682050045945623*I	0.000030359551846694316+0.*I	0.+0.015677529237435088*I	0.000027327651129022375+0.*I	0.+0.040425339906157085*I	0.00006562486925025685+0.*I	0.+0.21057788811544131*I	-0.4999017043746046+0.*I	0.-0.6379544912210664*I	-0.4998995637053+0.*I	0.+0.2110434220866398*I	0.00007209580307897739+0.*I	0.+0.04140712436179469*I	0.000038278575922453474+0.*I	0.+0.017291088519233666*I	0.000046013463330272107+0.*I	0.+0.009282097937146065*I	0.000028003718593823493+0.*I	0.+0.005684210438988743*I	0.000027874371332245895+0.*I	0.+0.0037545052121699188*I	0.000022019518588494616+0.*I	0.+0.0026057281570859916*I	0.000018502475068923057+0.*I	0.+0.0018629329925576171*I	0.00001527269300213376+0.*I	0.+0.001351376334575126*I	0.000012327764589055577+0.*I	0.+0.0009790942191639923*I	9.620728915859437*^-6+0.*I	0.+0.0006936638661226846*I	7.0835220742869*^-6+0.*I	0.+0.00046295516153681965*I	4.662142110483079*^-6+0.*I	0.+0.0002657331525105222*I	2.3134812116443715*^-6+0.*I	0.+0.00008666038337930282*I
