0.30234706915877274-0.000013645607909016361*I	0.10469413840600258-0.000012173842172959683*I	0.04206375851815964-9.528419600750237*^-6*I	0.01952358350685969-7.521855229734957*^-6*I	0.010272251079831499-6.118363338675188*^-6*I	0.0059785784571090754-5.11861292629643*^-6*I	0.0037628878296012587-4.379551582227523*^-6*I	0.002515637659988026-3.8129623202460163*^-6*I	0.0017628124514801485-3.3647793881628575*^-6*I	0.0012822894267025286-3.000873570569407*^-6*I	0.0009613719872657361-2.698887956865532*^-6*I	0.0007389246395690643-2.4436451435396033*^-6*I	0.0005798709541351702-2.2245074883803416*^-6*I	0.0004631150577529722-2.0338083250617757*^-6*I	0.0003754523899452943-1.8658864289707507*^-6*I	0.0003083302933211311-1.7164718456647077*^-6*I	0.0002560428897465704-1.5822833650000055*^-6*I	0.0002146839368163479-1.4607575548490699*^-6*I	0.00018151769036494047-1.3498619490464055*^-6*I	0.00015458906319402085-1.2479634747312239*^-6*I	0.00013247536733840314-1.1537339919426378*^-6*I	0.00011412431704212784-1.066081294401316*^-6*I	0.00009874598083454087-9.84097911472569*^-7*I	0.00008573927777284772-9.070225705769574*^-7*I	0.00007464106782303528-8.342108047304162*^-7*I	0.0000650903079827247-7.65112259779393*^-7*I	0.000056802432111952336-6.99252973118242*^-7*I	0.000049550780671324635-6.362213846125904*^-7*I	0.00004315296348818266-5.756571789318056*^-7*I	0.00003746072069373549-5.172422961454004*^-7*I	0.00003235229455818876-4.606936164660581*^-7*I	0.000027726623264514067-4.0575694666231453*^-7*I	0.000023498869323646913-3.5220202413017793*^-7*I	0.00001959693342118459-2.9981831954905325*^-7*I	0.000015958700123613468-2.484114670783114*^-7*I	0.000012529828750305503-1.9780018677830196*^-7*I	9.261949822211395*^-6-1.478135905895453*^-7*I	6.1111607925049825*^-6-9.82887830534512*^-8*I	3.036738236334398*^-6-4.906868261988284*^-8*I
0.10469413840600257-0.000012173842172959673*I	0.3444108276769323-0.000023174027509766585*I	0.12421772191286228-0.000019695697402694635*I	0.05233600959799114-0.00001564678293942543*I	0.02550216196396876-0.000012640468156031383*I	0.014035138909432763-0.000010497914920902712*I	0.008494216117097102-8.931575246542444*^-6*I	0.005525700281081411-7.74433097039038*^-6*I	0.0037979270866905553-6.813835890815425*^-6*I	0.0027241844387458844-6.0636673450283905*^-6*I	0.0020212140662715953-5.4445187141090115*^-6*I	0.0015412429414009068-4.923395445245869*^-6*I	0.001202039697322036-4.477453468601377*^-6*I	0.0009553233440804642-4.090393917351087*^-6*I	0.0007714453510741031-3.750280170726483*^-6*I	0.0006314952796918647-3.4481697939707547*^-6*I	0.000523014230137479-3.177229400513776*^-6*I	0.00043756058011151094-2.9321453140464107*^-6*I	0.00036927300001036897-2.7087210295802933*^-6*I	0.00031399305770334345-2.5035959409890416*^-6*I	0.0002687133802361486-2.314044769132539*^-6*I	0.00023122134817294394-2.137831903415207*^-6*I	0.0001998635948149754-1.973103864978272*^-6*I	0.00017338704865757604-1.8183087162029848*^-6*I	0.0001508295857555723-1.6721348303563497*^-6*I	0.0001314434999349876-1.5334637778486586*^-6*I	0.00011464108865404923-1.4013336443919834*^-6*I	0.00009995539560013495-1.2749101520500483*^-6*I	0.00008701150136506008-1.1534636807579912*^-6*I	0.00007550525804637141-1.036350795397864*^-6*I	0.00006518734395824952-9.22999242807715*^-7*I	0.00005585116388183565-8.128956405962361*^-7*I	0.00004732355668569863-7.055752662113678*^-7*I	0.00003945756944726037-6.006134912084893*^-7*I	0.000032126762171490096-4.976185063273552*^-7*I	0.000025220649945824857-3.9622505766785664*^-7*I	0.000018640989542810483-2.96088969831753*^-7*I	0.000012298688058545793-1.9688227320942812*^-7*I	6.111160792504983*^-6-9.828878305345121*^-8*I
0.04206375851815962-9.528419600750234*^-6*I	0.12421772191286226-0.000019695697402694642*I	0.3546830787567638-0.000029292390848441787*I	0.13019630036997137-0.000024814310328991074*I	0.05609889742759238-0.00002002633452165295*I	0.02801779962395678-0.000016453430476277413*I	0.0157979513609129-0.00001386269430906557*I	0.009776505543799639-0.000011932448817111862*I	0.006487072268347147-0.00001044321892725592*I	0.004536851726259621-9.257481034355027*^-6*I	0.0033040553928810573-8.288174833408733*^-6*I	0.002484329124024569-7.478327039170789*^-6*I	0.0019166953313462009-6.789281874216627*^-6*I	0.0015103699906431664-6.1939253142660855*^-6*I	0.0012113662338270337-5.672677282351096*^-6*I	0.000986129287890451-5.2110377255755505*^-6*I	0.0008130129700568046-4.7980317430171585*^-6*I	0.0006776032933314996-4.425192875245002*^-6*I	0.0005700359474499139-4.085879305989047*^-6*I	0.0004833973170524963-3.774802323981609*^-6*I	0.0004127390385378844-3.4876938524616116*^-6*I	0.00035445265800899614-3.2210673397094953*^-6*I	0.00030586241599597926-2.9720427081456206*^-6*I	0.00026495390279770027-2.7382161247576637*^-6*I	0.00023018948076952836-2.5175616893212263*^-6*I	0.00020038036642689694-2.30835621496894*^-6*I	0.00017459646342317018-2.1091209567804634*^-6*I	0.00015210180934778462-1.9185759405373832*^-6*I	0.00013230769015832366-1.7356037685161055*^-6*I	0.00011473812462957413-1.5592206274203052*^-6*I	0.00009900412737001825-1.3885528195280416*^-6*I	0.00008478427737943408-1.2228175623567683*^-6*I	0.00007180986400544906-1.0613071076745473*^-6*I	0.00005985338543600412-9.033754529896695*^-7*I	0.00004871951926947174-7.484270817980343*^-7*I	0.00003823792296399506-5.959072893808064*^-7*I	0.000028257388182159252-4.452937402877394*^-7*I	0.000018640989542810483-2.960889698317532*^-7*I	9.261949822211396*^-6-1.4781359058954533*^-7*I
0.019523583506859697-7.52185522973496*^-6*I	0.05233600959799114-0.00001564678293942543*I	0.13019630036997132-0.000024814310328991067*I	0.3584459665863649-0.0000336719424306693*I	0.13271193802995931-0.00002862727264923708*I	0.05786170987907252-0.0000233911139098158*I	0.029300089050659298-0.000019454304046846806*I	0.01675932334817865-0.000016561582265931098*I	0.010515430183368701-0.000014376093960651462*I	0.007066943222482319-0.000012667726415636255*I	0.004999966784012593-0.00001129128935941681*I	0.0036795077828263496-0.000010154061262379482*I	0.002792659417345695-9.194798884835494*^-6*I	0.002172738221092769-8.371565239216623*^-6*I	0.0017250539274595133-7.654682869115148*^-6*I	0.0013928839241919729-7.022539231397494*^-6*I	0.0011407183510844703-6.4590012003067695*^-6*I	0.0009454883373952076-5.9517657349597924*^-6*I	0.0007917276103736268-5.491274169646314*^-6*I	0.000668781928284454-5.069977217461612*^-6*I	0.0005691365948253433-4.681824894558562*^-6*I	0.00048738010636091897-4.321904657192023*^-6*I	0.0004195429659917204-3.986179599488881*^-6*I	0.0003626648481079311-3.6712956812638595*^-6*I	0.0003145046834690244-3.374437509370252*^-6*I	0.0002733424442577109-3.0932188682530305*^-6*I	0.00023784108712063216-2.825598511114337*^-6*I	0.00020694875798135882-2.56981457324652*^-6*I	0.00017982843261229865-2.3243328871996964*^-6*I	0.0001558065594819706-2.0878057926462823*^-6*I	0.00013433505805075864-1.8590389469693571*^-6*I	0.00011496282749363171-1.6369642866063526*^-6*I	0.00009731410612973953-1.4206177491350701*^-6*I	0.00008107181382766046-1.2091206982640916*^-6*I	0.00006596454622850907-1.0016642360431196*^-6*I	0.00005175625750580614-7.974957644179168*^-7*I	0.000038237922963995053-5.959072893808061*^-7*I	0.000025220649945824854-3.962250576678565*^-7*I	0.000012529828750305501-1.9780018677830186*^-7*I
0.010272251079831502-6.118363338675186*^-6*I	0.02550216196396876-0.000012640468156031381*I	0.05609889742759239-0.000020026334521652943*I	0.13271193802995945-0.000028627272649237072*I	0.36020877903784504-0.00003703672181883214*I	0.13399422745666184-0.00003162814621980646*I	0.058823081866338243-0.00002609000186668132*I	0.030039013690228378-0.000021897949190386423*I	0.01733919430231381-0.000018786089754311452*I	0.010978545241121674-0.00001640990228571323*I	0.007442395612427612-0.00001453361284460702*I	0.005308297077333721-0.000013007761205081514*I	0.003935550672572918-0.000011736344627379481*I	0.0030073433541620404-0.00001065555643968455*I	0.0023542559114577057-9.721427188263012*^-6*I	0.001879642990653533-8.90264634384636*^-6*I	0.0015253592915303747-8.176273223340121*^-6*I	0.0012548426681265978-7.525082494708079*^-6*I	0.0010442343182297472-6.935863646432355*^-6*I	0.0008774668881464736-6.39829674022326*^-6*I	0.0007434229961074883-5.904188022192023*^-6*I	0.0006342269028080671-5.4469371543379486*^-6*I	0.0005441825384728708-5.021157630310256*^-6*I	0.00046909374666304483-4.622400984101467*^-6*I	0.0004058178115961135-4.2469528601956645*^-6*I	0.0003519654041627597-3.891679805515648*^-6*I	0.0003056947388158994-3.5539124847190826*^-6*I	0.0002655677103851462-3.2313554577766498*^-6*I	0.00023044762730500557-2.9220165973766947*^-6*I	0.00019942536603348318-2.6241512067487484*^-6*I	0.0001717652596055839-2.336217259724593*^-6*I	0.00014686488680106408-2.0568391337476594*^-6*I	0.00012422477731584302-1.7847778771958969*^-6*I	0.00010342526692224443-1.518906532188519*^-6*I	0.00008410855206399478-1.2581893808839734*^-6*I	0.00006596454622850905-1.0016642360431196*^-6*I	0.00004871951926947171-7.484270817980336*^-7*I	0.00003212676217149006-4.976185063273545*^-7*I	0.000015958700123613454-2.4841146707831107*^-7*I
0.005978578457109081-5.11861292629643*^-6*I	0.01403513890943277-0.000010497914920902716*I	0.0280177996239568-0.000016453430476277413*I	0.05786170987907257-0.0000233911139098158*I	0.13399422745666187-0.00003162814621980649*I	0.3611701510251111-0.00003973560977569768*I	0.13473315209623102-0.00003407179136334608*I	0.05940295282047346-0.00002831450935506169*I	0.030502128747981364-0.000023931757515448228*I	0.017714646692259122-0.00002065197618328222*I	0.01128687553444281-0.000018126374131377973*I	0.007698438502174188-0.000016115896209607015*I	0.005522981014150071-0.000014468518759930587*I	0.004117068362937859-0.000013086206576425877*I	0.0031619324173560613-0.000011903519914415762*I	0.0024867312787961097-0.000010875161180205647*I	0.0019937673076956593-9.968727638247673*^-6*I	0.0016241052723649158-9.160371134812687*^-6*I	0.0013405819458994445-8.432105065285034*^-6*I	0.001118875386052781-7.770074451162768*^-6*I	0.0009425571961291975-7.163409000002651*^-6*I	0.0008002254282194403-6.60344099531026*^-6*I	0.0006837776834793915-6.083158538950532*^-6*I	0.0005873355019610532-5.596814809242063*^-6*I	0.00050655446735678-5.139643280246869*^-6*I	0.0004381701061543022-4.70764647666172*^-6*I	0.00037969202742727356-4.297436752177962*^-6*I	0.00032919360813954613-3.9061145088492635*^-6*I	0.00028516464380633054-3.5311737773257026*^-6*I	0.00024640632742861906-3.1704280644550074*^-6*I	0.00021195519478378865-2.8219513935270497*^-6*I	0.0001810272094277953-2.484030850314139*^-6*I	0.00015297604759356904-2.1551279168011093*^-6*I	0.00012726151555217743-1.8338465598157784*^-6*I	0.00010342526692224443-1.518906532188519*^-6*I	0.00008107181382766044-1.2091206982640908*^-6*I	0.000059853385436004075-9.033754529896683*^-7*I	0.00003945756944726033-6.006134912084885*^-7*I	0.000019596933421184567-2.998183195490529*^-7*I
0.003762887829601257-4.37955158222752*^-6*I	0.008494216117097093-8.931575246542445*^-6*I	0.015797951360912898-0.000013862694309065562*I	0.029300089050659305-0.00001945430404684681*I	0.05882308186633822-0.000026090001866681315*I	0.13473315209623082-0.000034071791363346075*I	0.361750021979246-0.00004196011726407803*I	0.13519626715398395-0.00003610559968840791*I	0.05977840521041875-0.00003018039578403246*I	0.030810459041302488-0.00002564822936111293*I	0.0179706895820057-0.000022234259548282224*I	0.011501559471259158-0.000019587131686227028*I	0.007879956192539122-0.000017465758158653408*I	0.005677570077344087-0.000015716482234661786*I	0.004249543730276257-0.000014239940568368496*I	0.003276056734398186-0.000012969601208817067*I	0.002585477259630648-0.000011859259091678206*I	0.0020795065854685066-0.000010875750208824618*I	0.0016987463401879493-9.994581939543094*^-6*I	0.0014056722538821678-9.197217325064413*^-6*I	0.0011756778181647325-8.469327424281001*^-6*I	0.0009921079768005212-7.79963038461523*^-6*I	0.0008433783917076221-7.179098174242053*^-6*I	0.0007212384041731266-6.600400835095924*^-6*I	0.0006196877965192412-6.057508425708114*^-6*I	0.0005342810906212936-5.545400226909176*^-6*I	0.00046166897547794835-5.059848500791891*^-6*I	0.00039928896084845763-4.597255071727014*^-6*I	0.00034515230826315924-4.154525975927573*^-6*I	0.0002976944725566358-3.728973964104003*^-6*I	0.00025566827725083017-3.3182416550445504*^-6*I	0.00021806635557629342-2.920240176580501*^-6*I	0.00018406394766412953-2.5330995329340194*^-6*I	0.0001529760475935689-2.155127916801108*^-6*I	0.00012422477731584289-1.7847778771958945*^-6*I	0.00009731410612973945-1.4206177491350676*^-6*I	0.000071809864005449-1.0613071076745452*^-6*I	0.00004732355668569856-7.055752662113665*^-7*I	0.000023498869323646866-3.522020241301773*^-7*I
0.002515637659988025-3.8129623202460163*^-6*I	0.005525700281081408-7.744330970390379*^-6*I	0.00977650554379963-0.000011932448817111856*I	0.01675932334817865-0.000016561582265931105*I	0.03003901369022837-0.00002189794919038643*I	0.05940295282047343-0.000028314509355061703*I	0.13519626715398392-0.00003610559968840791*I	0.36212547436919146-0.000043826003693048854*I	0.13550459744730511-0.000037822071534072656*I	0.06003444810016536-0.0000317626791490325*I	0.031025142978118862-0.00002710898691596202*I	0.018152207272370633-0.00002358412149732863*I	0.01165614853445318-0.000020835095160958245*I	0.00801243155987752-0.000018619492150596046*I	0.0057916943943862095-0.00001678256352906309*I	0.004348289711110797-0.000015224038479841062*I	0.0033617960121710326-0.000013876623779394022*I	0.002660118327453683-0.000012693469896408612*I	0.00214459689345123-0.000011640862468604*I	0.0017555487722999005-0.000010693834912661325*I	0.0014552230345534914-9.833438709677*^-6*I	0.0012188307816529142-9.044984603212796*^-6*I	0.0010295686974942557-8.316872680760624*^-6*I	0.0008757306862658103-7.639791790708107*^-6*I	0.00074896502743764-7.006157781758233*^-6*I	0.0006431866658428881-6.409710449838287*^-6*I	0.0005538780240424778-5.845218546458226*^-6*I	0.0004776276756015618-5.3082599678702025*^-6*I	0.0004118187895987633-4.795055258505313*^-6*I	0.0003544142580853708-4.302339566517116*^-6*I	0.00030380563334914075-3.827262747157455*^-6*I	0.00025870501548716474-3.3673103376644343*^-6*I	0.0002180663555762935-2.9202401765805005*^-6*I	0.00018102720942779515-2.4840308503141355*^-6*I	0.00014686488680106397-2.056839133747656*^-6*I	0.00011496282749363159-1.6369642866063498*^-6*I	0.00008478427737943395-1.2228175623567658*^-6*I	0.00005585116388183555-8.128956405962342*^-7*I	0.000027726623264514013-4.057569466623137*^-7*I
0.0017628124514801474-3.364779388162855*^-6*I	0.003797927086690553-6.813835890815424*^-6*I	0.006487072268347142-0.000010443218927255917*I	0.010515430183368696-0.000014376093960651465*I	0.01733919430231381-0.000018786089754311455*I	0.03050212874798135-0.00002393175751544822*I	0.05977840521041873-0.00003018039578403247*I	0.13550459744730514-0.000037822071534072656*I	0.3623815172589381-0.0000454082870580489*I	0.13571928138412145-0.000039282829088921744*I	0.0602159657905303-0.000033112541098078925*I	0.03117973204131287-0.000028356950390693245*I	0.01828468263970904-0.00002473785548927126*I	0.011770272851495293-0.000021901176455359543*I	0.008111177540712054-0.00001960359006206858*I	0.0058774336721590555-0.00001768958609964004*I	0.0044229307789338266-0.00001605824928457146*I	0.0034268863201537556-0.000014641736039173403*I	0.0027169207595656338-0.000013392722869526844*I	0.0021941476741225516-0.000012277083853216576*I	0.0017987017357880815-0.000011269492091593123*I	0.0014926837552472257-0.000010350681005822386*I	0.0012511830762111022-9.505678219678841*^-6*I	0.0010572953207587685-8.722629627422931*^-6*I	0.0008992295555894564-7.991993814838279*^-6*I	0.0007685619608588241-7.305976101307289*^-6*I	0.0006591453659665006-6.658121916916595*^-6*I	0.000566407852792783-6.043018733236528*^-6*I	0.00048688962542377294-5.4560735584597425*^-6*I	0.00041792995039126806-4.893344041558763*^-6*I	0.0003574509963217049-4.3514082491369975*^-6*I	0.0003038056333491408-3.8272627471574535*^-6*I	0.00025566827725083006-3.3182416550445483*^-6*I	0.0002119551947837883-2.8219513935270468*^-6*I	0.00017176525960558363-2.3362172597245903*^-6*I	0.00013433505805075842-1.8590389469693542*^-6*I	0.00009900412737001809-1.388552819528038*^-6*I	0.00006518734395824939-9.229992428077127*^-7*I	0.000032352294558188684-4.606936164660568*^-7*I
0.0012822894267025293-3.000873570569408*^-6*I	0.0027241844387458853-6.063667345028393*^-6*I	0.00453685172625962-9.257481034355038*^-6*I	0.00706694322248232-0.000012667726415636272*I	0.010978545241121683-0.000016409902285713255*I	0.017714646692259133-0.000020651976183282218*I	0.03081045904130252-0.000025648229361112967*I	0.06003444810016541-0.00003176267914903252*I	0.13571928138412157-0.00003928282908892175*I	0.36256303494930303-0.00004675814900709529*I	0.13587387044731558-0.00004053079256365297*I	0.06034844115786872-0.00003426627509002152*I	0.031293856358354986-0.000029423031685094523*I	0.018383428620543547-0.000025721953400743783*I	0.011856012129268132-0.000022808199025936457*I	0.008185818608535083-0.00002043780086679898*I	0.005942523980141773-0.00001845469835941939*I	0.004479733211045773-0.000016757502257689678*I	0.003476437100825074-0.000015277957423785956*I	0.0027600737230538104-0.000013968380048458613*I	0.002231608394816284-0.000012794326149361956*I	0.0018310540303462675-0.000011730185708059151*I	0.0015204103785117367-0.000010756437952484675*I	0.0012746819455347475-9.857880243808997*^-6*I	0.0010768922541799526-9.022447946971965*^-6*I	0.0009151882557130691-8.240405281916575*^-6*I	0.0007810917896091284-7.503776288085574*^-6*I	0.0006684073157887115-6.805935507506131*^-6*I	0.0005725190135852873-6.14130751628997*^-6*I	0.0004899263636601069-5.505142241079621*^-6*I	0.00041792995039126736-4.893344041558755*^-6*I	0.00035441425808537035-4.3023395665171086*^-6*I	0.0002976944725566355-3.728973964103997*^-6*I	0.0002464063274286185-3.1704280644549993*^-6*I	0.00019942536603348267-2.6241512067487416*^-6*I	0.00015580655948197012-2.087805792646276*^-6*I	0.00011473812462957376-1.5592206274202999*^-6*I	0.00007550525804637117-1.03635079539786*^-6*I	0.000037460720693735346-5.172422961453987*^-7*I
