0.3023471049475448-0.000013647128191369187*I	0.1046942101344805-0.000012176884529092928*I	0.0420638664894592-9.53298762104633*^-6*I	0.01952372817879166-7.527954318647832*^-6*I	0.01027243306871324-6.126000737561579*^-6*I	0.005978798542926998-5.127797744151764*^-6*I	0.0037631469625941647-4.39029483458358*^-6*I	0.0025159369687424646-3.825276976558366*^-6*I	0.0017631532526506239-3.378680428091394*^-6*I	0.0012826732364939952-3.016378049636272*^-6*I	0.0009618005348431355-2.7160150820623736*^-6*I	0.000739399882589526-2.4624163595522016*^-6*I	0.0005803950966336077-2.2449465752042454*^-6*I	0.0004636905706520952-2.055941507899757*^-6*I	0.00037608203450744163-1.8897425014335439*^-6*I	0.0003090171479131537-1.7420823074428867*^-6*I	0.00025679038035163545-1.6096825753397039*^-6*I	0.00021549587179980895-1.4899829033506929*^-6*I	0.0001823983000874497-1.3809540455170595*^-6*I	0.0001555430451664165-1.280966360062702*^-6*I	0.00013350793773275662-1.188695372262339*^-6*I	0.00011524126951551611-1.1030528010595082*^-6*I	0.00009995375379133238-1.0231353897928863*^-6*I	0.00008704503139336423-9.481864007163829*^-7*I	0.00007605277242852686-8.775662584802808*^-7*I	0.00006661684559755754-8.107298977020205*^-7*I	0.00005845371343478977-7.47209087069316*^-7*I	0.000051337880091678124-6.865984914643761*^-7*I	0.000045088275300299036-6.285445722081108*^-7*I	0.000039558140288133-5.727366633310632*^-7*I	0.000034627429139767076-5.188997309928941*^-7*I	0.000030197037589967332-4.667884450378346*^-7*I	0.000026184373114456573-4.161822804115999*^-7*I	0.000022519918548849367-3.6688143143065205*^-7*I	0.000019144537454507587-3.1870337032605264*^-7*I	0.000016007336773802616-2.71479917700307*^-7*I	0.000013063949991292334-2.2505471978449024*^-7*I	0.000010275138042991208-1.7928104796969172*^-7*I	7.605629632352009*^-6-1.3401985166007975*^-7*I	5.023140161526965*^-6-8.913800723973051*^-8*I	2.4975210430621197*^-6-4.450671471501422*^-8*I
0.10469421013448048-0.000012176884529092922*I	0.3444109714370039-0.00002318011581241551*I	0.1242179383132721-0.000019704838847740747*I	0.05233629955817246-0.000015658988358607913*I	0.025502526721718637-0.000012655752062799587*I	0.014035580031307402-0.000010516295572145154*I	0.008494735511669458-8.953074720710122*^-6*I	0.00552630021524479-7.768975262674978*^-6*I	0.003798610205236458-6.841655026194637*^-6*I	0.002724953787493758-6.09469551015377*^-6*I	0.00202207311908352-5.478794409188473*^-6*I	0.0015421956314767432-4.960961657266618*^-6*I	0.0012030904532416204-4.518357867451958*^-6*I	0.0009564771311410493-4.134689076637785*^-6*I	0.0007727077185652487-3.7980238153426426*^-6*I	0.0006328724148590771-3.4994250767732486*^-6*I	0.0005245130197129627-3.2320652107935773*^-6*I	0.000439188680439085-2.9906366208567603*^-6*I	0.00037103891696622525-2.7709492634133916*^-6*I	0.00031590623782020626-2.5696494177793965*^-6*I	0.0002707843146819325-2.384019161122208*^-6*I	0.000233461691524089-2.2118307620552237*^-6*I	0.00020228630090888023-2.0512392017758904*^-6*I	0.0001760065262198592-1.9007016482731672*^-6*I	0.00015366187699092167-1.7589162984184034*^-6*I	0.00013450648586331657-1.6247753455495964*^-6*I	0.0001179547256892356-1.497328389166396*^-6*I	0.00010354198873508877-1.3757536592774274*^-6*I	0.00009089602037981103-1.259335154795439*^-6*I	0.00007971570444006606-1.1474443032010046*^-6*I	0.00006975517787810027-1.0395251083688974*^-6*I	0.00006081180225422361-9.350820114044936*^-7*I	0.00005271695613881665-8.336698764684864*^-7*I	0.00004532891056896413-7.34885650737652*^-7*I	0.000038527255322651976-6.38361349130959*^-7*I	0.00003220848744579992-5.437580901105426*^-7*I	0.000026282474816793813-4.5076096566999867*^-7*I	0.00002066957962364433-3.5907457144456975*^-7*I	0.000015298278204518164-2.684190552094221*^-7*I	0.000010103150675414125-1.7852656637509394*^-7*I	5.023140161526964*^-6-8.913800723973048*^-8*I
0.042063866489459194-9.532987621046327*^-6*I	0.12421793831327207-0.000019704838847740744*I	0.35468340450571717-0.000029306116549977067*I	0.13019673685619915-0.000024832636591892517*I	0.05609944652076658-0.000020049283193191486*I	0.028018463690461116-0.000016481029039357948*I	0.015798733283958026-0.000013894976000236548*I	0.009777408748163456-0.000011969452770346399*I	0.006488100750087926-0.000010484990344737356*I	0.004538010087825989-9.304071385746853*^-6*I	0.0033053488841273703-8.339642085358016*^-6*I	0.002485763689735617-7.534735917088237*^-6*I	0.0019182776659841857-6.850704158700166*^-6*I	0.001512107601154775-6.260440174894845*^-6*I	0.0012132675114926847-5.74437165197749*^-6*I	0.000988203590365058-5.2880067186933355*^-6*I	0.0008152707149465269-4.880379122290303*^-6*I	0.0006800560648793786-4.5130315708562755*^-6*I	0.0005726966181718413-4.179331993119097*^-6*I	0.0004862801864817412-3.8740020644729*^-6*I	0.0004158599916115384-3.5927848075722823*^-6*I	0.00035782934607529634-3.3322055618385916*^-6*I	0.0003095144639526158-3.0893970205355055*^-6*I	0.0002689031465064377-2.861969099477911*^-6*I	0.00023446023965464907-2.6479107353424823*^-6*I	0.00020499975708259982-2.445514789882778*^-6*I	0.00017959476116361566-2.2533199177577064*^-6*I	0.00015751286597736873-2.0700650524974584*^-6*I	0.00013816941787485584-1.8946533902703208*^-6*I	0.00012109305796977839-1.7261235998332731*^-6*I	0.00010590007755452267-1.5636265836126046*^-6*I	0.0000922750964269497-1.40640653979955*^-6*I	0.00007995633970873123-1.2537853817305473*^-6*I	0.0000687242929126193-1.105149794168795*^-6*I	0.0000583928605602565-9.599403705221435*^-7*I	0.00004880239336564319-8.176423971006513*^-7*I	0.00003981411707815193-6.777779417706228*^-7*I	0.000031305614978320776-5.398989729097294*^-7*I	0.00002316710066670645-4.0358128615958426*^-7*I	0.000015298278204518164-2.6841905520942226*^-7*I	7.605629632352006*^-6-1.3401985166007977*^-7*I
0.019523728178791645-7.527954318647827*^-6*I	0.05233629955817244-0.0000156589883586079*I	0.13019673685619915-0.000024832636591892524*I	0.35844655146831145-0.00003369641138456068*I	0.13271267382494153-0.000028657913568450883*I	0.05786259977341727-0.000023427963621282877*I	0.029301136926955088-0.000019497407088994235*I	0.016760533818801167-0.000016610991082298934*I	0.010516808630752987-0.000014431869129898621*I	0.00706849584672154-0.00001272993691994161*I	0.005001700658478086-0.000011360012893646606*I	0.003681430918634811-0.00001022938458679157*I	0.0027947808376487704-9.276818224531124*^-6*I	0.0021750680463358207-8.460386734039871*^-6*I	0.0017276034729545833-7.750423078245532*^-6*I	0.0013956658115801344-7.125325697494548*^-6*I	0.0011437466355314738-6.568973078756031*^-6*I	0.000948778652679282-6.0690744945526365*^-6*I	0.0007952973343948943-5.616084371915778*^-6*I	0.0006726503719631736-5.202467382911982*^-6*I	0.0005733252178751051-4.82218846518928*^-6*I	0.000491912764040065-4.47035106605256*^-6*I	0.00042444619167285384-4.142935459540612*^-6*I	0.0003679681773874055-3.8366061076048205*^-6*I	0.0003202410265981158-3.548567590942287*^-6*I	0.0002795485149549478-3.2764553075505914*^-6*I	0.00024455789737073264-3.0182514532138406*^-6*I	0.00021422219030338261-2.772219648750601*^-6*I	0.0001877099035673359-2.5368534975352918*^-6*I	0.00016435379098931236-2.3108356706819204*^-6*I	0.00014361297651862773-2.093005031263925*^-6*I	0.00012504461500903027-1.8823299539386574*^-6*I	0.0001082824332007523-1.6778864574998574*^-6*I	0.00009302028970002357-1.478840101515037*^-6*I	0.00007899943095561052-1.2844308421384863*^-6*I	0.00006599849019260851-1.0939602221822226*^-6*I	0.000053825533527170144-9.067804043403816*^-7*I	0.000042311638121214034-7.222846564856367*^-7*I	0.00003130561497832077-5.398989729097291*^-7*I	0.00002066957962364433-3.5907457144456996*^-7*I	0.000010275138042991198-1.7928104796969172*^-7*I
0.010272433068713248-6.126000737561572*^-6*I	0.02550252672171864-0.000012655752062799582*I	0.056099446520766594-0.000020049283193191456*I	0.13271267382494153-0.00002865791356845087*I	0.3602097047209619-0.00003707509181265203*I	0.13399534706143545-0.00003167429161808714*I	0.05882440030826029-0.000026143978703345225*I	0.03004053680954462-0.000021959823448546445*I	0.017340928915434768-0.00001885593765750317*I	0.010980499201405085-0.000016487810637798383*I	0.007444577881228981-0.000014619679421375151*I	0.005310717806391235-0.00001310209520108949*I	0.003938221298986444-0.00001183906716213126*I	0.0030102767094485772-0.000010766801127881805*I	0.002357466346423268-9.84134077955691*^-6*I	0.0018831465181209986-9.031389438308232*^-6*I	0.0015291737493128893-8.314021069756873*^-6*I	0.0012589879050469881-7.67202587981553*^-6*I	0.001048732406470613-7.092209884345515*^-6*I	0.0008823423657882578-6.5642707726321545*^-6*I	0.0007487031443916995-6.080033641392256*^-6*I	0.0006399420634726616-5.632918362891294*^-6*I	0.000550366477474854-5.2175601531218715*^-6*I	0.0004757840717645318-4.829533951004983*^-6*I	0.00041305645268770397-4.4651506798129275*^-6*I	0.00035979916688624815-4.121304254273346*^-6*I	0.0003141759440947146-3.795355038543484*^-6*I	0.00027475493496069994-3.485039898251671*^-6*I	0.00024040656341783897-3.188401929162198*^-6*I	0.0002102298221161851-2.9037349289659427*^-6*I	0.00018349832844381976-2.629539041007969*^-6*I	0.0001596203132924302-2.36448494896423*^-6*I	0.00013810856500032247-2.107384673723146*^-6*I	0.00011855757124374341-1.8571675054695484*^-6*I	0.0001006259193323755-1.6128599531751166*^-6*I	0.00008402257111713744-1.3735688493782155*^-6*I	0.00006849601123567059-1.138466936897236*^-6*I	0.00005382553352717011-9.067804043403808*^-7*I	0.000039814117078151876-6.77777941770622*^-7*I	0.00002628247481679379-4.507609656699984*^-7*I	0.000013063949991292314-2.2505471978449003*^-7*I
0.005978798542926998-5.127797744151756*^-6*I	0.014035580031307402-0.000010516295572145144*I	0.028018463690461085-0.00001648102903935794*I	0.05786259977341722-0.000023427963621282867*I	0.13399534706143554-0.00003167429161808713*I	0.361171505255805-0.00003979110689471442*I	0.13473474694402496-0.00003413670797763936*I	0.059404795404893976-0.000028388925278549516*I	0.030504227380196737-0.000024015764956446215*I	0.01771701094994223-0.00002074568015893674*I	0.011289516349318247-0.000018229892945241276*I	0.007701368261580619-0.000016229361996714854*I	0.005526213678191049-0.000014592078104440176*I	0.004120619599073896-0.000013220021207648314*I	0.003165819754614992-0.000012047767487944495*I	0.002490974284156025-0.000011030036151819242*I	0.0019983877876365123-0.000010134442239367724*I	0.001629127503104221-9.337156459549752*^-6*I	0.0013460329364403524-8.620212280531905*^-6*I	0.0011247851788991402-7.969776142825791*^-6*I	0.0009489592113858149-7.375000670334174*^-6*I	0.0008071568578264886-6.827242728461566*^-6*I	0.0006912799435643396-6.319516854355665*^-6*I	0.0005954547527751529-5.846104725329978*^-6*I	0.0005153422120526642-5.40227061433604*^-6*I	0.0004476838818274708-4.984050410805814*^-6*I	0.0003899962044762157-4.588092699311175*^-6*I	0.00034036031720917115-4.211537318955081*^-6*I	0.000297274853509549-3.851921329682324*^-6*I	0.00025955110087234656-3.50710529948825*^-6*I	0.00022623715888998766-3.1752148466662477*^-6*I	0.0001965622784351121-2.8545937607924594*^-6*I	0.00016989545133542147-2.543765996933922*^-6*I	0.00014571419463267442-2.2414045253832266*^-6*I	0.0001235807114052704-1.9463055127092795*^-6*I	0.00010312344037543761-1.6573666678901303*^-6*I	0.00008402257111713743-1.3735688493782153*^-6*I	0.00006599849019260846-1.0939602221822217*^-6*I	0.00004880239336564314-8.176423971006504*^-7*I	0.00003220848744579989-5.437580901105421*^-7*I	0.0000160073367738026-2.714799177003067*^-7*I
0.0037631469625941626-4.39029483458358*^-6*I	0.008494735511669455-8.953074720710126*^-6*I	0.015798733283958023-0.000013894976000236545*I	0.029301136926955094-0.000019497407088994238*I	0.058824400308260326-0.00002614397870334525*I	0.1347347469440251-0.00003413670797763935*I	0.36175190035243854-0.0000420360534699187*I	0.13519843751467725-0.00003619264948553916*I	0.05978087743940145-0.00003027866777998309*I	0.03081324452810991-0.000025757847263889125*I	0.017973801330293884-0.000022355362734276466*I	0.011505012221118062-0.00001971987584859197*I	0.007883766561668074-0.00001761031604223192*I	0.005681756723357464-0.00001587304446450288*I	0.004254127536806649-0.000014408716579910645*I	0.0032810610241305062-0.000013150820289004002*I	0.0025909280379473555-0.000012053171541612117*I	0.002085432819029876-0.000011082628640084092*I	0.0017051802755327459-0.000010214722718030023*I	0.0014126497820379088-9.430942178233918*^-6*I	0.0011832388923339286-8.716985229895105*^-6*I	0.0010002970914774918-8.061599161798544*^-6*I	0.0008522451331267871-7.4557873006696735*^-6*I	0.0007308380838524723-6.892253517686724*^-6*I	0.0006300821819149199-6.365004456322869*^-6*I	0.0005455392496426315-5.869059059373873*^-6*I	0.0004738682549419273-5.400232691217413*^-6*I	0.0004125161230250648-4.954974130741828*^-6*I	0.00035950485466367866-4.5302406892811336*^-6*I	0.0003132821902833517-4.123401247382631*^-6*I	0.0002726150508636388-3.73216001927274*^-6*I	0.00023651229693297886-3.354495894635941*^-6*I	0.00020416790806746424-2.9886136124525412*^-6*I	0.00017491859149694843-2.632904004173654*^-6*I	0.00014821171567573664-2.285911240098241*^-6*I	0.00012358071140527045-1.9463055127092787*^-6*I	0.00010062591933237553-1.612859953175116*^-6*I	0.00007899943095561048-1.2844308421384846*^-6*I	0.00005839286056025644-9.599403705221418*^-7*I	0.00003852725532265196-6.383613491309586*^-7*I	0.000019144537454507573-3.1870337032605216*^-7*I
0.0025159369687424646-3.825276976558366*^-6*I	0.005526300215244794-7.768975262674974*^-6*I	0.009777408748163463-0.000011969452770346404*I	0.016760533818801188-0.000016610991082298934*I	0.03004053680954465-0.000021959823448546455*I	0.059404795404894024-0.00002838892527854952*I	0.13519843751467733-0.00003619264948553915*I	0.36212798238694627-0.00004392579597135227*I	0.13550745466259043-0.000037934731792982094*I	0.060037667819753136-0.00003188835035532285*I	0.03102874039990976-0.000027247830167239858*I	0.01815619963038135-0.00002373631677979355*I	0.011660555266284489-0.000021000842208654693*I	0.008017274499400831-0.000018799011414494252*I	0.005796997992872977-0.000016976097265562393*I	0.0043540812905979815-0.00001543185196970353*I	0.0033681060555238707-0.00001409900668972037*I	0.002666980810375881-0.000012930737800092393*I	0.0021520496646274326-0.000011893358537786113*I	0.0017636339889675354-0.000010961931805099338*I	0.0014639876621295857-0.000010117540669698287*I	0.0012283271676342277-9.345529802103206*^-6*I	0.0010398552317656248-8.634335825129606*^-6*I	0.0008868725622665544-7.974687031662569*^-6*I	0.0007610351214424395-7.35904196272456*^-6*I	0.0006562665550293764-6.781186736734469*^-6*I	0.0005680591681914809-6.235940490804529*^-6*I	0.0004930127923964351-5.71893606154347*^-6*I	0.00042852345979886775-5.226454048442135*^-6*I	0.0003725688046549713-4.755295409065626*^-6*I	0.0003235573283263429-4.302682295352325*^-6*I	0.000280220680495991-3.866179870932823*^-6*I	0.0002415354370945059-3.443633901875675*^-6*I	0.0002066654291105264-3.0331203271675583*^-6*I	0.00017491859149694854-2.6329040041736565*^-6*I	0.00014571419463267455-2.2414045253832282*^-6*I	0.0001185575712437435-1.8571675054695489*^-6*I	0.00009302028970002355-1.4788401015150363*^-6*I	0.00006872429291261928-1.1051497941687934*^-6*I	0.00004532891056896414-7.348856507376523*^-7*I	0.00002251991854884936-3.668814314306521*^-7*I
0.0017631532526506243-3.3786804280913966*^-6*I	0.0037986102052364593-6.84165502619464*^-6*I	0.00648810075008793-0.000010484990344737356*I	0.010516808630752997-0.00001443186912989862*I	0.0173409289154348-0.000018855937657503194*I	0.030504227380196744-0.000024015764956446212*I	0.059780877439401484-0.0000302786677799831*I	0.13550745466259043-0.000037934731792982094*I	0.3623847727672979-0.000045535478546692016*I	0.13572295053439032-0.00003942471469633279*I	0.06022006611984059-0.00003326930440083991*I	0.03118428344507617-0.000028528796527302556*I	0.018289707568114103-0.000024925012152055874*I	0.0117757965358-0.000022103895009714174*I	0.00811722825319216-0.000019822146804287125*I	0.005884043024266343-0.00001792428366627875*I	0.004430134063026506-0.000016309418228183794*I	0.003434722901121426-0.000014909736587422371*I	0.0027254345238106694-0.000013677946887161688*I	0.0022033875447191077-0.000012579957029250469*I	0.0018087222642678331-0.000011590476377307433*I	0.001503545802417718-0.000010690277333029345*I	0.0012629545967739934-9.864429533096089*^-6*I	0.0010700522693555916-9.10112427016743*^-6*I	0.0009130569353810103-8.390869312074163*^-6*I	0.0007835550399912883-7.725923394155203*^-6*I	0.0006754110924838838-7.0998901070605165*^-6*I	0.0005840665049652835-6.507420408504832*^-6*I	0.0005060767423877273-5.943990781327957*^-6*I	0.00043879859784185855-5.405735096411827*^-6*I	0.00038017443428732306-4.889315260725704*^-6*I	0.00032858046848786995-4.391820302592054*^-6*I	0.000282718201539053-3.910686585647838*^-6*I	0.00024153543709450596-3.4436339018756745*^-6*I	0.0002041679080674643-2.9886136124525438*^-6*I	0.00016989545133542155-2.5437659969339246*^-6*I	0.00013810856500032253-2.107384673723147*^-6*I	0.00010828243320075225-1.6778864574998568*^-6*I	0.00007995633970873116-1.253785381730546*^-6*I	0.000052716956138816655-8.336698764684866*^-7*I	0.000026184373114456553-4.161822804115997*^-7*I
0.0012826732364939954-3.016378049636275*^-6*I	0.0027249537874937616-6.094695510153771*^-6*I	0.00453801008782599-9.304071385746855*^-6*I	0.007068495846721542-0.000012729936919941617*I	0.010980499201405099-0.00001648781063779838*I	0.01771701094994224-0.000020745680158936746*I	0.030813244528109924-0.00002575784726388914*I	0.06003766781975317-0.00003188835035532286*I	0.1357229505343903-0.000039424714696332823*I	0.36256717106738545-0.00004691643259220913*I	0.13587849357955675-0.00004070568105639552*I	0.060353574057573356-0.00003445799977310224*I	0.03129952471459167-0.000029631849328362043*I	0.018389661321905414-0.00002594814754184871*I	0.01186284156719335-0.00002305208141043051*I	0.00819328102562068-0.00002069971306276737*I	0.00595065986986389-0.000018735013563980718*I	0.004488587776461287-0.000017056627315253055*I	0.0034860607812130994-0.00001559633507888671*I	0.0027705227991109637-0.000014306491459369769*I	0.0022429456850072394-0.00001315269369258151*I	0.0018433496934075972-0.000012109376108300307*I	0.0015337428400076833-0.000011157065778067155*I	0.001289138969888449-0.00001028061181350768*I	0.0010925721879044398-9.468005701598065*^-6*I	0.0009322014728355165-8.709572682400197*^-6*I	0.0007995623767650901-7.9974033118555*^-6*I	0.0006884750424751752-7.324944826845*^-6*I	0.0005943416430082735-6.686701456474514*^-6*I	0.0005136823720200787-6.07801063298803*^-6*I	0.00044382173800338497-5.494873103651549*^-6*I	0.00038267195533038485-4.933821975440712*^-6*I	0.00032858046848786957-4.391820302592051*^-6*I	0.0002802206804959907-3.866179870932819*^-6*I	0.00023651229693297875-3.3544958946359417*^-6*I	0.000196562278435112-2.854593760792461*^-6*I	0.00015962031329243016-2.36448494896423*^-6*I	0.00012504461500903005-1.8823299539386547*^-6*I	0.00009227509642694952-1.4064065397995482*^-6*I	0.00006081180225422357-9.350820114044929*^-7*I	0.000030197037589967288-4.6678844503783414*^-7*I
