0.3023471449814525-0.000013649039630071734*I	0.10469429035269548-0.000012180709411795484*I	0.04206398719388906-9.538729965845124*^-6*I	0.019523889825081197-7.535620171495727*^-6*I	0.010272636269622586-6.135598194993638*^-6*I	0.005979044072898437-5.139336983846829*^-6*I	0.003763435763563741-4.403788153989546*^-6*I	0.002516270157267589-3.840738839870781*^-6*I	0.0017635321284419439-3.3961275219406413*^-6*I	0.001283099292458575-3.0358293479085323*^-6*I	0.0009622754687665872-2.737491920354896*^-6*I	0.0007399256106077705-2.485942519845038*^-6*I	0.0005809737686709666-2.27054838141977*^-6*I	0.00046432458803178923-2.0836479331192122*^-6*I	0.0003767740699741734-1.9195852876480936*^-6*I	0.0003097701683458776-1.7740960988366986*^-6*I	0.0002576076724889018-1.643905066236597*^-6*I	0.00021638107135124425-1.5264550021058187*^-6*I	0.0001833554246642995-1.4197200558036627*^-6*I	0.00015657653153321416-1.3220741811940706*^-6*I	0.00013462268396290748-1.232196720404087*^-6*I	0.00011644268272818217-1.1490034534313294*^-6*I	0.00010124780425815651-1.0715954542365707*^-6*I	0.00008843831393457407-9.992206133237345*^-7*I	0.0000775525761728078-9.312443123370585*^-7*I	0.00006823123336364426-8.671268062199044*^-7*I	0.0000601916122109768-8.064055858562183*^-7*I	0.000053209184349706085-7.486814832350148*^-7*I	0.00004710396519137689-6.936076198745486*^-7*I	0.00004173041714237232-6.408805371522823*^-7*I	0.000036969871139898754-5.902330165219671*^-7*I	0.00003272477903315974-5.414282196070878*^-7*I	0.00002891431133396482-4.942548670672377*^-7*I	0.000025470953367230747-4.48523240601178*^-7*I	0.00002233784901645638-4.040618411230354*^-7*I	0.000019466708802615945-3.60714572653868*^-7*I	0.00001681614698369987-3.1833834906843584*^-7*I	0.00001435034673300191-2.768010418451187*^-7*I	0.000012037977306344145-2.35979703051177*^-7*I	9.851305210764178*^-6-1.957590101624997*^-7*I	7.765454647592514*^-6-1.5602988884698214*^-7*I	5.757782247008244*^-6-1.1668827717958093*^-7*I	3.8073382661709872*^-6-7.763400038011347*^-8*I	1.8943916392365535*^-6-3.8769729421367034*^-8*I
0.1046942903526955-0.00001218070941179548*I	0.34441113217534153-0.000023187769595916854*I	0.12421818017777674-0.000019716329583291203*I	0.05233662346351166-0.000015674328160838753*I	0.025502933897979627-0.000012674957155342548*I	0.01403607203318633-0.000010539386348983184*I	0.008495314230166024-8.980075823717614*^-6*I	0.005526967892005686-7.799915675930194*^-6*I	0.0037993694497261647-6.876568187779316*^-6*I	0.0027258075972085303-6.133619442295537*^-6*I	0.0020230249030663465-5.521771867753573*^-6*I	0.001543249237437554-5.0080403017746656*^-6*I	0.0012042501986395616-4.569590452964255*^-6*I	0.0009577478386451407-4.190133669067865*^-6*I	0.0007740947563776671-3.857744031955911*^-6*I	0.0006343817424630754-3.5634903538846924*^-6*I	0.0005261512396971216-3.3005511009425176*^-6*I	0.00044096309715320134-3.0636251220402617*^-6*I	0.00037295760288445827-2.84852918329989*^-6*I	0.00031797810862720696-2.6519167762077503*^-6*I	0.0002730192142613963-2.471077634625399*^-6*I	0.00023587048822106395-2.3037921746406594*^-6*I	0.00020488099666275618-2.148224066755064*^-6*I	0.0001788003804309643-2.0028397665736287*^-6*I	0.0001566695472982183-1.8663474195436384*^-6*I	0.0001377441883837846-1.7376498981932767*^-6*I	0.00012144041771335034-1.6158082894549191*^-6*I	0.00010729557740235365-1.5000132057307664*^-6*I	0.00009493960149207835-1.3895620203872957*^-6*I	0.00008407383633127562-1.2838406363965157*^-6*I	0.00007445519617553204-1.1823087567593696*^-6*I	0.00006588418247386356-1.0844878835892043*^-6*I	0.000058195732400390506-9.89951460208266*^-7*I	0.00005125216035042117-8.983167081902729*^-7*I	0.00004493766216984669-8.092378132550462*^-7*I	0.00003915399600015624-7.224001901914715*^-7*I	0.00003381705553561785-6.375156144989869*^-7*I	0.00002885412429004401-5.543180521196129*^-7*I	0.000024201651943766083-4.7256005200761855*^-7*I	0.000019803431953936656-3.9200959189815925*^-7*I	0.000015609087457772424-3.1244728734208074*^-7*I	0.0000115727929137635-2.336638892270957*^-7*I	7.652173886244798*^-6-1.5545800660094805*^-7*I	3.8073382661709872*^-6-7.763400038011347*^-8*I
0.04206398719388905-9.538729965845117*^-6*I	0.1242181801777767-0.000019716329583291203*I	0.3546837684449641-0.00002932336779091049*I	0.13019722425067518-0.00002485566656713804*I	0.0561000592270754-0.000020078116314828307*I	0.02801920405524721-0.000016515695995213333*I	0.015799604161628265-0.000013935513870923826*I	0.009778413522624605-0.000012015905171626151*I	0.0064892433607722805-0.000010537407596285097*I	0.004539295060333938-9.362510707624353*^-6*I	0.0033067813658795-8.404167823715309*^-6*I	0.0024873494910981377-7.6054198008727886*^-6*I	0.0019200233074117285-6.927625589422763*^-6*I	0.0015140203669854388-6.343686551800956*^-6*I	0.0012153555111340424-5.8340387353044634*^-6*I	0.0009904758277289108-5.3841990340617315*^-6*I	0.0008177371671273748-4.983210409688357*^-6*I	0.0006827277712303356-4.622625282136589*^-6*I	0.0005755857811161087-4.295821842444349*^-6*I	0.0004894002856126406-3.997532636731217*^-6*I	0.0004192259128853635-3.7235122304443197*^-6*I	0.00036145752819597034-3.4702982479491323*^-6*I	0.0003134230643938717-3.2350364869777153*^-6*I	0.00027311223002640043-3.015350872974967*^-6*I	0.000238991992641941-2.8092453524298454*^-6*I	0.00020987873164792441-2.6150289027786536*^-6*I	0.00018484815357516158-2.431257518067825*^-6*I	0.0001631708348557226-2.2566888266072005*^-6*I	0.00014426544854225236-2.0902462222527335*^-6*I	0.00012766438052523807-1.9309902399943837*^-6*I	0.00011298814766524041-1.7780955034637531*^-6*I	0.00009992614954276277-1.630831997360548*^-6*I	0.00008822203149031995-1.4885497247122403*^-6*I	0.00007766244120300644-1.3506660328621341*^-6*I	0.00006806830733412108-1.2166550572587093*^-6*I	0.00005928800890284863-1.0860388551001651*^-6*I	0.00005119197330650039-9.583798932426479*^-7*I	0.00004366836074638203-8.332746246614866*^-7*I	0.000036619578937636535-7.103479409665952*^-7*I	0.000029959434190774337-5.892483291871996*^-7*I	0.000023610770220107646-4.6964359227827284*^-7*I	0.000017503479097008978-3.512170167634478*^-7*I	0.0000115727929137635-2.3366388922709574*^-7*I	5.757782247008246*^-6-1.1668827717958097*^-7*I
0.019523889825081187-7.535620171495719*^-6*I	0.05233662346351162-0.000015674328160838746*I	0.13019722425067504-0.00002485566656713803*I	0.3584472042085276-0.00003372715594490003*I	0.13271349440794256-0.00002869640540700879*I	0.057863591355517274-0.00002347424383676893*I	0.029302303347705762-0.00001955152534312186*I	0.016761879630394858-0.000016673005791278736*I	0.010518339133232373-0.000014501847691471195*I	0.007070217129443245-0.000012807955977704858*I	0.0050036196483657334-0.000011446158640743574*I	0.003683555435853676-0.000010323753111363402*I	0.0027971196594440166-9.379515899709487*^-6*I	0.00217763097990063-8.571530655659361*^-6*I	0.0017304014383366826-7.870141553906764*^-6*I	0.0013987109357983417-7.253758791108116*^-6*I	0.0011470523592621248-6.706273215255794*^-6*I	0.0009523598510902813-6.215407130092435*^-6*I	0.000799170453958517-5.77162873556791*^-6*I	0.0006768335853742646-5.367417296680909*^-6*I	0.0005778385995472139-4.996753250054947*^-6*I	0.0004967784890581706-4.654756542781376*^-6*I	0.0004296887615596142-4.3374250541690345*^-6*I	0.0003736146766048482-4.0414420728339295*^-6*I	0.00032632141437610626-3.7640323562099802*^-6*I	0.0002860959578333178-3.5028529723043923*^-6*I	0.0002516091487902965-3.255909439930933*^-6*I	0.00022181802471505992-3.0214905345897894*^-6*I	0.0001958956138888821-2.798117046214286*^-6*I	0.000173179759876217-2.584501089319968*^-6*I	0.0001531353338924687-2.3795134805955595*^-6*I	0.0001353259966816967-2.1821573445867866*^-6*I	0.00011939285834537866-1.9915465700144145*^-6*I	0.00010503817847401972-1.8068880737806752*^-6*I	0.0000920127879360083-1.6274670747072523*^-6*I	0.00008010628464046515-1.452634760309885*^-6*I	0.00006913931411361274-1.281797865262664*^-6*I	0.000058957427954092877-1.1144097820896298*^-6*I	0.00004942614299339025-9.499629018410668*^-7*I	0.0000404269172038075-7.879819413467081*^-7*I	0.000031853825830010876-6.280180586085662*^-7*I	0.000023610770220107636-4.6964359227827253*^-7*I	0.00001560908745777242-3.1244728734208064*^-7*I	7.765454647592514*^-6-1.5602988884698214*^-7*I
0.010272636269622583-6.13559819499363*^-6*I	0.025502933897979602-0.000012674957155342541*I	0.05610005922707533-0.000020078116314828276*I	0.13271349440794258-0.00002869640540700878*I	0.3602107363369694-0.00003712328346684063*I	0.13399659370040118-0.0000317322347549173*I	0.058825866824283826-0.000026211735757123826*I	0.030042228958313533-0.000022037467862966904*I	0.01734285339906583-0.000018943554172698492*I	0.010982663721264165-0.000016585495624590415*I	0.0074469911994174175-0.000014727541265352967*I	0.005313389816711604-0.000013220254739580279*I	0.003941163108342577-0.000011967658177600004*I	0.00301350073079526-0.0000109059709018153*I	0.0023609864045649282-9.991250711463012*^-6*I	0.001886977969869895-9.192215735100822*^-6*I	0.0015333336197612467-8.485955511512197*^-6*I	0.0012634950419903044-7.855276668687116*^-6*I	0.0010536076553484368-7.287002584328995*^-6*I	0.0008876087678930898-6.770849348891636*^-6*I	0.0007543861615470712-6.298661609017961*^-6*I	0.0006460698329108573-5.863880056274847*^-6*I	0.0005569701012691468-5.461162128637588*^-6*I	0.00048289794590931993-5.086106537404045*^-6*I	0.0004207186417962249-4.735049692708478*^-6*I	0.00036805183151847836-4.404912893362257*^-6*I	0.00032306582897321606-4.093085988826355*^-6*I	0.00028433392782345587-3.797337659538015*^-6*I	0.0002507323360490245-3.515745401657023*^-6*I	0.0002213665672561127-3.2466402868154613*^-6*I	0.00019551760889267324-2.988562930443002*^-6*I	0.00017260204269508453-2.740228053249426*^-6*I	0.00015214214366539644-2.500495693655221*^-6*I	0.00013374320507838044-2.268347611859532*^-6*I	0.00011707615578036384-2.0428677768318507*^-6*I	0.00010186409314677241-1.823226084869751*^-6*I	0.00008787173928805761-1.6086646491568664*^-6*I	0.00007489709636062095-1.3984861424422437*^-6*I	0.00006276476622026382-1.1920437824697422*^-6*I	0.00005132053463262676-9.887326312624329*^-7*I	0.000040426917203807475-7.879819413467076*^-7*I	0.000029959434190774306-5.892483291871987*^-7*I	0.000019803431953936646-3.920095918981588*^-7*I	9.85130521076417*^-6-1.957590101624996*^-7*I
0.005979044072898427-5.139336983846827*^-6*I	0.014036072033186325-0.000010539386348983174*I	0.02801920405524719-0.000016515695995213316*I	0.05786359135551731-0.00002347424383676893*I	0.13399659370040115-0.00003173223475491731*I	0.36117301180573597-0.000039860775387195526*I	0.13473651931100897-0.00003421817727476238*I	0.059406840592954875-0.000028482284138543632*I	0.030506553546345367-0.000024121115796086148*I	0.017719627469040038-0.000020863139460346615*I	0.011292433889610059-0.00001835959172342713*I	0.007704598871906333-0.00001637144633158956*I	0.005529770888062857-0.0000147467097416861*I	0.004124518533006879-0.000013387378233403667*I	0.003170077262328472-0.000012228045083009368*I	0.002495609088527835-0.000011223447431867089*I	0.002003420652598076-0.000010341219188532148*I	0.0016345814240194022-9.557550965748763*^-6*I	0.0013519333559248786-8.854497282010834*^-6*I	0.001131160231521244-8.21824689666604*^-6*I	0.0009558400012567337-7.637976155111533*^-6*I	0.0008145777737580482-7.1050671948741805*^-6*I	0.0006992790172605636-6.612561539509858*^-6*I	0.0006040740664605237-6.154769748512134*^-6*I	0.000524628363051692-5.7269870745563294*^-6*I	0.00045768851293612347-5.325282709230442*^-6*I	0.00040077661055163815-4.946341112969343*^-6*I	0.0003519801403071812-4.587340855893593*^-6*I	0.0003098048811906866-4.24586090013919*^-6*I	0.0002730701850654809-3.91980724278006*^-6*I	0.0002408332760587287-3.6073548594693285*^-6*I	0.00021233375587637306-3.306901279511438*^-6*I	0.00018695238942808648-3.0170290950945452*^-6*I	0.00016418012097174067-2.736475396706398*^-6*I	0.0001435945102891448-2.464106622022032*^-6*I	0.00012484161042795636-2.1988976656788327*^-6*I	0.00010762187539378072-1.9399143620493313*^-6*I	0.00009167907755422864-1.6862986495369794*^-6*I	0.00007679148799985754-1.4372558718636108*^-6*I	0.00006276476622026384-1.1920437824697424*^-6*I	0.00004942614299339023-9.499629018410665*^-7*I	0.000036619578937636515-7.103479409665946*^-7*I	0.000024201651943766083-4.725600520076183*^-7*I	0.000012037977306344144-2.3597970305117697*^-7*I
0.0037634357635637416-4.403788153989545*^-6*I	0.008495314230166019-8.980075823717607*^-6*I	0.015799604161628265-0.000013935513870923814*I	0.029302303347705762-0.00001955152534312185*I	0.05882586682428387-0.000026211735757123823*I	0.134736519311009-0.00003421817727476238*I	0.3617539855744072-0.00004213132376861534*I	0.1352008438990409-0.00003630182520788163*I	0.05978361466292909-0.000030401869426191766*I	0.030816323714691275-0.00002589521189492288*I	0.017977235141528946-0.000022507044526583243*I	0.011508814960961318-0.00001988604672553296*I	0.007887954296570637-0.000017791166387393246*I	0.005686347419596073-0.000016068783922880175*I	0.004259141216969783-0.000014619574953807754*I	0.003286519945056654-0.000013377048536440686*I	0.0025968568927859912-0.000012295042886103653*I	0.002091858966532648-0.000011340439801855875*I	0.001712134000192209-0.000010488795278085812*I	0.001420164589288521-9.721624088230744*^-6*I	0.00119135184373222-9.024652482522265*^-6*I	0.0010090491856064392-8.386657638346553*^-6*I	0.0008616817389494249-7.798674814748726*^-6*I	0.0007410094344029359-7.2534420766621405*^-6*I	0.0006410439376004229-6.745002765034102*^-6*I	0.0005573531420848521-6.268415294163414*^-6*I	0.0004866028242700885-5.819537576297682*^-6*I	0.00042624756391886873-5.394864353570523*^-6*I	0.00037431798932363716-4.991402697016625*^-6*I	0.0003292715899933023-4.6065754727930634*^-6*I	0.0002898863320491807-4.238145591848496*^-6*I	0.00025518362279173043-3.8841559013144475*^-6*I	0.0002243717331827173-3.5428809825626177*^-6*I	0.00019680369463885073-3.2127881052570456*^-6*I	0.0001719455756193333-2.892505285553382*^-6*I	0.00014935229253615307-2.5807948992016135*^-6*I	0.0001286489486941274-2.2765316660589467*^-6*I	0.0001095162670330173-1.9786840914706973*^-6*I	0.00009167907755422867-1.6862986495369798*^-6*I	0.00007489709636062102-1.398486142442244*^-6*I	0.00005895742795409288-1.1144097820896296*^-6*I	0.000043668360746382015-8.332746246614862*^-7*I	0.000028854124290044015-5.543180521196129*^-7*I	0.000014350346733001909-2.7680104184511866*^-7*I
0.00251627015726759-3.84073883987078*^-6*I	0.005526967892005685-7.799915675930187*^-6*I	0.009778413522624601-0.000012015905171626151*I	0.016761879630394865-0.00001667300579127874*I	0.030042228958313544-0.00002203746786296691*I	0.0594068405929549-0.000028482284138543615*I	0.13520084389904088-0.00003630182520788163*I	0.3621307596443815-0.00004405090905626349*I	0.1355106140673868-0.00003807592130671839*I	0.06004122233541806-0.0000320457744924284*I	0.031032704786042534-0.00002742166689702873*I	0.01816059056619326-0.000023926764582386933*I	0.011665391492494532-0.00002120812090672704*I	0.008022576980533547-0.000019023363107797333*I	0.005802790102324258-0.00001721778737631149*I	0.0043603890212279405-0.000015691170408044317*I	0.0033749582589912273-0.000014376269149764409*I	0.002674409468958798-0.000013226287198440707*I	0.002160090199896292-0.000012207566608075781*I	0.0017723256124031858-0.000011295200863942019*I	0.0014733737736382275-0.000010470305571465749*I	0.0012384558089235972-9.718260102396812*^-6*I	0.0010507796027488124-9.027538175498832*^-6*I	0.000898651610089324-8.388907831270694*^-6*I	0.0007737342134360956-7.794870296269231*^-6*I	0.0006699582489343879-7.23925763210134*^-6*I	0.0005828240954520829-6.716938534764593*^-6*I	0.0005089406732865447-6.223599417420715*^-6*I	0.00044571427272148455-5.75557892622439*^-6*I	0.00039113413630733734-5.309741046085062*^-6*I	0.00034362193672630466-4.883376514638181*^-6*I	0.00030192430935552505-4.474125294899672*^-6*I	0.0002650349280024949-4.079914911476949*^-6*I	0.00023213718783031002-3.6989108714095985*^-6*I	0.00020256147688585914-3.3294763824366287*^-6*I	0.00017575291388550432-2.9701392859334958*^-6*I	0.00015124668417538964-2.619564628622981*^-6*I	0.0001286489486941274-2.2765316660589476*^-6*I	0.00010762187539378074-1.9399143620493325*^-6*I	0.00008787173928805772-1.6086646491568673*^-6*I	0.0000691393141136128-1.281797865262664*^-6*I	0.00005119197330650039-9.583798932426479*^-7*I	0.00003381705553561786-6.375156144989867*^-7*I	0.000016816146983699866-3.1833834906843584*^-7*I
0.001763532128441944-3.396127521940639*^-6*I	0.0037993694497261655-6.876568187779311*^-6*I	0.0064892433607722745-0.000010537407596285085*I	0.010518339133232382-0.000014501847691471188*I	0.017342853399065838-0.0000189435541726985*I	0.030506553546345367-0.00002412111579608615*I	0.059783614662929085-0.00003040186942619177*I	0.13551061406738685-0.00003807592130671839*I	0.36238836731687046-0.00004569481412250011*I	0.1357269951387381-0.000039602376308824214*I	0.06022457776008233-0.000033465494548232084*I	0.031189281317575753-0.000028743741078222818*I	0.018295213250156168-0.000025158961302791003*I	0.011781834175222702-0.00002235712436015836*I	0.008123824784791688-0.000020094958562033887*I	0.0058912284162588235-0.000018217007989635204*I	0.004437941597400743-0.000016622414720381352*I	0.0034431894923548654-0.000015243395955984303*I	0.00273460108116977-0.000014032692784296903*I	0.002213299384245994-0.000012956248091310763*I	0.0018194295775945603-0.00001198880848381656*I	0.0015151041907805988-0.000011111186108618024*I	0.0012754256800634942-0.000010308493118918771*I	0.0010835043817819712-9.568966395105909*^-6*I	0.0009275659214232879-8.883162698337924*^-6*I	0.0007992051668033257-8.243393536870396*^-6*I	0.0006922960979508433-7.643319473224367*^-6*I	0.0006022908042546981-7.077653107418452*^-6*I	0.000525756820270244-6.541937766489141*^-6*I	0.0004600646194544862-6.032379968069501*^-6*I	0.0004031721136136809-5.545720749136234*^-6*I	0.0003534732419370683-5.079135524800676*^-6*I	0.00030968976400311737-4.630155183746651*^-6*I	0.00027079271024950293-4.196603188656527*^-6*I	0.00023594452609648073-3.7765448717897096*^-6*I	0.00020445586852509546-3.3682461118579926*^-6*I	0.0001757529138855041-2.9701392859334937*^-6*I	0.00014935229253615294-2.5807948992016118*^-6*I	0.00012484161042795633-2.1988976656788322*^-6*I	0.00010186409314677244-1.82322608486975*^-6*I	0.00008010628464046515-1.4526347603098842*^-6*I	0.000059288008902848564-1.0860388551001634*^-6*I	0.00003915399600015622-7.224001901914706*^-7*I	0.000019466708802615932-3.6071457265386763*^-7*I
0.0012830992924585754-3.0358293479085284*^-6*I	0.002725807597208528-6.133619442295532*^-6*I	0.004539295060333937-9.362510707624353*^-6*I	0.007070217129443242-0.00001280795597770486*I	0.010982663721264165-0.0000165854956245904*I	0.01771962746904002-0.000020863139460346598*I	0.030816323714691243-0.000025895211894922854*I	0.06004122233541801-0.00003204577449242836*I	0.13572699513873807-0.00003960237630882419*I	0.3625717227415347-0.00004711453417830378*I	0.13588357167027124-0.00004092445049001827*I	0.06035920044404526-0.000034697691268636134*I	0.0313057240003039-0.00002989274453165411*I	0.018396461054414306-0.000026230556757027527*I	0.011870272489157268-0.00002335634497348204*I	0.008201377360964495-0.000021026202874370886*I	0.005959459649622458-0.000019084134795855073*I	0.0044981332096117165-0.000017428820306237535*I	0.003496398676704567-0.00001599207743921927*I	0.002781705046361144-0.000014726300404171413*I	0.0022550298013883645-0.000013597128628463026*I	0.0018563994487344577-0.000012579041500338506*I	0.0015478289698137564-0.000011652614328225092*I	0.001304339991397458-0.000010802747985985991*I	0.0011089753351492-0.000010017489635707079*I	0.0009499037704397428-9.287224539460944*^-6*I	0.0008186718756059406-8.604108109524253*^-6*I	0.0007091122449345422-7.961657822292785*^-6*I	0.0006166411509876988-7.354454149263556*^-6*I	0.0005377947975765874-6.77791746954031*^-6*I	0.0004699159246652496-6.228138978231994*^-6*I	0.0004109375682612729-5.701750637983208*^-6*I	0.0003592310241840762-5.19582380198025*^-6*I	0.00031349710226928797-4.7077891841267566*^-6*I	0.0002726871018887392-4.235372918077889*^-6*I	0.00023594452609648054-3.776544871789705*^-6*I	0.0002025614768858587-3.329476382436622*^-6*I	0.00017194557561933297-2.8925052855533766*^-6*I	0.00014359451028914455-2.464106622022029*^-6*I	0.00011707615578036372-2.0428677768318486*^-6*I	0.00009201278793600819-1.6274670747072493*^-6*I	0.00006806830733412092-1.2166550572587062*^-6*I	0.00004493766216984662-8.092378132550446*^-7*I	0.000022337849016456338-4.040618411230346*^-7*I
