0.-0.8487990495605653*I	-0.4999453935843271+0.*I	0.+0.16978687812674437*I	-1.6301799939311059*^-6+0.*I	0.+0.024231039454271477*I	0.00002794139150923332+0.*I	0.+0.00809690299391274*I	-3.3442014772302043*^-6+0.*I	0.+0.0036644730836264267*I	0.000011339093487910116+0.*I	0.+0.0019789263548172092*I	3.528532389307062*^-6+0.*I	0.+0.0011833110760590612*I	4.407566381917576*^-6+0.*I	0.+0.0007643862105961019*I	3.6195408400448078*^-6+0.*I	0.+0.0005212082794143411*I	3.0830858954517256*^-6+0.*I	0.+0.0003703664642803403*I	2.6772585431500322*^-6+0.*I	0.+0.00027172359208599284*I	2.333375177184126*^-6+0.*I	0.+0.0002043613824151136*I	2.0347077082376967*^-6+0.*I	0.+0.0001566577807914707*I	1.7718615614342091*^-6+0.*I	0.+0.0001217957344017695*I	1.5369722705661478*^-6+0.*I	0.+0.0000955896996971059*I	1.32388113027523*^-6+0.*I	0.+0.00007536740083979865*I	1.1279025453848994*^-6+0.*I	0.+0.000059362670810775287*I	9.454047075524829*^-7+0.*I	0.+0.00004637021739792302*I	7.734789264836265*^-7+0.*I	0.+0.000035541356798604595*I	6.097522982238285*^-7+0.*I	0.+0.000026258564613024227*I	4.522039014794818*^-7+0.*I	0.+0.000018055533165993454*I	2.990912764446901*^-7+0.*I	0.+0.000010564179549851782*I	1.4884589748590395*^-7+0.*I	0.+3.477605022068897*^-6*I
-0.4999453935840432+0.*I	0.-0.6790121714350489*I	-0.49994702376021727+0.*I	0.+0.19401791758551798*I	0.000026311198330765893+0.*I	0.+0.03232794244874401*I	0.00002459720199552255+0.*I	0.+0.01176137608042042*I	7.994890364437867*^-6+0.*I	0.+0.0056433994410903365*I	0.000014867627580856193+0.*I	0.+0.003162237429893418*I	7.936098165992924*^-6+0.*I	0.+0.0019476972841511592*I	8.027104617175968*^-6+0.*I	0.+0.001285594497926294*I	6.702622339489305*^-6+0.*I	0.+0.0008915747463832954*I	5.760352969039782*^-6+0.*I	0.+0.0006420900507867419*I	5.010625899434384*^-6+0.*I	0.+0.00047608497849892624*I	4.36808163318944*^-6+0.*I	0.+0.0003610191632760139*I	3.806571713738231*^-6+0.*I	0.+0.0002784535106043122*I	3.3088403573548333*^-6+0.*I	0.+0.0002173854307441208*I	2.860852881208275*^-6+0.*I	0.+0.00017095709818141914*I	2.45179264011875*^-6+0.*I	0.+0.00013473007457159337*I	2.0733080765715187*^-6+0.*I	0.+0.00010573289000547624*I	1.7188857934183693*^-6+0.*I	0.+0.00008191157879225452*I	1.3832248640288213*^-6+0.*I	0.+0.00006179992199693841*I	1.0619592966188515*^-6+0.*I	0.+0.000044314095987472686*I	7.512919390217751*^-7+0.*I	0.+0.000028619722155466023*I	4.4793718362665644*^-7+0.*I	0.+0.000014041787939521177*I	1.488383181563746*^-7+0.*I
0.+0.16978687812900276*I	-0.49994702377074407+0.*I	0.-0.6547811319781262*I	-0.49991908236945926+0.*I	0.+0.2021148205766184*I	0.00002296701146047394+0.*I	0.+0.035992415533033735*I	0.000035936283991672283+0.*I	0.+0.013740302437218157*I	0.00001152343228402515+0.*I	0.+0.006826710509490186*I	0.000019275192519495633+0.*I	0.+0.003926623645774917*I	0.000011555638507532078+0.*I	0.+0.0024689055609470392*I	0.000011110196839510464+0.*I	0.+0.0016559609602896305*I	9.379883382572217*^-6+0.*I	0.+0.0011632983334344815*I	8.093720208849913*^-6+0.*I	0.+0.0008464514415591484*I	7.045340403021645*^-6+0.*I	0.+0.0006327427569989968*I	6.139946383639231*^-6+0.*I	0.+0.00048281489721330867*I	5.343544563676277*^-6+0.*I	0.+0.0003740432129783894*I	4.632719278952824*^-6+0.*I	0.+0.0002927528315349315*I	3.988755244690371*^-6+0.*I	0.+0.00023031977438425777*I	3.3971900792061877*^-6+0.*I	0.+0.0001811002939507561*I	2.8467889012733103*^-6+0.*I	0.+0.00014127424977504466*I	2.3286344621574625*^-6+0.*I	0.+0.00010817013654021435*I	1.8354342621889004*^-6+0.*I	0.+0.0000798554539367044*I	1.3610458623525164*^-6+0.*I	0.+0.00005487827726314426*I	9.001402408823681*^-7+0.*I	0.+0.000032097323012250656*I	4.479409474198098*^-7+0.*I	0.+0.000010564183285710627*I
-1.6301865726902633*^-6+0.*I	0.+0.19401791758424222*I	-0.4999190823719478+0.*I	0.-0.6466842289848943*I	-0.49992242657377534+0.*I	0.+0.20577929366028921*I	0.000034306103033346395+0.*I	0.+0.03797134189374207*I	0.00003946481828046124+0.*I	0.+0.01492361350493442*I	0.000015930997793728834+0.*I	0.+0.007591096728768102*I	0.00002289473087677437+0.*I	0.+0.004447831918388062*I	0.000014638734304009929+0.*I	0.+0.0028392720321549648*I	0.000013787451422818882+0.*I	0.+0.0019276845565501612*I	0.000011713256947856243+0.*I	0.+0.001367659718161012*I	0.000010128427897537842+0.*I	0.+0.0010031092280529054*I	8.817201840231558*^-6+0.*I	0.+0.0007545384892272811*I	7.676911663616681*^-6+0.*I	0.+0.0005784045905144969*I	6.6674305289602665*^-6+0.*I	0.+0.0004494106122032863*I	5.760624714925895*^-6+0.*I	0.+0.00035211550499806774*I	4.934163910869956*^-6+0.*I	0.+0.0002766899885592906*I	4.170670242826065*^-6+0.*I	0.+0.00021664165259939946*I	3.456536530662579*^-6+0.*I	0.+0.00016753281189961795*I	2.780839978284048*^-6+0.*I	0.+0.00012622567036939058*I	2.134528487073104*^-6+0.*I	0.+0.0000904196381159267*I	1.509885010053204*^-6+0.*I	0.+0.00005835588565086009*I	9.001403669852672*^-7+0.*I	0.+0.000028619719288116822*I	2.9909014337414774*^-7+0.*I
0.+0.02423103945980226*I	0.000026311203521193326+0.*I	0.+0.20211482057771432*I	-0.49992242657260605+0.*I	0.-0.6430197558962524*I	-0.49991108747901014+0.*I	0.+0.2077582200170111*I	0.000037834633074378284+0.*I	0.+0.039154652962696095*I	0.00004387239019538239+0.*I	0.+0.01568799972551637*I	0.000019550537833045746+0.*I	0.+0.00811230500391611*I	0.0000259778297240036+0.*I	0.+0.004818198384663838*I	0.00001731598371167861+0.*I	0.+0.0031109956221311644*I	0.00001612082569470374+0.*I	0.+0.002132045930785774*I	0.000013747966858374222+0.*I	0.+0.0015243175059716438*I	0.00001190028920213593+0.*I	0.+0.0011249049542313913*I	0.00001035417703050018+0.*I	0.+0.0008501281862381208*I	9.000794119093348*^-6+0.*I	0.+0.0006537719951149254*I	7.795333472897634*^-6+0.*I	0.+0.0005087732858349639*I	6.706025207940654*^-6+0.*I	0.+0.0003984857229878819*I	5.707644128613537*^-6+0.*I	0.+0.000312231351101519*I	4.780421703689097*^-6+0.*I	0.+0.00024290021098479636*I	3.908744215812037*^-6+0.*I	0.+0.00018558834952775438*I	3.0799307157516186*^-6+0.*I	0.+0.00013678984614652612*I	2.283373532277954*^-6+0.*I	0.+0.00009389724187646581*I	1.5098908836355328*^-6+0.*I	0.+0.000054878285905675395*I	7.512999849199818*^-7+0.*I	0.+0.00001805553742886823*I
0.000027941394548151985+0.*I	0.+0.03232794245189609*I	0.00002296700360681653+0.*I	0.+0.20577929365964018*I	-0.49991108747563434+0.*I	0.-0.6410408295406297*I	-0.49990755894669+0.*I	0.+0.20894153108730307*I	0.00004224220375586571+0.*I	0.+0.039919039179373624*I	0.00004749192117068387+0.*I	0.+0.016209208003947314*I	0.000022633629527108758+0.*I	0.+0.008482671468423918*I	0.00002865508147233622+0.*I	0.+0.005089921977601263*I	0.00001964936436080253+0.*I	0.+0.0033153570072104502*I	0.00001815553151789877+0.*I	0.+0.0022887037180750027*I	0.00001551982969151137+0.*I	0.+0.0016461132336696087*I	0.000013437266116864913+0.*I	0.+0.0012204946540027523*I	0.000011678049062703972+0.*I	0.+0.0009254955883767814*I	0.000010128705090539652+0.*I	0.+0.000713134673026017*I	8.74073612592267*^-6+0.*I	0.+0.0005551435061883902*I	7.479503414123945*^-6+0.*I	0.+0.0004340270730302444*I	6.317396370615987*^-6+0.*I	0.+0.00033848991529287185*I	5.232620956805332*^-6+0.*I	0.+0.00026095574578001906*I	4.207840597605346*^-6+0.*I	0.+0.0001961525266644803*I	3.228774236991544*^-6+0.*I	0.+0.0001402674629358317*I	2.2833691018247997*^-6+0.*I	0.+0.00009041963682152026*I	1.361047558934319*^-6+0.*I	0.+0.00004431409350092262*I	4.522048775712495*^-7+0.*I
0.+0.008096902996990021*I	0.00002459719464334625+0.*I	0.+0.035992415534027905*I	0.000034306100204111555+0.*I	0.+0.20775822001703192*I	-0.499907558948992+0.*I	0.-0.6398575184708528*I	-0.49990315138006364+0.*I	0.+0.2097059173025965*I	0.00004586174038587826+0.*I	0.+0.04044024745745602*I	0.00005057501882814328+0.*I	0.+0.016579574465641157*I	0.000025310885534966657+0.*I	0.+0.008754395069579*I	0.00003098845243941331+0.*I	0.+0.005294283362323508*I	0.00002168407223708817+0.*I	0.+0.003472014792595006*I	0.000019927395184144673+0.*I	0.+0.0024104994508668473*I	0.000017056800298433813+0.*I	0.+0.001741702931076096*I	0.000014761143828710487+0.*I	0.+0.0012958620538085636*I	0.000012805960663132218+0.*I	0.+0.0009848582600709699*I	0.000011074105665535172+0.*I	0.+0.0007595048842188104*I	9.514214710545544*^-6+0.*I	0.+0.0005906848586492777*I	8.089257080723005*^-6+0.*I	0.+0.0004602856474235015*I	6.769599063808169*^-6+0.*I	0.+0.0003565454402225804*I	5.531717268774321*^-6+0.*I	0.+0.00027151993477848857*I	4.356681816603275*^-6+0.*I	0.+0.00019963013158065535*I	3.228775387862013*^-6+0.*I	0.+0.000136789853016607*I	2.1345231332429896*^-6+0.*I	0.+0.00007985545426263119*I	1.0619571783505086*^-6+0.*I	0.+0.00002625856319805886*I
-3.3441915546573227*^-6+0.*I	0.+0.011761376081420475*I	0.00003593627559493553+0.*I	0.+0.03797134189033111*I	0.000037834640209500475+0.*I	0.+0.2089415310869802*I	-0.4999031513826797+0.*I	0.-0.6390931322554569*I	-0.4998995318324652+0.*I	0.+0.21022712558828102*I	0.00004894482970839095+0.*I	0.+0.040810613921371405*I	0.00005325228052543583+0.*I	0.+0.01685129805926877*I	0.000027644245500591923+0.*I	0.+0.008958756447184739*I	0.000033023170071774635+0.*I	0.+0.005450941145931339*I	0.000023455922170747402+0.*I	0.+0.0035938105181915823*I	0.000021464375179152336+0.*I	0.+0.002506089142466879*I	0.000018380682121685284+0.*I	0.+0.0018170703346378216*I	0.000015889053674140192+0.*I	0.+0.0013552247309063774*I	0.000013751355741409642+0.*I	0.+0.001031228478771332*I	0.000011847592779147417+0.*I	0.+0.0007950462457196178*I	0.00001012396142748133+0.*I	0.+0.0006169434238459003*I	8.541466391791015*^-6+0.*I	0.+0.00047834117919968446*I	7.068686234797042*^-6+0.*I	0.+0.0003671096301768014*I	5.68056671295156*^-6+0.*I	0.+0.00027499753673703586*I	4.356673768031836*^-6+0.*I	0.+0.00019615253339531674*I	3.0799343834976707*^-6+0.*I	0.+0.00012622566492706086*I	1.8354311257659621*^-6+0.*I	0.+0.0000617999160018561*I	6.097494078538546*^-7+0.*I
0.+0.003664473083795014*I	7.99490083361087*^-6+0.*I	0.+0.01374030243569924*I	0.00003946481903707401+0.*I	0.+0.03915465296080101*I	0.0000422422023579587+0.*I	0.+0.20970591730373048*I	-0.49989953183920566+0.*I	0.-0.6385719239727942*I	-0.49989644875000444+0.*I	0.+0.21059749204655986*I	0.000051622089286261884+0.*I	0.+0.0410823375118163*I	0.000055585640685871845+0.*I	0.+0.017055659450550698*I	0.00002967896596282593+0.*I	0.+0.009115414236142566*I	0.000034795024687163556+0.*I	0.+0.005572736877234613*I	0.000024992904718846132+0.*I	0.+0.0036894002165878403*I	0.000022788251530333867+0.*I	0.+0.0025814565451080795*I	0.000019508590080596443+0.*I	0.+0.001876433008269958*I	0.000016834455853043086+0.*I	0.+0.0014015949438605652*I	0.000014524844988698971+0.*I	0.+0.0010667698349156526*I	0.000012457340287150969+0.*I	0.+0.0008213048074521348*I	0.000010576168953675477+0.*I	0.+0.0006349989582096621*I	8.840555863409602*^-6+0.*I	0.+0.0004889053596131565*I	7.217528704775085*^-6+0.*I	0.+0.00037058723352034056*I	5.68056587841448*^-6+0.*I	0.+0.0002715199304035715*I	4.207831429448617*^-6+0.*I	0.+0.00018558834599785579*I	2.7808377391930925*^-6+0.*I	0.+0.00010817013184544894*I	1.3832337085605482*^-6+0.*I	0.+0.000035541357262636186*I
0.000011339091628898731+0.*I	0.+0.005643399440292513*I	0.000011523427447294877+0.*I	0.+0.014923613507326081*I	0.00004387238893394555+0.*I	0.+0.03991903917372186*I	0.00004586174265989155+0.*I	0.+0.210227125582338*I	-0.49989644874266254+0.*I	0.-0.638201557506052*I	-0.4998937714867823+0.*I	0.+0.21086921564189043*I	0.00005395546132187848+0.*I	0.+0.04128669890203223*I	0.0000576203499837871+0.*I	0.+0.017212317222796376*I	0.00003145082546626265+0.*I	0.+0.009237209966301894*I	0.000036331992371204154+0.*I	0.+0.005668326569120073*I	0.0000263167843793733+0.*I	0.+0.00376476761976174*I	0.000023916155869116082+0.*I	0.+0.0026408192243737552*I	0.00002045399786696453+0.*I	0.+0.001922803224512653*I	0.000017607931329268862+0.*I	0.+0.001437136301544312*I	0.00001513459518490676+0.*I	0.+0.001093028396643539*I	0.000012909544190599414+0.*I	0.+0.0008393603407827291*I	0.000010875262687731844+0.*I	0.+0.0006455631438679562*I	8.989395455806171*^-6+0.*I	0.+0.000492382963889845*I	7.217538069569324*^-6+0.*I	0.+0.0003671096274326584*I	5.531716193582184*^-6+0.*I	0.+0.0002609557500378997*I	3.908741658838507*^-6+0.*I	0.+0.00016753280560458027*I	2.328632275405703*^-6+0.*I	0.+0.00008191157618549552*I	7.734800804570785*^-7+0.*I
0.+0.0019789263526434273*I	0.000014867626552867808+0.*I	0.+0.006826710510823994*I	0.000015930993189722744+0.*I	0.+0.015687999721250404*I	0.000047491929986458675+0.*I	0.+0.0404402474576027*I	0.00004894483755163189+0.*I	0.+0.2105974920506225*I	-0.49989377149110664+0.*I	0.-0.6379298339182939*I	-0.4998914381192768+0.*I	0.+0.21107357702591786*I	0.00005599017069687368+0.*I	0.+0.04144335668340136*I	0.000059392219873465656+0.*I	0.+0.017334112959381427*I	0.000032987792770557643+0.*I	0.+0.009332799659956925*I	0.000037655880342814995+0.*I	0.+0.00574369397273055*I	0.000027444689911327798+0.*I	0.+0.0038241302925734397*I	0.00002486156759945384+0.*I	0.+0.0026871894411994376*I	0.000021227470601334924+0.*I	0.+0.001958344583467872*I	0.000018217688478905653+0.*I	0.+0.0014633948653940895*I	0.000015586803354808142+0.*I	0.+0.0011110839344200887*I	0.000013208634119898077+0.*I	0.+0.0008499245188380578*I	0.000011024111584378539+0.*I	0.+0.0006490407498138187*I	8.98939400770822*^-6+0.*I	0.+0.0004889053575174371*I	7.0686875274120645*^-6+0.*I	0.+0.00035654544044853853*I	5.232622925117535*^-6+0.*I	0.+0.0002429002161702179*I	3.456538838202851*^-6+0.*I	0.+0.00014127424930638482*I	1.7188856677587784*^-6+0.*I	0.+0.000046370213195132126*I
