0.3023471555793053-0.00001364959513806068*I	0.1046943115846318-0.000012181820958959753*I	0.04206401913261183-9.540398616364563*^-6*I	0.019523932580253995-7.537847526169923*^-6*I	0.01027268998860717-6.138386396711671*^-6*I	0.005979108941751347-5.14268872493731*^-6*I	0.0037635120083021915-4.407706685500616*^-6*I	0.0025163580454189128-3.845227982843181*^-6*I	0.001763631970893942-3.4011916807510934*^-6*I	0.001283211445631715-3.0414735257756954*^-6*I	0.0009624003371329441-2.7437217371161533*^-6*I	0.0007400636495859922-2.4927642321297205*^-6*I	0.0005811254879314027-2.2779689053630775*^-6*I	0.00046449055525140916-2.09167486978163*^-6*I	0.0003769549150870856-1.9282269513273957*^-6*I	0.0003099665883422751-1.7833615484844336*^-6*I	0.00025782043682328037-1.6538041402181878*^-6*I	0.00021661102802990022-1.5369983565737973*^-6*I	0.00018360350709265176-1.430919206987377*^-6*I	0.00015684376621563154-1.3339415519470331*^-6*I	0.00013491019916176788-1.2447456913925923*^-6*I	0.0001167517182051593-1.162248419395715*^-6*I	0.00010157972223966289-1.0855518858103654*^-6*I	0.00008879461146535137-1.0139051249568714*^-6*I	0.00007793489904744945-9.466747369384109*^-7*I	0.00006864139185606701-8.833222772128965*^-7*I	0.00006063159885737925-8.233866274307461*^-7*I	0.000053681194082404936-7.664701096810227*^-7*I	0.00004761041817035254-7.122274449995411*^-7*I	0.00004227398468991763-6.603568949191887*^-7*I	0.00003755350525332589-6.105930941980577*^-7*I	0.00003335174603337776-5.627012048924866*^-7*I	0.000029588230306723073-5.164721108771211*^-7*I	0.00002619584017242436-4.7171843741388067*^-7*I	0.000023118166783430712-4.2827122908288103*^-7*I	0.000020307426001269325-3.8597715593967286*^-7*I	0.00001772280436907206-3.446961454147829*^-7*I	0.000015329134713359474-3.042993585439893*^-7*I	0.000013095825592100954-2.646674452788022*^-7*I	0.000010995986977258035-2.256890260855818*^-7*I	9.005707905710042*^-6-1.8725935668228895*^-7*I	7.103451683483935*^-6-1.4927914023411168*^-7*I	5.2695415176955985*^-6-1.1165345711361615*^-7*I	3.485714836809169*^-6-7.429078678361638*^-8*I	1.7347285081503426*^-6-3.7102099744951116*^-8*I
0.10469431158463177-0.000012181820958959744*I	0.34441117471191696-0.00002318999375442524*I	0.12421824416488575-0.00001971966848512968*I	0.05233670912121903-0.00001567878501307624*I	0.025503041522005318-0.000012680536251107234*I	0.014036201996909362-0.00001054609308221228*I	0.008495466987170259-8.987916707780486*^-6*I	0.005527143979196139-7.808898366251717*^-6*I	0.0037995694910506277-6.8867015086188775*^-6*I	0.002726032308026886-6.144913417867249*^-6*I	0.0020232750952177076-5.5342377579054155*^-6*I	0.0015435258250643467-5.0216906424792354*^-6*I	0.0012045542048374025-4.584439101911352*^-6*I	0.0009580804030184881-4.206195856690476*^-6*I	0.0007744571435936838-3.875036418266064*^-6*I	0.0006347753519103659-3.5820310915455837*^-6*I	0.0005265776163721752-3.3203599050582307*^-6*I	0.00044142394391593205-3.084723347205566*^-6*I	0.0003734547942455319-2.8709399085208315*^-6*I	0.00031851370625441956-2.675664898379969*^-6*I	0.0002735954844207908-2.496189971342749*^-6*I	0.0002364899214014309-2.3302975772029596*^-6*I	0.0002055463296705107-2.1761535443525877*^-6*I	0.00017951462128711244-2.032226622748775*^-6*I	0.0001574360033214184-1.8972274021697677*^-6*I	0.0001385664979048287-1.7700613643691565*^-6*I	0.00012232258593847202-1.6497923868939179*^-6*I	0.00010824201702773182-1.5356140724302868*^-6*I	0.00009595517877232261-1.426827004600211*^-6*I	0.00008516392342367848-1.3228205391975994*^-6*I	0.0000756257307232954-1.2230580998116758*^-6*I	0.00006714173556004904-1.1270652050751793*^-6*I	0.00005954758620580211-1.0344196423063675*^-6*I	0.000052706397090153795-9.447433399600024*^-7*I	0.000046503266173693667-8.576955933535535*^-7*I	0.00004084097115250277-7.729673744976641*^-7*I	0.00003563656071462881-6.902765144836624*^-7*I	0.000030818629961173025-6.093635906935854*^-7*I	0.000026325121690617523-5.299883846295714*^-7*I	0.000022101533497811013-4.5192680196109127*^-7*I	0.000018099438660741978-3.7496816631969347*^-7*I	0.000014275249423405644-2.989128137959051*^-7*I	0.000010589166520293107-2.2356992701772804*^-7*I	7.004270025845945*^-6-1.4875555685856733*^-7*I	3.485714836809171*^-6-7.429078678361639*^-8*I
0.042064019132611846-9.54039861636456*^-6*I	0.12421824416488582-0.000019719668485129677*I	0.3546838647005243-0.000029328380151136903*I	0.13019735310663727-0.000024862357210066983*I	0.05610022112952122-0.000020086491698576844*I	0.02801939956742425-0.000016525764233950414*I	0.0157998339678033-0.000013947284762963383*I	0.009778678432801979-0.000012029390233556189*I	0.006489544316329081-0.00001055262010336787*I	0.004539633140636623-9.379465740748601*^-6*I	0.0033071577959582895-8.422882323230332*^-6*I	0.0024877656504691177-7.625912627687049*^-6*I	0.0019204807401514352-6.949917593806635*^-6*I	0.0015145207931796785-6.36780065039579*^-6*I	0.0012159008398417686-5.859999996908661*^-6*I	0.0009910681716235844-5.412034774839861*^-6*I	0.0008183788590030177-5.012950298532961*^-6*I	0.0006834213825878067-4.6543014570052645*^-6*I	0.0005763341430777-4.3294690385981555*^-6*I	0.0004902065124506912-4.033188327916545*^-6*I	0.0004200934284940826-3.7612167841903342*^-6*I	0.0003623900958861423-3.510095096299621*^-6*I	0.00031442482044888043-3.27697231414137*^-6*I	0.00027418772152657786-3.0594758215654825*^-6*I	0.0002401462201444916-2.855613250179522*^-6*I	0.00021111719740382335-2.6636975118507916*^-6*I	0.00018617691607518123-2.4822888093686972*^-6*I	0.00016459657062838957-2.310149281813106*^-6*I	0.0001457955222810576-2.1462071666283437*^-6*I	0.00012930692480570037-1.9895282094926974*^-6*I	0.00011475215373040155-1.8392926500747205*^-6*I	0.00010182157089571976-1.694776537225557*^-6*I	0.00009025990234347971-1.5553364341580604*^-6*I	0.00007985501220707143-1.4203967982460404*^-6*I	0.00007042920145922583-1.2894394853747848*^-6*I	0.00006183240088705317-1.1619949518975428*^-6*I	0.00005393679674460373-1.0376348197764669*^-6*I	0.000046632547691886855-9.15965540569244*^-7*I	0.00003982433786688307-7.966229473758743*^-7*I	0.00003342857337410146-6.792675248636829*^-7*I	0.00002737107501550661-5.635802590747072*^-7*I	0.00002158515349755114-4.492589531033098*^-7*I	0.000016009977931555995-3.3601491354085625*^-7*I	0.000010589166520293112-2.2356992701772812*^-7*I	5.269541517695604*^-6-1.116534571136162*^-7*I
0.019523932580253978-7.537847526169917*^-6*I	0.05233670912121898-0.000015678785013076226*I	0.13019735310663708-0.000024862357210066983*I	0.35844737670882637-0.000033736086836637514*I	0.132713711152056-0.00002870758519291015*I	0.05786385310041511-0.000023487683379327933*I	0.029302611013055944-0.000019567237759726093*I	0.016762234304936254-0.000016691006500079544*I	0.010518742082387964-0.000014522154465685911*I	0.007070669804260483-0.000012830589008730947*I	0.0050041236958880304-0.000011471140610530227*I	0.0036841127110453743-0.00001035110927455773*I	0.002797732238811394-9.409274176171488*^-6*I	0.0021783011769747145-8.60372173402482*^-6*I	0.001731131821209577-7.90479900696957*^-6*I	0.0013995043469344187-7.290919203896037*^-6*I	0.001147911937839215-6.74597632678689*^-6*I	0.0009532890581647845-6.257695989925547*^-6*I	0.0008001731007929654-5.816549876400977*^-6*I	0.0006779138653173621-5.41502092440852*^-6*I	0.0005790011239160417-5.047093452873414*^-6*I	0.0004980283275415316-4.7078915211287426*^-6*I	0.00043103148774220894-4.3934173735125155*^-6*I	0.00037505641930625917-4.100358941572112*^-6*I	0.00032786891560898244-3.8259459312465035*^-6*I	0.00028775663831484387-3.56784069517906*^-6*I	0.0002533911820937407-3.324054406769975*^-6*I	0.00022373042132850683-3.092881903566751*^-6*I	0.00019794831666176705-2.8728504867055897*^-6*I	0.0001753837525877806-2.662679277505465*^-6*I	0.0001555027649781246-2.4612466469065784*^-6*I	0.00013787032051383217-2.2675638791576003*^-6*I	0.00012212899689698894-2.0807536931652274*^-6*I	0.00010798270671255168-1.900032579572842*^-6*I	0.00009518414692043083-1.7246961567900285*^-6*I	0.00008352502705132677-1.554106930653587*^-6*I	0.00007282838786431119-1.3876839779831243*^-6*I	0.00006294250465031379-1.2248941764587547*^-6*I	0.00005373599937537076-1.065244680803355*^-6*I	0.000045093879384578655-9.082764044894901*^-7*I	0.000036914288210910615-7.535583116472988*^-7*I	0.00002910580352365693-6.006823588196583*^-7*I	0.000021585153497551137-4.492589531033097*^-7*I	0.000014275249423405649-2.989128137959052*^-7*I	7.10345168348394*^-6-1.492791402341117*^-7*I
0.010272689988607172-6.138386396711669*^-6*I	0.025503041522005325-0.000012680536251107222*I	0.05610022112952119-0.00002008649169857683*I	0.13271371115205602-0.000028707585192910153*I	0.3602110086797205-0.0000371372785173886*I	0.13399692259768778-0.000031749058718685855*I	0.05882625343754809-0.00002623140511644409*I	0.03004267466264196-0.00002206000199185584*I	0.01734335979286767-0.000018968975405442626*I	0.01098323263763939-0.000016613829335467544*I	0.007447624719347577-0.000014758815960058352*I	0.0053140902842303125-0.00001325450215901467*I	0.003941933147868661-0.000012004913414775918*I	0.003014343266841294-0.000010946272532745274*I	0.002361904684067363-0.000010034640941012178*I	0.0018879755874252073-9.238740558916604*^-6*I	0.001534414546096186-8.535664895288621*^-6*I	0.0012646636560443734-7.908224746182596*^-6*I	0.0010548687804044468-7.343247875735907*^-6*I	0.0008889677122583162-6.830455001357842*^-6*I	0.0007558487643648113-6.361695661346927*^-6*I	0.0006476425157721088-5.930415730086306*^-6*I	0.0005586599263989106-5.531278148559485*^-6*I	0.00048471268182461374-5.159887483193537*^-6*I	0.0004226668374766118-4.8125863865716505*^-6*I	0.0003701429002988998-4.486302826165686*^-6*I	0.00032531014356816944-4.178433789377112*^-6*I	0.00028674292812711817-3.886755611662458*^-6*I	0.0002533186516352298-3.6093540144438706*^-6*I	0.00022414415683419143-3.3445689241194694*^-6*I	0.00019850191937121126-3.090950506588344*^-6*I	0.00017581019097939385-2.8472238028462496*^-6*I	0.0001555931248829042-2.6122600245723823*^-6*I	0.00013745813161034843-2.385053051709215*^-6*I	0.00012107853230465255-2.164700024851643*^-6*I	0.00010618013389768888-1.95038518287561*^-6*I	0.0000925307349570368-1.7413662873358756*^-6*I	0.00007993183954779508-1.5369631182172359*^-6*I	0.00006821204616800936-1.3365476335723712*^-6*I	0.000057221714212179944-1.1395354675869719*^-6*I	0.00004682860789272899-9.45378504234441*^-7*I	0.000036914288210910615-7.535583116472987*^-7*I	0.0000273710750155066-5.63580259074707*^-7*I	0.000018099438660741978-3.749681663196934*^-7*I	9.005707905710047*^-6-1.8725935668228895*^-7*I
0.0059791089417513404-5.142688724937308*^-6*I	0.01403620199690936-0.000010546093082212284*I	0.028019399567424233-0.00001652576423395041*I	0.057863853100415155-0.000023487683379327946*I	0.13399692259768775-0.00003174905871868584*I	0.3611734090168534-0.00003988100025450477*I	0.13473698624727376-0.000034241822950815586*I	0.05940737892547954-0.0000285093740218072*I	0.030507165217893397-0.000024151676861637495*I	0.017720314707954765-0.000020897202356770036*I	0.01129319922598167-0.000018397190883952*I	0.007705445156170861-0.000016412620100276555*I	0.005530701312260218-0.000014791500515588485*I	0.004125536654961309-0.000013435832621763298*I	0.0031711870330569246-0.000012280214084692307*I	0.0024968148832291317-0.000011279386632404772*I	0.0020047273056303656-0.000010400988978312317*I	0.0016359942683358488-9.62121678109898*^-6*I	0.0013534582675097247-8.92212987113947*^-6*I	0.001132803679451896-8.289922612674315*^-6*I	0.0009576091041143829-7.713777278570735*^-6*I	0.0008164803632221905-7.1850822887776704*^-6*I	0.0007013237098545136-6.696885839767331*^-6*I	0.0006062703445692628-6.243505593559022*^-6*I	0.0005269866665145313-5.82024437811272*^-6*I	0.0004602203427299374-5.423179480769705*^-6*I	0.00040349464633227726-5.049004031058171*^-6*I	0.00035489837387489256-4.694905900254232*^-6*I	0.00031293876829954244-4.358474049076337*^-6*I	0.0002764368184186605-4.037625243526753*^-6*I	0.00024445158283546074-3.730546080059144*^-6*I	0.00021622472374028346-3.4356466520031277*^-6*I	0.0001911393256927534-3.151523161390239*^-6*I	0.00016868895047500513-2.876927469851185*^-6*I	0.00014845411858760644-2.610742077794798*^-6*I	0.00013008424021036262-2.3519593815339336*^-6*I	0.00011328358558117283-2.099664323109722*^-6*I	0.00009780027647473244-1.8530197444494924*^-6*I	0.00008341755438460432-1.6112539050008527*^-6*I	0.00006994677467615975-1.3736497333173224*^-6*I	0.000057221714212179964-1.1395354675869719*^-6*I	0.00004509387938457866-9.082764044894903*^-7*I	0.00003342857337410146-6.792675248636828*^-7*I	0.00002210153349781101-4.5192680196109116*^-7*I	0.000010995986977258042-2.2568902608558185*^-7*I
0.003763512008302194-4.407706685500617*^-6*I	0.008495466987170262-8.987916707780488*^-6*I	0.01579983396780332-0.00001394728476296338*I	0.029302611013055962-0.000019567237759726106*I	0.05882625343754815-0.000026231405116444094*I	0.13473698624727376-0.00003424182295081559*I	0.3617545345047849-0.00004215896915986788*I	0.13520147680252528-0.00003633349782059726*I	0.05978433384056663-0.000030437600973134633*I	0.03081713180623568-0.00002593503841012196*I	0.01797813514477806-0.000022551006496988255*I	0.011509810254011574-0.00001993418924052581*I	0.00788904866326352-0.000017843539307263942*I	0.005687545078475845-0.0000161254420675355*I	0.00426044685412308-0.00001468057831315587*I	0.0032879387512620823-0.00001344246250408801*I	0.0025983946054687914-0.000012364938518215131*I	0.002093521917095716-0.00001141489410326918*I	0.0017139291673832963-0.000010567891518037385*I	0.0014220996593657905-9.805452148352359*^-6*I	0.0011934352783092743-9.11330924010506*^-6*I	0.0010112902981967878-8.480247388251755*^-6*I	0.0008640907813925428-7.897309733777203*^-6*I	0.000743597694544431-7.357242734686513*^-6*I	0.0006438238498225885-6.854098687757078*^-6*I	0.0005603384125479088-6.382945583005205*^-6*I	0.0004898085730366603-5.939651591646822*^-6*I	0.0004296904865047014-5.520722468472045*^-6*I	0.00037801654065832324-5.1231771293371105*^-6*I	0.00033324619430081186-4.744451205016012*^-6*I	0.00029415962278773273-4.382321388941535*^-6*I	0.0002597807175488204-4.034845438603133*^-6*I	0.00022932054933238438-3.7003140972819287*^-6*I	0.0002021353126700114-3.3772121874758202*^-6*I	0.00017769465838071515-3.064186826533472*^-6*I	0.00015555757027109037-2.7600212180289096*^-6*I	0.00013535378172805835-2.463612838647549*^-6*I	0.00011676930041798208-2.1739551098933385*^-6*I	0.00009953500498288283-1.8901218441944436*^-6*I	0.00008341755438460439-1.611253905000853*^-6*I	0.00006821204616800941-1.3365476335723714*^-6*I	0.0000537359993753708-1.0652446808033558*^-6*I	0.00003982433786688309-7.966229473758744*^-7*I	0.00002632512169061754-5.299883846295714*^-7*I	0.000013095825592100968-2.646674452788023*^-7*I
0.0025163580454189106-3.845227982843176*^-6*I	0.005527143979196131-7.808898366251704*^-6*I	0.00977867843280197-0.000012029390233556182*I	0.016762234304936258-0.00001669100650007953*I	0.03004267466264194-0.000022060001991855827*I	0.05940737892547951-0.00002850937402180718*I	0.13520147680252512-0.00003633349782059723*I	0.36213148941987183-0.000044087196111195296*I	0.1355114433908674-0.000038116859369081714*I	0.06004215427738993-0.000032091405113352845*I	0.031033742834265566-0.000027472036766695764*I	0.01816173865187071-0.000023981925703975642*I	0.011666654020227209-0.000021268130792472857*I	0.008023958862425278-0.00001908828499865652*I	0.005804296796681003-0.0000172876904869312*I	0.0043620265763627385-0.000015766130198966227*I	0.0033767333627274312-0.00001445636762904487*I	0.0026763295045162407-0.000013311613255153529*I	0.0021621633089517808-0.000012298216380482064*I	0.0017745607662406752-0.00001139127814546812*I	0.001475780853448195-0.000010571922258033371*I	0.0012410456964796264-9.825536685104586*^-6*I	0.0010535642828867044-9.140604283170934*^-6*I	0.0009016442866458677-8.507902827975262*^-6*I	0.0007769494405778085-7.919943939578997*^-6*I	0.0006734120801293112-7.370570798634195*^-6*I	0.0005865342527203324-6.854664020419081*^-6*I	0.0005129267398200905-6.367922820729698*^-6*I	0.0004499979125059708-5.906699624411719*^-6*I	0.0003957393450273951-5.4678732747518925*^-6*I	0.0003485753290141713-5.048750563560001*^-6*I	0.0003072554483798336-4.646988834220339*^-6*I	0.00027077670452607823-4.260534464688715*^-6*I	0.0002383262572380943-3.887573453964217*^-6*I	0.00020923876435349523-3.526491327709931*^-6*I	0.00018296419989841082-3.175840283647089*^-6*I	0.00015904328510789965-2.8343120048125266*^-6*I	0.00013708851023620872-2.500714938392501*^-6*I	0.00011676930041798211-2.1739551098933394*^-6*I	0.00009780027647473253-1.8530197444494936*^-6*I	0.00007993183954779518-1.5369631182172365*^-6*I	0.0000629425046503138-1.2248941764587553*^-6*I	0.000046632547691886875-9.159655405692442*^-7*I	0.000030818629961173045-6.093635906935856*^-7*I	0.000015329134713359495-3.042993585439896*^-7*I
0.0017636319708939409-3.4011916807510904*^-6*I	0.0037995694910506273-6.88670150861887*^-6*I	0.006489544316329082-0.000010552620103367861*I	0.010518742082387974-0.000014522154465685908*I	0.01734335979286766-0.000018968975405442616*I	0.030507165217893373-0.00002415167686163747*I	0.05978433384056662-0.0000304376009731346*I	0.13551144339086751-0.00003811685936908172*I	0.3623893098566952-0.000045741000251413536*I	0.1357280544188974-0.000039653857725655544*I	0.060225757784482616-0.00003352232432034024*I	0.031190586600481227-0.000028805978318642802*I	0.01829664885103249-0.000025226671395368235*I	0.011783405738432364-0.000022430379211868548*I	0.008125538584664941-0.000020173836884466855*I	0.005893091408146347-0.000018301595611888054*I	0.0044399614754101835-0.00001671280493590462*I	0.0034453747545834966-0.000015339689906257753*I	0.0027369611033736183-0.000014134999882584263*I	0.0022158445030341866-0.000013064686490163075*I	0.0018221711844110264-0.000012103505590467644*I	0.0015180548381381112-0.000011232279152952546*I	0.0012785992017329514-0.000010436129779302637*I	0.001086916028920081-9.703305488063418*^-6*I	0.0009312325169525902-9.02437493885237*^-6*I	0.0008031452807502316-8.391662376992866*^-6*I	0.0006965302469127411-7.798842027717067*^-6*I	0.0006068416787216012-7.240641176358743*^-6*I	0.0005306495441891621-6.712618966144477*^-6*I	0.00046532704721933-6.210998982955703*^-6*I	0.0004088351706194958-5.732540720030694*^-6*I	0.00035957131599142914-5.274439589645582*^-6*I	0.00031626115628554345-4.834248190902625*^-6*I	0.000277880156209562-4.409813604922827*^-6*I	0.00024359579875578985-3.9992269110778335*^-6*I	0.00021272447919030443-3.600782114493548*^-6*I	0.00018469892840656117-3.2129423833920415*^-6*I	0.00015904328510789968-2.834312004812527*^-6*I	0.00013535378172805837-2.4636128386475497*^-6*I	0.00011328358558117294-2.0996643231097232*^-6*I	0.00009253073495703689-1.7413662873358767*^-6*I	0.00007282838786431123-1.3876839779831252*^-6*I	0.000053936796744603764-1.0376348197764667*^-6*I	0.000035636560714628844-6.902765144836626*^-7*I	0.000017722804369072083-3.446961454147832*^-7*I
0.0012832114456317145-3.041473525775696*^-6*I	0.0027260323080268846-6.144913417867245*^-6*I	0.004539633140636622-9.379465740748596*^-6*I	0.007070669804260487-0.000012830589008730952*I	0.010983232637639385-0.00001661382933546755*I	0.017720314707954765-0.000020897202356770043*I	0.030817131806235663-0.000025935038410121958*I	0.060042154277389945-0.000032091405113352845*I	0.13572805441889751-0.00003965385772565555*I	0.36257291336378805-0.00004717191945840094*I	0.13588489818511304-0.0000409877992776026*I	0.06036066798364437-0.00003476707001173284*I	0.031307338318686394-0.000029968226738038523*I	0.018398228573272134-0.00002631222328117856*I	0.011872200349897704-0.00002344428433682539*I	0.008203473483712389-0.000021120511621405246*I	0.0059617328000024115-0.000019184917889100926*I	0.0045005930742675546-0.00001753619156333535*I	0.0034990559486658963-0.00001610616001593875*I	0.002784571521543966-0.00001484722732758378*I	0.0022581184877240998-0.000013725043385082241*I	0.0018597246896643496-0.000012714098684665695*I	0.0015514065841714876-0.000011794980357845025*I	0.0013081874320396733-0.000010952601890179749*I	0.0011131118690925047-0.000010175023925477286*I	0.00095435068373602-9.452646167935241*^-6*I	0.0008234527067515-8.777639532932528*^-6*I	0.0007142530512818125-8.143538173131842*^-6*I	0.0006221708134349601-7.544940534902723*^-6*I	0.0005437453697812628-6.9772864114232726*^-6*I	0.0004763230341965875-6.4366880090412824*^-6*I	0.0004178408785252056-5.9198000767129785*^-6*I	0.00036667476767491267-5.423718729879689*^-6*I	0.00032153069780323885-4.9459016480162355*^-6*I	0.000281365871046371-4.484104391706436*^-6*I	0.0002453305272639402-4.036329010822781*^-6*I	0.00021272447919030443-3.6007821144935466*^-6*I	0.00018296419989841082-3.175840283647089*^-6*I	0.00015555757027109048-2.76002121802891*^-6*I	0.0001300842402103628-2.3519593815339344*^-6*I	0.00010618013389768896-1.9503851828756117*^-6*I	0.00008352502705132685-1.554106930653587*^-6*I	0.00006183240088705317-1.1619949518975426*^-6*I	0.0000408409711525028-7.729673744976644*^-7*I	0.00002030742600126934-3.85977155939673*^-7*I
