0.-0.8487765644110435*I	-0.49995760419644836+0.*I	0.+0.16976467362257153*I	0.000016885411155891938+0.*I	0.+0.024251182355804354*I	0.000010776621494693538+0.*I	0.+0.008082653854470677*I	7.901221943781012*^-6+0.*I	0.+0.0036727482643450562*I	6.201375795742388*^-6+0.*I	0.+0.001976358963927484*I	5.066409215212221*^-6+0.*I	0.+0.0011844612067262866*I	4.247602443534188*^-6+0.*I	0.+0.0007649860503345374*I	3.6233058503903318*^-6+0.*I	0.+0.0005219042992262446*I	3.128750536762176*^-6+0.*I	0.+0.00037120202436931315*I	2.724562256191634*^-6+0.*I	0.+0.0002726880870910428*I	2.389046606694978*^-6+0.*I	0.+0.0002054502508982009*I	2.057026136190967*^-6+0.*I	0.+0.00015791890811377163*I	1.6420092446865954*^-6+0.*I	0.+0.00012389055866851573*I	3.1156354423582372*^-6+0.*I	0.+0.00009427227147034561*I	-3.7560777085757693*^-6+0.*I	0.+0.00008524301604351942*I	0.000012402773992483455+0.*I	0.+0.000047069516858976035*I	-0.000016336513769319654+0.*I	0.+0.00006823097788365845*I	0.000020885388255336983+0.*I	0.+0.000019144255916418718*I	-0.00001665524549797466+0.*I	0.+0.00004414300328939996*I	0.000011755183571274899+0.*I	0.+0.000014045521054981136*I	-4.73394244240455*^-6+0.*I	0.+0.00001816548052824274*I	1.7866292049103652*^-6+0.*I	0.+8.26237794179091*^-6*I	-5.938945791827434*^-8+0.*I	0.+2.921867035418635*^-6*I
-0.4999576041964182+0.*I	0.-0.6790118907875178*I	-0.49994071877757523+0.*I	0.+0.19401585597933227*I	0.00002766203899069998+0.*I	0.+0.032333836209606184*I	0.000018677835620498426+0.*I	0.+0.011755402117156316*I	0.000014102592937752013+0.*I	0.+0.005649107227871847*I	0.000011267782239409558+0.*I	0.+0.0031608201762906474*I	9.314005787544842*^-6+0.*I	0.+0.0019494472605961306*I	7.87090759963836*^-6+0.*I	0.+0.0012868903467605861*I	6.752064636805566*^-6+0.*I	0.+0.0008931063171312714*I	5.853314038933875*^-6+0.*I	0.+0.0006438901114588613*I	5.113605155386898*^-6+0.*I	0.+0.0004781383394091061*I	4.446073575981925*^-6+0.*I	0.+0.0003633691636688396*I	3.69903497793642*^-6+0.*I	0.+0.0002818094690050089*I	4.75763960236048*^-6+0.*I	0.+0.00021816282717025307*I	-6.40444881482995*^-7+0.*I	0.+0.00017951529072228562*I	8.646695267716736*^-6+0.*I	0.+0.00013231253432696352*I	-3.933747007130865*^-6+0.*I	0.+0.000115300498511328*I	4.548878812655724*^-6+0.*I	0.+0.00008737522856468157*I	4.230144539885959*^-6+0.*I	0.+0.00006328725214111127*I	-4.900058399319696*^-6+0.*I	0.+0.00005818852668291507*I	7.0212469465281924*^-6+0.*I	0.+0.00003221100365085436*I	-2.9473104717479175*^-6+0.*I	0.+0.000026427862438924983*I	1.727233533127789*^-6+0.*I	0.+0.000011184242784477833*I	-5.93917505800623*^-8+0.*I
0.+0.16976467362259062*I	-0.4999407187829194+0.*I	0.-0.6547607084345045*I	-0.49992994217024533+0.*I	0.+0.2020985098272134*I	0.00003556325299864761+0.*I	0.+0.03600658447769722*I	0.00002487922255041474+0.*I	0.+0.013731761075436479*I	0.0000191690012685623+0.*I	0.+0.006833568440159331*I	0.000015515386007205993+0.*I	0.+0.0039258062232398055*I	0.000012937316332365916+0.*I	0.+0.0024713515536836095*I	0.000010999657007004527+0.*I	0.+0.0016580923747480034*I	9.476622943105427*^-6+0.*I	0.+0.0011657944090774155*I	8.24236454924363*^-6+0.*I	0.+0.0008493403658370868*I	7.170636148955339*^-6+0.*I	0.+0.0006360572519253233*I	6.0880780082106495*^-6+0.*I	0.+0.0004872597229915593*I	6.814668481383285*^-6+0.*I	0.+0.0003760817342671266*I	1.0015709294913661*^-6+0.*I	0.+0.0003034058451584637*I	0.00001176232477645228+0.*I	0.+0.00022658480398872471*I	-7.689812200764334*^-6+0.*I	0.+0.00020054350893806278*I	0.00001695164574381981+0.*I	0.+0.00013444475302996223*I	-0.000012106370124975254+0.*I	0.+0.00013151823518093436*I	0.000015985327056028104+0.*I	0.+0.00007733278307853197*I	-9.634002779682835*^-6+0.*I	0.+0.00007635400044079393*I	8.807874840578808*^-6+0.*I	0.+0.00004047338026343106*I	-3.0067070819914124*^-6+0.*I	0.+0.000029349720155488757*I	1.7272423557037664*^-6+0.*I	0.+8.262379186094182*^-6*I
0.00001688541599061496+0.*I	0.+0.19401585597955504*I	-0.4999299421608765+0.*I	0.-0.6466780545807898*I	-0.4999220409440566+0.*I	0.+0.20577125810427221*I	0.00004176463260529464+0.*I	0.+0.03798294343286132*I	0.000029945622162271133+0.*I	0.+0.014916222282325175*I	0.000023416605882159413+0.*I	0.+0.007598554493788348*I	0.000019138689716788598+0.*I	0.+0.004447710516369402*I	0.000016066069425909098+0.*I	0.+0.002842553578509004*I	0.000013724228000312704+0.*I	0.+0.0019307804616892977*I	0.000011865668351795985+0.*I	0.+0.0013712446621013468*I	0.000010299391531958331+0.*I	0.+0.0010072592751728953*I	8.812639793569828*^-6+0.*I	0.+0.0007599478086241461*I	9.203715408825132*^-6+0.*I	0.+0.0005815319931109608*I	3.058589091703117*^-6+0.*I	0.+0.0004613247520974727*I	0.000013404338062689171+0.*I	0.+0.0003504753645235273*I	-4.574186787309919*^-6+0.*I	0.+0.00029481578697879103*I	0.00001319557004883687+0.*I	0.+0.00021968776729622467*I	2.963985329322669*^-7+0.*I	0.+0.00017858775182096726*I	-3.5118432976507354*^-7+0.*I	0.+0.00014556375521078004*I	0.000011251387936604435+0.*I	0.+0.00009549825965905027*I	-7.847369492476313*^-6+0.*I	0.+0.00008461638236541703*I	8.7484868901814*^-6+0.*I	0.+0.00004339524651557715*I	-3.0067069960066262*^-6+0.*I	0.+0.000026427855133705047*I	1.7866286450562985*^-6+0.*I
0.+0.024251182354389125*I	0.000027662036989176987+0.*I	0.+0.20209850982709132*I	-0.49992204094706805+0.*I	0.-0.6430053063131952*I	-0.49991583957261526+0.*I	0.+0.20774761705647365*I	0.000046831042728334515+0.*I	0.+0.03916740464796806*I	0.0000341932255333861+0.*I	0.+0.015681208337575914*I	0.000027039909206184445+0.*I	0.+0.008120458787308521*I	0.00002226744987729872+0.*I	0.+0.004818912538563078*I	0.00001879062817775824+0.*I	0.+0.0031152416702494162*I	0.000016113272141749077+0.*I	0.+0.002136230716530671*I	0.000013922698318490754+0.*I	0.+0.0015291635699156356*I	0.000011941392075746442+0.*I	0.+0.001131149835708438*I	0.000011928272765198928+0.*I	0.+0.000854220078797735*I	5.447640227276959*^-6+0.*I	0.+0.0006667750052577817*I	0.000015461368131343666+0.*I	0.+0.0005083942745083905*I	-2.932177431814614*^-6+0.*I	0.+0.0004187063427092616*I	0.000016311205959167873+0.*I	0.+0.0003139600344841467*I	-3.459676632914783*^-6+0.*I	0.+0.0002638307688215061*I	0.000012051584833567015+0.*I	0.+0.0001926332749150328*I	-5.085126212332384*^-6+0.*I	0.+0.00016372924018871748*I	0.000013038017780879558+0.*I	0.+0.00010376063759540838*I	-7.906766510310802*^-6+0.*I	0.+0.00008753824245431863*I	8.748482047304283*^-6+0.*I	0.+0.00004047337931691736*I	-2.947312612453916*^-6+0.*I	0.+0.000018165479909709736*I
0.000010776616865850738+0.*I	0.+0.03233383620349075*I	0.000035563258770825336+0.*I	0.+0.20577125809803998*I	-0.4999158395682286+0.*I	0.-0.6410289473508209*I	-0.4999107731581928+0.*I	0.+0.20893207826436191*I	0.00005107864221424724+0.*I	0.+0.03993239069647272*I	0.00003781653299784641+0.*I	0.+0.0162031126372202*I	0.000030168669779906565+0.*I	0.+0.008491660810493193*I	0.00002499201259370664+0.*I	0.+0.0050916006312148486*I	0.000021179681217071313+0.*I	0.+0.003320691924751699*I	0.000018170298787032676+0.*I	0.+0.0022941496267296557*I	0.000015564707391986044+0.*I	0.+0.001653054130292363*I	0.000015057028781330617+0.*I	0.+0.001225422102787152*I	8.172203017297244*^-6+0.*I	0.+0.0009394630980169523*I	0.000017850410022198757+0.*I	0.+0.000713844526719751*I	-8.751544109771898*^-7+0.*I	0.+0.0005766252432948616*I	0.00001795321019982118+0.*I	0.+0.0004378506032292915*I	-3.440420913854753*^-7+0.*I	0.+0.0003581030380027608*I	8.295510210551966*^-6+0.*I	0.+0.00027787629381919183*I	7.317642324946959*^-6+0.*I	0.+0.00021079875577828145*I	-3.298494856639181*^-6+0.*I	0.+0.00017199161213615603*I	0.000012978622638739809+0.*I	0.+0.00010668250469102364*I	-7.906765943719181*^-6+0.*I	0.+0.00008461638014538391*I	8.807873654277112*^-6+0.*I	0.+0.00003221100506018787*I	-4.733939321890923*^-6+0.*I
0.+0.008082653848600976*I	0.000018677844967088588+0.*I	0.+0.03600658447228644*I	0.000041764628617585843+0.*I	0.+0.20774761706113612*I	-0.4999107731633367+0.*I	0.-0.6398444861482413*I	-0.49990652555727605+0.*I	0.+0.20969706432431565*I	0.00005470195107415997+0.*I	0.+0.04045429498402145*I	0.000040945288912439066+0.*I	0.+0.016574314664943086*I	0.000032893227167668694+0.*I	0.+0.008764348895602597*I	0.00002738105717826844+0.*I	0.+0.005297050888553048*I	0.000023236705265438002+0.*I	0.+0.0034786108292972837*I	0.000019812307045388463+0.*I	0.+0.002418040184612523*I	0.0000186803326848766+0.*I	0.+0.0017473263962411723*I	0.000011300953071132374+0.*I	0.+0.0013106651238978737*I	0.000020574974192430315+0.*I	0.+0.000986532610147653*I	1.5138954108441345*^-6+0.*I	0.+0.0007820755104456442*I	0.00002001024093673939+0.*I	0.+0.0005957695024782286*I	1.297966038175667*^-6+0.*I	0.+0.00048199359760765087*I	0.000011411143240666557+0.*I	0.+0.00037214855777328165*I	3.5615722695385453*^-6+0.*I	0.+0.00029604177889441113*I	9.104275629176648*^-6+0.*I	0.+0.0002190611296421785*I	-3.3578894667435062*^-6+0.*I	0.+0.00017491348430400538*I	0.00001297862555773235+0.*I	0.+0.00010376063380883316*I	-7.847372121866776*^-6+0.*I	0.+0.00007635400493699596*I	7.021246257908951*^-6+0.*I	0.+0.000014045516330211949*I
7.90122097693356*^-6+0.*I	0.+0.011755402115146515*I	0.00002487922082875094+0.*I	0.+0.03798294343458272*I	0.00004683103968139822+0.*I	0.+0.20893207826485544*I	-0.49990652556037246+0.*I	0.-0.6390795000939765*I	-0.49990290225440837+0.*I	0.+0.21021896861955092*I	0.000057830700372552685+0.*I	0.+0.040825497017947354*I	0.00004366985172957367+0.*I	0.+0.01684700274825318*I	0.00003528227693013834+0.*I	0.+0.008969799158086702*I	0.000029438085747258237+0.*I	0.+0.005454969791554743*I	0.000024878718869035352+0.*I	0.+0.0036025013905285432*I	0.000022927941433150985+0.*I	0.+0.002512312451336723*I	0.000014924262376023368+0.*I	0.+0.0018325694178244446*I	0.000023703724116881487+0.*I	0.+0.0013577346416464716*I	4.238457089577589*^-6+0.*I	0.+0.001054763589636117*I	0.000022399288143595796+0.*I	0.+0.0008012197579909386*I	3.3549882501475536*^-6+0.*I	0.+0.0006399125016886628*I	0.000013053153394386178+0.*I	0.+0.0004960391213479991*I	6.6772010483143125*^-6+0.*I	0.+0.00039031404308222166*I	5.348200971903141*^-6+0.*I	0.+0.00030430415387874816*I	9.044880956687736*^-6+0.*I	0.+0.0002219829952233693*I	-3.357893846138885*^-6+0.*I	0.+0.00017199161836783342*I	0.000013038014268496713+0.*I	0.+0.00009549825878389556*I	-9.634004282472071*^-6+0.*I	0.+0.00005818852346777904*I	0.000011755190387957581+0.*I
0.+0.003672748267335893*I	0.000014102598304415792+0.*I	0.+0.01373176108049409*I	0.00002994562268481686+0.*I	0.+0.03916740463799695*I	0.000051078645648630786+0.*I	0.+0.20969706432288546*I	-0.49990290224943573+0.*I	0.-0.6385575957988388*I	-0.4998997734971212+0.*I	0.+0.21059017064095376*I	0.00006055526407059297+0.*I	0.+0.041098185100591114*I	0.000046058892272919476+0.*I	0.+0.017052453006755577*I	0.00003733930561958369+0.*I	0.+0.009127718060673834*I	0.0000310800913721558+0.*I	0.+0.005578860354482504*I	0.000027994343821693125+0.*I	0.+0.003696773656924987*I	0.00001917186415181225+0.*I	0.+0.0025975554723126557*I	0.000027327036353356128+0.*I	0.+0.0018796389309121628*I	7.367208785399755*^-6+0.*I	0.+0.0014259656190724473*I	0.000025123847207347418+0.*I	0.+0.001073907842299708*I	5.744040550060764*^-6+0.*I	0.+0.0008453627627826657*I	0.000015110176305862958+0.*I	0.+0.0006539580241585324*I	8.319213720101095*^-6+0.*I	0.+0.0005142046096346109*I	8.463831910370463*^-6+0.*I	0.+0.00039857641414722117*I	5.288811192602888*^-6+0.*I	0.+0.00030722601643887876*I	9.044882790369732*^-6+0.*I	0.+0.0002190611269384593*I	-3.2984956951590643*^-6+0.*I	0.+0.00016372924272561873*I	0.000011251385599694769+0.*I	0.+0.00007733277708561054*I	-4.900059500828359*^-6+0.*I	0.+0.00004414300074551125*I
6.201379758323587*^-6+0.*I	0.+0.005649107228871729*I	0.000019168998043893925+0.*I	0.+0.014916222291328328*I	0.00003419322577674863+0.*I	0.+0.0399323906927568*I	0.00005470194969801499+0.*I	0.+0.21021896861702394*I	-0.49989977349809217+0.*I	0.-0.6381863937756224*I	-0.4998970489353101+0.*I	0.+0.21086285872835084*I	0.0000629443045196391+0.*I	0.+0.041303635360313416*I	0.00004811592160232104+0.*I	0.+0.01721037191445264*I	0.00003898131393874847+0.*I	0.+0.009251608620274005*I	0.000034195722091742364+0.*I	0.+0.0056731326189656634*I	0.000024238277248168766+0.*I	0.+0.0037820166835330926*I	0.00003157463139280062+0.*I	0.+0.0026446249858791677*I	0.000010990525529911846+0.*I	0.+0.001947869916271022*I	0.000028252594242766627+0.*I	0.+0.0014451098707813194*I	8.46860441754073*^-6+0.*I	0.+0.0011180508479236408*I	0.000017499223931812766+0.*I	0.+0.0008594082797388031*I	0.000010376237430135838+0.*I	0.+0.0006721235059761507*I	0.00001010583806432714+0.*I	0.+0.0005224669794033299*I	8.404442150972471*^-6+0.*I	0.+0.0004014982867141264*I	5.288800367239983*^-6+0.*I	0.+0.0003043041495458926*I	9.104273062862214*^-6+0.*I	0.+0.00021079875242584916*I	-5.085126207728861*^-6+0.*I	0.+0.00014556375537265698*I	0.00001598532836892791+0.*I	0.+0.00006328725273916935*I	-0.000016655246351693354+0.*I
0.+0.0019763589640896945*I	0.00001126778562968086+0.*I	0.+0.0068335684374814035*I	0.000023416606336542336+0.*I	0.+0.01568120834143689*I	0.000037816542715655265+0.*I	0.+0.040454294987562686*I	0.000057830700228344946+0.*I	0.+0.21059017064064373*I	-0.4998970489392403+0.*I	0.-0.6379137056883132*I	-0.49989465989087745+0.*I	0.+0.21106830898546336*I	0.00006500133983897822+0.*I	0.+0.04146155426767233*I	0.000049757935103737666+0.*I	0.+0.01733426247313539*I	0.000042096944991801714+0.*I	0.+0.009345880888694723*I	0.000030439646625110337+0.*I	0.+0.00575837564132662*I	0.000036641045337325925+0.*I	0.+0.0038290861884612837*I	0.00001523812587657842+0.*I	0.+0.0027128559682910933*I	0.00003187590548875959+0.*I	0.+0.001967014167313569*I	0.000011597349364254673+0.*I	0.+0.0014892528703408722*I	0.00002022378659117859+0.*I	0.+0.0011320963686859767*I	0.000012765276604848778+0.*I	0.+0.0008775737655231097*I	0.000012162864624162505+0.*I	0.+0.0006803858882868455*I	0.000010046449060667744+0.*I	0.+0.0005253888463211745*I	8.404440002105714*^-6+0.*I	0.+0.0003985764214401791*I	5.348200048654027*^-6+0.*I	0.+0.0002960417691282857*I	7.317642184445535*^-6+0.*I	0.+0.00019263327510395112*I	-3.5118752793967494*^-7+0.*I	0.+0.00013151823690550624*I	4.230140095266687*^-6+0.*I	0.+0.00001914425618301796*I
