0.-0.8487765225256327*I	-0.4999575990110733+0.*I	0.+0.16976479978158973*I	0.000016895809442847297+0.*I	0.+0.02425139424799907*I	0.000010792255432822301+0.*I	0.+0.00808295397330885*I	7.922143941440469*^-6+0.*I	0.+0.0036731401886707575*I	6.22765042483562*^-6+0.*I	0.+0.001976847408167326*I	5.098165310540265*^-6+0.*I	0.+0.0011850522594446555*I	4.2848800236785914*^-6+0.*I	0.+0.0007656868726284294*I	3.6666790154972462*^-6+0.*I	0.+0.000522724090109683*I	3.1773295563189343*^-6+0.*I	0.+0.00037215008415037446*I	2.777478047884309*^-6+0.*I	0.+0.00027378204778047194*I	2.4422299448513963*^-6+0.*I	0.+0.00020672250489214424*I	2.1550425640857828*^-6+0.*I	0.+0.0001593591395899084*I	1.9044729747279466*^-6+0.*I	0.+0.0001248818837478441*I	1.6823370028009926*^-6+0.*I	0.+0.00009911366915278253*I	1.4826092043482736*^-6+0.*I	0.+0.00007939282810203772*I	1.3007405694756888*^-6+0.*I	0.+0.00006396626279876249*I	1.1332153521945908*^-6+0.*I	0.+0.00005164487221272662*I	9.77258384486998*^-7+0.*I	0.+0.00004160014617170221*I	8.306319707214043*^-7+0.*I	0.+0.00003323990391989834*I	6.914953250379411*^-7+0.*I	0.+0.00002612997068227158*I	5.583001370923615*^-7+0.*I	0.+0.000019943335642025334*I	4.2971641124965175*^-7+0.*I	0.+0.000014426143773381976*I	3.0457246499834064*^-7+0.*I	0.+9.374190907386222*^-6*I	1.8181092574903995*^-7+0.*I	0.+4.616004502334932*^-6*I	6.044961100338554*^-8+0.*I
-0.49995759901102355+0.*I	0.-0.6790117227439836*I	-0.499940703201703+0.*I	0.+0.19401619402959214*I	0.000027688064912269034+0.*I	0.+0.03233434822134063*I	0.000018714399331907118+0.*I	0.+0.011756094161946418*I	0.000014149794394135172+0.*I	0.+0.0056499875968359595*I	0.000011325815709461383+0.*I	0.+0.0031618996676196294*I	9.383045303318297*^-6+0.*I	0.+0.0019507391321100503*I	7.951559053586313*^-6+0.*I	0.+0.001288410962749226*I	6.8440086246717284*^-6+0.*I	0.+0.0008948741742723546*I	5.9548075439916995*^-6+0.*I	0.+0.0006459321318612208*I	5.219708044491688*^-6+0.*I	0.+0.0004805045527343256*I	4.59727250466571*^-6+0.*I	0.+0.00036608164446581294*I	4.059515565600355*^-6+0.*I	0.+0.0002842410234101261*I	3.586809950752245*^-6+0.*I	0.+0.0002239955528442383*I	3.164946198404919*^-6+0.*I	0.+0.00017850649727694766*I	2.783349815166649*^-6+0.*I	0.+0.00014335909087171097*I	2.4339559382191185*^-6+0.*I	0.+0.0001156111350643212*I	2.1104737023954755*^-6+0.*I	0.+0.00009324501831208704*I	1.8078903907818533*^-6+0.*I	0.+0.00007484005013989872*I	1.5221273039057171*^-6+0.*I	0.+0.00005936987459893281*I	1.2497954792994485*^-6+0.*I	0.+0.000046073306333392406*I	9.880165365403132*^-7+0.*I	0.+0.00003436947932931292*I	7.34288855646348*^-7+0.*I	0.+0.000023800334775286932*I	4.863834223344529*^-7+0.*I	0.+0.000013990195406897858*I	2.422604973333498*^-7+0.*I	0.+4.616004486534006*^-6*I
0.+0.16976479978159928*I	-0.4999407032016043+0.*I	0.-0.6547603284959547*I	-0.49992991094619144+0.*I	0.+0.20209914800286186*I	0.00003561020882738559+0.*I	0.+0.03600748841000671*I	0.000024942049781701066+0.*I	0.+0.013732941570105815*I	0.00001924795969447298+0.*I	0.+0.006835039856338145*I	0.000015610695696450678+0.*I	0.+0.003927586540196849*I	0.00001304972438797486+0.*I	0.+0.002473463222233441*I	0.000011128888570768674+0.*I	0.+0.0016605610468430317*I	9.621486660532655*^-6+0.*I	0.+0.0011686562220912496*I	8.397037519628837*^-6+0.*I	0.+0.0008526546367860238*I	7.374750599189656*^-6+0.*I	0.+0.0006398636923098443*I	6.501745463573816*^-6+0.*I	0.+0.0004909635282104131*I	5.741852582050516*^-6+0.*I	0.+0.0003833546924866033*I	5.069419166587916*^-6+0.*I	0.+0.0003033883809940027*I	4.465686806913891*^-6+0.*I	0.+0.0002424727601010632*I	3.916565093270457*^-6+0.*I	0.+0.00019500396306246264*I	3.411214351268653*^-6+0.*I	0.+0.00015721128120840198*I	2.941105656397515*^-6+0.*I	0.+0.0001264849222673473*I	2.49938572831877*^-6+0.*I	0.+0.00010097002081195928*I	2.0804274026603762*^-6+0.*I	0.+0.00007931321021410188*I	1.6795118966209663*^-6+0.*I	0.+0.00006049945012712096*I	1.292588984809533*^-6+0.*I	0.+0.0000437436703208304*I	9.160998439976421*^-7+0.*I	0.+0.000028416339198417584*I	5.468329594718552*^-7+0.*I	0.+0.000013990195420275405*I	1.818109733323287*^-7+0.*I
0.000016895809407161026+0.*I	0.+0.19401619402964548*I	-0.49992991094620415+0.*I	0.-0.646677374522701*I	-0.49992198880231353+0.*I	0.+0.20577228819159216*I	0.00004183785926241049+0.*I	0.+0.03798433581809557*I	0.000030040215109664185+0.*I	0.+0.014917993829564274*I	0.000023532839668927498+0.*I	0.+0.007600726728905348*I	0.000019277374799218495+0.*I	0.+0.00445031063038928*I	0.0000162270539136856+0.*I	0.+0.0028456133063811282*I	0.000013906366620435467+0.*I	0.+0.0019343430946164074*I	0.000012063716599863856+0.*I	0.+0.0013753787270363706*I	0.00001055208012422308+0.*I	0.+0.0010120137763338505*I	9.27922354777191*^-6+0.*I	0.+0.0007647455760852967*I	8.184082464772529*^-6+0.*I	0.+0.0005900771973485958*I	7.224461793916028*^-6+0.*I	0.+0.00046274752058949605*I	6.37015976501751*^-6+0.*I	0.+0.0003673546437673128*I	5.598902116001763*^-6+0.*I	0.+0.0002941176322671851*I	4.893823568868374*^-6+0.*I	0.+0.00023660410927388788*I	4.241846267155006*^-6+0.*I	0.+0.00019045118513951804*I	3.632601042706197*^-6+0.*I	0.+0.00015261489297416014*I	3.0576858155279623*^-6+0.*I	0.+0.00012091335643026222*I	2.510143859957669*^-6+0.*I	0.+0.00009373935398568215*I	1.984084350473032*^-6+0.*I	0.+0.00006987364104113048*I	1.4743999692224215*^-6+0.*I	0.+0.00004835967480820687*I	9.765493918535327*^-7+0.*I	0.+0.00002841633922871369*I	4.863834085446215*^-7+0.*I	0.+9.374190948812597*^-6*I
0.+0.02425139424812121*I	0.00002768806484405239+0.*I	0.+0.20209914800287357*I	-0.4999219888022494+0.*I	0.-0.643004234333922*I	-0.49991576115185826+0.*I	0.+0.20774913559963085*I	0.00004693602455629104+0.*I	0.+0.03916938807769592*I	0.000034325095019856953+0.*I	0.+0.015683680702129332*I	0.000027199518773114508+0.*I	0.+0.008123450819154216*I	0.000022454704294032842+0.*I	0.+0.004822460714399036*I	0.000019004532001335234+0.*I	0.+0.003119395354209462*I	0.000016348596543596964+0.*I	0.+0.002141065599508693*I	0.000014218759203002431+0.*I	0.+0.001534737866583395*I	0.000012456553061707465+0.*I	0.+0.0011368956601174693*I	0.000010961560567413918+0.*I	0.+0.0008638592452216461*I	9.666691671638989*^-6+0.*I	0.+0.0006694700254178286*I	8.525202395625437*^-6+0.*I	0.+0.0005267137834589759*I	7.503375056091448*^-6+0.*I	0.+0.0004189995159646896*I	6.576160562474001*^-6+0.*I	0.+0.0003357177784757225*I	5.724455466891756*^-6+0.*I	0.+0.000269844013145321*I	4.933341654812435*^-6+0.*I	0.+0.00021658115579614793*I	4.190901112325639*^-6+0.*I	0.+0.00017255822857257955*I	3.4874022919405935*^-6+0.*I	0.+0.0001353395002261973*I	2.8147162625736567*^-6+0.*I	0.+0.00010311354491912375*I	2.165895324458036*^-6+0.*I	0.+0.00007448964553646455*I	1.5348494944667298*^-6+0.*I	0.+0.00004835967481407879*I	9.160998747648197*^-7+0.*I	0.+0.00002380033472044077*I	3.045723838412815*^-7+0.*I
0.000010792255435576514+0.*I	0.+0.03233434822134053*I	0.000035610208778598216+0.*I	0.+0.2057722881915496*I	-0.4999157611518642+0.*I	0.-0.6410273869258462*I	-0.49991066298654396+0.*I	0.+0.20893418785923368*I	0.00005122090453445535+0.*I	0.+0.03993507495018141*I	0.00003799177420202788+0.*I	0.+0.016206404792327458*I	0.000030376848200405656+0.*I	0.+0.00849560090322877*I	0.00002523218245042819+0.*I	0.+0.005096242762264824*I	0.00002144676184691972+0.*I	0.+0.00332611785908187*I	0.000018503639213584775+0.*I	0.+0.0023004247391212765*I	0.00001612323210711546+0.*I	0.+0.0016596197503504404*I	0.000014138890130131271+0.*I	0.+0.0012360093292842292*I	0.00001244416970481471+0.*I	0.+0.0009432520732638263*I	0.000010967432339392214+0.*I	0.+0.0007334362882629047*I	9.65841763047576*^-6+0.*I	0.+0.0005783586556056609*I	8.48063352563505*^-6+0.*I	0.+0.000460599662166498*I	7.406792458446605*^-6+0.*I	0.+0.00036895768233838875*I	6.415950892996591*^-6+0.*I	0.+0.00029597398391282946*I	5.491641693384159*^-6+0.*I	0.+0.00023652449143102015*I	4.620617592518774*^-6+0.*I	0.+0.00018698437235617016*I	3.79197469439545*^-6+0.*I	0.+0.00014471369114991812*I	2.996527277069067*^-6+0.*I	0.+0.00010772954944515545*I	2.2263448496961935*^-6+0.*I	0.+0.00007448964552239785*I	1.474399967303616*^-6+0.*I	0.+0.000043743670320460215*I	7.342888730859485*^-7+0.*I	0.+0.000014426143798217757*I
0.+0.00808295397322533*I	0.000018714399328391613+0.*I	0.+0.03600748841008255*I	0.000041837859251156466+0.*I	0.+0.20774913559969183*I	-0.4999106629864947+0.*I	0.-0.6398423346663358*I	-0.4999063781065781+0.*I	0.+0.20969987473174523*I	0.000054887583636479143+0.*I	0.+0.04045779904045265*I	0.00004116910367889914+0.*I	0.+0.016578554876427367*I	0.00003315432636343187+0.*I	0.+0.008769382951038058*I	0.00002767441231226504+0.*I	0.+0.005302965267143127*I	0.000023601804501467566+0.*I	0.+0.003485476998683888*I	0.000020408112089958082+0.*I	0.+0.0024253066228442284*I	0.00001780556917373631+0.*I	0.+0.0017587334194880061*I	0.000015621499241237074+0.*I	0.+0.0013154021573386077*I	0.000013744910420169194+0.*I	0.+0.0010072183360946274*I	0.000012100647585595699+0.*I	0.+0.0007850811604559757*I	0.000010635676106215348+0.*I	0.+0.0006199588018098561*I	9.311265401179406*^-6+0.*I	0.+0.0004938395661099939*I	8.098287882032221*^-6+0.*I	0.+0.00039508765305676846*I	6.974250931497008*^-6+0.*I	0.+0.000315917319481447*I	5.921358221669287*^-6+0.*I	0.+0.0002509506352128316*I	4.925189947697936*^-6+0.*I	0.+0.00019635856331497173*I	3.973785734491804*^-6+0.*I	0.+0.00014932969563368243*I	3.0569767584567696*^-6+0.*I	0.+0.00010772954942448411*I	2.1658953591367574*^-6+0.*I	0.+0.00006987364101494388*I	1.2925889420409287*^-6+0.*I	0.+0.00003436947940957743*I	4.297164878742173*^-7+0.*I
7.922143860738178*^-6+0.*I	0.+0.01175609416195395*I	0.000024942049820485187+0.*I	0.+0.037984335818149424*I	0.00004693602455549273+0.*I	0.+0.2089341878591674*I	-0.49990637810658284+0.*I	0.-0.6390766477937175*I	-0.4999027114274412+0.*I	0.+0.21022259882195854*I	0.00005806491312294347+0.*I	0.+0.040829949124565675*I	0.00004394658176810925+0.*I	0.+0.016852336924201197*I	0.000035596556205882387+0.*I	0.+0.008976105455926694*I	0.000029829454969192585+0.*I	0.+0.005462324406710916*I	0.000025506277403666135+0.*I	0.+0.0036103588824535912*I	0.000022090449160261434+0.*I	0.+0.0025244202919979656*I	0.000019288178326376962+0.*I	0.+0.0018381262475871453*I	0.000016922239956410897+0.*I	0.+0.0013793684201321118*I	0.00001487812559516649+0.*I	0.+0.0010588632083363626*I	0.000013077906091525652+0.*I	0.+0.0008266813065948123*I	0.000011466307959680518+0.*I	0.+0.0006531987057476272*I	0.000010002760863047576+0.*I	0.+0.0005199695367636469*I	8.65658787419214*^-6+0.*I	0.+0.0004150309886954013*I	7.403967446042472*^-6+0.*I	0.+0.0003303434632265581*I	6.225930602180311*^-6+0.*I	0.+0.0002603248261938246*I	5.1070009853263475*^-6+0.*I	0.+0.00020097456776655608*I	4.034235206644793*^-6+0.*I	0.+0.00014932969567732157*I	2.9965272782165347*^-6+0.*I	0.+0.00010311354489300481*I	1.984084338823954*^-6+0.*I	0.+0.000060499450145748284*I	9.880165534816171*^-7+0.*I	0.+0.00001994333555318616*I
0.+0.003673140188705739*I	0.000014149794375273375+0.*I	0.+0.013732941570033378*I	0.000030040215118222156+0.*I	0.+0.0391693880776973*I	0.00005122090450564477+0.*I	0.+0.20969987473178467*I	-0.4999027114274166+0.*I	0.-0.6385539237035673*I	-0.4998995340980054+0.*I	0.+0.21059474890603916*I	0.00006084239125604953+0.*I	0.+0.04110373117233785*I	0.000046388811644016926+0.*I	0.+0.017059059429120425*I	0.000037751598910169313+0.*I	0.+0.009135464595513251*I	0.00003173392781561934+0.*I	0.+0.005587206290533423*I	0.000027188614523410915+0.*I	0.+0.0037094725515321825*I	0.000023573058264079325+0.*I	0.+0.002603813120131515*I	0.00002058891903148904+0.*I	0.+0.0019020925103580175*I	0.000018055455153448245+0.*I	0.+0.0014310132923640332*I	0.000015855384155749437+0.*I	0.+0.00110046335446335*I	0.000013908537911620563+0.*I	0.+0.0008599212106104975*I	0.000012157803449269205+0.*I	0.+0.0006793286763825567*I	0.00001056106083647763+0.*I	0.+0.0005399128724289234*I	9.08630447518824*^-6+0.*I	0.+0.0004294571324623827*I	7.708539741242397*^-6+0.*I	0.+0.0003397176541845979*I	6.407741643800756*^-6+0.*I	0.+0.00026494083064046415*I	5.167450474251068*^-6+0.*I	0.+0.00020097456779382268*I	3.973785741818179*^-6+0.*I	0.+0.00014471369115099915*I	2.8147162065929375*^-6+0.*I	0.+0.00009373935401019427*I	1.679511990643548*^-6+0.*I	0.+0.00004607330632076663*I	5.583000485680808*^-7+0.*I
6.227650491588539*^-6+0.*I	0.+0.005649987596848133*I	0.00001924795964440966+0.*I	0.+0.014917993829587334*I	0.000034325095148092795+0.*I	0.+0.03993507495021585*I	0.00005488758359146303+0.*I	0.+0.2102225988219682*I	-0.49989953409794907+0.*I	0.-0.6381817736194675*I	-0.49989675661990834+0.*I	0.+0.2108685309539058*I	0.00006328462115838025+0.*I	0.+0.041310453677193985*I	0.000048543854305141595+0.*I	0.+0.0172184185687395*I	0.0000396560717952187+0.*I	0.+0.00926034647923523*I	0.00003341626490153235+0.*I	0.+0.0056863199596622355*I	0.000028671223613428085+0.*I	0.+0.003788865379621957*I	0.000024873798994363148+0.*I	0.+0.002667779382925234*I	0.00002172213423114319+0.*I	0.+0.0019537373825897673*I	0.00001903271366192694+0.*I	0.+0.001472613438542599*I	0.000016686015969546922+0.*I	0.+0.0011337032583902725*I	0.000014600033392010029+0.*I	0.+0.0008860511812521159*I	0.00001271610345245313+0.*I	0.+0.0006992720120198088*I	0.000010990777373954738+0.*I	0.+0.0005543390161977987*I	9.390876797881571*^-6+0.*I	0.+0.0004388313233709559*I	7.890350830026358*^-6+0.*I	0.+0.0003443336587110168*I	6.468191109490388*^-6+0.*I	0.+0.0002649408306364547*I	5.107001008819809*^-6+0.*I	0.+0.0001963585633002905*I	3.7919746758364323*^-6+0.*I	0.+0.0001353395002315826*I	2.5101438755771745*^-6+0.*I	0.+0.00007931321018852891*I	1.24979547553029*^-6+0.*I	0.+0.000026129970733494896*I
0.+0.001976847408111184*I	0.00001132581573173627+0.*I	0.+0.006835039856331951*I	0.000023532839665624554+0.*I	0.+0.01568368070215744*I	0.000037991774148370045+0.*I	0.+0.0404577990404027*I	0.00005806491312057335+0.*I	0.+0.21059474890609678*I	-0.49989675661985883+0.*I	0.-0.6379079915716186*I	-0.49989431438999266+0.*I	0.+0.21107525345871667*I	0.00006543966378284787+0.*I	0.+0.041469812816844843*I	0.00005044832719025614+0.*I	0.+0.017343300452407836*I	0.00004133840887264488+0.*I	0.+0.009359460148426783*I	0.00003489887404590732+0.*I	0.+0.005765712787716436*I	0.000029971964291398076+0.*I	0.+0.003852831642514495*I	0.000026007014215394402+0.*I	0.+0.0027194242550905713*I	0.00002269939274604743+0.*I	0.+0.0019953375287845047*I	0.00001986334550775367+0.*I	0.+0.0015058533424396523*I	0.000017377511441237945+0.*I	0.+0.0011598332290827047*I	0.000015158333399086204+0.*I	0.+0.0009059945168755824*I	0.00001314581999600176+0.*I	0.+0.0007136981558129538*I	0.000011295349712152418+0.*I	0.+0.000563713207133937*I	9.572687860560052*^-6+0.*I	0.+0.00044344732786994926*I	7.95080029294387*^-6+0.*I	0.+0.00034433365870218736*I	6.407741642824974*^-6+0.*I	0.+0.00026032482617070627*I	4.925189958567943*^-6+0.*I	0.+0.00018698437235819973*I	3.4874023364624748*^-6+0.*I	0.+0.00012091335645235462*I	2.080427359585661*^-6+0.*I	0.+0.00005936987460298291*I	6.914954099928385*^-7+0.*I
