0.-514.3943509829046*I	-0.6303459146241787+0.*I	0.+514.3942879483131*I	0.5789064858293473+0.*I	0.-143.11691000068217*I	-0.4749419901827039+0.*I	0.+143.11686250648313*I	0.4606303039320555+0.*I	0.-49.56611607233535*I	-0.492486008522384+0.*I	0.+49.56606682373449*I	0.4875294018400169+0.*I	0.-19.171225418611687*I	-0.6330855669954534+0.*I	0.+19.171162110054986*I	0.6311684507844474+0.*I	0.-7.936249495677766*I	-0.9275782203356167+0.*I	0.+7.9361567378557325*I	0.9267846046618309+0.*I	0.-3.4436796582557205*I	-1.4732109204663437+0.*I	0.+3.4435323371636746*I	1.4728665672326278+0.*I	0.-1.5481281782092986*I	-2.4687059407887273+0.*I	0.+1.54788130761522*I	2.4685511526579655+0.*I	0.-0.7158457122497784*I	-4.300595795836206+0.*I	0.+0.7154156526701948*I	4.300524254270937+0.*I	0.-0.3386019566732113*I	-7.7215508242297375+0.*I	0.+0.33782980159078835*I	7.7215170412495775+0.*I	0.-0.16271794811879745*I	-14.213730637626899+0.*I	0.+0.16129657505503475*I	14.213714507969392+0.*I	0.-0.07808513697916303*I	-26.73602393165092+0.*I	0.+0.07541153458599792*I	26.73601639049746+0.*I	0.-0.03507111040105632*I	-51.28254413858846+0.*I	0.+0.029942855987197474*I	51.282541144302854+0.*I	0.-0.010018571146500163*I	-100.18571146511076+0.*I
-0.6303459146241781+0.*I	0.-0.00008960354901291863*I	-0.3696540764154669+0.*I	0.+0.000052638141371371905*I	0.05143942353101697+0.*I	0.-0.00005582371076537004*I	-0.05143941794864589+0.*I	0.+0.000050679768970505456*I	0.014311681182671253+0.*I	0.-0.00006523538419566951*I	-0.014311674659132826+0.*I	0.+0.00006380421672974083*I	0.004956600301951686+0.*I	0.-0.00009344519182091353*I	-0.004956590957432504+0.*I	0.+0.00009294953272517027*I	0.0019171069160521742+0.*I	0.-0.00014759216135570505*I	-0.0019170921568360387+0.*I	0.+0.00014740045214002155*I	0.0007936009337403293+0.*I	0.-0.0002469843845567517*I	-0.0007935762353018734+0.*I	0.+0.00024690502693322156*I	0.0003443285432136574+0.*I	0.-0.00043010948264922004*I	-0.00034428553226539257+0.*I	0.+0.0004300750540959936*I	0.00015474512325610467+0.*I	0.-0.0007721776956486068*I	-0.00015466790548653982+0.*I	0.+0.0007721622288580583*I	0.00007146434904412729+0.*I	0.-0.001421383560068257*I	-0.00007132221068812048+0.*I	0.+0.001421376427847188*I	0.000033640842516289105+0.*I	0.-0.0026736073167431926*I	-0.00003337348178461478+0.*I	0.+0.0026736039793950144*I	0.000015862297107563885+0.*I	0.-0.00512825665163991*I	-0.000015349471442399894+0.*I	0.+0.005128255116692767*I	7.028327946934845*^-6+0.*I	0.-0.010018571948406343*I	-6.026470752094212*^-6+0.*I	0.+0.01001857134575927*I	1.9924284641374744*^-6+0.*I	0.-0.019924284641510897*I
0.+514.3942879483131*I	-0.36965407641546666+0.*I	0.-514.3943249137207*I	-0.5789064910931612+0.*I	0.+143.11691514462476*I	0.47494199576507556+0.*I	0.-143.1168676504252*I	-0.4606303090000331+0.*I	0.+49.56611750350364*I	0.4924860150459298+0.*I	0.-49.56606825490214*I	-0.48752940822042806+0.*I	0.+19.171225914271773*I	0.6330855763399115+0.*I	0.-19.17116260571414*I	-0.6311684600793401+0.*I	0.+7.936249687388506*I	0.927578235094777+0.*I	0.-7.936156929564998*I	-0.9267846194018204+0.*I	0.+3.4436797376158523*I	1.4732109451647173+0.*I	0.-3.4435324165213363*I	-1.4728665919230652+0.*I	0.+1.5481282126421863*I	2.468705983799605+0.*I	0.-1.5478813420438065*I	-2.468551195665401+0.*I	0.+0.7158457277243157*I	4.30059587305386+0.*I	0.-0.7154156681370103*I	-4.300524331487046+0.*I	0.+0.3386019638196702*I	7.721550966367941+0.*I	0.-0.3378298087230335*I	-7.721517183387066+0.*I	0.+0.16271795148290474*I	14.213730904987491+0.*I	0.-0.161296578392406*I	-14.213714775329652+0.*I	0.+0.07808513856541444*I	26.736024444476186+0.*I	0.-0.07541153612096681*I	-26.736016903322575+0.*I	0.+0.035071111103909404*I	51.282545140443816+0.*I	0.-0.029942856589865022*I	-51.28254214615816+0.*I	0.+0.01001857134574275*I	100.18571345753672+0.*I
0.5789064858293459+0.*I	0.+0.000052638141371371796*I	-0.5789064910931602+0.*I	0.-0.00011052879048068779*I	-0.06575111504548+0.*I	0.+0.00010331791034187708*I	0.06575110471368899+0.*I	0.-0.0000967427998705082*I	-0.019268292933021895+0.*I	0.+0.00011448398570022326*I	0.019268281484623315+0.*I	0.-0.00011255715755178308*I	-0.006873722893378962+0.*I	0.+0.0001567537494548701*I	0.006873707218004016+0.*I	0.-0.00015606637873306965*I	-0.0027107318847910795+0.*I	0.+0.00024034998486514815*I	0.0027107078497925928+0.*I	0.-0.00024007891408016888*I	-0.0011379689075019595+0.*I	0.+0.00039430547907314553*I	0.0011379294769540522+0.*I	0.-0.00039419168612545014*I	-0.0004991413644778844+0.*I	0.+0.000676980081029058*I	0.0004990736664697815+0.*I	0.-0.000676930173662411*I	-0.00022632969602853024+0.*I	0.+0.0012022372829537257*I	0.00022620947230023487+0.*I	0.-0.0012022146620064957*I	-0.00010532454542608521+0.*I	0.+0.002193538656704782*I	0.00010510519156041474+0.*I	0.-0.002193528146185626*I	-0.000049912637664577105+0.*I	0.+0.0040949804072416595*I	0.00004950313962385293+0.*I	0.-0.004094975456927697*I	-0.000023670810964095046+0.*I	0.+0.007801859096085345*I	0.00002289062505448651+0.*I	0.-0.0078018568070228386*I	-0.000010535439057312017+0.*I	0.+0.015146826462433793*I	9.020756411068638*^-6+0.*I	0.-0.01514682556035815*I	-2.9942855987501226*^-6+0.*I	0.+0.029942855987132096*I
0.-143.11691000068313*I	0.051439423531017416+0.*I	0.+143.1169151446255*I	-0.06575111504547997+0.*I	0.-49.56622660112641*I	-0.5645948099104887+0.*I	0.+49.56617014164543*I	0.5596381928963242+0.*I	0.-19.171322161411837*I	-0.45567370869807383+0.*I	0.+19.171276594040968*I	0.45375658103866784+0.*I	0.-7.936362052835458*I	-0.48561230130436733+0.*I	0.+7.93631349160533*I	0.4848186699552067+0.*I	0.-3.4438357246345253*I	-0.6303748591456535+0.*I	0.+3.4437726871486105*I	0.6300304818769387+0.*I	0.-1.548368257123414*I	-0.9264402908586786+0.*I	0.+1.5482756130943283*I	0.9262854632973689+0.*I	0.-0.7162399039359164*I	-1.4727118467998976+0.*I	0.+0.7160926327512366*I	1.4726402375366228+0.*I	0.-0.3392788868468872*I	-2.468479731316467+0.*I	0.+0.3390320388737556*I	2.4684458281125785+0.*I	0.-0.16392016278081778*I	-4.300490690644522+0.*I	0.+0.1634901137117533*I	4.3004743416331515+0.*I	0.-0.08027866512536151*I	-7.721501321090088+0.*I	0.+0.0795065149932525*I	7.721493370438587+0.*I	0.-0.039166085857997635*I	-14.213707747002461+0.*I	0.+0.03774471508329739*I	14.213703972530954+0.*I	0.-0.017820427953532347*I	-26.736014910896426+0.*I	0.+0.015146826462442704*I	26.736013396213778+0.*I	0.-0.005128254413855167*I	-51.282544138587056+0.*I
-0.47494199018270056+0.*I	0.-0.00005582371076536942*I	0.47494199576507157+0.*I	0.+0.00010331791034187657*I	-0.5645948099104892+0.*I	0.-0.00021066264397394342*I	-0.43540516902324633+0.*I	0.+0.00016712212707161873*I	0.07070770501564039+0.*I	0.-0.0002145042867819535*I	-0.0707076835652117+0.*I	0.+0.00020743351842542718*I	0.021185388400675364+0.*I	0.-0.00030627273737224574*I	-0.02118535777340162+0.*I	0.+0.0003041542015949056*I	0.007667308151744322+0.*I	0.-0.0004880217377333325*I	-0.007667259349570548+0.*I	0.+0.00048725501179837545*I	0.003055036393006212+0.*I	0.-0.0008246860285616046*I	-0.003054953924403357+0.*I	0.+0.000824380533169164*I	0.0012926746002101094+0.*I	0.-0.0014492715628544367*I	-0.0012925296730538242+0.*I	0.+0.0014491423098871312*I	0.0005705380155139045+0.*I	0.-0.0026236707383658986*I	-0.0005702756484400677+0.*I	0.+0.0026236137108010546*I	0.0002598503148165213+0.*I	0.-0.004867168572459577*I	-0.00025936359795927533+0.*I	0.+0.004867142636099781*I	0.0001209674886679803+0.*I	0.-0.009223247528450012*I	-0.00012004516391513528+0.*I	0.+0.009223235523933617*I	0.000056531467570784226+0.*I	0.-0.017820435916782135*I	-0.000054749423979106+0.*I	0.+0.017820430441839744*I	0.00002488305351863827+0.*I	0.-0.03507111324150608*I	-0.000021375942194487663+0.*I	0.+0.03507111110391187*I	7.028327946932321*^-6+0.*I	0.-0.07028327946935979*I
0.+143.1168625064843*I	-0.05143941794864643+0.*I	0.-143.11686765042606*I	0.06575110471368903+0.*I	0.+49.56617014164547*I	-0.43540516902324716+0.*I	0.-49.56621368216237*I	-0.5596382096085366+0.*I	0.+19.171329232182366*I	0.4556737301485072+0.*I	0.-19.171283664809355*I	-0.4537566017820285+0.*I	0.+7.936364171374313*I	0.48561233193164116+0.*I	0.-7.936315610141121*I	-0.4848187003706271+0.*I	0.+3.443836491365341*I	0.6303749079478269+0.*I	0.-3.4437734538745466*I	-0.6300305306024395+0.*I	0.+1.5483685626270518*I	0.9264403733272799+0.*I	0.-1.5482759185897188*I	-0.926285545735421+0.*I	0.+0.7162400332033749*I	1.4727119917270532+0.*I	0.-0.7160927620042022*I	-1.4726403824508525+0.*I	0.+0.3392789439006867*I	2.468479993683535+0.*I	0.-0.33903209590131833*I	-2.468446090473945+0.*I	0.+0.16392018876584707*I	4.300491177361363+0.*I	0.-0.16349013964811093*I	-4.300474828347398+0.*I	0.+0.08027867722210773*I	7.721502243414817+0.*I	0.-0.07950652699776622*I	-7.721494292762117+0.*I	0.+0.03916609151114177*I	14.213709529045856+0.*I	0.-0.03774472055823719*I	-14.2137057545738+0.*I	0.+0.017820430441835067*I	26.736018418006935+0.*I	0.-0.015146828600034372*I	-26.736016903324074+0.*I	0.+0.005128255116688569*I	51.28255116691516+0.*I
0.46063030393205373+0.*I	0.+0.00005067976897050551*I	-0.46063030900003044+0.*I	0.-0.00009674279987050856*I	0.5596381928963248+0.*I	0.+0.00016712212707162312*I	-0.5596382096085376+0.*I	0.-0.0002230859480324769*I	-0.07262483793885871+0.*I	0.+0.00026007165979674834*I	0.07262481193169269+0.*I	0.-0.00025280917860360207*I	-0.021979024817812762+0.*I	0.+0.0003548339705652259*I	0.021978989334415704+0.*I	0.-0.00035263607163178436*I	-0.008011691800880771+0.*I	0.+0.0005510592285279441*I	0.008011636694957918+0.*I	0.-0.0005502580648584482*I	-0.0032098732492689135+0.*I	0.+0.0009173300658942116*I	0.0032097815162623246+0.*I	0.-0.0009170090877425852*I	-0.0013642986035304605+0.*I	0.+0.0015965427620269158*I	0.0013641389492542576+0.*I	0.-0.0015964063481319903*I	-0.0006044659099039715+0.*I	0.+0.0028705187377337776*I	0.0006041788580301981+0.*I	0.-0.0028704583198479747*I	-0.0002762423336931243+0.*I	0.+0.005297217690195695*I	0.00027571261192410476+0.*I	0.-0.005297190118934501*I	-0.0001289953563902105+0.*I	0.+0.009995397752791055*I	0.00012799581661493135+0.*I	0.-0.009995384953209395*I	-0.00006044807672192126+0.*I	0.+0.019241806869687475*I	0.0000585238960349525+0.*I	0.-0.01924180101729787*I	-0.00002666509656284678+0.*I	0.+0.037744715083308664*I	0.000022890625054515917+0.*I	0.-0.03774471279424616*I	-7.541153458623727*^-6+0.*I	0.+0.07541153458607837*I
0.-49.56611607233586*I	0.014311681182671497+0.*I	0.+49.566117503503975*I	-0.019268292933021895+0.*I	0.-19.17132216141183*I	0.07070770501564062+0.*I	0.+19.17132923218233*I	-0.07262483793885885+0.*I	0.-7.936472581625928*I	-0.5577211026924852+0.*I	0.+7.93641680951566*I	0.5569274610115316+0.*I	0.-3.44393246743439*I	-0.4529630008482812+0.*I	0.+3.443887171134306*I	0.452618612131168+0.*I	0.-1.5484808142809634*I	-0.4844743718274082+0.*I	0.+1.5484323668437807*I	0.48431952859072386+0.*I	0.-0.7163959703146481*I	-0.6298757854791798+0.*I	0.+0.7163329827361001*I	0.629804152180906+0.*I	0.-0.3395189657609645*I	-0.9262140813863708+0.*I	0.+0.3394263443528259*I	0.9261801387519356+0.*I	0.-0.16431435446694198*I	-1.4726067416083268+0.*I	0.+0.1641670937927811*I	1.4725903248989471+0.*I	0.-0.08095559529902241*I	-2.468430228176783+0.*I	0.+0.08070875227620472*I	2.4684221573015543+0.*I	0.-0.04036830052000247*I	-4.300467800019425+0.*I	0.+0.039938253740000526*I	4.30046380619405+0.*I	0.-0.02001395609971614*I	-7.721492300333722+0.*I	0.+0.019241806869682767*I	7.721490376153034+0.*I	0.-0.00922322987078501*I	-14.213707747002625+0.*I	0.+0.007801859096084747*I	14.213706966816714+0.*I	0.-0.002673602393164219*I	-26.736023931651314+0.*I
-0.4924860085223681+0.*I	0.-0.00006523538419565323*I	0.4924860150459068+0.*I	0.+0.00011448398570024392*I	-0.4556737086980737+0.*I	0.-0.00021450428678193454*I	0.4556737301485026+0.*I	0.+0.0002600716597967847*I	-0.5577211026924835+0.*I	0.-0.00045169999715056336*I	-0.4422788521375167+0.*I	0.+0.00040747211193681114*I	0.07341841286543375+0.*I	0.-0.0006090808326943831*I	-0.07341835195735048+0.*I	0.+0.0006017389974986481*I	0.02232331787762974+0.*I	0.-0.0009833666045781966*I	-0.02232321954096929+0.*I	0.+0.0009811342826241*I	0.008166381818214266+0.*I	0.-0.0016903089160310119*I	-0.008166212787322664+0.*I	0.+0.0016894922947522796*I	0.0032812458653065472+0.*I	0.-0.003018247284278232*I	-0.003280944040578119+0.*I	0.+0.0030179191898741737*I	0.0013977797917705899+0.*I	0.-0.005544262439665608*I	-0.0013972253655266233+0.*I	0.+0.005544122717129055*I	0.0006200411551377783+0.*I	0.-0.010425534706746958*I	-0.0006189986016671036+0.*I	0.+0.010425472806886786*I	0.0002827409398710312+0.*I	0.-0.020013997172497012*I	-0.0002807395401537814+0.*I	0.+0.02001396909854299*I	0.00012998824507906706+0.*I	0.-0.039166104118311375*I	-0.0001260716346672359+0.*I	0.+0.03916609151114791*I	0.00005653146757078994+0.*I	0.-0.07808514343770884*I	-0.00004872295322701906+0.*I	0.+0.0780851385654135*I	0.00001586229710756834+0.*I	0.-0.15862297107567552*I
0.+49.566066823734985*I	-0.014311674659133074+0.*I	0.-49.56606825490245*I	0.01926828148462332+0.*I	0.+19.171276594040943*I	-0.07070768356521194+0.*I	0.-19.17128366480931*I	0.07262481193169289+0.*I	0.+7.936416809515652*I	-0.44227885213751633+0.*I	0.-7.936461037400867*I	-0.5569275017587424+0.*I	0.+3.4439398092756743*I	0.4529630617563658+0.*I	0.-3.4438945129694996*I	-0.4526186723050689+0.*I	0.+1.54848304661275*I	0.4844744701640701+0.*I	0.-1.5484345991657336*I	-0.48431962670415346+0.*I	0.+0.7163967869528288*I	0.6298759545100725+0.*I	0.-0.7163337993573778*I	-0.6298043211301367+0.*I	0.+0.33951929388555024*I	0.9262143832111007+0.*I	0.-0.3394266724472291*I	-0.9261804405438557+0.*I	0.+0.16431449424492045*I	1.472607296034574+0.*I	0.-0.16416723351531698*I	-1.4725908793112223+0.*I	0.+0.08095565730313749*I	2.468431270730254+0.*I	0.-0.08070881417606447*I	-2.4684231998488357+0.*I	0.+0.04036832879409605*I	4.300469801419142+0.*I	0.-0.039938281813954125*I	-4.300465807590962+0.*I	0.+0.020013969098540238*I	7.721496216944153+0.*I	0.-0.019241819476845824*I	-7.721494292762205+0.*I	0.+0.00922323552393129*I	14.213715555517012+0.*I	0.-0.007801863968379589*I	-14.213714775330615+0.*I	0.+0.0026736039793941327*I	26.736039793948006+0.*I
